Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,88.0,88.08,87.92,88.0,1223470,88.0
2015-01-02,88.0,88.66,87.61,88.27,583654,88.27
2015-01-03,88.27,89.37,87.89,88.98,1468648,88.98
2015-01-04,88.98,89.13,88.82,88.97,1592012,88.97
2015-01-05,88.97,89.77,88.62,89.41,986199,89.41
2015-01-06,89.41,89.6,89.11,89.3,1557786,89.3
2015-01-07,89.3,89.57,88.7,88.98,1671075,88.98
2015-01-08,88.98,89.77,88.46,89.25,1030439,89.25
2015-01-09,89.25,89.43,88.75,88.92,1038894,88.92
2015-01-10,88.92,89.32,88.03,88.42,1356508,88.42
2015-01-11,88.42,88.66,87.73,87.96,1313859,87.96
2015-01-12,87.96,88.64,87.67,88.35,1225710,88.35
2015-01-13,88.35,88.55,88.11,88.3,1097505,88.3
2015-01-14,88.3,88.41,88.24,88.34,922194,88.34
2015-01-15,88.34,88.44,88.16,88.27,1568928,88.27
2015-01-16,88.27,88.84,88.06,88.63,1042817,88.63
2015-01-17,88.63,89.41,88.2,88.98,781988,88.98
2015-01-18,88.98,89.51,88.77,89.3,790429,89.3
2015-01-19,89.3,89.55,89.14,89.39,786030,89.39
2015-01-20,89.39,90.45,88.63,89.69,1212766,89.69
2015-01-21,89.69,90.02,89.21,89.53,810700,89.53
2015-01-22,89.53,89.71,89.38,89.55,750717,89.55
2015-01-23,89.55,89.88,89.44,89.77,1197333,89.77
2015-01-24,89.77,90.38,88.38,88.98,953097,88.98
2015-01-25,88.98,90.25,88.44,89.7,1043229,89.7
2015-01-26,89.7,90.5,88.0,88.8,1277520,88.8
2015-01-27,88.8,89.36,88.4,88.96,771436,88.96
2015-01-28,88.96,89.83,88.26,89.13,694694,89.13
2015-01-29,89.13,89.27,88.77,88.91,1625429,88.91
2015-01-30,88.91,89.14,88.52,88.75,1317877,88.75
2015-01-31,88.75,89.0,88.39,88.64,1131649,88.64
2015-02-01,88.64,88.98,88.31,88.64,1023375,88.64
2015-02-02,88.64,88.77,88.42,88.55,911854,88.55
2015-02-03,88.55,89.11,87.5,88.05,1473631,88.05
2015-02-04,88.05,90.01,87.22,89.16,1013132,89.16
2015-02-05,89.16,90.23,88.79,89.85,1125823,89.85
2015-02-06,89.85,90.75,89.25,90.14,841221,90.14
2015-02-07,90.14,91.21,89.61,90.68,808845,90.68
2015-02-08,90.68,90.97,90.57,90.86,533721,90.86
2015-02-09,90.86,91.2,89.87,90.2,1623141,90.2
2015-02-10,90.2,90.5,90.06,90.36,1846788,90.36
2015-02-11,90.36,90.49,90.02,90.15,735605,90.15
2015-02-12,90.15,91.43,89.6,90.88,757126,90.88
2015-02-13,90.88,90.99,90.71,90.81,727948,90.81
2015-02-14,90.81,92.38,90.25,91.81,1116648,91.81
2015-02-15,91.81,92.85,91.33,92.36,1342623,92.36
2015-02-16,92.36,93.34,90.82,91.79,878673,91.79
2015-02-17,91.79,92.12,91.32,91.64,1530307,91.64
2015-02-18,91.64,91.79,91.42,91.56,916580,91.56
2015-02-19,91.56,92.27,91.3,92.01,1019974,92.01
2015-02-20,92.01,92.83,91.64,92.46,1394027,92.46
2015-02-21,92.46,92.71,92.29,92.54,1116984,92.54
2015-02-22,92.54,92.79,92.05,92.3,973723,92.3
2015-02-23,92.3,92.85,91.97,92.51,978731,92.51
2015-02-24,92.51,92.72,92.2,92.4,1567246,92.4
2015-02-25,92.4,92.67,92.29,92.56,1312337,92.56
2015-02-26,92.56,92.87,92.04,92.35,1149479,92.35
2015-02-27,92.35,93.13,91.15,91.93,1093154,91.93
2015-02-28,91.93,92.17,91.55,91.79,1004501,91.79
2015-03-01,91.79,92.53,91.36,92.1,1139964,92.1
2015-03-02,92.1,92.34,91.86,92.1,927415,92.1
2015-03-03,92.1,93.2,91.59,92.68,758523,92.68
2015-03-04,92.68,93.14,92.36,92.82,1172998,92.82
2015-03-05,92.82,93.51,92.35,93.04,951942,93.04
2015-03-06,93.04,93.14,92.84,92.95,974340,92.95
2015-03-07,92.95,93.82,92.46,93.34,1070993,93.34
2015-03-08,93.34,93.83,92.32,92.8,1545570,92.8
2015-03-09,92.8,93.5,92.4,93.1,1321859,93.1
2015-03-10,93.1,94.37,92.16,93.42,1322840,93.42
2015-03-11,93.42,93.88,92.61,93.07,1170189,93.07
2015-03-12,93.07,94.45,89.24,90.59,562515,90.59
2015-03-13,90.59,91.69,89.53,90.62,998922,90.62
2015-03-14,90.62,90.91,89.78,90.08,751530,90.08
2015-03-15,90.08,90.3,89.95,90.18,995315,90.18
2015-03-16,90.18,91.1,89.73,90.65,585525,90.65
2015-03-17,90.65,90.9,90.11,90.36,615488,90.36
2015-03-18,90.36,90.65,89.89,90.18,1340634,90.18
2015-03-19,90.18,91.38,89.06,90.26,638943,90.26
2015-03-20,90.26,90.76,90.07,90.57,973486,90.57
2015-03-21,90.57,91.37,90.07,90.88,1034672,90.88
2015-03-22,90.88,91.47,90.61,91.2,817823,91.2
2015-03-23,91.2,91.27,91.02,91.09,1263534,91.09
2015-03-24,91.09,92.48,90.45,91.84,1228881,91.84
2015-03-25,91.84,92.93,91.44,92.52,708254,92.52
2015-03-26,92.52,93.42,92.11,93.01,1406514,93.01
2015-03-27,93.01,93.18,92.91,93.09,1004702,93.09
2015-03-28,93.09,93.6,92.81,93.33,983255,93.33
2015-03-29,93.33,93.91,93.09,93.67,773897,93.67
2015-03-30,93.67,93.9,93.07,93.29,765714,93.29
2015-03-31,93.29,93.85,93.03,93.58,1560901,93.58
2015-04-01,93.58,93.89,93.46,93.77,1075431,93.77
2015-04-02,93.77,93.81,93.72,93.76,1321086,93.76
2015-04-03,93.76,94.63,93.47,94.33,923803,94.33
2015-04-04,94.33,94.87,94.12,94.65,982546,94.65
2015-04-05,94.65,95.56,94.22,95.13,1060423,95.13
2015-04-06,95.13,95.86,94.77,95.49,942242,95.49
2015-04-07,95.49,96.28,95.17,95.95,1057529,95.95
2015-04-08,95.95,96.39,95.23,95.67,963562,95.67
2015-04-09,95.67,97.08,95.05,96.46,1465197,96.46
2015-04-10,96.46,96.5,96.35,96.39,966981,96.39
2015-04-11,96.39,97.29,95.81,96.7,1176497,96.7
2015-04-12,96.7,97.6,96.37,97.26,1088864,97.26
2015-04-13,97.26,97.98,96.68,97.4,1103099,97.4
2015-04-14,97.4,97.59,97.02,97.22,842101,97.22
2015-04-15,97.22,97.47,97.07,97.32,709203,97.32
2015-04-16,97.32,98.64,96.73,98.04,677081,98.04
2015-04-17,98.04,98.82,97.77,98.55,1647654,98.55
2015-04-18,98.55,99.03,98.28,98.75,1250261,98.75
2015-04-19,98.75,100.87,97.38,99.49,1183998,99.49
2015-04-20,99.49,101.19,98.9,100.6,1735869,100.6
2015-04-21,100.6,102.11,100.0,101.51,1442217,101.51
2015-04-22,101.51,101.68,101.19,101.35,889718,101.35
2015-04-23,101.35,101.62,100.58,100.84,1139781,100.84
2015-04-24,100.84,101.15,100.01,100.31,902991,100.31
2015-04-25,100.31,100.85,99.32,99.85,920404,99.85
2015-04-26,99.85,100.17,99.62,99.94,897412,99.94
2015-04-27,99.94,100.49,99.34,99.88,1504320,99.88
2015-04-28,99.88,100.52,98.23,98.86,1117053,98.86
2015-04-29,98.86,99.45,98.66,99.25,938782,99.25
2015-04-30,99.25,99.6,99.02,99.36,897202,99.36
2015-05-01,99.36,99.59,98.94,99.17,1429104,99.17
2015-05-02,99.17,100.15,98.8,99.78,1012275,99.78
2015-05-03,99.78,99.95,99.38,99.56,1040473,99.56
2015-05-04,99.56,100.37,99.28,100.09,860210,100.09
2015-05-05,100.09,100.16,100.02,100.08,1099400,100.08
2015-05-06,100.08,101.09,99.7,100.7,1067447,100.7
