Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,125.0,125.1,124.9,125.0,1393101,125.0
2015-01-02,125.0,125.38,124.84,125.22,734918,125.22
2015-01-03,125.22,125.49,125.04,125.31,1209836,125.31
2015-01-04,125.31,126.68,124.69,126.06,901924,126.06
2015-01-05,126.06,126.28,125.98,126.2,716162,126.2
2015-01-06,126.2,126.36,126.09,126.24,952628,126.24
2015-01-07,126.24,126.53,125.95,126.24,988254,126.24
2015-01-08,126.24,126.91,125.69,126.37,942180,126.37
2015-01-09,126.37,126.58,126.0,126.21,1515663,126.21
2015-01-10,126.21,127.05,125.86,126.69,933089,126.69
2015-01-11,126.69,126.88,126.33,126.52,1077654,126.52
2015-01-12,126.52,127.18,126.0,126.66,1420219,126.66
2015-01-13,126.66,126.86,126.08,126.28,1430045,126.28
2015-01-14,126.28,126.95,125.8,126.48,723595,126.48
2015-01-15,126.48,127.36,126.04,126.92,837586,126.92
2015-01-16,126.92,127.38,126.48,126.94,800198,126.94
2015-01-17,126.94,127.31,126.46,126.84,998353,126.84
2015-01-18,126.84,128.21,126.33,127.71,1066282,127.71
2015-01-19,127.71,128.3,127.2,127.8,1142724,127.8
2015-01-20,127.8,128.6,127.53,128.33,1232821,128.33
2015-01-21,128.33,128.43,128.24,128.34,781533,128.34
2015-01-22,128.34,129.11,127.88,128.65,1216796,128.65
2015-01-23,128.65,128.84,128.58,128.78,483772,128.78
2015-01-24,128.78,129.36,128.32,128.9,1080307,128.9
2015-01-25,128.9,130.04,128.3,129.44,810412,129.44
2015-01-26,129.44,130.59,129.04,130.19,842903,130.19
2015-01-27,130.19,130.58,130.01,130.4,830833,130.4
2015-01-28,130.4,131.31,130.03,130.94,933452,130.94
2015-01-29,130.94,132.24,129.1,130.39,699400,130.39
2015-01-30,130.39,131.11,130.11,130.83,1365787,130.83
2015-01-31,130.83,131.0,130.38,130.55,592544,130.55
2015-02-01,130.55,130.92,130.27,130.63,564211,130.63
2015-02-02,130.63,131.6,129.88,130.85,1033082,130.85
2015-02-03,130.85,131.14,130.68,130.97,1006710,130.97
2015-02-04,130.97,132.03,130.41,131.47,991862,131.47
2015-02-05,131.47,132.03,130.64,131.2,635750,131.2
2015-02-06,131.2,131.58,130.39,130.78,1237605,130.78
2015-02-07,130.78,130.96,130.31,130.5,932329,130.5
2015-02-08,130.5,130.84,129.57,129.92,761665,129.92
2015-02-09,129.92,130.46,129.42,129.96,1717002,129.96
2015-02-10,129.96,131.45,129.11,130.59,1001169,130.59
2015-02-11,130.59,131.17,130.34,130.92,638722,130.92
2015-02-12,130.92,132.86,129.79,131.72,802318,131.72
2015-02-13,131.72,132.22,130.82,131.32,1210483,131.32
2015-02-14,131.32,131.66,131.2,131.55,1213816,131.55
