Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,180.0,180.09,179.91,180.0,604300,180.0
2015-01-02,180.0,180.07,179.9,179.97,804555,179.97
2015-01-03,179.97,180.99,177.06,178.08,1203683,178.08
2015-01-04,178.08,179.07,175.28,176.26,923004,176.26
2015-01-05,176.26,177.59,174.01,175.34,1374542,175.34
2015-01-06,175.34,177.84,170.79,173.26,979264,173.26
2015-01-07,173.26,176.2,171.91,174.84,1801962,174.84
2015-01-08,174.84,176.56,170.83,172.53,891956,172.53
2015-01-09,172.53,173.09,171.88,172.44,1198782,172.44
2015-01-10,172.44,173.91,169.34,170.8,774597,170.8
2015-01-11,170.8,172.14,170.17,171.51,1395703,171.51
2015-01-12,171.51,172.83,170.94,172.26,1056559,172.26
2015-01-13,172.26,172.89,171.22,171.85,749856,171.85
2015-01-14,171.85,173.17,170.77,172.09,836359,172.09
2015-01-15,172.09,175.27,170.14,173.31,1579753,173.31
2015-01-16,173.31,173.61,172.44,172.74,1271480,172.74
2015-01-17,172.74,173.19,172.35,172.8,705145,172.8
2015-01-18,172.8,179.53,168.16,174.83,1718630,174.83
2015-01-19,174.83,175.84,172.93,173.94,1126800,173.94
2015-01-20,173.94,176.79,172.09,174.93,1769403,174.93
2015-01-21,174.93,175.56,173.18,173.81,1098377,173.81
2015-01-22,173.81,174.82,172.04,173.04,1140407,173.04
2015-01-23,173.04,174.14,172.53,173.62,1254881,173.62
2015-01-24,173.62,175.43,172.99,174.79,912376,174.79
2015-01-25,174.79,178.74,172.6,176.53,728697,176.53
2015-01-26,176.53,181.45,174.28,179.16,1440597,179.16
2015-01-27,179.16,179.51,178.69,179.04,920080,179.04
2015-01-28,179.04,180.18,176.71,177.84,2178302,177.84
2015-01-29,177.84,178.55,177.25,177.96,999325,177.96
2015-01-30,177.96,178.07,177.66,177.77,994224,177.77
2015-01-31,177.77,179.85,176.19,178.26,956124,178.26
2015-02-01,178.26,206.97,169.3,197.07,1211623,197.07
2015-02-02,197.07,198.09,195.77,196.79,1326861,196.79
2015-02-03,196.79,198.7,193.54,195.43,1095985,195.43
2015-02-04,195.43,197.26,191.12,192.92,803667,192.92
2015-02-05,192.92,193.18,192.23,192.49,1170261,192.49
2015-02-06,192.49,194.8,191.49,193.79,1037203,193.79
2015-02-07,193.79,195.62,189.97,191.78,740866,191.78
2015-02-08,191.78,192.32,190.38,190.91,1158397,190.91
2015-02-09,190.91,192.42,186.49,187.99,1209674,187.99
2015-02-10,187.99,190.32,186.19,188.52,1227788,188.52
2015-02-11,188.52,189.71,186.0,187.18,1066834,187.18
2015-02-12,187.18,188.34,185.81,186.96,994510,186.96
2015-02-13,186.96,188.88,185.75,187.66,833782,187.66
2015-02-14,187.66,188.02,187.0,187.35,896945,187.35
2015-02-15,187.35,189.03,185.47,187.15,1499633,187.15
2015-02-16,187.15,191.45,185.46,189.75,1507510,189.75
2015-02-17,189.75,190.69,187.31,188.25,605858,188.25
2015-02-18,188.25,190.91,187.23,189.89,893087,189.89
2015-02-19,189.89,190.43,188.43,188.98,700519,188.98
2015-02-20,188.98,190.27,186.69,187.97,1014683,187.97
2015-02-21,187.97,192.18,185.52,189.71,1013667,189.71
2015-02-22,189.71,190.02,189.51,189.82,1166867,189.82
2015-02-23,189.82,190.81,187.23,188.22,1357459,188.22
2015-02-24,188.22,191.34,186.5,189.61,894794,189.61
2015-02-25,189.61,190.34,187.73,188.46,1010619,188.46
2015-02-26,188.46,189.39,186.93,187.86,1896426,187.86
2015-02-27,187.86,191.77,186.03,189.93,1343961,189.93
2015-02-28,189.93,190.94,188.33,189.33,762140,189.33
2015-03-01,189.33,190.45,186.05,187.15,1432898,187.15
2015-03-02,187.15,190.42,185.66,188.92,1541998,188.92
2015-03-03,188.92,190.67,185.28,187.02,1438716,187.02
2015-03-04,187.02,187.55,186.09,186.61,1508146,186.61
2015-03-05,186.61,190.01,185.35,188.74,1000535,188.74
2015-03-06,188.74,189.37,187.5,188.12,713321,188.12
2015-03-07,188.12,189.34,185.36,186.57,702378,186.57
2015-03-08,186.57,188.84,185.27,187.53,1001903,187.53
2015-03-09,187.53,190.42,183.03,185.9,1313842,185.9
2015-03-10,185.9,187.29,185.01,186.4,887710,186.4
2015-03-11,186.4,188.04,181.77,183.39,796672,183.39
2015-03-12,183.39,183.45,183.29,183.34,1196588,183.34
2015-03-13,183.34,184.31,182.86,183.83,2217976,183.83
2015-03-14,183.83,185.92,181.08,183.16,1824673,183.16
2015-03-15,183.16,186.33,180.66,183.83,866575,183.83
2015-03-16,183.83,185.1,180.84,182.09,903724,182.09
2015-03-17,182.09,185.45,180.44,183.78,1560889,183.78
2015-03-18,183.78,184.35,183.55,184.12,991669,184.12
2015-03-19,184.12,184.5,183.48,183.86,1139916,183.86
2015-03-20,183.86,186.19,182.85,185.17,903394,185.17
2015-03-21,185.17,187.47,184.0,186.28,1613708,186.28
2015-03-22,186.28,187.3,184.51,185.52,730289,185.52
2015-03-23,185.52,186.84,183.79,185.1,766105,185.1
2015-03-24,185.1,187.72,180.61,183.21,1583130,183.21
2015-03-25,183.21,184.29,180.4,181.47,1343295,181.47
2015-03-26,181.47,183.68,176.93,179.11,1043599,179.11
2015-03-27,179.11,180.18,177.82,178.88,707406,178.88
2015-03-28,178.88,181.69,175.08,177.87,674974,177.87
2015-03-29,177.87,179.26,174.47,175.84,1832304,175.84
2015-03-30,175.84,179.0,173.9,177.05,1379512,177.05
2015-03-31,177.05,177.94,176.61,177.5,1224915,177.5
2015-04-01,177.5,178.19,176.38,177.07,861795,177.07
2015-04-02,177.07,177.53,176.63,177.08,1416659,177.08
2015-04-03,177.08,178.92,176.41,178.24,1021360,178.24
2015-04-04,178.24,180.42,177.11,179.28,1001794,179.28
2015-04-05,179.28,182.25,177.65,180.62,904844,180.62
2015-04-06,180.62,181.12,179.39,179.9,822445,179.9
