Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,150.0,150.17,149.83,150.0,819030,150.0
2015-01-02,150.0,152.66,148.05,150.71,1160511,150.71
2015-01-03,150.71,152.88,149.7,151.87,745554,151.87
2015-01-04,151.87,153.17,148.65,149.94,1687450,149.94
2015-01-05,149.94,151.35,149.13,150.54,1332418,150.54
2015-01-06,150.54,151.82,146.75,148.01,971313,148.01
2015-01-07,148.01,148.69,146.76,147.43,1511440,147.43
2015-01-08,147.43,148.61,144.63,145.8,1039414,145.8
2015-01-09,145.8,146.75,145.42,146.37,531651,146.37
2015-01-10,146.37,147.59,143.6,144.81,674345,144.81
2015-01-11,144.81,146.61,143.19,144.99,805103,144.99
2015-01-12,144.99,147.33,144.0,146.33,1166882,146.33
2015-01-13,146.33,148.46,145.4,147.52,1102728,147.52
2015-01-14,147.52,149.54,146.62,148.64,1591470,148.64
2015-01-15,148.64,149.21,148.4,148.96,1258144,148.96
2015-01-16,148.96,150.02,148.53,149.58,1290423,149.58
2015-01-17,149.58,151.12,148.64,150.18,1087929,150.18
2015-01-18,150.18,150.76,149.68,150.25,790259,150.25
2015-01-19,150.25,151.86,149.67,151.27,880678,151.27
2015-01-20,151.27,152.39,149.92,151.03,1095884,151.03
2015-01-21,151.03,151.46,149.96,150.38,1463776,150.38
2015-01-22,150.38,153.71,149.26,152.57,1066044,152.57
2015-01-23,152.57,154.46,151.29,153.18,805727,153.18
2015-01-24,153.18,155.31,149.54,151.65,1489605,151.65
2015-01-25,151.65,158.27,148.5,155.05,1537897,155.05
2015-01-26,155.05,155.96,152.51,153.41,1301993,153.41
2015-01-27,153.41,153.78,153.03,153.39,1160839,153.39
2015-01-28,153.39,154.74,152.59,153.94,1007835,153.94
2015-01-29,153.94,156.4,153.11,155.57,969253,155.57
2015-01-30,155.57,163.28,153.04,160.67,1717488,160.67
2015-01-31,160.67,162.34,157.91,159.57,1137641,159.57
2015-02-01,159.57,160.86,158.96,160.24,1715761,160.24
2015-02-02,160.24,166.25,144.68,150.33,1070646,150.33
2015-02-03,150.33,154.24,148.2,152.09,1307195,152.09
2015-02-04,152.09,154.24,151.07,153.21,861520,153.21
2015-02-05,153.21,157.07,151.19,155.02,810941,155.02
2015-02-06,155.02,156.54,152.97,154.49,1179992,154.49
2015-02-07,154.49,155.78,151.37,152.65,1725799,152.65
2015-02-08,152.65,152.82,152.55,152.72,1355090,152.72
2015-02-09,152.72,154.46,149.87,151.6,1233362,151.6
2015-02-10,151.6,155.55,150.19,154.11,1404112,154.11
2015-02-11,154.11,159.41,151.6,156.84,1219378,156.84
2015-02-12,156.84,160.23,155.65,159.02,888042,159.02
2015-02-13,159.02,162.31,157.19,160.46,1019670,160.46
2015-02-14,160.46,161.62,158.18,159.33,828996,159.33
2015-02-15,159.33,160.58,157.2,158.45,1229784,158.45
2015-02-16,158.45,163.96,156.53,162.0,1783624,162.0
2015-02-17,162.0,164.17,161.2,163.36,775826,163.36
2015-02-18,163.36,163.73,163.1,163.47,967355,163.47
2015-02-19,163.47,164.28,162.22,163.03,894784,163.03
2015-02-20,163.03,165.68,157.75,160.35,1295612,160.35
2015-02-21,160.35,163.5,158.63,161.76,1003127,161.76
2015-02-22,161.76,167.14,159.55,164.88,1053879,164.88
2015-02-23,164.88,166.98,162.95,165.05,1302585,165.05
2015-02-24,165.05,166.5,164.48,165.93,772912,165.93
2015-02-25,165.93,166.98,164.58,165.63,2124506,165.63
2015-02-26,165.63,168.78,164.41,167.54,907080,167.54
2015-02-27,167.54,170.13,164.5,167.08,1085699,167.08
2015-02-28,167.08,168.94,161.87,163.69,1508270,163.69
2015-03-01,163.69,167.09,158.37,161.72,1465186,161.72
2015-03-02,161.72,163.98,158.43,160.67,1180937,160.67
2015-03-03,160.67,168.18,157.91,165.33,1680227,165.33
2015-03-04,165.33,167.7,164.45,166.81,1656747,166.81
2015-03-05,166.81,169.4,162.85,165.42,1404440,165.42
2015-03-06,165.42,165.74,164.88,165.2,811850,165.2
2015-03-07,165.2,167.21,164.02,166.03,565602,166.03
2015-03-08,166.03,168.07,164.54,166.58,1122513,166.58
