Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,135.0,135.88,134.12,135.0,757718,135.0
2015-01-02,135.0,136.02,134.55,135.57,1969306,135.57
2015-01-03,135.57,135.92,134.66,135.01,1358958,135.01
2015-01-04,135.01,135.89,134.57,135.45,1019800,135.45
2015-01-05,135.45,136.32,134.49,135.36,1180594,135.36
2015-01-06,135.36,138.2,134.36,137.18,1193125,137.18
2015-01-07,137.18,137.51,136.83,137.16,1317198,137.16
2015-01-08,137.16,139.06,136.5,138.4,1591905,138.4
2015-01-09,138.4,138.72,137.78,138.11,1442561,138.11
2015-01-10,138.11,138.66,137.71,138.26,718159,138.26
2015-01-11,138.26,139.52,137.69,138.95,881385,138.95
2015-01-12,138.95,139.67,137.82,138.54,686912,138.54
2015-01-13,138.54,141.28,131.01,133.65,1688407,133.65
2015-01-14,133.65,135.15,132.21,133.71,955156,133.71
2015-01-15,133.71,138.39,132.02,136.66,732497,136.66
2015-01-16,136.66,137.24,136.38,136.96,1942687,136.96
2015-01-17,136.96,139.71,135.22,137.96,1024981,137.96
2015-01-18,137.96,140.61,134.01,136.63,837264,136.63
2015-01-19,136.63,140.59,134.33,138.26,1407807,138.26
2015-01-20,138.26,140.54,137.02,139.28,1495036,139.28
2015-01-21,139.28,140.37,136.93,138.01,888857,138.01
2015-01-22,138.01,141.04,136.67,139.68,562874,139.68
2015-01-23,139.68,146.68,136.29,143.21,965328,143.21
2015-01-24,143.21,143.98,141.15,141.92,1390399,141.92
2015-01-25,141.92,142.35,140.63,141.06,1494232,141.06
2015-01-26,141.06,142.59,137.27,138.77,1214725,138.77
2015-01-27,138.77,141.03,137.73,139.98,749158,139.98
2015-01-28,139.98,140.36,138.94,139.32,1059685,139.32
2015-01-29,139.32,139.56,138.78,139.03,1196387,139.03
2015-01-30,139.03,141.55,137.73,140.24,705030,140.24
2015-01-31,140.24,141.93,137.57,139.26,1287111,139.26
2015-02-01,139.26,139.44,138.83,139.02,1317535,139.02
2015-02-02,139.02,140.17,137.29,138.43,1456806,138.43
2015-02-03,138.43,139.22,137.17,137.96,730550,137.96
2015-02-04,137.96,141.25,136.67,139.94,748168,139.94
2015-02-05,139.94,141.66,139.09,140.79,1782003,140.79
2015-02-06,140.79,143.83,139.59,142.61,1311001,142.61
2015-02-07,142.61,143.81,141.8,143.0,907176,143.0
2015-02-08,143.0,145.69,141.95,144.63,1476836,144.63
2015-02-09,144.63,146.22,140.6,142.16,1226882,142.16
2015-02-10,142.16,143.86,141.37,143.06,1182388,143.06
2015-02-11,143.06,143.59,141.6,142.12,968397,142.12
2015-02-12,142.12,145.21,140.91,143.98,1197971,143.98
2015-02-13,143.98,147.82,142.34,146.15,1446564,146.15
2015-02-14,146.15,147.33,145.73,146.9,827420,146.9
2015-02-15,146.9,149.61,145.86,148.55,1951379,148.55
2015-02-16,148.55,150.53,147.71,149.68,707161,149.68
2015-02-17,149.68,150.89,147.94,149.14,931408,149.14
2015-02-18,149.14,151.61,143.62,146.04,723573,146.04
2015-02-19,146.04,147.98,144.95,146.89,1513631,146.89
2015-02-20,146.89,149.32,143.99,146.41,1126981,146.41
2015-02-21,146.41,147.39,144.59,145.56,1147300,145.56
2015-02-22,145.56,148.49,144.56,147.48,1286543,147.48
2015-02-23,147.48,149.43,146.47,148.42,899728,148.42
2015-02-24,148.42,149.63,146.46,147.66,934466,147.66
2015-02-25,147.66,148.08,147.24,147.66,654903,147.66
2015-02-26,147.66,147.86,147.11,147.32,649297,147.32
2015-02-27,147.32,149.69,146.52,148.88,1552212,148.88
2015-02-28,148.88,149.59,147.56,148.27,900691,148.27
2015-03-01,148.27,148.77,147.67,148.17,1208744,148.17
2015-03-02,148.17,149.03,145.67,146.52,926039,146.52
2015-03-03,146.52,148.57,145.62,147.66,1872010,147.66
2015-03-04,147.66,149.4,146.91,148.64,2062911,148.64
2015-03-05,148.64,150.73,147.76,149.84,848175,149.84
2015-03-06,149.84,150.92,149.18,150.26,1324233,150.26
2015-03-07,150.26,151.28,147.85,148.85,1292411,148.85
2015-03-08,148.85,150.03,145.6,146.76,1136964,146.76
2015-03-09,146.76,147.82,145.18,146.23,1371342,146.23
2015-03-10,146.23,147.57,145.51,146.85,1117403,146.85
2015-03-11,146.85,150.75,135.75,139.45,1805512,139.45
2015-03-12,139.45,139.52,139.27,139.34,883007,139.34
2015-03-13,139.34,140.76,137.23,138.64,1283884,138.64
2015-03-14,138.64,140.15,137.72,139.22,1085036,139.22
2015-03-15,139.22,139.45,138.62,138.84,779587,138.84
2015-03-16,138.84,141.78,137.86,140.78,1070697,140.78
2015-03-17,140.78,141.3,139.52,140.04,1557393,140.04
2015-03-18,140.04,146.05,136.85,142.79,1967028,142.79
2015-03-19,142.79,145.85,141.41,144.46,534517,144.46
2015-03-20,144.46,146.17,141.85,143.55,1103458,143.55
2015-03-21,143.55,143.75,143.2,143.4,1030463,143.4
2015-03-22,143.4,145.09,142.71,144.4,918421,144.4
2015-03-23,144.4,146.59,138.97,141.12,1037482,141.12
2015-03-24,141.12,144.87,139.78,143.51,1092362,143.51
2015-03-25,143.51,145.46,142.28,144.23,1282063,144.23
2015-03-26,144.23,147.81,142.84,146.41,2007624,146.41
2015-03-27,146.41,147.68,144.01,145.26,619039,145.26
2015-03-28,145.26,146.38,142.06,143.16,765756,143.16
2015-03-29,143.16,143.39,142.98,143.21,1149513,143.21
2015-03-30,143.21,143.35,143.11,143.25,1713471,143.25
2015-03-31,143.25,146.24,142.04,145.01,1171612,145.01
2015-04-01,145.01,146.97,143.48,145.44,1321420,145.44
2015-04-02,145.44,149.64,143.55,147.72,2098564,147.72
2015-04-03,147.72,158.74,143.33,154.16,1492400,154.16
2015-04-04,154.16,155.33,153.17,154.33,1096659,154.33
2015-04-05,154.33,154.98,152.47,153.11,1624749,153.11
2015-04-06,153.11,155.63,152.28,154.78,973371,154.78
2015-04-07,154.78,155.31,153.8,154.33,726699,154.33
2015-04-08,154.33,154.45,154.06,154.18,915633,154.18
2015-04-09,154.18,155.64,153.49,154.95,1053547,154.95
2015-04-10,154.95,157.89,153.92,156.86,1078370,156.86
2015-04-11,156.86,158.09,154.62,155.84,1083219,155.84
2015-04-12,155.84,157.54,153.68,155.37,765793,155.37
2015-04-13,155.37,157.67,154.47,156.77,646090,156.77
2015-04-14,156.77,157.36,155.18,155.76,1450197,155.76
2015-04-15,155.76,157.09,152.24,153.55,967972,153.55
2015-04-16,153.55,155.07,153.01,154.53,1687230,154.53
2015-04-17,154.53,154.88,154.19,154.55,1247482,154.55
