Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,110.0,110.03,109.97,110.0,1430974,110.0
2015-01-02,110.0,110.9,109.63,110.53,1886727,110.53
2015-01-03,110.53,111.24,109.52,110.23,974841,110.23
2015-01-04,110.23,112.6,109.24,111.6,892632,111.6
2015-01-05,111.6,113.62,110.74,112.74,1594373,112.74
2015-01-06,112.74,113.48,112.17,112.91,1171896,112.91
2015-01-07,112.91,113.47,112.54,113.09,1319923,113.09
2015-01-08,113.09,114.5,112.62,114.03,1069688,114.03
2015-01-09,114.03,114.4,113.35,113.73,913581,113.73
2015-01-10,113.73,114.06,112.95,113.29,903405,113.29
2015-01-11,113.29,114.87,112.67,114.25,952432,114.25
2015-01-12,114.25,115.51,113.63,114.89,962792,114.89
2015-01-13,114.89,116.75,114.11,115.97,1391031,115.97
2015-01-14,115.97,116.95,115.62,116.61,1532846,116.61
2015-01-15,116.61,118.6,115.71,117.7,1903049,117.7
2015-01-16,117.7,118.48,117.32,118.1,1249599,118.1
2015-01-17,118.1,119.31,117.65,118.86,1357655,118.86
2015-01-18,118.86,119.02,118.72,118.88,1052871,118.88
2015-01-19,118.88,120.27,118.19,119.57,1000374,119.57
2015-01-20,119.57,120.55,117.46,118.44,1255104,118.44
2015-01-21,118.44,118.51,118.31,118.39,1308091,118.39
2015-01-22,118.39,122.04,117.09,120.72,1745290,120.72
2015-01-23,120.72,123.61,119.73,122.61,2363745,122.61
2015-01-24,122.61,123.96,120.04,121.37,1209854,121.37
2015-01-25,121.37,121.98,119.9,120.51,887700,120.51
2015-01-26,120.51,121.55,117.79,118.82,1262859,118.82
2015-01-27,118.82,120.83,118.15,120.16,1027039,120.16
2015-01-28,120.16,120.96,119.23,120.03,651562,120.03
2015-01-29,120.03,120.16,119.76,119.9,936098,119.9
2015-01-30,119.9,120.28,118.97,119.35,1169070,119.35
2015-01-31,119.35,121.51,117.48,119.63,1079883,119.63
2015-02-01,119.63,121.71,115.9,117.95,731789,117.95
2015-02-02,117.95,119.2,117.02,118.27,1724905,118.27
2015-02-03,118.27,119.06,116.72,117.51,991566,117.51
