Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,550.0,557.26,542.74,550.0,1338393,550.0
2015-01-02,550.0,558.05,526.68,534.51,970920,534.51
2015-01-03,534.51,537.55,528.56,531.59,1532050,531.59
2015-01-04,531.59,534.64,522.65,525.67,1391608,525.67
2015-01-05,525.67,530.11,523.42,527.85,1363997,527.85
2015-01-06,527.85,535.4,508.56,515.93,1878880,515.93
2015-01-07,515.93,535.84,504.75,524.47,873953,524.47
2015-01-08,524.47,535.54,518.9,529.91,990540,529.91
2015-01-09,529.91,537.06,517.65,524.73,986288,524.73
2015-01-10,524.73,534.17,511.19,520.56,1006515,520.56
2015-01-11,520.56,522.5,516.68,518.62,842750,518.62
2015-01-12,518.62,529.15,514.65,525.13,1234994,525.13
2015-01-13,525.13,544.78,513.18,532.65,936332,532.65
2015-01-14,532.65,567.93,521.01,555.78,1217272,555.78
2015-01-15,555.78,562.72,553.27,560.19,1062557,560.19
2015-01-16,560.19,572.14,555.97,567.86,1491105,567.86
2015-01-17,567.86,588.57,560.66,581.2,1282214,581.2
2015-01-18,581.2,595.47,575.86,590.05,1081291,590.05
2015-01-19,590.05,593.69,580.43,584.03,830588,584.03
2015-01-20,584.03,597.47,576.64,590.0,1674884,590.0
2015-01-21,590.0,596.35,578.38,584.67,1535247,584.67
2015-01-22,584.67,589.24,572.47,576.98,1494610,576.98
2015-01-23,576.98,585.9,573.11,582.0,853963,582.0
2015-01-24,582.0,587.89,574.31,580.18,1165411,580.18
2015-01-25,580.18,596.18,573.52,589.42,936680,589.42
2015-01-26,589.42,605.84,564.3,580.48,1433236,580.48
2015-01-27,580.48,583.86,570.63,573.98,903822,573.98
2015-01-28,573.98,584.23,557.25,567.38,909186,567.38
2015-01-29,567.38,573.79,552.74,559.05,1026919,559.05
2015-01-30,559.05,571.91,525.74,538.12,1339979,538.12
2015-01-31,538.12,546.61,529.4,537.89,877041,537.89
2015-02-01,537.89,542.9,535.65,540.65,1016289,540.65
2015-02-02,540.65,544.56,539.09,542.99,774607,542.99
2015-02-03,542.99,546.48,533.83,537.28,781414,537.28
2015-02-04,537.28,540.64,533.23,536.59,814178,536.59
2015-02-05,536.59,545.42,533.61,542.41,1301411,542.41
2015-02-06,542.41,547.04,540.05,544.67,1032325,544.67
2015-02-07,544.67,562.42,499.23,516.05,2443104,516.05
2015-02-08,516.05,520.14,508.76,512.82,1239053,512.82
2015-02-09,512.82,518.96,500.9,506.96,1038421,506.96
2015-02-10,506.96,509.22,505.09,507.35,1251262,507.35
2015-02-11,507.35,508.23,506.89,507.78,1242115,507.78
2015-02-12,507.78,517.28,504.11,513.58,1371638,513.58
2015-02-13,513.58,516.61,509.83,512.86,1034834,512.86
2015-02-14,512.86,520.71,500.87,508.65,778965,508.65
2015-02-15,508.65,514.53,499.08,504.92,1125906,504.92
2015-02-16,504.92,532.17,493.4,520.3,1261570,520.3
2015-02-17,520.3,527.74,515.27,522.69,831049,522.69
2015-02-18,522.69,525.97,516.57,519.83,961226,519.83
2015-02-19,519.83,525.82,509.67,515.61,641433,515.61
2015-02-20,515.61,518.33,507.98,510.67,1350209,510.67
2015-02-21,510.67,514.75,502.23,506.27,1165083,506.27
2015-02-22,506.27,511.96,503.31,508.98,834279,508.98
2015-02-23,508.98,511.63,502.59,505.22,1008943,505.22
2015-02-24,505.22,509.37,498.03,502.16,793637,502.16
2015-02-25,502.16,506.16,494.32,498.29,1178865,498.29
2015-02-26,498.29,502.52,485.86,490.02,573975,490.02
2015-02-27,490.02,493.57,482.82,486.34,837398,486.34
2015-02-28,486.34,490.67,473.69,477.94,837534,477.94
2015-03-01,477.94,484.98,464.85,471.81,1832181,471.81
2015-03-02,471.81,475.28,466.28,469.73,1069189,469.73
2015-03-03,469.73,481.06,465.62,476.89,1228459,476.89
2015-03-04,476.89,484.8,474.11,482.0,1479106,482.0
2015-03-05,482.0,485.87,474.92,478.77,907599,478.77
2015-03-06,478.77,489.49,474.32,484.99,1618110,484.99
2015-03-07,484.99,500.43,475.51,490.83,1672626,490.83
2015-03-08,490.83,496.25,480.39,485.75,1499126,485.75
2015-03-09,485.75,488.74,476.98,479.93,1561353,479.93
2015-03-10,479.93,491.84,475.91,487.75,873736,487.75
2015-03-11,487.75,490.82,484.14,487.21,883259,487.21
2015-03-12,487.21,497.29,483.65,493.68,1226144,493.68
2015-03-13,493.68,504.23,485.26,495.77,894636,495.77
2015-03-14,495.77,498.31,488.57,491.08,764271,491.08
2015-03-15,491.08,495.71,479.27,483.83,1635586,483.83
2015-03-16,483.83,487.15,482.12,485.43,1054133,485.43
