Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,120.0,120.01,119.99,120.0,1011151,120.0
2015-01-02,120.0,120.84,119.39,120.23,1079952,120.23
2015-01-03,120.23,120.82,119.97,120.55,969522,120.55
2015-01-04,120.55,126.38,104.29,109.58,2975703,109.58
2015-01-05,109.58,111.56,108.62,110.6,870424,110.6
2015-01-06,110.6,112.41,108.97,110.78,1340384,110.78
2015-01-07,110.78,113.66,109.37,112.23,1466810,112.23
2015-01-08,112.23,113.43,110.04,111.23,1124500,111.23
2015-01-09,111.23,111.45,110.87,111.1,784030,111.1
2015-01-10,111.1,112.45,108.16,109.49,683057,109.49
2015-01-11,109.49,110.22,108.22,108.95,749890,108.95
2015-01-12,108.95,114.05,106.24,111.28,1336487,111.28
2015-01-13,111.28,112.06,110.82,111.6,1310324,111.6
2015-01-14,111.6,112.05,111.13,111.59,1304940,111.59
2015-01-15,111.59,114.38,110.55,113.33,1312747,113.33
2015-01-16,113.33,119.72,109.9,116.21,808913,116.21
2015-01-17,116.21,120.88,114.51,119.14,1482864,119.14
2015-01-18,119.14,124.66,115.72,121.18,1784739,121.18
2015-01-19,121.18,135.81,116.19,130.43,1738221,130.43
2015-01-20,130.43,130.63,129.93,130.13,911133,130.13
2015-01-21,130.13,131.25,129.0,130.11,1075509,130.11
2015-01-22,130.11,130.53,129.57,129.99,1086519,129.99
2015-01-23,129.99,134.69,128.4,133.07,1139413,133.07
2015-01-24,133.07,134.51,131.02,132.45,1268383,132.45
2015-01-25,132.45,133.8,128.57,129.89,2238439,129.89
2015-01-26,129.89,131.9,124.1,126.06,1659234,126.06
2015-01-27,126.06,127.09,125.21,126.24,1160787,126.24
2015-01-28,126.24,128.72,125.17,127.63,825145,127.63
2015-01-29,127.63,127.99,127.24,127.6,1454130,127.6
2015-01-30,127.6,128.9,125.91,127.21,862058,127.21
2015-01-31,127.21,128.84,124.66,126.28,887292,126.28
2015-02-01,126.28,128.88,125.21,127.81,1260253,127.81
2015-02-02,127.81,129.93,126.9,129.02,935992,129.02
2015-02-03,129.02,130.61,126.88,128.46,1373446,128.46
2015-02-04,128.46,131.72,127.35,130.58,923592,130.58
