Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,3200.0,3240.81,3159.19,3200.0,1101581,3200.0
2015-01-02,3200.0,3266.35,3171.12,3237.14,1509687,3237.14
2015-01-03,3237.14,3275.9,3209.71,3248.38,624910,3248.38
2015-01-04,3248.38,3306.35,3201.89,3259.7,1262907,3259.7
2015-01-05,3259.7,3298.43,3243.18,3281.79,1919393,3281.79
2015-01-06,3281.79,3360.29,3158.33,3235.73,661651,3235.73
2015-01-07,3235.73,3362.38,3188.28,3313.78,1037422,3313.78
2015-01-08,3313.78,3332.64,3287.66,3306.47,973527,3306.47
2015-01-09,3306.47,3344.68,3223.25,3260.93,863048,3260.93
2015-01-10,3260.93,3314.65,3133.11,3185.59,1379287,3185.59
2015-01-11,3185.59,3260.2,3160.77,3235.0,2225274,3235.0
2015-01-12,3235.0,3280.75,3214.48,3260.08,884107,3260.08
2015-01-13,3260.08,3313.34,3222.48,3275.56,1207277,3275.56
2015-01-14,3275.56,3382.44,3237.47,3343.56,976113,3343.56
2015-01-15,3343.56,3475.65,3229.14,3360.64,839709,3360.64
2015-01-16,3360.64,3392.76,3346.78,3378.82,1158145,3378.82
2015-01-17,3378.82,3525.0,3307.68,3452.32,1148501,3452.32
2015-01-18,3452.32,3501.46,3434.97,3483.95,887712,3483.95
2015-01-19,3483.95,3539.08,3352.91,3406.81,1294539,3406.81
2015-01-20,3406.81,4138.73,3155.31,3854.21,2018611,3854.21
2015-01-21,3854.21,3879.78,3794.5,3819.85,1417718,3819.85
2015-01-22,3819.85,3853.05,3722.43,3755.07,887769,3755.07
2015-01-23,3755.07,3809.04,3734.58,3788.37,1298471,3788.37
2015-01-24,3788.37,3822.43,3694.41,3727.92,1287556,3727.92
2015-01-25,3727.92,3768.82,3709.31,3750.11,1342219,3750.11
2015-01-26,3750.11,3815.54,3564.87,3628.18,995241,3628.18
2015-01-27,3628.18,3655.18,3548.04,3574.64,1300669,3574.64
2015-01-28,3574.64,3670.38,3497.14,3592.5,1402469,3592.5
2015-01-29,3592.5,3677.95,3351.81,3433.48,1561486,3433.48
2015-01-30,3433.48,3547.24,3215.31,3325.49,1256598,3325.49
2015-01-31,3325.49,3370.3,3304.22,3348.88,1444942,3348.88
2015-02-01,3348.88,3448.16,3289.58,3388.16,1341492,3388.16
2015-02-02,3388.16,3401.22,3365.7,3378.73,1240467,3378.73
2015-02-03,3378.73,3500.03,3209.71,3329.23,1242888,3329.23
2015-02-04,3329.23,3471.27,3252.3,3392.86,1489038,3392.86
2015-02-05,3392.86,3457.64,3354.42,3418.9,1610362,3418.9
2015-02-06,3418.9,3518.66,3380.9,3479.98,1075202,3479.98
2015-02-07,3479.98,3591.93,3310.74,3420.79,1228331,3420.79
2015-02-08,3420.79,3470.5,3327.78,3376.86,799998,3376.86
2015-02-09,3376.86,3430.43,3222.34,3274.28,2265657,3274.28
2015-02-10,3274.28,3354.27,3242.92,3322.44,1033135,3322.44
2015-02-11,3322.44,4395.98,2968.44,3972.69,3851708,3972.69
2015-02-12,3972.69,4098.86,3920.41,4045.62,929812,4045.62
2015-02-13,4045.62,4070.28,4034.08,4058.71,752390,4058.71
2015-02-14,4058.71,4115.25,3899.62,3954.71,1539671,3954.71
2015-02-15,3954.71,3989.08,3856.69,3890.5,962046,3890.5
2015-02-16,3890.5,3987.82,3839.16,3935.88,1117912,3935.88
2015-02-17,3935.88,3952.85,3887.01,3903.84,659634,3903.84
2015-02-18,3903.84,3930.29,3877.35,3903.79,1120435,3903.79
2015-02-19,3903.79,3921.63,3855.11,3872.81,945435,3872.81
2015-02-20,3872.81,3893.75,3819.37,3840.13,1160778,3840.13
2015-02-21,3840.13,3867.03,3764.24,3790.79,1310473,3790.79
2015-02-22,3790.79,3917.62,3745.45,3871.32,849851,3871.32
2015-02-23,3871.32,3915.67,3805.37,3849.47,1568061,3849.47
2015-02-24,3849.47,3961.11,3664.84,3774.3,1551311,3774.3
2015-02-25,3774.3,3840.03,3747.92,3813.38,1819529,3813.38
2015-02-26,3813.38,4838.24,3476.69,4445.72,2310764,4445.72
2015-02-27,4445.72,4504.23,4300.26,4357.61,1009284,4357.61
2015-02-28,4357.61,4406.2,4219.39,4266.96,1264842,4266.96
2015-03-01,4266.96,4310.65,4250.74,4294.33,702273,4294.33
2015-03-02,4294.33,4323.72,4228.86,4258.0,1067219,4258.0
2015-03-03,4258.0,4351.86,4212.55,4305.9,1442389,4305.9
2015-03-04,4305.9,4313.13,4294.9,4302.12,1116766,4302.12
2015-03-05,4302.12,4433.03,4069.5,4197.21,1734794,4197.21
2015-03-06,4197.21,4344.92,4144.09,4290.62,1926566,4290.62
2015-03-07,4290.62,4419.63,4213.58,4341.68,1878565,4341.68
2015-03-08,4341.68,4375.32,4308.91,4342.54,1086840,4342.54
2015-03-09,4342.54,4416.1,4221.47,4294.21,1027940,4294.21
2015-03-10,4294.21,4456.14,4229.03,4389.51,2894513,4389.51
2015-03-11,4389.51,4394.63,4376.67,4381.78,864855,4381.78
2015-03-12,4381.78,4510.85,4322.73,4450.87,1253494,4450.87
2015-03-13,4450.87,4649.37,4339.7,4536.08,982382,4536.08
2015-03-14,4536.08,4626.89,4324.5,4412.85,2318183,4412.85
2015-03-15,4412.85,4481.5,4262.26,4329.61,1093888,4329.61
2015-03-16,4329.61,4386.24,4298.97,4355.41,747300,4355.41
2015-03-17,4355.41,4404.95,4337.93,4387.34,952760,4387.34
2015-03-18,4387.34,4616.56,4285.46,4511.79,1071618,4511.79
2015-03-19,4511.79,4747.04,3875.06,4088.22,2085078,4088.22
2015-03-20,4088.22,4114.84,4017.64,4043.98,1256944,4043.98
2015-03-21,4043.98,4357.7,3939.89,4248.36,1627339,4248.36
2015-03-22,4248.36,4441.91,4184.66,4376.29,944929,4376.29
2015-03-23,4376.29,4429.95,4252.98,4305.78,1556476,4305.78
2015-03-24,4305.78,4418.84,4230.98,4343.38,973812,4343.38
2015-03-25,4343.38,4572.17,4248.94,4474.86,1310289,4474.86
2015-03-26,4474.86,4761.33,4325.09,4607.13,1201716,4607.13
2015-03-27,4607.13,4659.23,4457.64,4508.63,1349392,4508.63
2015-03-28,4508.63,4633.23,4278.66,4400.26,1529394,4400.26
2015-03-29,4400.26,4545.61,4346.57,4490.82,799459,4490.82
2015-03-30,4490.82,4530.62,4401.04,4440.39,815603,4440.39
2015-03-31,4440.39,4457.75,4403.02,4420.3,1148935,4420.3
