Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,165.0,165.68,164.32,165.0,945776,165.0
2015-01-02,165.0,171.84,160.14,166.93,2111767,166.93
2015-01-03,166.93,174.32,148.65,155.53,2343618,155.53
2015-01-04,155.53,156.97,151.37,152.78,1050466,152.78
2015-01-05,152.78,156.83,151.18,155.19,1412384,155.19
2015-01-06,155.19,155.45,154.92,155.18,1280259,155.18
2015-01-07,155.18,157.31,154.47,156.59,1028205,156.59
2015-01-08,156.59,157.95,154.08,155.42,1360781,155.42
2015-01-09,155.42,157.66,152.35,154.57,1380113,154.57
2015-01-10,154.57,155.56,153.48,154.46,1172713,154.46
2015-01-11,154.46,155.72,151.43,152.67,1024983,152.67
2015-01-12,152.67,155.62,151.36,154.29,1758992,154.29
2015-01-13,154.29,156.64,153.03,155.37,1226740,155.37
2015-01-14,155.37,161.43,153.19,159.19,967643,159.19
2015-01-15,159.19,160.94,157.14,158.88,964624,158.88
2015-01-16,158.88,163.73,156.31,161.12,1049370,161.12
2015-01-17,161.12,162.91,157.96,159.74,1126408,159.74
2015-01-18,159.74,160.68,159.29,160.22,825698,160.22
2015-01-19,160.22,165.77,157.35,162.85,1822250,162.85
2015-01-20,162.85,164.82,157.12,159.04,564980,159.04
2015-01-21,159.04,160.24,156.29,157.48,1225305,157.48
2015-01-22,157.48,162.33,155.53,160.35,1414016,160.35
2015-01-23,160.35,163.6,158.99,162.23,1048047,162.23
2015-01-24,162.23,163.27,159.23,160.26,1501560,160.26
2015-01-25,160.26,161.68,159.62,161.04,713087,161.04
2015-01-26,161.04,162.96,155.76,157.64,723754,157.64
2015-01-27,157.64,162.77,155.83,160.92,1108872,160.92
2015-01-28,160.92,162.67,158.14,159.88,1445519,159.88
2015-01-29,159.88,161.82,159.21,161.15,1261258,161.15
2015-01-30,161.15,161.87,160.09,160.81,1095360,160.81
2015-01-31,160.81,164.84,159.35,163.36,1170731,163.36
2015-02-01,163.36,163.8,162.83,163.28,887097,163.28
2015-02-02,163.28,163.87,161.56,162.15,653427,162.15
2015-02-03,162.15,162.77,160.66,161.28,1108163,161.28
2015-02-04,161.28,161.88,160.94,161.54,946203,161.54
2015-02-05,161.54,164.35,160.41,163.21,1913824,163.21
2015-02-06,163.21,169.74,160.8,167.27,1203272,167.27
2015-02-07,167.27,167.86,166.17,166.76,1173001,166.76
2015-02-08,166.76,168.35,162.74,164.31,1187441,164.31
2015-02-09,164.31,164.94,162.6,163.22,1025803,163.22
2015-02-10,163.22,164.66,162.64,164.08,983421,164.08
2015-02-11,164.08,165.62,163.15,164.68,851014,164.68
2015-02-12,164.68,164.9,164.11,164.33,1471401,164.33
2015-02-13,164.33,168.44,162.68,166.77,729145,166.77
2015-02-14,166.77,168.05,166.16,167.45,1546191,167.45
2015-02-15,167.45,169.8,162.97,165.3,1053894,165.3
2015-02-16,165.3,168.53,163.56,166.78,1410899,166.78
2015-02-17,166.78,168.19,164.19,165.59,811478,165.59
2015-02-18,165.59,167.03,162.06,163.48,1435713,163.48
2015-02-19,163.48,164.79,162.74,164.05,1109578,164.05
2015-02-20,164.05,164.97,162.51,163.43,1112931,163.43
2015-02-21,163.43,164.36,162.29,163.22,686899,163.22
2015-02-22,163.22,165.21,162.04,164.02,1430202,164.02
2015-02-23,164.02,165.8,161.78,163.55,935451,163.55
2015-02-24,163.55,164.3,163.11,163.86,1077394,163.86
2015-02-25,163.86,165.7,162.75,164.58,1067167,164.58
2015-02-26,164.58,166.0,163.73,165.15,1179603,165.15
2015-02-27,165.15,167.96,159.0,161.75,1105679,161.75
2015-02-28,161.75,162.3,160.4,160.94,779593,160.94
2015-03-01,160.94,161.83,158.83,159.71,660624,159.71
2015-03-02,159.71,161.34,157.32,158.94,1178977,158.94
2015-03-03,158.94,160.95,158.07,160.07,744578,160.07
2015-03-04,160.07,160.39,159.12,159.45,883266,159.45
2015-03-05,159.45,162.61,154.03,157.15,1261366,157.15
2015-03-06,157.15,157.42,156.48,156.75,1082396,156.75
2015-03-07,156.75,158.37,154.48,156.09,1161430,156.09
2015-03-08,156.09,156.66,154.69,155.26,892714,155.26
2015-03-09,155.26,156.74,151.71,153.17,906067,153.17
2015-03-10,153.17,154.61,152.32,153.74,1152110,153.74
2015-03-11,153.74,157.14,151.45,154.83,1190118,154.83
2015-03-12,154.83,158.23,153.66,157.04,992470,157.04
2015-03-13,157.04,157.68,156.61,157.25,1226260,157.25
2015-03-14,157.25,160.86,151.83,155.39,1344382,155.39
2015-03-15,155.39,156.61,154.71,155.92,957351,155.92
2015-03-16,155.92,156.11,155.47,155.66,567642,155.66
2015-03-17,155.66,159.2,153.12,156.64,1883004,156.64
2015-03-18,156.64,160.64,154.9,158.87,1297572,158.87
2015-03-19,158.87,161.01,155.2,157.31,1226405,157.31
2015-03-20,157.31,160.47,155.93,159.07,837068,159.07
2015-03-21,159.07,160.52,158.35,159.8,1057243,159.8
2015-03-22,159.8,161.0,159.33,160.54,1160769,160.54
2015-03-23,160.54,163.61,154.99,158.01,1174507,158.01
2015-03-24,158.01,159.42,157.28,158.69,960241,158.69
2015-03-25,158.69,160.67,157.53,159.5,1006199,159.5
2015-03-26,159.5,163.44,157.96,161.88,712616,161.88
2015-03-27,161.88,163.09,159.86,161.07,803701,161.07
2015-03-28,161.07,161.45,160.67,161.05,641739,161.05
2015-03-29,161.05,165.21,159.53,163.66,999279,163.66
2015-03-30,163.66,164.29,161.93,162.55,1535085,162.55
2015-03-31,162.55,163.57,160.61,161.62,1096737,161.62
2015-04-01,161.62,162.77,160.63,161.78,1449013,161.78
2015-04-02,161.78,164.88,160.75,163.83,2041453,163.83
2015-04-03,163.83,164.87,162.52,163.56,1138720,163.56
2015-04-04,163.56,165.34,162.91,164.69,1130396,164.69
2015-04-05,164.69,165.15,163.53,163.99,533995,163.99
2015-04-06,163.99,165.6,163.17,164.78,910883,164.78
2015-04-07,164.78,165.06,164.01,164.29,1064272,164.29
2015-04-08,164.29,165.66,161.59,162.95,659950,162.95
2015-04-09,162.95,166.45,161.75,165.24,724372,165.24
2015-04-10,165.24,171.42,162.9,169.03,997244,169.03
