Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,200.0,204.13,195.87,200.0,832919,200.0
2015-01-02,200.0,202.15,198.98,201.12,1095958,201.12
2015-01-03,201.12,202.46,197.52,198.85,1320118,198.85
2015-01-04,198.85,200.0,197.73,198.88,688717,198.88
2015-01-05,198.88,199.9,198.23,199.25,769784,199.25
2015-01-06,199.25,200.23,198.38,199.36,816349,199.36
2015-01-07,199.36,204.09,195.59,200.3,972273,200.3
2015-01-08,200.3,202.14,195.98,197.79,1707681,197.79
2015-01-09,197.79,199.62,197.06,198.89,1014978,198.89
2015-01-10,198.89,200.86,197.9,199.87,994186,199.87
2015-01-11,199.87,201.84,197.69,199.66,1090016,199.66
2015-01-12,199.66,199.86,199.39,199.59,1941916,199.59
2015-01-13,199.59,202.06,197.02,199.49,786622,199.49
2015-01-14,199.49,201.63,198.37,200.51,796482,200.51
2015-01-15,200.51,208.58,197.56,205.55,1762981,205.55
2015-01-16,205.55,208.51,203.3,206.24,1486600,206.24
2015-01-17,206.24,212.63,203.19,209.53,965552,209.53
2015-01-18,209.53,216.07,199.58,206.01,872088,206.01
2015-01-19,206.01,207.99,205.29,207.26,1234395,207.26
2015-01-20,207.26,209.23,206.27,208.23,2642457,208.23
2015-01-21,208.23,211.65,206.76,210.17,1380697,210.17
2015-01-22,210.17,213.45,208.9,212.17,1197611,212.17
2015-01-23,212.17,214.11,211.26,213.2,607554,213.2
2015-01-24,213.2,215.52,209.29,211.59,1121948,211.59
2015-01-25,211.59,221.24,208.41,217.96,1067984,217.96
2015-01-26,217.96,221.46,212.53,216.0,708402,216.0
2015-01-27,216.0,221.84,213.54,219.34,1527566,219.34
2015-01-28,219.34,220.09,217.18,217.92,1598933,217.92
2015-01-29,217.92,220.77,216.9,219.74,883147,219.74
2015-01-30,219.74,224.3,217.34,221.88,887622,221.88
2015-01-31,221.88,224.8,214.94,217.81,1464238,217.81
2015-02-01,217.81,220.4,210.64,213.18,1403726,213.18
2015-02-02,213.18,213.92,211.13,211.86,695534,211.86
2015-02-03,211.86,212.75,210.2,211.08,970281,211.08
2015-02-04,211.08,214.76,209.33,212.99,2091036,212.99
2015-02-05,212.99,217.33,211.23,215.55,1354362,215.55
2015-02-06,215.55,216.19,214.07,214.72,1514116,214.72
2015-02-07,214.72,216.18,214.2,215.66,760401,215.66
2015-02-08,215.66,219.04,214.28,217.64,955013,217.64
2015-02-09,217.64,219.14,216.71,218.2,1087452,218.2
2015-02-10,218.2,220.91,212.21,214.88,1036876,214.88
2015-02-11,214.88,218.97,213.2,217.26,674923,217.26
2015-02-12,217.26,219.54,215.91,218.18,927817,218.18
