Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,38.0,38.03,37.97,38.0,842865,38.0
2015-01-02,38.0,38.9,37.59,38.49,1057250,38.49
2015-01-03,38.49,39.11,38.19,38.81,1215303,38.81
2015-01-04,38.81,39.57,36.67,37.4,1257018,37.4
2015-01-05,37.4,38.87,36.92,38.37,1454597,38.37
2015-01-06,38.37,38.58,37.87,38.07,1349067,38.07
2015-01-07,38.07,38.13,38.01,38.06,687266,38.06
2015-01-08,38.06,38.48,37.1,37.51,898309,37.51
2015-01-09,37.51,37.75,37.2,37.44,1002984,37.44
2015-01-10,37.44,37.62,37.22,37.4,703789,37.4
2015-01-11,37.4,39.05,35.94,37.59,1224599,37.59
2015-01-12,37.59,43.4,35.76,41.38,1799868,41.38
2015-01-13,41.38,41.83,41.12,41.57,1070542,41.57
2015-01-14,41.57,43.04,40.98,42.44,1393625,42.44
2015-01-15,42.44,42.74,41.94,42.24,785786,42.24
2015-01-16,42.24,42.83,41.99,42.58,792808,42.58
2015-01-17,42.58,42.85,42.46,42.73,1101131,42.73
2015-01-18,42.73,42.95,42.62,42.84,1106573,42.84
2015-01-19,42.84,43.64,42.49,43.28,918777,43.28
2015-01-20,43.28,43.93,42.37,43.01,2064261,43.01
2015-01-21,43.01,43.59,42.16,42.74,1060903,42.74
2015-01-22,42.74,44.44,42.14,43.82,716045,43.82
2015-01-23,43.82,44.71,43.52,44.41,1084182,44.41
2015-01-24,44.41,44.82,43.22,43.62,1376438,43.62
2015-01-25,43.62,43.72,43.46,43.56,1643644,43.56
2015-01-26,43.56,44.23,41.71,42.37,1773276,42.37
2015-01-27,42.37,43.76,41.91,43.29,1526388,43.29
2015-01-28,43.29,44.14,42.75,43.6,1575923,43.6
2015-01-29,43.6,43.87,43.0,43.26,1238013,43.26
2015-01-30,43.26,43.52,42.71,42.97,937367,42.97
2015-01-31,42.97,44.22,42.2,43.44,1132142,43.44
2015-02-01,43.44,44.0,42.76,43.32,1117413,43.32
2015-02-02,43.32,43.48,43.25,43.41,1819030,43.41
2015-02-03,43.41,43.58,43.28,43.45,973671,43.45
2015-02-04,43.45,44.33,43.12,43.99,1233449,43.99
2015-02-05,43.99,44.78,43.71,44.49,1046257,44.49
2015-02-06,44.49,46.19,43.9,45.58,1140067,45.58
2015-02-07,45.58,45.62,45.53,45.58,1411181,45.58
2015-02-08,45.58,46.21,44.03,44.65,1340691,44.65
2015-02-09,44.65,45.23,43.79,44.36,1277395,44.36
2015-02-10,44.36,44.58,43.72,43.95,975305,43.95
2015-02-11,43.95,44.14,43.6,43.79,1395619,43.79
2015-02-12,43.79,44.58,43.27,44.06,1222703,44.06
2015-02-13,44.06,44.96,43.76,44.66,1526140,44.66
2015-02-14,44.66,45.51,44.33,45.18,854871,45.18
2015-02-15,45.18,45.69,44.33,44.84,720226,44.84
2015-02-16,44.84,45.68,44.53,45.37,794123,45.37
2015-02-17,45.37,46.16,43.87,44.64,1514193,44.64
2015-02-18,44.64,45.52,42.92,43.78,839305,43.78
2015-02-19,43.78,44.17,43.52,43.91,1725609,43.91
2015-02-20,43.91,44.3,43.67,44.05,1977637,44.05
2015-02-21,44.05,44.22,43.71,43.88,1092779,43.88
2015-02-22,43.88,44.94,43.33,44.38,1797204,44.38
2015-02-23,44.38,44.56,43.87,44.04,1808064,44.04
2015-02-24,44.04,44.4,43.15,43.5,800291,43.5
2015-02-25,43.5,44.77,42.19,43.46,1496313,43.46
2015-02-26,43.46,44.37,42.89,43.79,774806,43.79
2015-02-27,43.79,44.37,42.47,43.04,835231,43.04
2015-02-28,43.04,43.23,42.92,43.11,861777,43.11
2015-03-01,43.11,43.55,42.43,42.87,1450342,42.87
2015-03-02,42.87,43.05,42.43,42.6,1131407,42.6
2015-03-03,42.6,43.45,42.04,42.88,1645198,42.88
2015-03-04,42.88,42.98,42.7,42.79,1035435,42.79
2015-03-05,42.79,43.25,41.64,42.09,880328,42.09
2015-03-06,42.09,42.31,41.5,41.71,1449051,41.71
2015-03-07,41.71,41.75,41.6,41.64,1113964,41.64
2015-03-08,41.64,42.34,41.31,42.01,1306070,42.01
2015-03-09,42.01,42.58,40.51,41.07,1180176,41.07
2015-03-10,41.07,41.78,40.77,41.48,846031,41.48
2015-03-11,41.48,43.05,40.54,42.08,715242,42.08
2015-03-12,42.08,43.01,41.68,42.61,951895,42.61
2015-03-13,42.61,43.43,42.13,42.95,853046,42.95
2015-03-14,42.95,43.35,42.08,42.48,996708,42.48
2015-03-15,42.48,43.09,42.1,42.7,704302,42.7
2015-03-16,42.7,43.34,42.36,43.0,686894,43.0
2015-03-17,43.0,44.15,42.34,43.48,1158012,43.48
2015-03-18,43.48,44.07,43.28,43.87,1058652,43.87
2015-03-19,43.87,44.31,43.09,43.53,1067838,43.53
2015-03-20,43.53,44.53,43.14,44.14,970166,44.14
2015-03-21,44.14,45.41,43.64,44.89,1939833,44.89
2015-03-22,44.89,45.72,44.59,45.42,922380,45.42
2015-03-23,45.42,46.2,43.96,44.73,1126913,44.73
2015-03-24,44.73,44.76,44.65,44.69,1022499,44.69
2015-03-25,44.69,45.93,44.18,45.41,1140671,45.41
2015-03-26,45.41,46.36,44.97,45.92,893001,45.92
2015-03-27,45.92,46.38,44.97,45.43,2213007,45.43
2015-03-28,45.43,45.57,45.38,45.52,1475117,45.52
2015-03-29,45.52,46.56,45.1,46.12,1027190,46.12
2015-03-30,46.12,46.52,45.51,45.9,758167,45.9
2015-03-31,45.9,46.09,45.38,45.57,1282559,45.57
2015-04-01,45.57,46.51,45.23,46.16,1270894,46.16
2015-04-02,46.16,46.92,45.61,46.37,491770,46.37
2015-04-03,46.37,46.75,46.18,46.56,1059466,46.56
2015-04-04,46.56,47.48,46.17,47.09,671518,47.09
2015-04-05,47.09,47.27,46.95,47.13,1144504,47.13
2015-04-06,47.13,47.53,46.98,47.38,689303,47.38
2015-04-07,47.38,47.5,47.12,47.24,881863,47.24
2015-04-08,47.24,47.5,46.46,46.72,1011625,46.72
2015-04-09,46.72,48.33,45.99,47.59,925103,47.59
2015-04-10,47.59,49.16,47.0,48.57,826822,48.57
2015-04-11,48.57,48.85,48.23,48.51,615456,48.51
2015-04-12,48.51,49.27,48.06,48.81,1823604,48.81
2015-04-13,48.81,49.04,48.47,48.7,1014540,48.7
2015-04-14,48.7,49.32,48.3,48.92,1384696,48.92
2015-04-15,48.92,50.86,48.0,49.92,1665848,49.92
2015-04-16,49.92,51.07,48.85,50.0,1298900,50.0
2015-04-17,50.0,50.77,49.68,50.45,1285702,50.45
2015-04-18,50.45,50.73,50.26,50.54,1008592,50.54
2015-04-19,50.54,51.18,50.23,50.88,1474494,50.88
2015-04-20,50.88,52.05,50.32,51.49,742703,51.49
2015-04-21,51.49,51.6,51.2,51.31,654150,51.31
2015-04-22,51.31,51.46,51.06,51.22,1032011,51.22
2015-04-23,51.22,51.4,50.77,50.95,908934,50.95
2015-04-24,50.95,51.02,50.91,50.98,1163145,50.98
2015-04-25,50.98,51.19,50.87,51.08,1254023,51.08
2015-04-26,51.08,51.36,50.83,51.11,2405132,51.11
2015-04-27,51.11,51.43,51.0,51.32,639417,51.32
2015-04-28,51.32,51.57,51.17,51.43,1006535,51.43
2015-04-29,51.43,51.47,51.39,51.44,1493750,51.44
2015-04-30,51.44,51.57,51.36,51.49,1064733,51.49
2015-05-01,51.49,51.84,50.77,51.12,689303,51.12
2015-05-02,51.12,51.62,49.84,50.34,1800742,50.34
2015-05-03,50.34,50.9,50.06,50.62,662491,50.62
2015-05-04,50.62,51.53,50.18,51.09,925349,51.09
2015-05-05,51.09,51.76,50.77,51.44,970862,51.44
2015-05-06,51.44,51.93,51.21,51.7,709423,51.7
2015-05-07,51.7,53.48,50.83,52.59,914574,52.59
2015-05-08,52.59,52.81,52.02,52.24,1442171,52.24
2015-05-09,52.24,52.69,52.05,52.5,1329562,52.5
2015-05-10,52.5,53.07,51.64,52.21,971596,52.21
2015-05-11,52.21,52.67,51.06,51.51,910944,51.51
2015-05-12,51.51,52.55,48.67,49.68,1846757,49.68
2015-05-13,49.68,49.83,49.31,49.46,1432186,49.46
2015-05-14,49.46,49.96,49.27,49.77,1545268,49.77
2015-05-15,49.77,49.99,49.15,49.37,835833,49.37
2015-05-16,49.37,49.69,48.49,48.81,1584519,48.81
2015-05-17,48.81,49.83,48.4,49.41,1917478,49.41
2015-05-18,49.41,49.6,49.18,49.37,786266,49.37
2015-05-19,49.37,50.38,48.84,49.84,1521042,49.84
2015-05-20,49.84,50.42,48.97,49.55,689858,49.55
2015-05-21,49.55,50.19,48.45,49.07,1646939,49.07
2015-05-22,49.07,51.2,48.06,50.16,1049916,50.16
2015-05-23,50.16,50.31,49.74,49.89,983998,49.89
2015-05-24,49.89,53.25,40.78,43.73,1886508,43.73
2015-05-25,43.73,44.14,42.68,43.09,819320,43.09
2015-05-26,43.09,43.69,42.14,42.73,1899107,42.73
2015-05-27,42.73,43.03,42.38,42.68,1053889,42.68
2015-05-28,42.68,43.05,42.0,42.37,1596392,42.37
2015-05-29,42.37,42.66,42.2,42.49,960138,42.49
2015-05-30,42.49,43.72,41.68,42.9,1013779,42.9
2015-05-31,42.9,43.03,42.53,42.66,1217643,42.66
2015-06-01,42.66,43.58,42.23,43.15,1324310,43.15
2015-06-02,43.15,44.48,42.71,44.03,880885,44.03
2015-06-03,44.03,44.3,43.51,43.78,1386965,43.78
2015-06-04,43.78,43.98,43.69,43.89,768850,43.89
2015-06-05,43.89,44.62,43.59,44.32,763709,44.32
2015-06-06,44.32,44.66,44.16,44.5,1494724,44.5
2015-06-07,44.5,44.8,43.81,44.11,1081453,44.11
2015-06-08,44.11,45.23,43.62,44.73,1128264,44.73
2015-06-09,44.73,45.42,44.28,44.97,1029446,44.97
2015-06-10,44.97,45.84,44.57,45.43,2075263,45.43
2015-06-11,45.43,45.66,44.8,45.03,1165106,45.03
2015-06-12,45.03,45.48,43.82,44.26,832151,44.26
2015-06-13,44.26,44.7,44.11,44.55,753882,44.55
2015-06-14,44.55,46.15,43.93,45.52,1067058,45.52
2015-06-15,45.52,46.05,44.13,44.65,1035483,44.65
2015-06-16,44.65,45.39,44.24,44.97,1492318,44.97
2015-06-17,44.97,45.28,44.43,44.73,877634,44.73
2015-06-18,44.73,45.29,43.58,44.12,1517720,44.12
2015-06-19,44.12,44.57,43.74,44.19,1172735,44.19
2015-06-20,44.19,44.63,42.92,43.35,1253650,43.35
2015-06-21,43.35,43.68,42.59,42.92,1165356,42.92
2015-06-22,42.92,44.72,42.27,44.05,1060086,44.05
2015-06-23,44.05,45.89,43.4,45.22,1390418,45.22
2015-06-24,45.22,45.87,44.1,44.74,1306250,44.74
2015-06-25,44.74,44.97,44.63,44.86,1186786,44.86
2015-06-26,44.86,45.45,44.25,44.85,990834,44.85
2015-06-27,44.85,45.16,44.7,45.01,789847,45.01
2015-06-28,45.01,45.26,44.69,44.94,626022,44.94
2015-06-29,44.94,45.46,43.88,44.4,814272,44.4
2015-06-30,44.4,45.03,44.1,44.74,728074,44.74
2015-07-01,44.74,45.17,44.54,44.97,1404145,44.97
2015-07-02,44.97,45.08,44.81,44.92,947962,44.92
2015-07-03,44.92,45.29,43.95,44.31,1187134,44.31
2015-07-04,44.31,44.9,43.49,44.08,1015605,44.08
2015-07-05,44.08,44.25,43.63,43.8,1298184,43.8
2015-07-06,43.8,44.24,43.18,43.62,777747,43.62
2015-07-07,43.62,44.15,42.67,43.19,1016116,43.19
2015-07-08,43.19,44.35,42.74,43.9,906970,43.9
2015-07-09,43.9,44.89,43.55,44.54,795045,44.54
2015-07-10,44.54,45.1,44.22,44.78,787371,44.78
2015-07-11,44.78,45.61,44.22,45.05,858463,45.05
2015-07-12,45.05,45.88,44.63,45.46,2091324,45.46
2015-07-13,45.46,46.22,45.07,45.84,916451,45.84
2015-07-14,45.84,46.31,45.21,45.68,1483340,45.68
2015-07-15,45.68,46.67,45.27,46.26,515897,46.26
2015-07-16,46.26,46.65,45.51,45.9,656996,45.9
