Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,290.0,291.31,288.69,290.0,1682299,290.0
2015-01-02,290.0,292.41,287.03,289.44,1345204,289.44
2015-01-03,289.44,294.44,287.24,292.22,1079870,292.22
2015-01-04,292.22,297.08,283.85,288.66,1109405,288.66
2015-01-05,288.66,289.63,288.07,289.04,1148970,289.04
2015-01-06,289.04,290.65,288.29,289.9,905602,289.9
2015-01-07,289.9,291.77,286.7,288.57,992244,288.57
2015-01-08,288.57,291.1,286.68,289.21,1192758,289.21
2015-01-09,289.21,289.48,289.06,289.33,1004390,289.33
2015-01-10,289.33,291.15,285.93,287.74,1169133,287.74
2015-01-11,287.74,289.95,282.47,284.65,717754,284.65
2015-01-12,284.65,290.29,282.04,287.66,1802003,287.66
2015-01-13,287.66,292.05,285.56,289.95,795665,289.95
2015-01-14,289.95,297.33,287.51,294.84,1115996,294.84
2015-01-15,294.84,295.98,294.3,295.43,720455,295.43
2015-01-16,295.43,300.44,292.75,297.74,1320913,297.74
2015-01-17,297.74,300.83,296.04,299.12,1111726,299.12
2015-01-18,299.12,303.75,295.5,300.12,1237112,300.12
2015-01-19,300.12,307.08,297.74,304.66,1269299,304.66
2015-01-20,304.66,306.08,304.07,305.48,1255065,305.48
2015-01-21,305.48,306.72,302.2,303.43,1347280,303.43
2015-01-22,303.43,311.52,300.54,308.58,812106,308.58
2015-01-23,308.58,314.97,304.37,310.73,968338,310.73
2015-01-24,310.73,311.81,308.55,309.63,724762,309.63
2015-01-25,309.63,313.24,308.25,311.85,824218,311.85
2015-01-26,311.85,315.14,305.65,308.91,1082457,308.91
2015-01-27,308.91,315.87,306.42,313.35,1318155,313.35
2015-01-28,313.35,317.49,306.7,310.81,754673,310.81
2015-01-29,310.81,316.71,308.46,314.34,1388060,314.34
2015-01-30,314.34,314.81,313.45,313.93,987013,313.93
2015-01-31,313.93,316.32,312.5,314.9,718609,314.9
2015-02-01,314.9,316.06,311.97,313.12,1106475,313.12
2015-02-02,313.12,316.66,310.65,314.18,1195640,314.18
2015-02-03,314.18,316.28,311.94,314.05,1528711,314.05
2015-02-04,314.05,317.92,312.45,316.31,1048200,316.31
2015-02-05,316.31,323.46,312.38,319.48,885504,319.48
2015-02-06,319.48,327.83,316.62,324.92,1053707,324.92
2015-02-07,324.92,327.23,323.49,325.8,861860,325.8
2015-02-08,325.8,326.72,323.07,323.99,806387,323.99
2015-02-09,323.99,326.42,316.84,319.23,800846,319.23
2015-02-10,319.23,323.29,317.63,321.67,1158792,321.67
2015-02-11,321.67,322.8,320.43,321.56,949892,321.56
2015-02-12,321.56,324.54,320.26,323.24,652099,323.24
2015-02-13,323.24,327.4,320.86,325.01,1629048,325.01
2015-02-14,325.01,325.3,324.8,325.1,1028495,325.1
2015-02-15,325.1,327.53,318.26,320.65,1382198,320.65
2015-02-16,320.65,329.53,317.31,326.13,839407,326.13
2015-02-17,326.13,327.04,324.55,325.45,883646,325.45
2015-02-18,325.45,327.17,320.95,322.65,1613746,322.65
2015-02-19,322.65,323.63,321.52,322.5,856033,322.5
2015-02-20,322.5,324.28,319.46,321.24,1122355,321.24
2015-02-21,321.24,322.11,319.95,320.82,1184949,320.82
2015-02-22,320.82,325.04,318.93,323.14,985983,323.14
2015-02-23,323.14,326.86,321.12,324.83,1250672,324.83
2015-02-24,324.83,327.06,320.84,323.06,1164391,323.06
2015-02-25,323.06,326.58,321.88,325.39,1227512,325.39
2015-02-26,325.39,326.88,324.62,326.11,765380,326.11
2015-02-27,326.11,330.56,318.25,322.66,864935,322.66
2015-02-28,322.66,323.54,322.3,323.18,938451,323.18
2015-03-01,323.18,325.05,319.91,321.78,1119214,321.78
2015-03-02,321.78,326.87,319.82,324.89,1611340,324.89
2015-03-03,324.89,327.66,323.68,326.44,1618661,326.44
2015-03-04,326.44,329.06,325.41,328.02,1131323,328.02
2015-03-05,328.02,350.88,320.09,342.6,1206157,342.6
2015-03-06,342.6,344.48,338.07,339.93,744817,339.93
2015-03-07,339.93,341.79,335.71,337.55,1707645,337.55
2015-03-08,337.55,338.42,335.24,336.1,873244,336.1
2015-03-09,336.1,340.05,327.08,330.98,750067,330.98
2015-03-10,330.98,333.18,325.3,327.48,1254021,327.48
2015-03-11,327.48,329.48,326.69,328.69,604955,328.69
2015-03-12,328.69,335.35,325.44,332.06,680914,332.06
2015-03-13,332.06,332.93,331.54,332.41,1281205,332.41
2015-03-14,332.41,336.08,327.89,331.56,1155411,331.56
2015-03-15,331.56,339.02,328.7,336.12,1589566,336.12
2015-03-16,336.12,336.73,334.47,335.08,1303351,335.08
2015-03-17,335.08,340.46,328.43,333.79,941255,333.79
2015-03-18,333.79,338.29,331.63,336.12,761639,336.12
2015-03-19,336.12,339.14,330.35,333.35,1092129,333.35
2015-03-20,333.35,338.68,330.87,336.18,1072768,336.18
2015-03-21,336.18,339.18,333.99,336.98,1031283,336.98
2015-03-22,336.98,339.42,336.17,338.6,979236,338.6
2015-03-23,338.6,343.11,329.84,334.3,1269637,334.3
2015-03-24,334.3,335.35,333.91,334.97,1536491,334.97
2015-03-25,334.97,341.66,332.62,339.29,1008968,339.29
2015-03-26,339.29,344.72,336.55,341.96,1242216,341.96
2015-03-27,341.96,342.99,339.5,340.53,1300593,340.53
2015-03-28,340.53,345.41,336.33,341.21,788611,341.21
2015-03-29,341.21,347.21,339.13,345.11,825013,345.11
2015-03-30,345.11,348.95,338.53,342.34,1631681,342.34
2015-03-31,342.34,344.01,340.15,341.82,1017669,341.82
2015-04-01,341.82,342.39,341.45,342.02,1013133,342.02
2015-04-02,342.02,343.58,340.63,342.2,1495759,342.2
2015-04-03,342.2,343.29,341.03,342.12,1030696,342.12
2015-04-04,342.12,343.01,341.35,342.24,699085,342.24
2015-04-05,342.24,343.93,338.21,339.88,1003550,339.88
2015-04-06,339.88,346.05,337.52,343.65,2156316,343.65
2015-04-07,343.65,346.21,341.68,344.24,753844,344.24
2015-04-08,344.24,345.06,342.64,343.45,1086544,343.45
2015-04-09,343.45,350.01,340.67,347.19,972480,347.19
2015-04-10,347.19,353.0,345.23,351.02,1025794,351.02
2015-04-11,351.02,352.04,348.19,349.21,978868,349.21
2015-04-12,349.21,351.01,348.14,349.94,1419393,349.94
2015-04-13,349.94,352.24,343.96,346.23,906417,346.23
2015-04-14,346.23,351.54,339.92,345.21,1258592,345.21
2015-04-15,345.21,347.51,339.08,341.36,1430134,341.36
2015-04-16,341.36,343.26,336.29,338.17,1017733,338.17
2015-04-17,338.17,342.71,335.2,339.72,908076,339.72
2015-04-18,339.72,341.09,338.81,340.18,1134250,340.18
2015-04-19,340.18,343.71,338.79,342.31,806452,342.31
2015-04-20,342.31,346.85,340.54,345.07,1569564,345.07
2015-04-21,345.07,350.35,343.28,348.55,926448,348.55
2015-04-22,348.55,351.13,347.65,350.22,869667,350.22
2015-04-23,350.22,351.63,348.67,350.07,628228,350.07
2015-04-24,350.07,351.06,349.63,350.62,880062,350.62
2015-04-25,350.62,353.26,345.69,348.32,718015,348.32
2015-04-26,348.32,353.01,346.49,351.16,1187218,351.16
2015-04-27,351.16,352.44,349.2,350.48,1327156,350.48
2015-04-28,350.48,350.84,350.21,350.57,619067,350.57
2015-04-29,350.57,351.75,349.64,350.81,1396844,350.81
2015-04-30,350.81,351.75,349.88,350.82,921628,350.82
2015-05-01,350.82,351.75,348.16,349.09,1612592,349.09
2015-05-02,349.09,350.17,346.08,347.16,1204639,347.16
2015-05-03,347.16,354.37,342.5,349.68,967718,349.68
2015-05-04,349.68,355.49,346.6,352.38,1009560,352.38
2015-05-05,352.38,354.67,351.49,353.77,535575,353.77
2015-05-06,353.77,355.75,349.62,351.59,833931,351.59
2015-05-07,351.59,357.88,348.23,354.5,866905,354.5
2015-05-08,354.5,357.17,347.03,349.66,898348,349.66
2015-05-09,349.66,351.07,347.05,348.46,1223858,348.46
2015-05-10,348.46,349.87,345.48,346.88,2300244,346.88
2015-05-11,346.88,347.83,344.78,345.73,789183,345.73
2015-05-12,345.73,347.96,339.48,341.68,813210,341.68
2015-05-13,341.68,342.27,340.45,341.04,1245200,341.04
2015-05-14,341.04,341.92,340.61,341.49,1197355,341.49
2015-05-15,341.49,344.92,331.4,334.77,1282951,334.77
2015-05-16,334.77,336.46,330.31,331.99,846741,331.99
2015-05-17,331.99,333.51,329.56,331.08,933542,331.08
2015-05-18,331.08,332.38,330.43,331.73,656595,331.73
2015-05-19,331.73,336.69,329.65,334.6,1077265,334.6
2015-05-20,334.6,335.34,333.01,333.74,743156,333.74
2015-05-21,333.74,336.56,330.83,333.64,855350,333.64
2015-05-22,333.64,339.1,331.07,336.51,846661,336.51
2015-05-23,336.51,341.87,334.3,339.64,1216392,339.64
2015-05-24,339.64,341.73,335.42,337.5,1433728,337.5
2015-05-25,337.5,339.35,332.07,333.91,2023689,333.91
2015-05-26,333.91,338.18,331.37,335.63,1304864,335.63
2015-05-27,335.63,336.74,332.81,333.91,1721991,333.91
2015-05-28,333.91,334.64,333.26,333.99,1579188,333.99
2015-05-29,333.99,347.3,326.47,339.65,883300,339.65
2015-05-30,339.65,346.91,336.85,344.07,1096893,344.07
2015-05-31,344.07,346.31,338.57,340.78,1243760,340.78
2015-06-01,340.78,342.14,340.28,341.63,1461764,341.63
2015-06-02,341.63,343.97,340.52,342.85,863123,342.85
2015-06-03,342.85,344.06,342.29,343.5,1037498,343.5
2015-06-04,343.5,344.69,340.45,341.63,1185318,341.63
2015-06-05,341.63,344.48,339.79,342.64,895757,342.64
2015-06-06,342.64,347.57,340.51,345.42,760669,345.42
2015-06-07,345.42,348.42,338.53,341.49,976522,341.49
2015-06-08,341.49,344.66,340.32,343.49,1298133,343.49
2015-06-09,343.49,347.95,341.46,345.91,674493,345.91
2015-06-10,345.91,348.44,345.03,347.55,1083314,347.55
2015-06-11,347.55,349.31,343.23,344.98,902068,344.98
2015-06-12,344.98,345.91,343.4,344.33,1360576,344.33
2015-06-13,344.33,347.37,342.01,345.05,986989,345.05
2015-06-14,345.05,359.0,339.64,353.47,1299744,353.47
2015-06-15,353.47,357.7,352.04,356.25,1649279,356.25
2015-06-16,356.25,357.11,354.38,355.24,1586311,355.24
2015-06-17,355.24,356.6,354.08,355.44,928027,355.44
2015-06-18,355.44,358.7,353.51,356.76,832451,356.76
2015-06-19,356.76,358.18,354.69,356.11,994483,356.11
2015-06-20,356.11,357.85,350.96,352.69,1194160,352.69
2015-06-21,352.69,353.88,352.2,353.39,1359306,353.39
2015-06-22,353.39,362.43,350.29,359.27,1164904,359.27
2015-06-23,359.27,366.37,356.06,363.12,2481786,363.12
2015-06-24,363.12,367.71,354.05,358.59,1020170,358.59
2015-06-25,358.59,360.57,354.56,356.54,897249,356.54
2015-06-26,356.54,359.19,355.44,358.09,1472035,358.09
