Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,52.0,52.11,51.89,52.0,880954,52.0
2015-01-02,52.0,53.59,51.39,52.97,1249584,52.97
2015-01-03,52.97,53.32,52.48,52.83,1082555,52.83
2015-01-04,52.83,53.4,51.28,51.84,2210865,51.84
2015-01-05,51.84,53.16,50.93,52.24,676717,52.24
2015-01-06,52.24,53.31,51.88,52.94,1016751,52.94
2015-01-07,52.94,53.03,52.72,52.81,1358987,52.81
2015-01-08,52.81,53.2,51.73,52.11,946771,52.11
2015-01-09,52.11,52.51,51.08,51.47,1861929,51.47
2015-01-10,51.47,52.24,49.62,50.37,1585930,50.37
2015-01-11,50.37,50.76,49.41,49.79,938239,49.79
2015-01-12,49.79,50.31,48.82,49.34,1496280,49.34
2015-01-13,49.34,50.88,48.56,50.08,1187471,50.08
2015-01-14,50.08,51.77,49.48,51.15,1695770,51.15
2015-01-15,51.15,51.48,50.3,50.64,1369823,50.64
2015-01-16,50.64,52.74,49.82,51.9,988202,51.9
2015-01-17,51.9,52.3,50.79,51.18,1265777,51.18
2015-01-18,51.18,51.8,50.94,51.55,1121688,51.55
2015-01-19,51.55,53.42,50.81,52.66,809393,52.66
2015-01-20,52.66,53.02,52.42,52.78,839331,52.78
2015-01-21,52.78,53.54,51.79,52.54,1304169,52.54
2015-01-22,52.54,54.65,51.66,53.74,946571,53.74
2015-01-23,53.74,54.36,53.5,54.12,1142674,54.12
2015-01-24,54.12,54.73,52.56,53.15,1714401,53.15
2015-01-25,53.15,53.37,52.68,52.89,1232479,52.89
2015-01-26,52.89,55.56,45.79,48.22,828632,48.22
2015-01-27,48.22,50.15,47.52,49.44,783467,49.44
2015-01-28,49.44,49.88,49.22,49.66,1467459,49.66
2015-01-29,49.66,53.27,48.07,51.61,860919,51.61
2015-01-30,51.61,52.01,50.7,51.09,978243,51.09
2015-01-31,51.09,51.68,50.76,51.35,1773706,51.35
2015-02-01,51.35,51.48,50.99,51.12,1559939,51.12
2015-02-02,51.12,52.13,50.79,51.79,1035111,51.79
2015-02-03,51.79,52.35,51.32,51.88,565108,51.88
2015-02-04,51.88,52.69,51.01,51.82,817686,51.82
2015-02-05,51.82,52.93,51.44,52.55,1247871,52.55
2015-02-06,52.55,54.27,51.97,53.69,1151535,53.69
2015-02-07,53.69,54.32,53.42,54.05,1155956,54.05
2015-02-08,54.05,54.55,52.8,53.29,1320817,53.29
2015-02-09,53.29,53.7,52.2,52.6,896160,52.6
2015-02-10,52.6,52.94,52.42,52.76,1163277,52.76
2015-02-11,52.76,53.79,51.96,52.99,824690,52.99
2015-02-12,52.99,53.71,52.17,52.89,1134602,52.89
2015-02-13,52.89,53.62,52.43,53.16,794410,53.16
2015-02-14,53.16,53.32,52.86,53.03,1244261,53.03
2015-02-15,53.03,53.73,51.19,51.88,3088458,51.88
2015-02-16,51.88,53.53,51.31,52.95,1203991,52.95
2015-02-17,52.95,53.34,52.75,53.13,863017,53.13
2015-02-18,53.13,54.05,51.57,52.47,1465881,52.47
2015-02-19,52.47,52.63,52.13,52.29,718115,52.29
2015-02-20,52.29,52.48,51.93,52.12,896654,52.12
2015-02-21,52.12,52.87,50.64,51.38,767586,51.38
2015-02-22,51.38,51.5,51.04,51.16,1228521,51.16
2015-02-23,51.16,51.93,50.85,51.62,1065849,51.62
2015-02-24,51.62,51.98,51.45,51.81,792765,51.81
2015-02-25,51.81,53.65,50.92,52.74,1057648,52.74
2015-02-26,52.74,53.94,52.23,53.42,685748,53.42
2015-02-27,53.42,53.96,52.64,53.18,1112794,53.18
2015-02-28,53.18,53.54,52.34,52.7,773066,52.7
2015-03-01,52.7,53.55,50.97,51.8,1887849,51.8
2015-03-02,51.8,52.02,51.34,51.56,1122991,51.56
2015-03-03,51.56,53.29,50.64,52.35,973275,52.35
2015-03-04,52.35,52.75,52.09,52.48,667802,52.48
2015-03-05,52.48,53.31,50.37,51.19,1743018,51.19
2015-03-06,51.19,51.41,51.08,51.3,1334928,51.3
2015-03-07,51.3,51.72,50.14,50.56,1160747,50.56
2015-03-08,50.56,52.11,48.58,50.13,831359,50.13
2015-03-09,50.13,50.42,49.34,49.64,930000,49.64
2015-03-10,49.64,50.52,49.05,49.93,1170266,49.93
2015-03-11,49.93,50.58,49.15,49.8,1054277,49.8
2015-03-12,49.8,50.82,49.3,50.31,1337075,50.31
2015-03-13,50.31,63.27,46.33,58.63,4450222,58.63
2015-03-14,58.63,59.67,56.49,57.5,1277379,57.5
2015-03-15,57.5,58.31,56.62,57.43,1421801,57.43
2015-03-16,57.43,57.76,57.17,57.51,2039876,57.51
2015-03-17,57.51,58.1,57.31,57.89,1683029,57.89
2015-03-18,57.89,58.81,57.59,58.5,1986848,58.5
2015-03-19,58.5,59.19,56.58,57.25,1155786,57.25
2015-03-20,57.25,57.91,56.84,57.5,747848,57.5
2015-03-21,57.5,57.82,57.3,57.62,1082565,57.62
2015-03-22,57.62,58.68,57.23,58.28,1349129,58.28
2015-03-23,58.28,58.99,56.77,57.47,1090610,57.47
2015-03-24,57.47,57.96,57.27,57.77,883493,57.77
2015-03-25,57.77,58.42,57.52,58.17,845882,58.17
2015-03-26,58.17,60.65,57.26,59.72,1604056,59.72
2015-03-27,59.72,60.48,58.44,59.19,886433,59.19
2015-03-28,59.19,59.56,58.16,58.53,857796,58.53
2015-03-29,58.53,59.93,57.98,59.38,1187180,59.38
2015-03-30,59.38,59.73,59.14,59.49,929568,59.49
2015-03-31,59.49,59.91,58.48,58.9,1017503,58.9
2015-04-01,58.9,59.4,58.16,58.66,546885,58.66
2015-04-02,58.66,58.88,58.53,58.75,908766,58.75
2015-04-03,58.75,59.43,57.57,58.24,917155,58.24
2015-04-04,58.24,60.55,57.03,59.32,1057972,59.32
2015-04-05,59.32,59.98,58.99,59.65,1077089,59.65
2015-04-06,59.65,60.84,59.17,60.35,902051,60.35
2015-04-07,60.35,61.68,59.58,60.89,1417563,60.89
2015-04-08,60.89,61.07,60.82,60.99,881891,60.99
2015-04-09,60.99,61.85,60.7,61.55,1275885,61.55
2015-04-10,61.55,63.59,60.86,62.88,724768,62.88
2015-04-11,62.88,63.02,62.74,62.87,1534495,62.87
2015-04-12,62.87,63.55,62.36,63.04,921505,63.04
2015-04-13,63.04,63.28,62.82,63.06,791349,63.06
2015-04-14,63.06,63.87,61.87,62.68,775584,62.68
2015-04-15,62.68,63.51,61.15,61.98,1944191,61.98
2015-04-16,61.98,62.15,61.83,62.01,1059206,62.01
2015-04-17,62.01,62.48,61.68,62.15,756446,62.15
2015-04-18,62.15,63.15,61.64,62.64,774437,62.64
2015-04-19,62.64,62.86,62.48,62.7,1524667,62.7
2015-04-20,62.7,65.63,61.35,64.25,860706,64.25
2015-04-21,64.25,65.33,63.63,64.71,947522,64.71
2015-04-22,64.71,65.49,64.44,65.21,2281295,65.21
2015-04-23,65.21,65.82,64.8,65.4,1445100,65.4
2015-04-24,65.4,66.63,64.97,66.19,938814,66.19
2015-04-25,66.19,66.56,65.09,65.46,1175149,65.46
2015-04-26,65.46,66.06,64.72,65.33,1161203,65.33
2015-04-27,65.33,65.69,64.8,65.16,1342843,65.16
2015-04-28,65.16,65.42,65.01,65.26,678233,65.26
2015-04-29,65.26,66.69,64.63,66.05,922048,66.05
2015-04-30,66.05,66.41,65.17,65.53,1231852,65.53
2015-05-01,65.53,66.53,63.63,64.62,758063,64.62
2015-05-02,64.62,65.02,63.97,64.37,668776,64.37
2015-05-03,64.37,66.44,63.12,65.18,1074070,65.18
2015-05-04,65.18,66.33,64.13,65.28,1628525,65.28
2015-05-05,65.28,65.87,64.05,64.64,1348676,64.64
2015-05-06,64.64,64.86,64.35,64.58,887080,64.58
2015-05-07,64.58,66.44,63.92,65.77,678145,65.77
2015-05-08,65.77,66.4,64.49,65.12,1566688,65.12
2015-05-09,65.12,65.88,63.25,64.0,810861,64.0
2015-05-10,64.0,64.61,62.66,63.27,903605,63.27
2015-05-11,63.27,64.35,61.56,62.63,914933,62.63
2015-05-12,62.63,64.21,58.68,60.2,2285343,60.2
2015-05-13,60.2,60.88,59.71,60.39,1248124,60.39
2015-05-14,60.39,60.89,59.01,59.5,1323230,59.5
