Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,210.0,210.86,209.14,210.0,758662,210.0
2015-01-02,210.0,213.16,208.31,211.46,946812,211.46
2015-01-03,211.46,218.75,207.82,215.05,1163735,215.05
2015-01-04,215.05,215.82,214.76,215.53,1491838,215.53
2015-01-05,215.53,216.77,214.96,216.2,773614,216.2
2015-01-06,216.2,218.4,212.5,214.69,812302,214.69
2015-01-07,214.69,218.0,210.52,213.81,1302706,213.81
2015-01-08,213.81,214.84,212.1,213.12,992860,213.12
2015-01-09,213.12,213.24,212.99,213.1,1372703,213.1
2015-01-10,213.1,217.33,206.92,211.1,1101549,211.1
2015-01-11,211.1,213.5,206.36,208.73,1229260,208.73
2015-01-12,208.73,210.15,204.97,206.37,808381,206.37
2015-01-13,206.37,207.27,204.65,205.54,1338414,205.54
2015-01-14,205.54,211.48,203.42,209.32,1538280,209.32
2015-01-15,209.32,218.43,205.73,214.74,820348,214.74
2015-01-16,214.74,218.21,212.62,216.08,1032435,216.08
2015-01-17,216.08,216.16,216.01,216.09,719903,216.09
2015-01-18,216.09,219.02,213.97,216.9,952180,216.9
2015-01-19,216.9,218.09,215.44,216.63,937198,216.63
2015-01-20,216.63,220.61,214.12,218.08,660516,218.08
2015-01-21,218.08,220.51,217.07,219.49,964387,219.49
2015-01-22,219.49,224.81,217.68,222.96,860884,222.96
2015-01-23,222.96,225.39,222.0,224.42,1385088,224.42
2015-01-24,224.42,226.04,222.18,223.8,569085,223.8
2015-01-25,223.8,227.17,222.26,225.62,1784666,225.62
2015-01-26,225.62,228.84,220.79,223.99,1104255,223.99
2015-01-27,223.99,226.0,223.31,225.32,724198,225.32
2015-01-28,225.32,227.03,223.01,224.72,1630920,224.72
2015-01-29,224.72,225.29,224.4,224.97,1471549,224.97
2015-01-30,224.97,225.88,223.46,224.37,626779,224.37
2015-01-31,224.37,227.19,218.81,221.59,1468624,221.59
2015-02-01,221.59,224.06,217.1,219.54,1062997,219.54
2015-02-02,219.54,237.3,213.73,231.19,1331027,231.19
2015-02-03,231.19,232.68,228.46,229.95,1711568,229.95
2015-02-04,229.95,232.85,228.26,231.15,1316904,231.15
2015-02-05,231.15,238.99,227.58,235.36,1026102,235.36
2015-02-06,235.36,239.29,232.23,236.15,1255960,236.15
2015-02-07,236.15,237.49,235.59,236.93,1487046,236.93
2015-02-08,236.93,238.99,234.59,236.65,693767,236.65
2015-02-09,236.65,243.27,233.79,240.37,1109513,240.37
2015-02-10,240.37,243.41,232.71,235.7,1133078,235.7
2015-02-11,235.7,237.61,233.52,235.43,1450850,235.43
2015-02-12,235.43,236.65,232.17,233.39,925562,233.39
2015-02-13,233.39,239.46,231.1,237.14,980697,237.14
2015-02-14,237.14,242.26,234.5,239.6,897969,239.6
2015-02-15,239.6,241.4,234.39,236.17,784312,236.17
2015-02-16,236.17,245.85,231.85,241.44,1571585,241.44
2015-02-17,241.44,245.11,234.4,238.01,1339630,238.01
2015-02-18,238.01,238.57,236.78,237.34,693338,237.34
2015-02-19,237.34,237.85,236.87,237.39,1137623,237.39
2015-02-20,237.39,239.16,233.34,235.09,1282709,235.09
2015-02-21,235.09,237.22,231.57,233.69,1396615,233.69
2015-02-22,233.69,235.0,232.84,234.15,783581,234.15
2015-02-23,234.15,241.6,231.22,238.62,1950096,238.62
2015-02-24,238.62,241.61,232.62,235.57,1114518,235.57
2015-02-25,235.57,236.62,233.44,234.49,934118,234.49
2015-02-26,234.49,236.94,229.37,231.79,948704,231.79
2015-02-27,231.79,233.91,225.85,227.94,1149303,227.94
2015-02-28,227.94,229.15,227.32,228.53,1710163,228.53
2015-03-01,228.53,231.47,227.27,230.2,1587369,230.2
2015-03-02,230.2,233.55,225.26,228.59,1146581,228.59
2015-03-03,228.59,234.51,226.58,232.47,2356517,232.47
2015-03-04,232.47,233.46,231.38,232.38,1136817,232.38
2015-03-05,232.38,233.84,228.68,230.12,1382014,230.12
2015-03-06,230.12,231.78,227.22,228.87,619082,228.87
2015-03-07,228.87,230.05,226.31,227.47,735999,227.47
2015-03-08,227.47,228.76,224.53,225.81,780503,225.81
2015-03-09,225.81,229.78,218.06,221.97,1366989,221.97
