Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,220.0,220.82,219.18,220.0,1250535,220.0
2015-01-02,220.0,226.41,217.8,224.17,963322,224.17
2015-01-03,224.17,226.57,220.29,222.68,751051,222.68
2015-01-04,222.68,225.5,215.62,218.38,1431965,218.38
2015-01-05,218.38,225.6,215.47,222.63,1143416,222.63
2015-01-06,222.63,225.42,216.6,219.35,724744,219.35
2015-01-07,219.35,223.75,217.45,221.83,857130,221.83
2015-01-08,221.83,222.53,220.48,221.17,1100599,221.17
2015-01-09,221.17,225.07,215.0,218.86,498152,218.86
2015-01-10,218.86,221.68,214.16,216.95,1363508,216.95
2015-01-11,216.95,220.15,214.01,217.2,1033368,217.2
2015-01-12,217.2,225.81,213.27,221.78,1421348,221.78
2015-01-13,221.78,227.42,218.48,224.07,1599957,224.07
2015-01-14,224.07,227.55,222.54,226.0,928904,226.0
2015-01-15,226.0,227.19,224.21,225.4,852915,225.4
2015-01-16,225.4,233.12,221.07,228.73,1028788,228.73
2015-01-17,228.73,234.68,225.63,231.55,1465903,231.55
2015-01-18,231.55,236.67,229.59,234.7,1136051,234.7
2015-01-19,234.7,236.88,233.75,235.93,782510,235.93
2015-01-20,235.93,238.6,229.78,232.41,1523617,232.41
2015-01-21,232.41,235.57,227.61,230.75,1014877,230.75
2015-01-22,230.75,232.54,225.69,227.46,1363503,227.46
2015-01-23,227.46,230.33,225.76,228.63,778965,228.63
2015-01-24,228.63,229.77,226.28,227.42,1079244,227.42
2015-01-25,227.42,229.66,225.68,227.91,1359560,227.91
2015-01-26,227.91,232.05,216.23,220.22,1865294,220.22
2015-01-27,220.22,223.75,213.61,217.08,1272173,217.08
2015-01-28,217.08,219.22,215.93,218.07,1141890,218.07
2015-01-29,218.07,218.18,218.02,218.13,783328,218.13
2015-01-30,218.13,219.18,215.7,216.74,825230,216.74
2015-01-31,216.74,218.9,210.9,213.03,1453258,213.03
2015-02-01,213.03,214.17,211.68,212.83,1468969,212.83
2015-02-02,212.83,213.2,212.21,212.58,1760332,212.58
2015-02-03,212.58,214.73,211.44,213.58,1069089,213.58
2015-02-04,213.58,216.09,210.4,212.9,845413,212.9
2015-02-05,212.9,218.14,210.05,215.26,721588,215.26
2015-02-06,215.26,217.73,211.79,214.25,951373,214.25
2015-02-07,214.25,216.25,208.71,210.67,1607718,210.67
2015-02-08,210.67,211.47,209.2,210.0,882421,210.0
2015-02-09,210.0,211.19,206.56,207.74,1000558,207.74
2015-02-10,207.74,211.72,206.38,210.34,1357867,210.34
2015-02-11,210.34,214.12,209.06,212.82,1729766,212.82
2015-02-12,212.82,215.25,211.37,213.79,1138549,213.79
2015-02-13,213.79,219.18,211.87,217.23,881650,217.23
2015-02-14,217.23,218.89,212.46,214.1,1230101,214.1
2015-02-15,214.1,215.19,211.89,212.97,1763961,212.97
2015-02-16,212.97,219.34,210.62,216.94,746958,216.94
2015-02-17,216.94,218.11,214.89,216.05,1521263,216.05
2015-02-18,216.05,217.3,215.5,216.74,1011990,216.74
2015-02-19,216.74,220.56,214.05,217.86,865103,217.86
2015-02-20,217.86,219.78,214.87,216.79,1067421,216.79
2015-02-21,216.79,219.07,210.71,212.95,756283,212.95
2015-02-22,212.95,219.27,210.73,217.01,1860564,217.01
2015-02-23,217.01,244.1,207.91,234.28,2479448,234.28
2015-02-24,234.28,234.78,233.99,234.5,1926856,234.5
2015-02-25,234.5,238.81,232.66,236.95,2080866,236.95
2015-02-26,236.95,243.43,229.98,236.45,1057204,236.45
2015-02-27,236.45,238.27,232.13,233.93,1152819,233.93
2015-02-28,233.93,237.94,224.44,228.36,1338434,228.36
2015-03-01,228.36,229.7,225.37,226.7,1236485,226.7
2015-03-02,226.7,229.03,221.21,223.5,1188626,223.5
2015-03-03,223.5,229.28,221.52,227.27,1134026,227.27
2015-03-04,227.27,230.54,225.52,228.78,794765,228.78
2015-03-05,228.78,231.18,222.17,224.53,1300542,224.53
2015-03-06,224.53,225.27,222.75,223.49,1215469,223.49
2015-03-07,223.49,224.87,222.4,223.79,1367434,223.79
2015-03-08,223.79,228.61,218.89,223.71,1079214,223.71
2015-03-09,223.71,226.46,216.81,219.51,1231544,219.51
2015-03-10,219.51,223.58,217.0,221.06,798685,221.06
2015-03-11,221.06,247.62,211.43,237.28,1273747,237.28
2015-03-12,237.28,243.91,233.59,240.18,838475,240.18
2015-03-13,240.18,245.72,238.05,243.56,1040331,243.56
2015-03-14,243.56,244.9,240.02,241.35,708172,241.35
2015-03-15,241.35,244.17,235.85,238.64,1382235,238.64
2015-03-16,238.64,239.77,235.35,236.47,842299,236.47
2015-03-17,236.47,271.58,224.34,258.33,1818360,258.33
2015-03-18,258.33,268.46,254.64,264.68,1487172,264.68
2015-03-19,264.68,268.58,258.03,261.89,1472804,261.89
2015-03-20,261.89,267.38,257.88,263.36,837538,263.36
2015-03-21,263.36,274.28,258.5,269.31,1373391,269.31
2015-03-22,269.31,278.42,264.77,273.81,1068735,273.81
2015-03-23,273.81,282.91,259.57,268.5,1547842,268.5
2015-03-24,268.5,277.95,264.58,273.95,1525921,273.95
2015-03-25,273.95,286.75,269.12,281.78,1611762,281.78
2015-03-26,281.78,292.34,277.21,287.67,1578062,287.67
2015-03-27,287.67,288.89,285.69,286.91,1284630,286.91
2015-03-28,286.91,292.19,277.77,282.98,1420460,282.98
2015-03-29,282.98,293.72,279.02,289.66,1164473,289.66
2015-03-30,289.66,294.69,287.49,292.49,1332840,292.49
2015-03-31,292.49,295.77,285.68,288.92,1293702,288.92
2015-04-01,288.92,297.58,285.3,293.9,793236,293.9
2015-04-02,293.9,300.62,290.82,297.5,610722,297.5
2015-04-03,297.5,299.04,293.83,295.36,673744,295.36
2015-04-04,295.36,303.29,292.5,300.38,1104368,300.38
2015-04-05,300.38,301.82,297.24,298.67,1103536,298.67
2015-04-06,298.67,308.23,295.31,304.8,1322158,304.8
2015-04-07,304.8,307.94,296.47,299.55,1361204,299.55
2015-04-08,299.55,308.53,294.47,303.38,1262647,303.38
2015-04-09,303.38,305.98,302.28,304.88,1981507,304.88
2015-04-10,304.88,321.64,296.63,313.16,1189572,313.16
2015-04-11,313.16,315.59,308.51,310.91,994290,310.91
2015-04-12,310.91,313.33,307.58,309.98,1195978,309.98
