Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,155.0,155.57,154.43,155.0,849925,155.0
2015-01-02,155.0,159.83,152.56,157.36,1311285,157.36
2015-01-03,157.36,157.51,157.13,157.28,936421,157.28
2015-01-04,157.28,159.15,153.98,155.83,1433766,155.83
2015-01-05,155.83,161.89,153.74,159.75,1246552,159.75
2015-01-06,159.75,162.3,158.77,161.3,853391,161.3
2015-01-07,161.3,165.29,153.54,157.43,1404998,157.43
2015-01-08,157.43,157.89,156.05,156.51,1256970,156.51
2015-01-09,156.51,157.61,156.14,157.23,825537,157.23
2015-01-10,157.23,158.63,155.33,156.72,740318,156.72
2015-01-11,156.72,159.71,155.52,158.49,1489509,158.49
2015-01-12,158.49,160.78,157.22,159.51,939490,159.51
2015-01-13,159.51,161.58,158.32,160.39,1175663,160.39
2015-01-14,160.39,164.83,158.92,163.33,1239258,163.33
2015-01-15,163.33,163.62,162.56,162.85,1739268,162.85
2015-01-16,162.85,165.45,160.64,163.24,657942,163.24
2015-01-17,163.24,163.45,162.91,163.12,1779786,163.12
2015-01-18,163.12,165.63,162.24,164.74,1247913,164.74
2015-01-19,164.74,169.48,162.44,167.14,1251952,167.14
2015-01-20,167.14,169.82,166.06,168.72,1751425,168.72
2015-01-21,168.72,169.09,168.42,168.79,1027718,168.79
2015-01-22,168.79,168.91,168.6,168.72,1108627,168.72
2015-01-23,168.72,169.18,167.44,167.89,1075096,167.89
2015-01-24,167.89,168.89,165.03,166.02,1039742,166.02
2015-01-25,166.02,167.01,163.19,164.17,797178,164.17
2015-01-26,164.17,166.53,158.85,161.17,844418,161.17
2015-01-27,161.17,166.72,159.16,164.67,1716052,164.67
2015-01-28,164.67,167.58,163.2,166.1,755553,166.1
2015-01-29,166.1,167.34,165.14,166.37,988669,166.37
2015-01-30,166.37,166.85,166.04,166.51,801891,166.51
2015-01-31,166.51,170.95,164.84,169.24,1033367,169.24
2015-02-01,169.24,170.23,167.88,168.86,663619,168.86
2015-02-02,168.86,171.61,162.47,165.16,1051352,165.16
2015-02-03,165.16,165.41,164.53,164.79,712659,164.79
2015-02-04,164.79,169.65,162.95,167.78,2249323,167.78
2015-02-05,167.78,170.18,166.24,168.63,866845,168.63
2015-02-06,168.63,169.82,166.68,167.86,994598,167.86
2015-02-07,167.86,168.04,167.38,167.56,1831923,167.56
2015-02-08,167.56,171.37,166.06,169.84,1510941,169.84
2015-02-09,169.84,172.23,163.98,166.31,1007794,166.31
2015-02-10,166.31,169.38,165.23,168.28,1161425,168.28
2015-02-11,168.28,169.39,167.75,168.86,1397807,168.86
2015-02-12,168.86,173.15,167.36,171.63,705009,171.63
2015-02-13,171.63,184.04,140.59,151.55,2245782,151.55
2015-02-14,151.55,152.45,148.93,149.81,820138,149.81
2015-02-15,149.81,150.45,148.1,148.73,958376,148.73
2015-02-16,148.73,150.47,148.08,149.82,1248886,149.82
