Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,95.0,95.47,94.53,95.0,1008616,95.0
2015-01-02,95.0,97.88,93.82,96.67,1170142,96.67
2015-01-03,96.67,99.11,95.86,98.28,769093,98.28
2015-01-04,98.28,99.37,96.96,98.05,1242236,98.05
2015-01-05,98.05,100.03,96.88,98.85,1055699,98.85
2015-01-06,98.85,99.88,96.5,97.52,568257,97.52
2015-01-07,97.52,100.01,96.35,98.82,1183736,98.82
2015-01-08,98.82,99.7,96.22,97.08,873006,97.08
2015-01-09,97.08,97.35,96.46,96.73,1005699,96.73
2015-01-10,96.73,97.61,94.27,95.14,716178,95.14
2015-01-11,95.14,97.61,94.02,96.47,1184820,96.47
2015-01-12,96.47,97.11,96.08,96.72,816103,96.72
2015-01-13,96.72,97.19,95.66,96.12,1188918,96.12
2015-01-14,96.12,97.77,95.12,96.76,1767667,96.76
2015-01-15,96.76,100.47,95.19,98.86,2056638,98.86
2015-01-16,98.86,99.67,97.46,98.26,1340343,98.26
2015-01-17,98.26,100.1,97.24,99.07,997674,99.07
2015-01-18,99.07,99.54,98.87,99.34,1096305,99.34
2015-01-19,99.34,99.89,98.09,98.63,1087354,98.63
2015-01-20,98.63,98.99,98.51,98.87,930599,98.87
2015-01-21,98.87,100.1,98.14,99.37,902499,99.37
2015-01-22,99.37,100.03,97.64,98.29,885070,98.29
2015-01-23,98.29,100.8,97.17,99.66,705447,99.66
2015-01-24,99.66,100.07,99.01,99.41,1220671,99.41
2015-01-25,99.41,99.48,99.23,99.3,499016,99.3
2015-01-26,99.3,100.77,96.04,97.48,1260977,97.48
2015-01-27,97.48,101.34,96.19,100.01,1220651,100.01
2015-01-28,100.01,100.72,99.47,100.18,707745,100.18
2015-01-29,100.18,102.23,98.97,101.01,1326928,101.01
2015-01-30,101.01,102.28,98.54,99.79,1691575,99.79
2015-01-31,99.79,100.9,98.34,99.45,1067630,99.45
2015-02-01,99.45,100.39,97.18,98.11,1383689,98.11
2015-02-02,98.11,98.5,97.07,97.46,1087277,97.46
2015-02-03,97.46,99.17,94.36,96.04,1217016,96.04
2015-02-04,96.04,98.75,94.58,97.27,943268,97.27
2015-02-05,97.27,98.37,94.84,95.92,1447014,95.92
2015-02-06,95.92,97.06,95.05,96.19,846283,96.19
2015-02-07,96.19,98.61,93.29,95.69,1402147,95.69
2015-02-08,95.69,97.35,94.78,96.43,1038595,96.43
2015-02-09,96.43,97.68,95.78,97.04,607664,97.04
2015-02-10,97.04,99.12,91.9,93.91,1930027,93.91
2015-02-11,93.91,94.64,93.56,94.28,1009759,94.28
2015-02-12,94.28,96.96,92.88,95.55,2415103,95.55
2015-02-13,95.55,98.66,93.07,96.17,1566623,96.17
2015-02-14,96.17,97.96,95.26,97.04,1172233,97.04
2015-02-15,97.04,97.92,94.59,95.46,748729,95.46
2015-02-16,95.46,97.24,94.77,96.54,1228634,96.54
2015-02-17,96.54,97.36,94.99,95.8,1044541,95.8
2015-02-18,95.8,96.16,94.82,95.18,959647,95.18
2015-02-19,95.18,96.0,94.69,95.51,846488,95.51
2015-02-20,95.51,106.25,92.03,102.51,1882659,102.51
2015-02-21,102.51,103.99,101.94,103.41,1239884,103.41
2015-02-22,103.41,104.76,101.47,102.82,1633617,102.82
2015-02-23,102.82,106.58,100.59,104.32,1161860,104.32
2015-02-24,104.32,105.74,100.2,101.59,1280323,101.59
2015-02-25,101.59,103.61,100.47,102.48,680175,102.48
2015-02-26,102.48,103.25,101.04,101.82,1051340,101.82
2015-02-27,101.82,102.52,100.33,101.03,1042686,101.03
2015-02-28,101.03,101.81,99.31,100.09,1338481,100.09
2015-03-01,100.09,102.54,99.2,101.64,890669,101.64
2015-03-02,101.64,102.65,101.11,102.12,750203,102.12
2015-03-03,102.12,106.72,99.39,103.94,1395121,103.94
2015-03-04,103.94,105.91,103.13,105.09,870390,105.09
2015-03-05,105.09,106.04,102.91,103.84,960336,103.84
2015-03-06,103.84,105.89,101.05,103.08,1285652,103.08
2015-03-07,103.08,104.68,99.54,101.11,1463109,101.11
2015-03-08,101.11,101.76,99.9,100.54,748188,100.54
2015-03-09,100.54,100.68,100.22,100.36,1278905,100.36
2015-03-10,100.36,103.48,99.19,102.28,560721,102.28
2015-03-11,102.28,107.22,99.29,104.18,909794,104.18
2015-03-12,104.18,105.95,103.52,105.29,1370540,105.29
2015-03-13,105.29,105.37,105.1,105.19,736001,105.19
2015-03-14,105.19,109.96,92.71,97.11,2046609,97.11
2015-03-15,97.11,97.69,95.59,96.16,1340812,96.16
2015-03-16,96.16,96.64,95.04,95.51,1721118,95.51
2015-03-17,95.51,96.53,93.6,94.61,1045401,94.61
2015-03-18,94.61,95.58,93.9,94.87,1486734,94.87
2015-03-19,94.87,95.19,94.1,94.43,1667830,94.43
2015-03-20,94.43,95.03,92.84,93.44,1160946,93.44
2015-03-21,93.44,97.46,91.84,95.83,705011,95.83
2015-03-22,95.83,97.09,95.19,96.45,1618453,96.45
2015-03-23,96.45,98.08,91.82,93.39,1244645,93.39
2015-03-24,93.39,98.22,91.07,95.84,1290593,95.84
2015-03-25,95.84,97.8,94.96,96.92,1612365,96.92
2015-03-26,96.92,98.09,96.31,97.48,1127573,97.48
2015-03-27,97.48,99.1,94.88,96.47,1207195,96.47
2015-03-28,96.47,97.45,96.04,97.02,1115448,97.02
2015-03-29,97.02,98.75,95.65,97.38,1281946,97.38
2015-03-30,97.38,101.71,95.56,99.84,599287,99.84
2015-03-31,99.84,102.3,98.95,101.39,1982441,101.39
2015-04-01,101.39,101.94,99.75,100.3,1392342,100.3
2015-04-02,100.3,103.6,99.04,102.32,1848916,102.32
2015-04-03,102.32,102.74,101.37,101.79,781935,101.79
2015-04-04,101.79,102.52,101.3,102.04,1389583,102.04
2015-04-05,102.04,103.1,99.7,100.75,1084687,100.75
2015-04-06,100.75,104.74,98.96,102.92,1073549,102.92
2015-04-07,102.92,103.33,101.71,102.12,1005175,102.12
2015-04-08,102.12,102.31,101.73,101.93,790739,101.93
2015-04-09,101.93,103.73,101.19,102.98,1658356,102.98
2015-04-10,102.98,105.29,96.37,98.58,1991815,98.58
2015-04-11,98.58,99.63,96.9,97.94,889359,97.94
2015-04-12,97.94,99.75,97.15,98.95,959433,98.95
2015-04-13,98.95,99.88,98.24,99.17,1171430,99.17
2015-04-14,99.17,102.25,97.95,101.0,2002299,101.0
2015-04-15,101.0,102.28,99.04,100.32,1271861,100.32
2015-04-16,100.32,101.0,98.51,99.18,1342717,99.18
2015-04-17,99.18,99.77,98.84,99.43,928578,99.43
2015-04-18,99.43,102.67,97.96,101.18,1506366,101.18
2015-04-19,101.18,101.51,100.96,101.3,763455,101.3
2015-04-20,101.3,102.37,100.38,101.46,858272,101.46
2015-04-21,101.46,106.04,99.58,104.11,1648173,104.11
2015-04-22,104.11,104.23,104.0,104.12,1184532,104.12
2015-04-23,104.12,105.06,103.3,104.24,856445,104.24
2015-04-24,104.24,105.14,102.08,102.97,2041802,102.97
2015-04-25,102.97,104.27,102.33,103.62,1484850,103.62
2015-04-26,103.62,105.71,100.38,102.45,1388310,102.45
2015-04-27,102.45,102.84,102.03,102.42,983432,102.42
2015-04-28,102.42,106.01,100.93,104.49,980701,104.49
2015-04-29,104.49,105.53,101.62,102.64,1942837,102.64
2015-04-30,102.64,104.56,101.73,103.64,799912,103.64
2015-05-01,103.64,104.27,102.95,103.58,708133,103.58
2015-05-02,103.58,104.73,102.71,103.86,1676406,103.86
2015-05-03,103.86,104.26,102.92,103.32,595665,103.32
2015-05-04,103.32,105.93,101.96,104.56,982501,104.56
2015-05-05,104.56,105.17,104.28,104.89,1334581,104.89
2015-05-06,104.89,105.89,104.55,105.54,888463,105.54
2015-05-07,105.54,108.77,104.41,107.61,1423631,107.61
2015-05-08,107.61,109.08,107.0,108.46,986775,108.46
2015-05-09,108.46,108.92,107.32,107.78,887859,107.78
2015-05-10,107.78,108.59,105.74,106.55,1661488,106.55
2015-05-11,106.55,106.82,105.98,106.25,775790,106.25
2015-05-12,106.25,107.72,103.13,104.58,1667606,104.58
2015-05-13,104.58,105.12,103.0,103.53,1527276,103.53
2015-05-14,103.53,105.77,102.77,105.0,885213,105.0
2015-05-15,105.0,105.79,103.29,104.07,1498978,104.07
2015-05-16,104.07,104.71,103.49,104.13,706162,104.13
2015-05-17,104.13,104.9,102.07,102.83,1070041,102.83
2015-05-18,102.83,106.13,98.97,102.24,1209184,102.24
2015-05-19,102.24,102.45,102.15,102.36,959635,102.36
2015-05-20,102.36,105.53,101.05,104.2,1114845,104.2
2015-05-21,104.2,105.68,101.61,103.08,1041779,103.08
2015-05-22,103.08,106.85,101.43,105.16,1015023,105.16
2015-05-23,105.16,108.0,103.08,105.9,1089250,105.9
2015-05-24,105.9,106.99,105.33,106.41,1019823,106.41
2015-05-25,106.41,107.42,103.58,104.57,1338154,104.57
2015-05-26,104.57,105.25,104.08,104.76,996134,104.76
2015-05-27,104.76,109.95,103.0,108.13,1237796,108.13
2015-05-28,108.13,109.16,105.68,106.7,1388161,106.7
2015-05-29,106.7,109.11,105.44,107.83,734942,107.83
2015-05-30,107.83,109.08,106.97,108.22,1053432,108.22
2015-05-31,108.22,110.33,104.76,106.85,1347896,106.85
2015-06-01,106.85,108.35,106.32,107.82,941241,107.82
2015-06-02,107.82,111.19,106.65,110.0,1057230,110.0
2015-06-03,110.0,110.9,109.65,110.54,1251711,110.54
2015-06-04,110.54,117.2,93.31,99.3,2413371,99.3
2015-06-05,99.3,102.7,98.17,101.55,1185642,101.55
2015-06-06,101.55,103.92,100.74,103.09,975951,103.09
2015-06-07,103.09,105.46,97.99,100.29,1557383,100.29
2015-06-08,100.29,101.22,98.24,99.16,1439224,99.16
2015-06-09,99.16,99.78,97.76,98.37,1756168,98.37
2015-06-10,98.37,99.45,97.73,98.8,1489304,98.8
2015-06-11,98.8,102.7,95.99,99.86,1254328,99.86
2015-06-12,99.86,103.15,98.57,101.83,918820,101.83
2015-06-13,101.83,102.56,101.33,102.06,1674988,102.06
2015-06-14,102.06,106.19,99.33,103.43,1473977,103.43
2015-06-15,103.43,104.21,101.2,101.98,1605594,101.98
2015-06-16,101.98,103.19,101.07,102.28,1396220,102.28
2015-06-17,102.28,102.81,101.99,102.52,904814,102.52
2015-06-18,102.52,103.49,101.57,102.54,1233668,102.54
2015-06-19,102.54,103.64,101.77,102.86,853740,102.86
2015-06-20,102.86,105.53,98.22,100.83,776998,100.83
2015-06-21,100.83,101.28,99.83,100.28,1085458,100.28
2015-06-22,100.28,100.92,99.91,100.55,1681683,100.55
2015-06-23,100.55,101.96,97.54,98.92,1126117,98.92
2015-06-24,98.92,99.45,97.95,98.48,1239064,98.48
2015-06-25,98.48,102.62,96.61,100.72,1730233,100.72
2015-06-26,100.72,101.56,98.47,99.3,1311880,99.3
2015-06-27,99.3,99.52,98.73,98.95,1488889,98.95
2015-06-28,98.95,99.61,98.68,99.34,921088,99.34
2015-06-29,99.34,99.58,98.84,99.08,1085862,99.08
2015-06-30,99.08,99.81,97.81,98.54,624090,98.54
2015-07-01,98.54,100.76,97.33,99.54,817496,99.54
2015-07-02,99.54,100.03,98.22,98.71,1083423,98.71
2015-07-03,98.71,99.2,98.15,98.64,592640,98.64
2015-07-04,98.64,100.97,97.11,99.43,753740,99.43
2015-07-05,99.43,100.21,97.84,98.62,2028727,98.62
2015-07-06,98.62,98.88,98.37,98.64,1293773,98.64
2015-07-07,98.64,99.03,97.73,98.12,971495,98.12
2015-07-08,98.12,100.77,97.23,99.86,1709736,99.86
2015-07-09,99.86,100.43,98.23,98.79,1496129,98.79
2015-07-10,98.79,99.83,98.41,99.45,1229684,99.45
2015-07-11,99.45,103.95,97.68,102.13,1296347,102.13
2015-07-12,102.13,103.14,99.95,100.95,1232511,100.95
2015-07-13,100.95,101.13,100.87,101.05,1183355,101.05
