Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,2500.0,2514.84,2485.16,2500.0,1512944,2500.0
2015-01-02,2500.0,2522.69,2492.16,2514.8,1472601,2514.8
2015-01-03,2514.8,2530.42,2508.81,2524.41,1904884,2524.41
2015-01-04,2524.41,2587.91,2377.39,2438.74,1200518,2438.74
2015-01-05,2438.74,2468.73,2400.56,2430.45,1078079,2430.45
2015-01-06,2430.45,2469.02,2367.02,2405.19,1551003,2405.19
2015-01-07,2405.19,2426.95,2386.94,2408.67,1248060,2408.67
2015-01-08,2408.67,2429.35,2397.66,2418.29,1193147,2418.29
2015-01-09,2418.29,2440.87,2400.5,2423.05,965480,2423.05
2015-01-10,2423.05,2429.77,2413.94,2420.66,1664444,2420.66
2015-01-11,2420.66,2431.41,2390.23,2400.9,861172,2400.9
2015-01-12,2400.9,2484.13,2358.67,2441.19,1172892,2441.19
2015-01-13,2441.19,2449.41,2421.45,2429.63,1074796,2429.63
2015-01-14,2429.63,2501.54,2404.53,2475.96,1016841,2475.96
2015-01-15,2475.96,2525.95,2458.38,2508.14,745580,2508.14
2015-01-16,2508.14,2612.82,2469.42,2573.1,1282481,2573.1
2015-01-17,2573.1,2633.45,2552.78,2612.82,785502,2612.82
2015-01-18,2612.82,2620.26,2593.39,2600.8,1010834,2600.8
2015-01-19,2600.8,2635.38,2588.67,2623.15,914040,2623.15
2015-01-20,2623.15,2640.45,2591.57,2608.78,1114082,2608.78
2015-01-21,2608.78,2628.39,2601.63,2621.21,654550,2621.21
2015-01-22,2621.21,2626.91,2607.66,2613.35,1016099,2613.35
2015-01-23,2613.35,2719.92,2553.49,2659.01,787962,2659.01
2015-01-24,2659.01,2722.77,2552.91,2615.63,826294,2615.63
2015-01-25,2615.63,2678.59,2584.03,2646.62,761041,2646.62
2015-01-26,2646.62,2670.54,2598.06,2621.76,1236251,2621.76
2015-01-27,2621.76,2644.25,2590.86,2613.28,952996,2613.28
2015-01-28,2613.28,2633.6,2567.76,2587.88,946499,2587.88
2015-01-29,2587.88,2595.62,2580.41,2588.15,1245566,2588.15
2015-01-30,2588.15,2608.38,2539.45,2559.45,1104107,2559.45
2015-01-31,2559.45,2579.73,2536.64,2556.9,456453,2556.9
2015-02-01,2556.9,2590.21,2521.91,2555.2,753541,2555.2
2015-02-02,2555.2,2621.37,2530.72,2596.49,1487218,2596.49
2015-02-03,2596.49,2626.37,2582.06,2611.85,916862,2611.85
2015-02-04,2611.85,2629.12,2598.87,2616.12,1028982,2616.12
2015-02-05,2616.12,2699.89,2582.52,2665.66,947437,2665.66
2015-02-06,2665.66,2677.63,2652.89,2664.85,603779,2664.85
2015-02-07,2664.85,2686.52,2620.3,2641.78,890878,2641.78
2015-02-08,2641.78,2654.57,2621.7,2634.46,862985,2634.46
2015-02-09,2634.46,2675.88,2538.98,2579.54,914032,2579.54
2015-02-10,2579.54,2599.03,2571.26,2590.72,1438229,2590.72
2015-02-11,2590.72,2639.69,2574.34,2623.1,1096961,2623.1
2015-02-12,2623.1,2671.2,2593.08,2640.97,1208534,2640.97
2015-02-13,2640.97,2657.78,2612.17,2628.9,1283591,2628.9
2015-02-14,2628.9,2643.68,2619.19,2633.95,1398100,2633.95
2015-02-15,2633.95,2655.09,2577.26,2598.11,1350226,2598.11
2015-02-16,2598.11,2692.97,2548.52,2642.54,1374710,2642.54
2015-02-17,2642.54,2695.95,2609.14,2662.3,1156202,2662.3
2015-02-18,2662.3,2669.88,2658.13,2665.7,694266,2665.7
2015-02-19,2665.7,2672.55,2657.9,2664.75,1270768,2664.75
2015-02-20,2664.75,2692.4,2600.44,2627.71,2434437,2627.71
2015-02-21,2627.71,2639.48,2599.38,2611.08,1375890,2611.08
2015-02-22,2611.08,2660.16,2593.22,2642.09,1290897,2642.09
2015-02-23,2642.09,2670.07,2632.7,2660.62,1778207,2660.62
2015-02-24,2660.62,2686.01,2636.1,2661.49,902663,2661.49
2015-02-25,2661.49,2696.71,2595.36,2630.17,1199191,2630.17
2015-02-26,2630.17,2660.37,2617.8,2647.92,1210746,2647.92
2015-02-27,2647.92,2661.92,2619.32,2633.24,1182715,2633.24
2015-02-28,2633.24,2645.94,2597.31,2609.89,1868854,2609.89
2015-03-01,2609.89,2630.47,2585.8,2606.35,1856342,2606.35
2015-03-02,2606.35,2622.46,2560.61,2576.53,1430278,2576.53
2015-03-03,2576.53,2667.94,2540.83,2631.47,1399094,2631.47
2015-03-04,2631.47,2697.3,2606.87,2672.32,907589,2672.32
2015-03-05,2672.32,2705.17,2627.11,2659.8,753745,2659.8
2015-03-06,2659.8,2681.92,2621.67,2643.65,901583,2643.65
2015-03-07,2643.65,2689.59,2621.06,2666.8,1157366,2666.8
2015-03-08,2666.8,2703.06,2639.36,2675.52,860103,2675.52
2015-03-09,2675.52,2730.89,2597.33,2652.21,860071,2652.21
2015-03-10,2652.21,2669.28,2640.37,2657.42,760594,2657.42
2015-03-11,2657.42,2666.83,2636.63,2646.0,1522199,2646.0
2015-03-12,2646.0,2649.03,2638.21,2641.23,1207606,2641.23
2015-03-13,2641.23,2723.56,2611.25,2693.0,837620,2693.0
2015-03-14,2693.0,2717.92,2622.97,2647.47,570947,2647.47
2015-03-15,2647.47,2654.66,2630.96,2638.13,939869,2638.13
2015-03-16,2638.13,2708.37,2609.88,2679.68,1092413,2679.68
2015-03-17,2679.68,2693.48,2674.53,2688.31,1290278,2688.31
2015-03-18,2688.31,2736.51,2661.01,2709.0,1351586,2709.0
2015-03-19,2709.0,2732.39,2671.39,2694.65,788125,2694.65
2015-03-20,2694.65,2716.04,2674.55,2695.92,860115,2695.92
2015-03-21,2695.92,2812.98,2654.52,2770.43,1121144,2770.43
2015-03-22,2770.43,2808.32,2748.45,2786.23,1102804,2786.23
2015-03-23,2786.23,2874.72,2621.85,2707.86,1436406,2707.86
2015-03-24,2707.86,2759.9,2682.88,2734.67,1617259,2734.67
2015-03-25,2734.67,2810.66,2708.1,2783.61,839127,2783.61
2015-03-26,2783.61,2838.87,2760.94,2815.94,1564646,2815.94
2015-03-27,2815.94,2856.92,2742.25,2782.75,938900,2782.75
2015-03-28,2782.75,2822.77,2698.44,2737.82,1012196,2737.82
2015-03-29,2737.82,2841.48,2692.24,2794.95,1424097,2794.95
2015-03-30,2794.95,2826.22,2718.35,2749.11,1470963,2749.11
2015-03-31,2749.11,2755.8,2746.68,2753.37,826359,2753.37
2015-04-01,2753.37,2863.18,2679.76,2788.63,503624,2788.63
2015-04-02,2788.63,2852.97,2760.62,2824.59,1306684,2824.59
2015-04-03,2824.59,2865.78,2755.4,2796.17,822273,2796.17
2015-04-04,2796.17,2852.05,2766.91,2822.51,848225,2822.51
2015-04-05,2822.51,2876.69,2799.88,2853.81,367613,2853.81
2015-04-06,2853.81,3025.4,2784.31,2953.48,992811,2953.48
2015-04-07,2953.48,2958.45,2949.65,2954.63,911650,2954.63
2015-04-08,2954.63,2984.87,2943.59,2973.76,596503,2973.76
2015-04-09,2973.76,3044.24,2947.98,3018.07,1205729,3018.07
2015-04-10,3018.07,3140.12,2969.6,3090.49,1910253,3090.49
2015-04-11,3090.49,3104.47,3059.8,3073.71,638002,3073.71
2015-04-12,3073.71,3094.84,3019.39,3040.29,1586350,3040.29
2015-04-13,3040.29,3074.71,3024.93,3059.25,1108024,3059.25
2015-04-14,3059.25,3079.05,3015.5,3035.14,1348418,3035.14
2015-04-15,3035.14,3058.59,3013.82,3037.26,1050202,3037.26
2015-04-16,3037.26,3098.91,3013.69,3075.05,846581,3075.05
2015-04-17,3075.05,3119.4,3056.42,3100.62,1834842,3100.62
2015-04-18,3100.62,3175.21,3058.26,3132.42,1228923,3132.42
2015-04-19,3132.42,3229.27,3043.32,3139.96,723720,3139.96
2015-04-20,3139.96,3299.18,3043.86,3201.21,828759,3201.21
2015-04-21,3201.21,3212.97,3181.35,3193.08,1787010,3193.08
2015-04-22,3193.08,3228.98,3165.51,3201.34,1169666,3201.34
2015-04-23,3201.34,3215.9,3180.19,3194.73,883837,3194.73
2015-04-24,3194.73,3220.46,3159.68,3185.33,938241,3185.33
2015-04-25,3185.33,3194.32,3181.5,3190.48,862499,3190.48
2015-04-26,3190.48,3210.16,3183.61,3203.26,874683,3203.26
2015-04-27,3203.26,3244.53,3171.66,3212.84,859791,3212.84
2015-04-28,3212.84,3240.5,3173.86,3201.43,1322220,3201.43
2015-04-29,3201.43,3213.07,3193.13,3204.76,1019821,3204.76
2015-04-30,3204.76,3258.59,3183.99,3237.6,850904,3237.6
2015-05-01,3237.6,3252.37,3231.66,3246.41,804489,3246.41
2015-05-02,3246.41,3285.87,3225.52,3264.86,808762,3264.86
2015-05-03,3264.86,3318.34,3238.15,3291.41,1222489,3291.41
2015-05-04,3291.41,3360.59,3242.04,3310.92,907701,3310.92
2015-05-05,3310.92,3315.82,3303.89,3308.78,767836,3308.78
2015-05-06,3308.78,3539.32,3227.14,3454.09,1918130,3454.09
2015-05-07,3454.09,3504.27,3424.59,3474.59,856244,3474.59
2015-05-08,3474.59,3495.65,3444.21,3465.21,780590,3465.21
2015-05-09,3465.21,3541.15,3434.16,3509.7,1147901,3509.7
2015-05-10,3509.7,3563.23,3412.12,3464.96,905029,3464.96
2015-05-11,3464.96,3491.9,3397.44,3424.05,1021315,3424.05
2015-05-12,3424.05,3460.24,3321.6,3357.08,1153208,3357.08
2015-05-13,3357.08,3368.99,3324.42,3336.26,567201,3336.26
2015-05-14,3336.26,3380.04,3224.83,3267.71,1598558,3267.71
2015-05-15,3267.71,3302.59,3204.47,3239.04,1259000,3239.04
2015-05-16,3239.04,3266.1,3173.55,3200.29,849271,3200.29
2015-05-17,3200.29,3226.21,3125.45,3150.97,652453,3150.97
2015-05-18,3150.97,3203.48,3126.1,3178.38,1318874,3178.38
2015-05-19,3178.38,3264.42,3144.15,3229.63,891537,3229.63
2015-05-20,3229.63,3268.78,3200.31,3239.37,662995,3239.37
2015-05-21,3239.37,3275.23,3207.23,3243.05,1345653,3243.05
2015-05-22,3243.05,3355.32,3187.88,3299.19,744835,3299.19
2015-05-23,3299.19,3332.58,3272.93,3306.25,790117,3306.25
2015-05-24,3306.25,3325.95,3275.56,3295.19,915682,3295.19
2015-05-25,3295.19,3320.16,3223.05,3247.65,1094045,3247.65
2015-05-26,3247.65,3274.39,3226.63,3253.33,1508113,3253.33
2015-05-27,3253.33,3278.24,3243.18,3268.05,909322,3268.05
2015-05-28,3268.05,3329.18,3233.56,3294.41,922304,3294.41
2015-05-29,3294.41,3396.17,3257.82,3358.87,1698165,3358.87
2015-05-30,3358.87,3498.58,3305.21,3443.57,1473502,3443.57
2015-05-31,3443.57,3448.79,3428.21,3433.41,1087680,3433.41
2015-06-01,3433.41,3602.17,3343.93,3510.67,1483246,3510.67
2015-06-02,3510.67,3574.42,3486.74,3550.22,626273,3550.22
2015-06-03,3550.22,3587.04,3486.49,3523.03,815654,3523.03
2015-06-04,3523.03,3567.33,3412.4,3455.85,920215,3455.85
2015-06-05,3455.85,3517.38,3429.18,3490.44,955719,3490.44
2015-06-06,3490.44,3617.43,3199.78,3320.58,1188287,3320.58
2015-06-07,3320.58,3371.73,3208.14,3258.33,1207767,3258.33
2015-06-08,3258.33,3302.66,3163.83,3207.47,1195501,3207.47
2015-06-09,3207.47,3256.41,3164.74,3213.6,899712,3213.6
2015-06-10,3213.6,3314.04,2971.38,3067.25,1210190,3067.25
2015-06-11,3067.25,3116.27,3028.88,3077.77,851981,3077.77
2015-06-12,3077.77,3130.33,3056.56,3108.91,1477895,3108.91
2015-06-13,3108.91,3230.75,3059.83,3180.54,1133863,3180.54
2015-06-14,3180.54,3279.43,3143.35,3241.53,847780,3241.53
2015-06-15,3241.53,3272.18,3181.01,3211.38,803665,3211.38
2015-06-16,3211.38,3229.09,3175.14,3192.75,752780,3192.75
2015-06-17,3192.75,3247.0,3151.38,3205.46,1504753,3205.46
2015-06-18,3205.46,3245.64,3089.65,3128.87,1617141,3128.87
2015-06-19,3128.87,3163.51,3057.33,3091.56,1119521,3091.56
2015-06-20,3091.56,3107.45,3046.3,3062.04,969614,3062.04
2015-06-21,3062.04,3086.93,3007.2,3031.84,1295887,3031.84
2015-06-22,3031.84,3150.17,2989.87,3107.15,1493386,3107.15
2015-06-23,3107.15,3151.73,2979.98,3023.36,1230338,3023.36
2015-06-24,3023.36,3039.26,2983.6,2999.38,1560097,2999.38
2015-06-25,2999.38,3062.23,2965.83,3028.36,755943,3028.36
2015-06-26,3028.36,3076.82,2905.88,2953.14,982401,2953.14
2015-06-27,2953.14,2962.82,2933.26,2942.9,2123183,2942.9
2015-06-28,2942.9,2965.0,2899.51,2921.45,885704,2921.45
2015-06-29,2921.45,2968.35,2839.59,2885.92,637628,2885.92
2015-06-30,2885.92,2973.33,2835.95,2922.72,917849,2922.72
2015-07-01,2922.72,2973.61,2821.73,2871.72,714880,2871.72
2015-07-02,2871.72,2929.66,2769.61,2826.64,1789558,2826.64
2015-07-03,2826.64,2844.4,2778.09,2795.66,599092,2795.66
2015-07-04,2795.66,2835.09,2708.03,2746.77,1375085,2746.77
2015-07-05,2746.77,2784.5,2734.21,2771.83,1260774,2771.83
2015-07-06,2771.83,2842.96,2716.53,2787.35,1019132,2787.35
2015-07-07,2787.35,2817.48,2724.48,2754.26,1126354,2754.26
2015-07-08,2754.26,2825.28,2727.97,2798.57,1107242,2798.57
2015-07-09,2798.57,2862.22,2772.39,2835.69,1320009,2835.69
2015-07-10,2835.69,2875.27,2814.05,2853.5,1413364,2853.5
2015-07-11,2853.5,2867.98,2843.63,2858.09,946512,2858.09
2015-07-12,2858.09,2874.68,2820.94,2837.41,905737,2837.41
2015-07-13,2837.41,2856.42,2827.84,2846.82,1871034,2846.82
2015-07-14,2846.82,2880.6,2762.69,2795.86,933490,2795.86
2015-07-15,2795.86,2961.74,2739.32,2903.03,1938513,2903.03
2015-07-16,2903.03,2926.39,2840.09,2863.12,1026508,2863.12
2015-07-17,2863.12,3000.84,2806.57,2942.72,1240825,2942.72
2015-07-18,2942.72,3030.86,2886.94,2974.48,1172837,2974.48
2015-07-19,2974.48,3015.95,2950.26,2991.59,1153943,2991.59
2015-07-20,2991.59,3013.71,2935.08,2956.94,1070352,2956.94
2015-07-21,2956.94,2998.02,2882.78,2923.39,836295,2923.39
2015-07-22,2923.39,2944.74,2879.73,2900.92,1230434,2900.92
2015-07-23,2900.92,3211.87,2792.04,3095.69,1764039,3095.69
2015-07-24,3095.69,3138.12,2972.54,3013.85,842905,3013.85
2015-07-25,3013.85,3049.16,2912.55,2947.08,931128,2947.08
2015-07-26,2947.08,2960.98,2938.14,2952.03,886910,2952.03
2015-07-27,2952.03,3001.32,2930.61,2979.7,757875,2979.7
2015-07-28,2979.7,2985.98,2961.03,2967.29,783830,2967.29
2015-07-29,2967.29,3016.62,2860.15,2908.51,1857421,2908.51
2015-07-30,2908.51,2914.54,2893.56,2899.58,759406,2899.58
2015-07-31,2899.58,2920.22,2892.63,2913.24,793294,2913.24
2015-08-01,2913.24,2931.22,2876.29,2894.15,1441598,2894.15
2015-08-02,2894.15,3055.14,2828.29,2987.16,1458921,2987.16
2015-08-03,2987.16,3067.34,2957.76,3037.45,1003704,3037.45
2015-08-04,3037.45,3137.74,3000.68,3100.22,1014832,3100.22
2015-08-05,3100.22,3112.53,3066.41,3078.64,815857,3078.64
2015-08-06,3078.64,3175.61,3014.31,3110.62,879593,3110.62
2015-08-07,3110.62,3132.19,3093.28,3114.83,1317137,3114.83
2015-08-08,3114.83,3143.44,3103.56,3132.11,1150519,3132.11
2015-08-09,3132.11,3165.12,3120.47,3153.4,966472,3153.4
2015-08-10,3153.4,3202.03,3132.79,3181.23,1403996,3181.23
2015-08-11,3181.23,3189.17,3158.37,3166.27,699533,3166.27
2015-08-12,3166.27,3171.46,3157.4,3162.59,1322801,3162.59
2015-08-13,3162.59,3221.08,3128.32,3186.55,1146183,3186.55
2015-08-14,3186.55,3281.94,3154.17,3248.93,968346,3248.93
2015-08-15,3248.93,3331.57,3112.73,3193.97,828210,3193.97
2015-08-16,3193.97,3210.94,3153.06,3169.9,860883,3169.9
2015-08-17,3169.9,3218.7,3148.79,3197.4,632703,3197.4
2015-08-18,3197.4,3379.11,3121.95,3301.21,867675,3301.21
2015-08-19,3301.21,3304.94,3291.7,3295.43,886277,3295.43
2015-08-20,3295.43,3369.63,3253.37,3327.17,810575,3327.17
2015-08-21,3327.17,3369.51,3301.19,3343.41,796208,3343.41
2015-08-22,3343.41,3468.79,3291.88,3416.14,902355,3416.14
2015-08-23,3416.14,3448.54,3392.89,3425.23,723356,3425.23
2015-08-24,3425.23,3478.51,3406.8,3459.89,1201693,3459.89
2015-08-25,3459.89,3630.55,3376.55,3545.15,1658254,3545.15
2015-08-26,3545.15,3584.03,3435.89,3474.0,1060730,3474.0
2015-08-27,3474.0,3489.42,3449.41,3464.8,941536,3464.8
2015-08-28,3464.8,3517.91,3447.05,3499.98,1452723,3499.98
2015-08-29,3499.98,3733.18,3394.6,3624.06,930924,3624.06
2015-08-30,3624.06,3667.89,3594.34,3638.05,1239936,3638.05
2015-08-31,3638.05,3668.95,3555.19,3585.64,1316251,3585.64
2015-09-01,3585.64,3616.29,3516.57,3546.89,1091435,3546.89
2015-09-02,3546.89,3554.02,3533.82,3540.93,1206188,3540.93
