Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,380.0,381.91,378.09,380.0,1748620,380.0
2015-01-02,380.0,386.95,375.4,382.33,1294424,382.33
2015-01-03,382.33,392.0,378.62,388.23,891236,388.23
2015-01-04,388.23,397.68,382.19,391.59,831701,391.59
2015-01-05,391.59,395.1,390.08,393.59,718164,393.59
2015-01-06,393.59,398.77,389.31,394.48,1144859,394.48
2015-01-07,394.48,395.99,392.02,393.52,1124732,393.52
2015-01-08,393.52,398.6,391.63,396.7,1063192,396.7
2015-01-09,396.7,400.24,388.19,391.68,1068302,391.68
2015-01-10,391.68,396.78,377.89,382.87,540904,382.87
2015-01-11,382.87,385.92,379.21,382.26,802887,382.26
2015-01-12,382.26,395.51,375.5,388.64,1444610,388.64
2015-01-13,388.64,398.02,382.93,392.25,1415704,392.25
2015-01-14,392.25,400.98,388.64,397.32,1027380,397.32
2015-01-15,397.32,398.75,393.44,394.85,559718,394.85
2015-01-16,394.85,404.31,389.8,399.2,2120617,399.2
2015-01-17,399.2,406.54,396.08,403.38,1432404,403.38
2015-01-18,403.38,407.94,399.52,404.07,1120503,404.07
2015-01-19,404.07,414.78,399.99,410.63,1118584,410.63
2015-01-20,410.63,411.75,409.02,410.14,778064,410.14
2015-01-21,410.14,410.45,409.31,409.62,566503,409.62
2015-01-22,409.62,425.81,403.84,419.89,782099,419.89
2015-01-23,419.89,431.45,413.34,424.82,1069923,424.82
2015-01-24,424.82,427.55,420.83,423.55,834001,423.55
2015-01-25,423.55,428.02,421.47,425.93,2215659,425.93
2015-01-26,425.93,435.01,406.29,415.14,1549891,415.14
2015-01-27,415.14,432.49,409.39,426.58,1447108,426.58
2015-01-28,426.58,427.47,424.25,425.14,666640,425.14
2015-01-29,425.14,441.29,418.69,434.69,1262691,434.69
2015-01-30,434.69,439.47,427.88,432.63,1079551,432.63
2015-01-31,432.63,446.8,423.74,437.8,1009365,437.8
2015-02-01,437.8,438.72,436.15,437.08,1181604,437.08
2015-02-02,437.08,450.36,431.22,444.4,1515428,444.4
2015-02-03,444.4,458.46,433.18,447.17,678915,447.17
2015-02-04,447.17,449.75,443.87,446.44,1434084,446.44
2015-02-05,446.44,457.07,441.16,451.73,1312436,451.73
2015-02-06,451.73,471.79,445.13,465.0,1564553,465.0
2015-02-07,465.0,468.74,460.9,464.64,955800,464.64
2015-02-08,464.64,466.62,463.78,465.76,856818,465.76
2015-02-09,465.76,471.57,450.64,456.32,995049,456.32
2015-02-10,456.32,456.91,455.56,456.14,962813,456.14
2015-02-11,456.14,459.0,452.58,455.44,811608,455.44
2015-02-12,455.44,455.58,455.18,455.31,1221967,455.31
2015-02-13,455.31,471.82,442.56,458.96,1499365,458.96
2015-02-14,458.96,478.68,450.39,469.91,1499907,469.91
2015-02-15,469.91,477.11,453.58,460.64,793808,460.64
2015-02-16,460.64,463.75,458.86,461.96,547856,461.96
2015-02-17,461.96,462.57,461.54,462.14,1121255,462.14
2015-02-18,462.14,463.81,460.0,461.67,627554,461.67
2015-02-19,461.67,466.37,453.55,458.21,1540978,458.21
2015-02-20,458.21,459.79,456.35,457.93,775551,457.93
2015-02-21,457.93,460.33,451.82,454.2,508638,454.2
2015-02-22,454.2,458.21,452.04,456.04,897170,456.04
2015-02-23,456.04,457.37,452.13,453.46,1481280,453.46
2015-02-24,453.46,463.09,449.75,459.33,995969,459.33
2015-02-25,459.33,469.24,431.09,440.59,1875001,440.59
2015-02-26,440.59,452.4,436.59,448.33,1741839,448.33
2015-02-27,448.33,461.29,412.1,424.36,1029797,424.36
2015-02-28,424.36,427.92,421.43,424.99,1258150,424.99
2015-03-01,424.99,430.41,416.3,421.68,1111939,421.68
2015-03-02,421.68,427.82,416.99,423.12,928606,423.12
2015-03-03,423.12,428.97,421.12,426.96,1014228,426.96
2015-03-04,426.96,428.86,426.01,427.92,1385793,427.92
2015-03-05,427.92,432.78,413.76,418.52,792793,418.52
2015-03-06,418.52,420.91,412.13,414.49,1802538,414.49
2015-03-07,414.49,418.55,407.34,411.37,1124788,411.37
2015-03-08,411.37,412.56,409.57,410.76,1017253,410.76
2015-03-09,410.76,415.16,399.76,404.09,1254046,404.09
2015-03-10,404.09,410.71,400.88,407.47,1234212,407.47
2015-03-11,407.47,415.14,404.56,412.19,2099604,412.19
2015-03-12,412.19,419.92,408.53,416.22,1226024,416.22
2015-03-13,416.22,421.43,412.43,417.62,1182134,417.62
2015-03-14,417.62,420.97,408.9,412.21,1195299,412.21
2015-03-15,412.21,415.07,410.43,413.28,1061369,413.28
2015-03-16,413.28,422.63,409.62,418.92,1019250,418.92
2015-03-17,418.92,423.52,416.51,421.1,1232384,421.1
2015-03-18,421.1,432.13,411.76,422.77,1010336,422.77
2015-03-19,422.77,426.28,412.93,416.39,989508,416.39
2015-03-20,416.39,421.08,414.0,418.67,975837,418.67
2015-03-21,418.67,427.93,414.74,423.94,1013497,423.94
2015-03-22,423.94,443.22,413.18,432.24,658229,432.24
2015-03-23,432.24,438.12,416.35,422.09,1707686,422.09
2015-03-24,422.09,422.52,421.44,421.87,1624467,421.87
2015-03-25,421.87,433.52,415.83,427.4,778635,427.4
2015-03-26,427.4,441.22,421.49,435.2,955815,435.2
2015-03-27,435.2,441.62,424.86,431.22,1807385,431.22
2015-03-28,431.22,433.28,430.03,432.09,1435821,432.09
2015-03-29,432.09,440.5,428.9,437.28,1457877,437.28
2015-03-30,437.28,447.19,423.32,433.14,1086049,433.14
2015-03-31,433.14,438.74,423.11,428.67,1152905,428.67
2015-04-01,428.67,432.31,426.36,430.0,1716592,430.0
2015-04-02,430.0,436.3,427.27,433.54,1016029,433.54
2015-04-03,433.54,438.35,422.65,427.4,1264128,427.4
2015-04-04,427.4,442.44,420.18,435.08,1144312,435.08
2015-04-05,435.08,445.74,426.17,436.8,1228414,436.8
2015-04-06,436.8,448.4,431.46,443.0,1162505,443.0
2015-04-07,443.0,445.39,441.98,444.37,1353941,444.37
2015-04-08,444.37,449.82,431.71,437.07,905466,437.07
2015-04-09,437.07,453.08,429.11,444.97,1356787,444.97
2015-04-10,444.97,469.32,436.36,460.41,1526553,460.41
2015-04-11,460.41,461.19,458.9,459.68,1007303,459.68
2015-04-12,459.68,464.38,457.15,461.85,1069659,461.85
2015-04-13,461.85,464.81,454.35,457.28,1480704,457.28
2015-04-14,457.28,461.55,444.74,448.93,1670019,448.93
2015-04-15,448.93,454.31,443.14,448.52,1180320,448.52
2015-04-16,448.52,451.15,444.13,446.75,1115179,446.75
2015-04-17,446.75,447.67,445.64,446.57,908517,446.57
2015-04-18,446.57,447.92,445.67,447.03,392712,447.03
2015-04-19,447.03,451.8,442.0,446.77,658871,446.77
2015-04-20,446.77,463.72,438.96,455.75,1374744,455.75
2015-04-21,455.75,463.98,452.28,460.48,1175490,460.48
2015-04-22,460.48,461.54,458.39,459.45,1197500,459.45
2015-04-23,459.45,466.54,456.68,463.74,819399,463.74
2015-04-24,463.74,467.52,461.88,465.65,757954,465.65
2015-04-25,465.65,466.07,465.22,465.64,1038532,465.64
2015-04-26,465.64,475.38,461.22,470.91,1393419,470.91
2015-04-27,470.91,478.01,463.21,470.31,473761,470.31
2015-04-28,470.31,473.86,466.27,469.82,1065073,469.82
2015-04-29,469.82,470.46,467.97,468.61,998993,468.61
