Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,320.0,320.45,319.55,320.0,1999705,320.0
2015-01-02,320.0,324.07,313.26,317.3,1460190,317.3
2015-01-03,317.3,321.84,315.29,319.82,740588,319.82
2015-01-04,319.82,321.68,317.55,319.41,645042,319.41
2015-01-05,319.41,322.98,318.19,321.75,550268,321.75
2015-01-06,321.75,323.07,318.01,319.31,775127,319.31
2015-01-07,319.31,323.52,317.33,321.53,1536873,321.53
2015-01-08,321.53,327.72,317.86,324.02,604938,324.02
2015-01-09,324.02,330.42,309.15,315.38,1475422,315.38
2015-01-10,315.38,318.29,311.01,313.89,994943,313.89
2015-01-11,313.89,314.19,313.13,313.43,1200680,313.43
2015-01-12,313.43,318.95,310.52,316.02,1639887,316.02
2015-01-13,316.02,321.19,314.09,319.25,1416727,319.25
2015-01-14,319.25,319.6,318.93,319.28,948555,319.28
2015-01-15,319.28,322.99,314.26,317.95,1577435,317.95
2015-01-16,317.95,321.99,316.48,320.5,821409,320.5
2015-01-17,320.5,324.92,310.14,314.48,976616,314.48
2015-01-18,314.48,316.99,309.19,311.68,2148343,311.68
2015-01-19,311.68,316.07,310.13,314.5,1747476,314.5
2015-01-20,314.5,316.63,313.33,315.46,1128464,315.46
2015-01-21,315.46,316.12,313.54,314.19,1127912,314.19
2015-01-22,314.19,317.72,312.48,315.99,1225667,315.99
2015-01-23,315.99,323.62,313.18,320.76,931868,320.76
2015-01-24,320.76,321.28,320.47,320.99,687615,320.99
2015-01-25,320.99,324.61,319.1,322.7,1816103,322.7
2015-01-26,322.7,325.91,317.24,320.42,1072319,320.42
2015-01-27,320.42,325.3,318.55,323.4,1416092,323.4
2015-01-28,323.4,326.19,320.28,323.06,694728,323.06
2015-01-29,323.06,329.33,320.92,327.16,1159880,327.16
2015-01-30,327.16,329.88,319.78,322.46,1629888,322.46
2015-01-31,322.46,325.05,317.91,320.49,1085851,320.49
2015-02-01,320.49,323.01,316.02,318.53,670114,318.53
2015-02-02,318.53,320.92,312.88,315.25,974075,315.25
2015-02-03,315.25,317.09,309.91,311.73,642123,311.73
2015-02-04,311.73,319.7,309.08,317.01,1165369,317.01
2015-02-05,317.01,322.34,314.12,319.42,1291366,319.42
2015-02-06,319.42,321.1,318.76,320.44,550556,320.44
2015-02-07,320.44,321.76,316.89,318.2,1315695,318.2
2015-02-08,318.2,319.65,314.53,315.97,2138654,315.97
2015-02-09,315.97,316.64,314.18,314.84,686966,314.84
2015-02-10,314.84,319.82,312.07,317.02,1834110,317.02
2015-02-11,317.02,319.35,310.42,312.71,1455584,312.71
2015-02-12,312.71,313.74,312.27,313.29,675636,313.29
2015-02-13,313.29,314.6,310.87,312.17,1269076,312.17
2015-02-14,312.17,317.39,310.15,315.35,1196810,315.35
2015-02-15,315.35,319.63,306.09,310.3,1001818,310.3
2015-02-16,310.3,320.0,304.91,314.53,1298969,314.53
2015-02-17,314.53,315.09,313.79,314.35,1258259,314.35
2015-02-18,314.35,318.73,312.7,317.07,939650,317.07
2015-02-19,317.07,321.71,314.42,319.04,1078770,319.04
2015-02-20,319.04,321.13,313.23,315.3,804442,315.3
2015-02-21,315.3,316.97,313.56,315.24,619735,315.24
2015-02-22,315.24,324.25,312.2,321.16,869141,321.16
2015-02-23,321.16,323.19,317.37,319.39,948739,319.39
2015-02-24,319.39,354.7,307.32,341.78,1742876,341.78
2015-02-25,341.78,346.25,339.55,344.01,1539401,344.01
2015-02-26,344.01,346.19,338.19,340.34,1327335,340.34
2015-02-27,340.34,343.0,339.18,341.84,641521,341.84
2015-02-28,341.84,343.71,337.4,339.26,1491472,339.26
2015-03-01,339.26,340.21,338.34,339.28,733884,339.28
2015-03-02,339.28,341.51,334.81,337.02,963270,337.02
2015-03-03,337.02,343.68,334.55,341.19,886923,341.19
2015-03-04,341.19,356.03,334.26,348.95,1575696,348.95
2015-03-05,348.95,351.93,340.49,343.42,1415657,343.42
2015-03-06,343.42,344.95,342.08,343.62,854764,343.62
2015-03-07,343.62,345.43,339.07,340.87,829794,340.87
2015-03-08,340.87,341.79,338.91,339.83,732888,339.83
2015-03-09,339.83,343.61,330.19,333.9,842728,333.9
2015-03-10,333.9,341.43,329.05,336.54,815136,336.54
2015-03-11,336.54,340.37,330.24,334.04,1233188,334.04
2015-03-12,334.04,340.71,331.72,338.36,1162412,338.36
2015-03-13,338.36,343.44,335.37,340.43,929162,340.43
2015-03-14,340.43,342.13,335.9,337.59,1185172,337.59
2015-03-15,337.59,338.76,334.26,335.42,1684053,335.42
2015-03-16,335.42,335.51,335.38,335.46,1250784,335.46
2015-03-17,335.46,343.3,332.17,339.97,1852373,339.97
2015-03-18,339.97,345.64,337.44,343.08,1548072,343.08
2015-03-19,343.08,344.32,339.6,340.84,970573,340.84
2015-03-20,340.84,341.62,339.35,340.13,1108696,340.13
2015-03-21,340.13,349.86,336.74,346.41,1636871,346.41
2015-03-22,346.41,346.55,346.3,346.44,1185573,346.44
2015-03-23,346.44,350.59,334.51,338.57,1485745,338.57
2015-03-24,338.57,348.68,334.93,344.97,994838,344.97
2015-03-25,344.97,350.84,342.6,348.45,1362878,348.45
2015-03-26,348.45,358.0,344.77,354.27,1177586,354.27
2015-03-27,354.27,355.81,349.88,351.41,944046,351.41
2015-03-28,351.41,352.73,349.14,350.46,1086148,350.46
2015-03-29,350.46,353.18,346.59,349.3,551165,349.3
2015-03-30,349.3,350.52,347.08,348.29,1006924,348.29
2015-03-31,348.29,352.43,346.42,350.54,1702549,350.54
2015-04-01,350.54,360.88,331.58,341.66,1013906,341.66
2015-04-02,341.66,344.58,339.84,342.75,919312,342.75
2015-04-03,342.75,345.52,339.55,342.31,686735,342.31
2015-04-04,342.31,345.5,338.44,341.62,1107301,341.62
2015-04-05,341.62,342.7,338.7,339.77,1085596,339.77
2015-04-06,339.77,347.89,336.23,344.3,1654815,344.3
2015-04-07,344.3,353.72,340.88,350.24,1303342,350.24
2015-04-08,350.24,353.13,347.0,349.89,599451,349.89
2015-04-09,349.89,351.0,348.84,349.96,912956,349.96
2015-04-10,349.96,352.78,346.04,348.86,635137,348.86
2015-04-11,348.86,349.4,347.89,348.43,942976,348.43
2015-04-12,348.43,356.41,344.58,352.51,995567,352.51
2015-04-13,352.51,359.77,350.09,357.31,699193,357.31
2015-04-14,357.31,358.7,356.7,358.08,677841,358.08
2015-04-15,358.08,362.03,355.03,358.97,1424292,358.97
2015-04-16,358.97,363.03,355.73,359.78,401482,359.78
2015-04-17,359.78,361.14,359.26,360.63,1094968,360.63
2015-04-18,360.63,362.42,355.43,357.21,1210674,357.21
2015-04-19,357.21,359.84,353.07,355.69,706008,355.69
2015-04-20,355.69,363.76,352.77,360.8,1047127,360.8
2015-04-21,360.8,365.93,358.56,363.66,1186818,363.66
2015-04-22,363.66,367.79,360.69,364.8,912842,364.8
2015-04-23,364.8,370.54,350.15,355.75,2151088,355.75
2015-04-24,355.75,358.49,354.41,357.15,1150982,357.15
2015-04-25,357.15,363.27,354.84,360.93,644497,360.93
2015-04-26,360.93,361.98,358.32,359.36,1008645,359.36
2015-04-27,359.36,370.05,354.75,365.36,1122193,365.36
2015-04-28,365.36,365.73,365.15,365.52,1268606,365.52
2015-04-29,365.52,375.12,359.09,368.63,1230739,368.63
2015-04-30,368.63,376.21,365.91,373.44,2324383,373.44
2015-05-01,373.44,375.47,368.88,370.9,1051071,370.9
2015-05-02,370.9,375.8,368.79,373.68,2034431,373.68
2015-05-03,373.68,376.83,372.24,375.39,1700326,375.39
2015-05-04,375.39,384.39,372.31,381.27,1661233,381.27
2015-05-05,381.27,381.78,380.82,381.33,794179,381.33
2015-05-06,381.33,387.46,378.98,385.09,612705,385.09
2015-05-07,385.09,395.3,381.01,391.16,1165223,391.16
2015-05-08,391.16,392.12,389.64,390.61,1003511,390.61
2015-05-09,390.61,392.93,389.3,391.62,894154,391.62
2015-05-10,391.62,392.48,389.16,390.02,1266346,390.02
2015-05-11,390.02,396.57,371.97,378.32,886791,378.32
2015-05-12,378.32,380.19,375.79,377.66,786361,377.66
2015-05-13,377.66,379.52,376.82,378.67,1390164,378.67
2015-05-14,378.67,382.33,375.75,379.4,769450,379.4
