Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,170.0,170.65,169.35,170.0,1792207,170.0
2015-01-02,170.0,170.9,168.58,169.48,1201783,169.48
2015-01-03,169.48,170.28,168.19,168.98,1191966,168.98
2015-01-04,168.98,169.65,168.67,169.34,920420,169.34
2015-01-05,169.34,171.35,168.38,170.39,855538,170.39
2015-01-06,170.39,171.5,168.69,169.8,1135886,169.8
2015-01-07,169.8,170.74,169.24,170.17,1459140,170.17
2015-01-08,170.17,173.37,168.28,171.46,838461,171.46
2015-01-09,171.46,172.27,171.05,171.86,1211242,171.86
2015-01-10,171.86,173.06,168.45,169.63,1108670,169.63
2015-01-11,169.63,170.4,168.97,169.74,963348,169.74
2015-01-12,169.74,174.75,166.59,171.57,1009280,171.57
2015-01-13,171.57,173.54,170.73,172.7,943576,172.7
2015-01-14,172.7,174.2,172.03,173.52,1016524,173.52
2015-01-15,173.52,174.44,172.84,173.76,1024500,173.76
2015-01-16,173.76,174.16,173.57,173.97,1032220,173.97
2015-01-17,173.97,174.85,172.73,173.61,1085344,173.61
2015-01-18,173.61,175.27,172.69,174.35,1697277,174.35
2015-01-19,174.35,175.26,173.75,174.67,889101,174.67
2015-01-20,174.67,175.2,173.13,173.66,1026171,173.66
2015-01-21,173.66,173.83,173.59,173.76,1024305,173.76
2015-01-22,173.76,176.33,172.74,175.31,1364512,175.31
2015-01-23,175.31,177.87,174.24,176.8,849199,176.8
2015-01-24,176.8,177.67,174.58,175.44,1019374,175.44
2015-01-25,175.44,186.44,171.65,182.5,2021398,182.5
2015-01-26,182.5,184.61,178.86,180.96,711016,180.96
2015-01-27,180.96,184.13,179.68,182.83,769085,182.83
2015-01-28,182.83,185.37,177.95,180.45,1264018,180.45
2015-01-29,180.45,180.84,179.92,180.31,720594,180.31
2015-01-30,180.31,181.07,179.9,180.67,1604158,180.67
2015-01-31,180.67,184.38,179.03,182.72,1243284,182.72
2015-02-01,182.72,184.7,178.49,180.45,1215027,180.45
2015-02-02,180.45,180.92,179.27,179.74,1146741,179.74
2015-02-03,179.74,180.3,178.94,179.51,861115,179.51
2015-02-04,179.51,181.89,178.38,180.76,1198423,180.76
2015-02-05,180.76,187.55,177.9,184.64,814560,184.64
2015-02-06,184.64,185.59,184.17,185.11,1071808,185.11
2015-02-07,185.11,185.82,184.5,185.21,1420243,185.21
2015-02-08,185.21,187.67,184.07,186.53,1284884,186.53
2015-02-09,186.53,188.25,182.13,183.84,1433264,183.84
2015-02-10,183.84,186.65,182.66,185.46,787326,185.46
2015-02-11,185.46,187.7,184.29,186.52,809876,186.52
2015-02-12,186.52,188.58,185.22,187.28,1156170,187.28
2015-02-13,187.28,188.83,186.36,187.91,1140649,187.91
2015-02-14,187.91,191.09,186.74,189.91,807046,189.91
2015-02-15,189.91,190.0,189.79,189.87,927792,189.87
2015-02-16,189.87,193.48,188.2,191.79,1225547,191.79
2015-02-17,191.79,193.64,187.71,189.54,927595,189.54
2015-02-18,189.54,191.12,186.63,188.19,644739,188.19
2015-02-19,188.19,190.87,186.64,189.31,803064,189.31
2015-02-20,189.31,189.45,188.99,189.12,1242783,189.12
2015-02-21,189.12,190.17,186.91,187.95,952447,187.95
2015-02-22,187.95,189.34,187.15,188.54,710304,188.54
2015-02-23,188.54,192.45,187.01,190.89,1908681,190.89
2015-02-24,190.89,192.01,188.73,189.84,1074355,189.84
2015-02-25,189.84,190.31,189.58,190.05,798096,190.05
2015-02-26,190.05,192.26,187.53,189.73,1382166,189.73
2015-02-27,189.73,191.97,187.82,190.06,954861,190.06
2015-02-28,190.06,190.91,189.52,190.37,758094,190.37
2015-03-01,190.37,192.95,189.47,192.04,1487715,192.04
2015-03-02,192.04,192.33,191.24,191.53,870946,191.53
2015-03-03,191.53,194.08,190.63,193.18,1543353,193.18
2015-03-04,193.18,193.7,192.75,193.27,1076496,193.27
2015-03-05,193.27,193.85,191.66,192.24,1060887,192.24
2015-03-06,192.24,193.43,190.13,191.31,893520,191.31
2015-03-07,191.31,191.88,190.6,191.17,1073868,191.17
2015-03-08,191.17,193.74,190.24,192.8,1344300,192.8
2015-03-09,192.8,194.19,189.25,190.62,771286,190.62
2015-03-10,190.62,194.76,189.06,193.17,1692863,193.17
2015-03-11,193.17,193.32,192.79,192.94,901457,192.94
2015-03-12,192.94,193.54,192.59,193.18,1103986,193.18
2015-03-13,193.18,195.01,192.0,193.82,605657,193.82
2015-03-14,193.82,195.76,192.59,194.52,1130480,194.52
2015-03-15,194.52,195.44,194.12,195.04,431762,195.04
2015-03-16,195.04,197.99,193.47,196.41,823871,196.41
2015-03-17,196.41,197.5,193.5,194.58,932274,194.58
2015-03-18,194.58,196.79,193.58,195.79,1023874,195.79
2015-03-19,195.79,197.51,195.18,196.89,962495,196.89
2015-03-20,196.89,197.45,195.27,195.82,1144758,195.82
2015-03-21,195.82,197.35,195.1,196.62,919581,196.62
2015-03-22,196.62,197.63,194.86,195.86,824600,195.86
2015-03-23,195.86,196.4,195.35,195.89,856129,195.89
2015-03-24,195.89,201.5,193.91,199.48,983623,199.48
2015-03-25,199.48,201.02,198.68,200.22,981301,200.22
2015-03-26,200.22,202.06,199.6,201.44,1252841,201.44
2015-03-27,201.44,201.81,201.25,201.62,1253583,201.62
2015-03-28,201.62,201.7,201.5,201.59,1009453,201.59
2015-03-29,201.59,203.55,200.9,202.86,715673,202.86
2015-03-30,202.86,203.54,201.19,201.86,1186615,201.86
2015-03-31,201.86,202.11,201.43,201.68,948932,201.68
2015-04-01,201.68,203.37,201.0,202.69,695872,202.69
2015-04-02,202.69,205.39,201.29,203.98,1205141,203.98
2015-04-03,203.98,204.61,203.73,204.36,1100431,204.36
2015-04-04,204.36,205.23,202.21,203.07,1555273,203.07
2015-04-05,203.07,207.04,201.03,204.98,980120,204.98
2015-04-06,204.98,210.35,202.96,208.3,922894,208.3
2015-04-07,208.3,209.37,207.46,208.54,1444545,208.54
2015-04-08,208.54,210.51,207.55,209.52,904511,209.52
2015-04-09,209.52,211.82,208.67,210.96,3113039,210.96
2015-04-10,210.96,212.78,210.21,212.02,1739742,212.02
2015-04-11,212.02,212.3,211.41,211.68,1360225,211.68
2015-04-12,211.68,214.04,209.67,212.03,994030,212.03
2015-04-13,212.03,214.14,211.25,213.36,1580958,213.36
2015-04-14,213.36,217.97,211.52,216.12,1018153,216.12
2015-04-15,216.12,218.85,209.93,212.62,2200078,212.62
2015-04-16,212.62,215.15,211.26,213.77,1492669,213.77
2015-04-17,213.77,214.82,212.37,213.41,971404,213.41
2015-04-18,213.41,215.98,209.55,212.1,568018,212.1
2015-04-19,212.1,212.78,210.74,211.42,1030827,211.42
2015-04-20,211.42,212.93,210.79,212.3,851783,212.3
2015-04-21,212.3,212.82,211.82,212.33,954845,212.33
2015-04-22,212.33,213.08,210.89,211.64,798847,211.64
2015-04-23,211.64,212.69,208.72,209.76,703105,209.76
2015-04-24,209.76,210.96,208.8,209.99,1157912,209.99
2015-04-25,209.99,210.47,209.72,210.2,658400,210.2
2015-04-26,210.2,210.34,209.96,210.11,1309699,210.11
2015-04-27,210.11,211.48,208.84,210.21,980505,210.21
2015-04-28,210.21,213.01,207.73,210.53,621316,210.53
2015-04-29,210.53,211.8,209.21,210.48,631293,210.48
2015-04-30,210.48,212.64,209.29,211.45,757960,211.45
2015-05-01,211.45,212.47,211.08,212.09,1122753,212.09
2015-05-02,212.09,214.97,210.91,213.77,1035301,213.77
2015-05-03,213.77,214.73,213.15,214.1,707001,214.1
2015-05-04,214.1,217.27,212.71,215.86,967056,215.86
2015-05-05,215.86,216.63,215.09,215.87,639664,215.87
2015-05-06,215.87,217.13,213.2,214.46,830639,214.46
2015-05-07,214.46,214.97,214.28,214.79,1247866,214.79
2015-05-08,214.79,216.16,212.82,214.18,1160071,214.18
2015-05-09,214.18,215.48,213.53,214.83,709511,214.83
2015-05-10,214.83,215.67,213.64,214.49,1043841,214.49
2015-05-11,214.49,215.56,211.99,213.06,1170271,213.06
2015-05-12,213.06,214.94,210.92,212.8,1094022,212.8
2015-05-13,212.8,214.01,209.92,211.13,662939,211.13
2015-05-14,211.13,212.38,210.56,211.81,1035500,211.81
2015-05-15,211.81,212.14,211.15,211.48,1508593,211.48
2015-05-16,211.48,213.64,210.42,212.57,778827,212.57
2015-05-17,212.57,212.98,211.35,211.76,570152,211.76
2015-05-18,211.76,213.8,210.82,212.86,1401693,212.86
2015-05-19,212.86,216.98,211.43,215.54,902972,215.54
2015-05-20,215.54,217.78,212.68,214.92,1516897,214.92
2015-05-21,214.92,216.11,212.08,213.27,1163370,213.27
2015-05-22,213.27,216.37,211.75,214.84,977853,214.84
2015-05-23,214.84,215.5,213.1,213.75,1552336,213.75
2015-05-24,213.75,216.68,212.56,215.48,992144,215.48
2015-05-25,215.48,215.88,214.44,214.85,631733,214.85
2015-05-26,214.85,214.91,214.74,214.81,812469,214.81
