Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,140.0,140.08,139.92,140.0,713929,140.0
2015-01-02,140.0,141.92,139.19,141.11,1039857,141.11
2015-01-03,141.11,141.23,141.06,141.18,686615,141.18
2015-01-04,141.18,142.51,137.47,138.78,1561428,138.78
2015-01-05,138.78,140.35,138.21,139.78,877465,139.78
2015-01-06,139.78,140.63,138.95,139.79,731312,139.79
2015-01-07,139.79,139.96,139.59,139.76,889133,139.76
2015-01-08,139.76,141.19,138.16,139.59,1655108,139.59
2015-01-09,139.59,141.92,135.2,137.5,1313166,137.5
2015-01-10,137.5,138.51,134.68,135.67,1218375,135.67
2015-01-11,135.67,135.96,134.92,135.21,1131510,135.21
2015-01-12,135.21,138.55,133.61,136.93,896716,136.93
2015-01-13,136.93,137.52,136.3,136.9,962952,136.9
2015-01-14,136.9,141.86,135.27,140.19,1193160,140.19
2015-01-15,140.19,141.96,139.55,141.32,970080,141.32
2015-01-16,141.32,142.79,140.82,142.29,1171355,142.29
2015-01-17,142.29,144.92,140.8,143.41,1452182,143.41
2015-01-18,143.41,143.78,143.24,143.61,685266,143.61
2015-01-19,143.61,154.41,139.41,150.02,1082660,150.02
2015-01-20,150.02,151.67,149.43,151.07,1215096,151.07
2015-01-21,151.07,152.39,147.48,148.78,1037179,148.78
2015-01-22,148.78,155.21,146.27,152.63,1960953,152.63
2015-01-23,152.63,154.34,151.75,153.46,738661,153.46
2015-01-24,153.46,153.99,152.03,152.57,933982,152.57
2015-01-25,152.57,153.54,151.88,152.85,629376,152.85
2015-01-26,152.85,154.77,148.87,150.76,676257,150.76
2015-01-27,150.76,155.59,149.08,153.88,1460034,153.88
2015-01-28,153.88,154.95,151.41,152.48,1479670,152.48
2015-01-29,152.48,155.58,151.38,154.47,954099,154.47
2015-01-30,154.47,155.57,153.54,154.64,727969,154.64
2015-01-31,154.64,156.26,153.89,155.51,648365,155.51
2015-02-01,155.51,156.48,152.91,153.88,1149676,153.88
2015-02-02,153.88,154.7,153.55,154.37,1923981,154.37
2015-02-03,154.37,155.02,152.74,153.39,1763300,153.39
2015-02-04,153.39,154.4,153.01,154.03,1228926,154.03
2015-02-05,154.03,157.54,152.3,155.8,1265510,155.8
2015-02-06,155.8,162.7,151.92,158.75,1647482,158.75
2015-02-07,158.75,160.1,158.27,159.62,1207085,159.62
2015-02-08,159.62,160.99,156.44,157.79,902081,157.79
2015-02-09,157.79,159.19,153.69,155.06,918286,155.06
2015-02-10,155.06,156.24,154.48,155.65,962920,155.65
2015-02-11,155.65,156.81,155.16,156.31,1324446,156.31
2015-02-12,156.31,157.3,155.78,156.77,1395231,156.77
2015-02-13,156.77,159.32,155.82,158.36,900723,158.36
2015-02-14,158.36,163.54,156.53,161.67,1068482,161.67
2015-02-15,161.67,163.91,155.82,158.02,1022283,158.02
2015-02-16,158.02,160.04,157.15,159.17,1257738,159.17
2015-02-17,159.17,159.47,158.79,159.09,1210040,159.09
2015-02-18,159.09,161.16,154.86,156.91,1201016,156.91
2015-02-19,156.91,158.36,155.13,156.59,1561995,156.59
2015-02-20,156.59,157.54,155.49,156.44,1048198,156.44
2015-02-21,156.44,157.91,153.56,155.02,868058,155.02
2015-02-22,155.02,157.62,153.53,156.12,652395,156.12
2015-02-23,156.12,157.01,153.88,154.76,1065528,154.76
2015-02-24,154.76,156.2,154.21,155.65,1111224,155.65
2015-02-25,155.65,158.0,154.41,156.75,700303,156.75
2015-02-26,156.75,159.32,155.87,158.43,1252574,158.43
2015-02-27,158.43,159.86,154.38,155.79,1242250,155.79
2015-02-28,155.79,156.24,154.79,155.24,775423,155.24
2015-03-01,155.24,156.51,152.7,153.95,1626173,153.95
2015-03-02,153.95,155.49,152.65,154.18,1203175,154.18
2015-03-03,154.18,157.34,152.66,155.79,901253,155.79
2015-03-04,155.79,158.58,152.36,155.13,962967,155.13
2015-03-05,155.13,156.72,150.55,152.1,1428025,152.1
2015-03-06,152.1,152.34,151.62,151.86,659097,151.86
2015-03-07,151.86,152.14,151.19,151.47,865858,151.47
2015-03-08,151.47,152.13,150.51,151.17,708353,151.17
2015-03-09,151.17,152.87,147.02,148.7,945123,148.7
2015-03-10,148.7,150.94,147.41,149.64,899705,149.64
2015-03-11,149.64,151.46,148.64,150.45,907808,150.45
2015-03-12,150.45,153.8,149.18,152.52,1176260,152.52
2015-03-13,152.52,153.2,151.06,151.74,895811,151.74
2015-03-14,151.74,151.77,151.69,151.72,1022688,151.72
2015-03-15,151.72,155.26,150.36,153.89,1327337,153.89
2015-03-16,153.89,155.63,152.81,154.55,883403,154.55
2015-03-17,154.55,155.13,152.84,153.41,1008375,153.41
2015-03-18,153.41,155.57,152.65,154.8,1193252,154.8
2015-03-19,154.8,156.41,151.56,153.15,1863827,153.15
2015-03-20,153.15,155.82,151.83,154.49,971138,154.49
2015-03-21,154.49,155.52,154.1,155.12,1241811,155.12
2015-03-22,155.12,185.22,145.58,174.5,1541618,174.5
2015-03-23,174.5,177.55,166.86,169.83,2128607,169.83
2015-03-24,169.83,170.72,169.32,170.2,1300575,170.2
2015-03-25,170.2,172.52,168.45,170.76,1234371,170.76
2015-03-26,170.76,174.57,169.05,172.84,881275,172.84
2015-03-27,172.84,174.15,170.32,171.62,953069,171.62
2015-03-28,171.62,172.22,171.17,171.77,1128155,171.77
2015-03-29,171.77,176.36,170.07,174.63,741460,174.63
2015-03-30,174.63,174.9,174.05,174.32,775918,174.32
2015-03-31,174.32,175.81,171.07,172.55,1125259,172.55
2015-04-01,172.55,173.0,171.92,172.38,592081,172.38
2015-04-02,172.38,174.78,171.23,173.62,726109,173.62
2015-04-03,173.62,174.38,171.5,172.26,887558,172.26
2015-04-04,172.26,175.86,170.03,173.62,1427744,173.62
2015-04-05,173.62,175.42,170.82,172.6,802983,172.6
2015-04-06,172.6,177.25,170.41,175.02,1128292,175.02
2015-04-07,175.02,175.06,174.91,174.95,1126834,174.95
2015-04-08,174.95,176.02,172.05,173.1,1617582,173.1
2015-04-09,173.1,177.02,171.01,174.91,1410327,174.91
2015-04-10,174.91,182.11,171.94,179.07,1164396,179.07
2015-04-11,179.07,179.46,178.83,179.22,1170061,179.22
2015-04-12,179.22,181.07,178.54,180.39,710037,180.39
2015-04-13,180.39,181.38,177.56,178.54,1044951,178.54
2015-04-14,178.54,179.53,178.06,179.04,1829065,179.04
2015-04-15,179.04,180.66,177.54,179.15,896295,179.15
2015-04-16,179.15,179.97,176.89,177.7,1064272,177.7
2015-04-17,177.7,179.15,176.53,177.98,982421,177.98
2015-04-18,177.98,179.01,175.67,176.69,937978,176.69
2015-04-19,176.69,177.13,175.78,176.21,1702814,176.21
2015-04-20,176.21,180.49,174.67,178.93,893140,178.93
2015-04-21,178.93,184.3,176.71,182.03,1511741,182.03
2015-04-22,182.03,185.61,178.96,182.54,1000069,182.54
2015-04-23,182.54,182.68,182.29,182.44,942784,182.44
2015-04-24,182.44,184.66,181.27,183.49,931160,183.49
2015-04-25,183.49,184.23,181.69,182.43,828146,182.43
2015-04-26,182.43,184.75,180.56,182.87,1336035,182.87
2015-04-27,182.87,185.22,179.69,182.03,777925,182.03
2015-04-28,182.03,183.68,179.62,181.27,980316,181.27
2015-04-29,181.27,183.58,178.39,180.7,1113045,180.7
2015-04-30,180.7,181.04,180.55,180.9,673616,180.9
2015-05-01,180.9,182.29,177.09,178.46,841347,178.46
2015-05-02,178.46,179.2,176.92,177.65,692561,177.65
2015-05-03,177.65,178.02,177.43,177.8,1052814,177.8
2015-05-04,177.8,181.9,176.24,180.31,1057350,180.31
2015-05-05,180.31,182.51,178.66,180.85,740052,180.85
2015-05-06,180.85,182.56,179.74,181.44,1033050,181.44
2015-05-07,181.44,184.69,180.31,183.54,742640,183.54
2015-05-08,183.54,185.41,179.68,181.52,1200115,181.52
2015-05-09,181.52,182.89,179.62,180.98,687977,180.98
2015-05-10,180.98,182.73,176.83,178.56,866321,178.56
2015-05-11,178.56,179.17,176.92,177.53,1302641,177.53
2015-05-12,177.53,182.3,167.33,171.95,1278753,171.95
2015-05-13,171.95,173.07,170.41,171.54,860077,171.54
2015-05-14,171.54,172.41,170.41,171.28,827001,171.28
2015-05-15,171.28,174.72,166.92,170.34,1237776,170.34
2015-05-16,170.34,171.12,169.19,169.96,824609,169.96
2015-05-17,169.96,170.11,169.88,170.03,904365,170.03
2015-05-18,170.03,171.5,169.26,170.73,663865,170.73
2015-05-19,170.73,173.83,169.19,172.28,1112718,172.28
2015-05-20,172.28,174.24,170.01,171.97,947469,171.97
2015-05-21,171.97,172.42,171.52,171.97,817375,171.97
2015-05-22,171.97,175.43,170.15,173.59,768046,173.59
2015-05-23,173.59,173.69,173.44,173.54,1009361,173.54
2015-05-24,173.54,175.49,170.24,172.18,789120,172.18
2015-05-25,172.18,174.35,166.25,168.37,1277427,168.37
2015-05-26,168.37,169.07,167.48,168.17,1262912,168.17
2015-05-27,168.17,170.01,165.23,167.05,1190781,167.05
2015-05-28,167.05,169.63,165.41,167.98,1188609,167.98
2015-05-29,167.98,174.89,165.62,172.47,1081582,172.47
2015-05-30,172.47,173.55,171.88,172.95,806530,172.95
2015-05-31,172.95,174.96,168.65,170.63,938791,170.63
2015-06-01,170.63,173.3,168.52,171.19,1691990,171.19
2015-06-02,171.19,174.79,169.69,173.28,1015061,173.28
2015-06-03,173.28,175.95,167.13,169.74,1103478,169.74
2015-06-04,169.74,171.67,165.04,166.94,982354,166.94
2015-06-05,166.94,168.71,165.76,167.52,1096216,167.52
2015-06-06,167.52,171.44,165.38,169.28,738075,169.28
2015-06-07,169.28,170.37,167.3,168.39,1239955,168.39
2015-06-08,168.39,171.88,166.8,170.27,1359048,170.27
2015-06-09,170.27,172.22,169.5,171.44,656539,171.44
2015-06-10,171.44,173.25,170.27,172.08,928612,172.08
2015-06-11,172.08,173.9,167.83,169.62,1307712,169.62
2015-06-12,169.62,170.85,166.78,167.99,927277,167.99
2015-06-13,167.99,170.44,167.06,169.5,860936,169.5
2015-06-14,169.5,178.63,166.07,175.08,1453635,175.08
