Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,280.0,280.82,279.18,280.0,1019214,280.0
2015-01-02,280.0,281.73,275.2,276.91,1505147,276.91
2015-01-03,276.91,278.53,275.86,277.47,920634,277.47
2015-01-04,277.47,280.62,274.11,277.25,700468,277.25
2015-01-05,277.25,277.97,275.77,276.48,1870951,276.48
2015-01-06,276.48,276.63,276.23,276.38,1022433,276.38
2015-01-07,276.38,277.49,275.27,276.39,960238,276.39
2015-01-08,276.39,280.23,274.02,277.84,1141997,277.84
2015-01-09,277.84,279.77,277.02,278.94,566819,278.94
2015-01-10,278.94,279.99,276.39,277.43,832511,277.43
2015-01-11,277.43,278.36,275.05,275.97,1013439,275.97
2015-01-12,275.97,280.97,273.93,278.91,1711993,278.91
2015-01-13,278.91,283.97,277.21,282.25,524022,282.25
2015-01-14,282.25,282.5,281.62,281.87,1014084,281.87
2015-01-15,281.87,284.9,277.7,280.72,1018444,280.72
2015-01-16,280.72,281.52,278.67,279.47,1292498,279.47
2015-01-17,279.47,283.57,276.17,280.26,1768297,280.26
2015-01-18,280.26,280.63,279.41,279.77,706927,279.77
2015-01-19,279.77,282.36,275.73,278.29,1305827,278.29
2015-01-20,278.29,281.09,276.57,279.36,1830488,279.36
2015-01-21,279.36,280.47,277.63,278.74,882073,278.74
2015-01-22,278.74,278.88,278.36,278.51,1280955,278.51
2015-01-23,278.51,283.64,276.8,281.91,896281,281.91
2015-01-24,281.91,282.94,280.15,281.17,1051297,281.17
2015-01-25,281.17,286.7,278.2,283.7,1130389,283.7
2015-01-26,283.7,287.42,275.19,278.85,1711222,278.85
2015-01-27,278.85,281.36,277.51,280.02,1624504,280.02
2015-01-28,280.02,282.19,274.82,276.97,817853,276.97
2015-01-29,276.97,282.08,273.99,279.08,1115012,279.08
2015-01-30,279.08,286.33,263.86,270.9,1568266,270.9
2015-01-31,270.9,276.97,254.61,260.44,1783592,260.44
2015-02-01,260.44,262.22,255.61,257.36,1559378,257.36
2015-02-02,257.36,260.58,253.28,256.49,1682686,256.49
2015-02-03,256.49,257.81,255.56,256.87,545756,256.87
2015-02-04,256.87,258.88,254.86,256.87,1878125,256.87
