Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,450.0,450.14,449.86,450.0,744788,450.0
2015-01-02,450.0,456.13,447.71,453.82,2088161,453.82
2015-01-03,453.82,456.12,452.31,454.6,774378,454.6
2015-01-04,454.6,457.08,452.3,454.78,508314,454.78
2015-01-05,454.78,460.17,452.88,458.26,511317,458.26
2015-01-06,458.26,460.73,450.91,453.36,660907,453.36
2015-01-07,453.36,454.37,450.44,451.45,1603521,451.45
2015-01-08,451.45,456.86,448.71,454.1,911732,454.1
2015-01-09,454.1,462.75,449.02,457.63,1318914,457.63
2015-01-10,457.63,465.39,450.41,458.17,1188652,458.17
2015-01-11,458.17,460.77,453.86,456.46,1409415,456.46
2015-01-12,456.46,458.67,451.3,453.5,984341,453.5
2015-01-13,453.5,454.23,451.68,452.41,998081,452.41
2015-01-14,452.41,453.41,450.21,451.21,850177,451.21
2015-01-15,451.21,463.1,445.99,457.8,1135406,457.8
2015-01-16,457.8,459.81,456.99,459.0,1809024,459.0
2015-01-17,459.0,467.32,453.91,462.19,1004359,462.19
2015-01-18,462.19,465.0,461.07,463.86,871134,463.86
2015-01-19,463.86,465.6,463.26,464.99,1276509,464.99
2015-01-20,464.99,466.77,461.93,463.7,1281743,463.7
2015-01-21,463.7,465.28,459.92,461.49,963110,461.49
2015-01-22,461.49,470.14,458.49,467.1,884780,467.1
2015-01-23,467.1,474.05,461.16,468.11,1291693,468.11
2015-01-24,468.11,470.46,466.77,469.12,991037,469.12
2015-01-25,469.12,471.95,467.71,470.53,1506181,470.53
2015-01-26,470.53,475.91,458.77,464.07,900806,464.07
2015-01-27,464.07,471.9,459.65,467.46,899238,467.46
2015-01-28,467.46,471.89,457.01,461.39,894607,461.39
2015-01-29,461.39,465.61,459.92,464.13,938625,464.13
2015-01-30,464.13,467.85,462.78,466.5,826738,466.5
2015-01-31,466.5,472.38,463.21,469.07,1213199,469.07
2015-02-01,469.07,473.55,461.42,465.87,590391,465.87
2015-02-02,465.87,473.23,452.03,459.3,1736511,459.3
2015-02-03,459.3,462.51,451.36,454.54,1174719,454.54
2015-02-04,454.54,462.28,449.93,457.64,635141,457.64
2015-02-05,457.64,470.94,449.52,462.74,1376829,462.74
2015-02-06,462.74,473.1,458.51,468.82,1211172,468.82
2015-02-07,468.82,475.33,460.98,467.48,814143,467.48
2015-02-08,467.48,472.57,459.18,464.23,1138127,464.23
2015-02-09,464.23,475.51,458.08,469.28,738511,469.28
2015-02-10,469.28,471.39,468.41,470.52,1348926,470.52
2015-02-11,470.52,476.46,467.07,473.0,1308705,473.0
2015-02-12,473.0,474.77,471.87,473.64,1825977,473.64
2015-02-13,473.64,478.39,471.78,476.52,928052,476.52
2015-02-14,476.52,478.21,472.79,474.47,1143782,474.47
2015-02-15,474.47,479.23,465.97,470.7,1326605,470.7
2015-02-16,470.7,481.49,464.29,475.03,1560035,475.03
2015-02-17,475.03,481.4,470.92,477.26,524948,477.26
2015-02-18,477.26,481.93,472.42,477.09,899518,477.09
2015-02-19,477.09,483.47,474.05,480.41,954442,480.41
2015-02-20,480.41,484.5,470.75,474.79,992384,474.79
2015-02-21,474.79,482.69,471.05,478.92,935942,478.92
2015-02-22,478.92,481.75,476.5,479.33,1641767,479.33
2015-02-23,479.33,482.64,475.71,479.02,1185152,479.02
2015-02-24,479.02,480.86,476.66,478.49,872988,478.49
2015-02-25,478.49,482.36,473.37,477.22,514435,477.22
2015-02-26,477.22,480.43,475.39,478.59,643827,478.59
2015-02-27,478.59,483.68,466.45,471.46,1053690,471.46
2015-02-28,471.46,475.89,469.71,474.13,818283,474.13
2015-03-01,474.13,477.01,468.7,471.57,2260635,471.57
2015-03-02,471.57,476.7,461.28,466.36,1184333,466.36
2015-03-03,466.36,476.59,462.36,472.54,787408,472.54
2015-03-04,472.54,480.4,468.61,476.44,796579,476.44
2015-03-05,476.44,479.44,470.5,473.49,1525667,473.49
2015-03-06,473.49,480.36,469.7,476.55,1177299,476.55
2015-03-07,476.55,477.2,475.04,475.69,877452,475.69
2015-03-08,475.69,479.02,470.17,473.48,1430979,473.48
2015-03-09,473.48,476.81,463.87,467.15,1796217,467.15
2015-03-10,467.15,470.46,465.4,468.7,650932,468.7
2015-03-11,468.7,469.93,468.2,469.43,948931,469.43
2015-03-12,469.43,472.81,464.55,467.92,1615827,467.92
2015-03-13,467.92,472.29,456.89,461.2,1150963,461.2
2015-03-14,461.2,465.73,453.09,457.58,803137,457.58
2015-03-15,457.58,461.41,446.89,450.66,1232085,450.66
2015-03-16,450.66,453.04,449.68,452.05,1070720,452.05
2015-03-17,452.05,454.23,449.15,451.33,977577,451.33
2015-03-18,451.33,453.08,450.45,452.2,909013,452.2
2015-03-19,452.2,455.05,451.22,454.06,568217,454.06
2015-03-20,454.06,457.92,449.08,452.93,550713,452.93
2015-03-21,452.93,465.47,446.15,458.61,1234247,458.61
2015-03-22,458.61,469.72,452.48,463.53,911753,463.53
2015-03-23,463.53,467.29,452.81,456.51,694008,456.51
2015-03-24,456.51,463.6,450.38,457.46,1182857,457.46
2015-03-25,457.46,462.56,455.19,460.27,1165793,460.27
2015-03-26,460.27,466.44,457.92,464.07,1466753,464.07
2015-03-27,464.07,465.64,459.92,461.48,1347944,461.48
2015-03-28,461.48,466.57,459.54,464.61,1468826,464.61
2015-03-29,464.61,473.31,461.25,469.91,782271,469.91
2015-03-30,469.91,470.8,469.32,470.2,1193345,470.2
2015-03-31,470.2,479.76,466.24,475.75,1199755,475.75
2015-04-01,475.75,481.6,472.24,478.08,1062271,478.08
2015-04-02,478.08,486.38,474.98,483.24,950560,483.24
2015-04-03,483.24,485.99,481.18,483.93,753043,483.93
2015-04-04,483.93,484.94,483.01,484.02,701203,484.02
2015-04-05,484.02,488.23,481.48,485.69,814369,485.69
2015-04-06,485.69,495.29,481.68,491.24,1147769,491.24
2015-04-07,491.24,494.85,483.7,487.28,1023312,487.28
2015-04-08,487.28,488.01,486.77,487.49,607453,487.49
2015-04-09,487.49,494.28,483.63,490.4,1805555,490.4
2015-04-10,490.4,498.81,487.21,495.59,1092836,495.59
2015-04-11,495.59,499.29,487.77,491.44,931992,491.44
2015-04-12,491.44,497.74,489.09,495.37,1051170,495.37
2015-04-13,495.37,504.37,492.04,501.0,1560794,501.0
2015-04-14,501.0,508.56,497.95,505.48,855210,505.48
2015-04-15,505.48,509.02,499.3,502.83,951519,502.83
2015-04-16,502.83,505.29,497.22,499.67,922989,499.67
2015-04-17,499.67,507.06,496.63,503.99,477364,503.99
2015-04-18,503.99,511.57,500.85,508.4,956590,508.4
2015-04-19,508.4,512.06,506.07,509.73,1125366,509.73
2015-04-20,509.73,513.76,507.52,511.54,884812,511.54
2015-04-21,511.54,518.06,508.31,514.82,1229586,514.82
2015-04-22,514.82,517.28,507.7,510.14,1216693,510.14
2015-04-23,510.14,512.65,505.22,507.71,1166371,507.71
2015-04-24,507.71,509.32,504.42,506.02,1044356,506.02
2015-04-25,506.02,508.35,504.7,507.02,1035025,507.02
2015-04-26,507.02,509.36,502.95,505.28,1201336,505.28
2015-04-27,505.28,521.09,463.54,478.52,1524060,478.52
2015-04-28,478.52,482.45,475.4,479.33,1138120,479.33
2015-04-29,479.33,482.56,477.49,480.71,1165171,480.71
2015-04-30,480.71,487.24,478.19,484.7,1014062,484.7
2015-05-01,484.7,491.35,481.41,488.03,600137,488.03
2015-05-02,488.03,490.84,485.18,487.99,1198221,487.99
2015-05-03,487.99,489.57,484.62,486.2,863222,486.2
2015-05-04,486.2,493.38,482.96,490.12,1316158,490.12
2015-05-05,490.12,493.38,487.9,491.15,896277,491.15
2015-05-06,491.15,497.06,488.87,494.76,1340334,494.76
2015-05-07,494.76,501.09,490.4,496.72,1184514,496.72
2015-05-08,496.72,499.09,491.01,493.36,1154961,493.36
2015-05-09,493.36,500.92,489.59,497.12,890780,497.12
2015-05-10,497.12,497.99,494.54,495.41,774649,495.41
2015-05-11,495.41,505.03,476.58,486.02,1173617,486.02
2015-05-12,486.02,494.73,466.79,475.31,980688,475.31
2015-05-13,475.31,477.09,471.73,473.5,721749,473.5
2015-05-14,473.5,479.12,466.19,471.79,1062450,471.79
2015-05-15,471.79,477.11,468.03,473.34,1023127,473.34
2015-05-16,473.34,478.07,467.33,472.05,1603471,472.05
2015-05-17,472.05,474.04,466.87,468.86,685167,468.86
2015-05-18,468.86,475.97,466.29,473.38,1039250,473.38
2015-05-19,473.38,474.38,470.68,471.67,650353,471.67
2015-05-20,471.67,477.53,469.16,475.0,1181819,475.0
2015-05-21,475.0,477.69,470.89,473.58,1133402,473.58
2015-05-22,473.58,490.58,466.24,483.1,1384881,483.1
2015-05-23,483.1,487.98,480.82,485.7,961670,485.7
2015-05-24,485.7,490.87,483.25,488.41,1102365,488.41
2015-05-25,488.41,493.49,477.36,482.37,941131,482.37
2015-05-26,482.37,484.38,479.44,481.45,1154197,481.45
2015-05-27,481.45,490.89,476.05,485.45,987047,485.45
2015-05-28,485.45,486.14,485.02,485.71,1073922,485.71
2015-05-29,485.71,495.15,482.54,491.94,751263,491.94
2015-05-30,491.94,498.71,488.74,495.49,616665,495.49
2015-05-31,495.49,499.32,484.21,487.99,1258428,487.99
2015-06-01,487.99,495.88,483.3,491.16,706835,491.16
2015-06-02,491.16,491.44,491.0,491.28,1240913,491.28
2015-06-03,491.28,505.36,484.26,498.24,984364,498.24
2015-06-04,498.24,502.98,493.49,498.24,1106865,498.24
2015-06-05,498.24,512.94,490.39,504.98,1637493,504.98
2015-06-06,504.98,509.65,502.66,507.32,681247,507.32
2015-06-07,507.32,513.28,492.05,497.9,2273527,497.9
2015-06-08,497.9,499.63,494.16,495.88,1030106,495.88
2015-06-09,495.88,496.51,495.35,495.98,1766684,495.98
2015-06-10,495.98,500.31,491.39,495.72,990606,495.72
2015-06-11,495.72,497.68,494.76,496.72,1350606,496.72
2015-06-12,496.72,498.84,494.2,496.31,1372875,496.31
2015-06-13,496.31,500.77,493.55,498.0,997983,498.0
2015-06-14,498.0,509.82,491.17,502.92,1434077,502.92
2015-06-15,502.92,513.97,484.83,495.72,815233,495.72
2015-06-16,495.72,497.0,492.39,493.66,1312018,493.66
2015-06-17,493.66,496.15,492.64,495.12,982156,495.12
2015-06-18,495.12,500.59,491.22,496.67,1208145,496.67
2015-06-19,496.67,500.68,485.98,489.93,938899,489.93
2015-06-20,489.93,491.05,488.15,489.27,1080148,489.27
2015-06-21,489.27,501.55,478.8,491.05,783838,491.05
2015-06-22,491.05,503.27,486.5,498.66,2483215,498.66
2015-06-23,498.66,501.07,496.52,498.93,747915,498.93
2015-06-24,498.93,501.56,493.32,495.94,892337,495.94
2015-06-25,495.94,506.86,491.12,501.98,1068669,501.98
2015-06-26,501.98,505.9,499.88,503.79,1165175,503.79
2015-06-27,503.79,515.27,498.83,510.25,975124,510.25
2015-06-28,510.25,510.51,510.09,510.35,1144629,510.35
2015-06-29,510.35,512.65,505.04,507.33,1159979,507.33
2015-06-30,507.33,518.04,503.4,514.06,1582324,514.06
2015-07-01,514.06,520.45,501.14,507.45,1089627,507.45
2015-07-02,507.45,512.67,499.94,505.13,545815,505.13
2015-07-03,505.13,508.91,497.17,500.92,1175524,500.92
2015-07-04,500.92,505.18,499.14,503.4,1126165,503.4
2015-07-05,503.4,506.73,501.25,504.57,748826,504.57
2015-07-06,504.57,507.79,502.75,505.96,658516,505.96
2015-07-07,505.96,509.38,497.11,500.49,820736,500.49
2015-07-08,500.49,513.47,492.41,505.31,804581,505.31
2015-07-09,505.31,509.47,496.84,500.96,1022829,500.96
2015-07-10,500.96,512.35,496.06,507.39,2047005,507.39
2015-07-11,507.39,521.16,501.66,515.34,1288902,515.34
2015-07-12,515.34,517.53,510.23,512.42,817757,512.42
2015-07-13,512.42,518.44,509.27,515.28,1061914,515.28
2015-07-14,515.28,519.3,503.38,507.33,1299520,507.33
2015-07-15,507.33,520.44,500.32,513.35,1693065,513.35
2015-07-16,513.35,517.37,510.83,514.84,1044915,514.84
2015-07-17,514.84,527.13,508.58,520.81,742918,520.81
2015-07-18,520.81,521.28,519.44,519.91,1469950,519.91
2015-07-19,519.91,524.83,518.21,523.12,1455984,523.12
2015-07-20,523.12,525.44,517.7,520.01,1268401,520.01
