Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,250.0,250.08,249.92,250.0,1281252,250.0
2015-01-02,250.0,253.69,247.25,250.94,817930,250.94
2015-01-03,250.94,252.9,249.55,251.52,695841,251.52
2015-01-04,251.52,253.05,246.99,248.51,954141,248.51
2015-01-05,248.51,249.62,247.99,249.1,1218222,249.1
2015-01-06,249.1,250.09,248.64,249.63,1281728,249.63
2015-01-07,249.63,249.89,249.29,249.54,1289631,249.54
2015-01-08,249.54,250.3,249.13,249.88,860878,249.88
2015-01-09,249.88,251.55,247.81,249.48,713566,249.48
2015-01-10,249.48,250.57,247.87,248.95,928637,248.95
2015-01-11,248.95,250.95,243.99,245.96,879566,245.96
2015-01-12,245.96,249.69,244.06,247.78,1218905,247.78
2015-01-13,247.78,251.24,246.45,249.9,1223465,249.9
2015-01-14,249.9,256.5,247.53,254.1,1136600,254.1
2015-01-15,254.1,255.34,253.35,254.59,788651,254.59
2015-01-16,254.59,257.36,252.32,255.08,948204,255.08
2015-01-17,255.08,257.14,254.11,256.17,1193016,256.17
2015-01-18,256.17,256.56,256.02,256.41,1051111,256.41
2015-01-19,256.41,259.16,255.24,257.98,590630,257.98
2015-01-20,257.98,258.94,255.83,256.79,1308293,256.79
2015-01-21,256.79,262.04,248.78,253.98,1476389,253.98
2015-01-22,253.98,259.14,251.77,256.91,1017405,256.91
2015-01-23,256.91,258.14,255.87,257.1,860740,257.1
2015-01-24,257.1,261.56,252.29,256.75,768518,256.75
2015-01-25,256.75,259.73,255.01,257.98,1373277,257.98
2015-01-26,257.98,259.87,254.39,256.26,1215439,256.26
2015-01-27,256.26,262.08,253.65,259.44,1189514,259.44
2015-01-28,259.44,264.29,257.11,261.94,906253,261.94
2015-01-29,261.94,267.92,258.52,264.47,1072538,264.47
2015-01-30,264.47,265.15,262.59,263.26,1989252,263.26
2015-01-31,263.26,264.32,262.85,263.91,1009592,263.91
2015-02-01,263.91,265.64,262.82,264.55,888463,264.55
