Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,350.0,350.32,349.68,350.0,801581,350.0
2015-01-02,350.0,352.6,348.43,351.03,1187325,351.03
2015-01-03,351.03,359.73,329.56,337.93,2266606,337.93
2015-01-04,337.93,346.75,321.39,330.0,856333,330.0
2015-01-05,330.0,331.81,328.67,330.47,859958,330.47
2015-01-06,330.47,336.94,321.82,328.25,1228122,328.25
2015-01-07,328.25,340.91,322.91,335.46,822180,335.46
2015-01-08,335.46,339.52,326.19,330.19,661555,330.19
2015-01-09,330.19,333.4,328.61,331.81,1064691,331.81
2015-01-10,331.81,332.39,331.56,332.14,802442,332.14
2015-01-11,332.14,336.77,320.7,325.24,1589073,325.24
2015-01-12,325.24,336.12,320.51,331.3,827902,331.3
2015-01-13,331.3,338.7,328.43,335.79,1601309,335.79
2015-01-14,335.79,343.95,330.61,338.72,1077978,338.72
2015-01-15,338.72,341.91,337.34,340.53,2316870,340.53
2015-01-16,340.53,351.59,334.61,345.58,1335663,345.58
2015-01-17,345.58,350.7,343.74,348.84,896321,348.84
2015-01-18,348.84,363.67,342.52,357.19,1030228,357.19
2015-01-19,357.19,363.49,354.92,361.19,1392900,361.19
2015-01-20,361.19,370.7,348.15,357.55,1060664,357.55
2015-01-21,357.55,359.53,355.98,357.95,1498599,357.95
2015-01-22,357.95,361.01,351.75,354.78,900607,354.78
2015-01-23,354.78,356.08,352.99,354.29,920568,354.29
2015-01-24,354.29,359.39,346.32,351.38,1167711,351.38
2015-01-25,351.38,358.53,348.66,355.77,1097701,355.77
2015-01-26,355.77,359.67,344.46,348.28,693919,348.28
2015-01-27,348.28,349.6,344.55,345.87,1026613,345.87
2015-01-28,345.87,351.39,344.04,349.54,1474429,349.54
2015-01-29,349.54,351.54,347.93,349.93,1693424,349.93
2015-01-30,349.93,354.73,344.02,348.8,1179145,348.8
2015-01-31,348.8,353.03,341.79,345.98,856064,345.98
2015-02-01,345.98,348.66,344.61,347.29,1314858,347.29
2015-02-02,347.29,356.66,342.11,351.42,806961,351.42
2015-02-03,351.42,356.65,348.85,354.06,562404,354.06
2015-02-04,354.06,357.78,350.12,353.84,787088,353.84
2015-02-05,353.84,367.33,349.1,362.49,1268356,362.49
2015-02-06,362.49,368.28,358.6,364.37,1009530,364.37
2015-02-07,364.37,367.15,358.04,360.79,1320722,360.79
2015-02-08,360.79,366.47,355.1,360.79,921020,360.79
2015-02-09,360.79,364.93,352.36,356.45,1164412,356.45
2015-02-10,356.45,369.05,351.22,363.71,1119151,363.71
2015-02-11,363.71,378.92,358.49,373.56,1021122,373.56
2015-02-12,373.56,374.5,372.1,373.04,1051073,373.04
