Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,88.0,88.04,87.96,88.0,566279,88.0
2015-01-02,88.0,88.98,87.63,88.61,1556038,88.61
2015-01-03,88.61,89.22,87.47,88.08,639258,88.08
2015-01-04,88.08,89.23,87.56,88.71,980579,88.71
2015-01-05,88.71,89.79,88.12,89.19,1181227,89.19
2015-01-06,89.19,89.56,88.96,89.32,904293,89.32
2015-01-07,89.32,90.12,89.04,89.84,1210924,89.84
2015-01-08,89.84,90.91,89.42,90.49,1221785,90.49
2015-01-09,90.49,90.79,90.25,90.55,863017,90.55
2015-01-10,90.55,91.08,89.44,89.96,1049410,89.96
2015-01-11,89.96,91.21,89.53,90.78,1085067,90.78
2015-01-12,90.78,93.16,89.49,91.86,1196468,91.86
2015-01-13,91.86,92.25,91.62,92.01,902079,92.01
2015-01-14,92.01,94.29,90.6,92.87,1366957,92.87
2015-01-15,92.87,94.56,92.05,93.74,895291,93.74
2015-01-16,93.74,94.34,93.35,93.95,1845030,93.95
2015-01-17,93.95,93.97,93.91,93.94,1156617,93.94
2015-01-18,93.94,95.95,92.63,94.63,648071,94.63
2015-01-19,94.63,95.71,94.15,95.23,2186034,95.23
2015-01-20,95.23,95.77,94.0,94.53,716945,94.53
2015-01-21,94.53,94.77,93.96,94.21,1081156,94.21
2015-01-22,94.21,96.27,93.07,95.12,1054627,95.12
2015-01-23,95.12,99.02,93.76,97.63,1979210,97.63
2015-01-24,97.63,98.27,96.31,96.96,1127740,96.96
2015-01-25,96.96,97.1,96.75,96.9,990923,96.9
2015-01-26,96.9,97.37,95.56,96.02,1127351,96.02
2015-01-27,96.02,98.03,95.03,97.03,942195,97.03
2015-01-28,97.03,97.76,95.55,96.28,487858,96.28
2015-01-29,96.28,96.86,95.98,96.56,1247479,96.56
2015-01-30,96.56,98.11,96.04,97.58,779143,97.58
2015-01-31,97.58,97.95,97.46,97.83,1068763,97.83
2015-02-01,97.83,98.82,95.91,96.89,1084358,96.89
2015-02-02,96.89,97.2,96.4,96.71,1711674,96.71
2015-02-03,96.71,96.92,96.56,96.77,988065,96.77
2015-02-04,96.77,99.04,95.98,98.24,1077550,98.24
2015-02-05,98.24,99.76,97.44,98.95,633302,98.95
2015-02-06,98.95,99.54,98.74,99.33,661563,99.33
2015-02-07,99.33,100.52,98.74,99.92,949038,99.92
2015-02-08,99.92,100.74,99.65,100.47,1888406,100.47
2015-02-09,100.47,101.68,97.05,98.24,1098884,98.24
2015-02-10,98.24,98.65,97.71,98.11,694410,98.11
2015-02-11,98.11,98.63,97.75,98.26,1278117,98.26
2015-02-12,98.26,99.75,97.56,99.05,848456,99.05
2015-02-13,99.05,100.02,98.43,99.4,837422,99.4
2015-02-14,99.4,102.04,98.44,101.07,881804,101.07
2015-02-15,101.07,102.13,100.71,101.77,737334,101.77
2015-02-16,101.77,102.75,101.21,102.2,719371,102.2
2015-02-17,102.2,103.06,100.1,100.96,773893,100.96
2015-02-18,100.96,101.9,98.9,99.83,1136949,99.83
2015-02-19,99.83,101.34,99.08,100.59,927507,100.59
2015-02-20,100.59,101.31,99.1,99.81,902563,99.81
2015-02-21,99.81,100.03,99.38,99.6,1192982,99.6
2015-02-22,99.6,100.85,98.79,100.03,918545,100.03
2015-02-23,100.03,101.95,99.28,101.19,989773,101.19
2015-02-24,101.19,101.33,101.11,101.25,1858491,101.25
2015-02-25,101.25,101.82,100.53,101.1,1030269,101.1
2015-02-26,101.1,101.53,99.82,100.25,1347988,100.25
2015-02-27,100.25,100.75,99.92,100.42,1151127,100.42
2015-02-28,100.42,101.2,100.03,100.81,1162640,100.81
2015-03-01,100.81,101.22,99.81,100.22,1597043,100.22
2015-03-02,100.22,100.76,98.84,99.38,813629,99.38
2015-03-03,99.38,101.03,98.73,100.38,810324,100.38
2015-03-04,100.38,100.8,100.11,100.54,922952,100.54
2015-03-05,100.54,101.78,100.02,101.25,584605,101.25
2015-03-06,101.25,101.86,101.03,101.64,1123163,101.64
2015-03-07,101.64,101.94,100.8,101.1,1594922,101.1
2015-03-08,101.1,101.69,99.76,100.34,1096838,100.34
2015-03-09,100.34,102.13,97.7,99.47,1094684,99.47
2015-03-10,99.47,100.51,98.98,100.02,1730774,100.02
2015-03-11,100.02,100.83,99.35,100.16,1152066,100.16
2015-03-12,100.16,100.57,99.89,100.3,745706,100.3
2015-03-13,100.3,100.91,99.54,100.15,1399623,100.15
2015-03-14,100.15,101.6,99.64,101.08,747124,101.08
2015-03-15,101.08,101.1,101.04,101.05,1332043,101.05
2015-03-16,101.05,101.82,100.71,101.47,1045533,101.47
2015-03-17,101.47,101.99,100.39,100.9,868384,100.9
2015-03-18,100.9,104.1,99.15,102.32,1133982,102.32
2015-03-19,102.32,103.94,101.7,103.31,1037595,103.31
2015-03-20,103.31,104.07,101.18,101.92,904145,101.92
2015-03-21,101.92,103.56,101.2,102.83,1161884,102.83
2015-03-22,102.83,103.96,102.34,103.47,1502599,103.47
2015-03-23,103.47,103.69,102.98,103.19,978693,103.19
2015-03-24,103.19,106.02,102.15,104.97,1036437,104.97
2015-03-25,104.97,106.46,104.14,105.63,1375759,105.63
2015-03-26,105.63,107.91,104.61,106.87,1207901,106.87
2015-03-27,106.87,108.09,105.46,106.67,831982,106.67
2015-03-28,106.67,106.74,106.63,106.71,546026,106.71
2015-03-29,106.71,107.34,106.25,106.88,1692265,106.88
2015-03-30,106.88,107.04,106.8,106.96,919007,106.96
2015-03-31,106.96,107.35,106.81,107.21,930681,107.21
2015-04-01,107.21,108.37,105.93,107.1,948710,107.1
2015-04-02,107.1,109.71,105.43,108.03,1717195,108.03
2015-04-03,108.03,108.47,107.8,108.24,1240254,108.24
2015-04-04,108.24,109.01,107.28,108.04,865493,108.04
2015-04-05,108.04,109.15,107.06,108.16,787240,108.16
2015-04-06,108.16,109.76,107.59,109.18,862190,109.18
2015-04-07,109.18,109.4,108.72,108.94,1321148,108.94
2015-04-08,108.94,109.95,107.42,108.42,672264,108.42
2015-04-09,108.42,110.52,107.68,109.76,1427207,109.76
2015-04-10,109.76,111.15,109.08,110.47,1743172,110.47
2015-04-11,110.47,111.42,109.28,110.22,1051142,110.22
2015-04-12,110.22,110.62,109.24,109.64,993818,109.64
2015-04-13,109.64,111.26,109.09,110.71,777728,110.71
2015-04-14,110.71,111.69,110.33,111.31,1059125,111.31
2015-04-15,111.31,111.82,109.89,110.39,1322490,110.39
2015-04-16,110.39,112.27,109.37,111.24,2300162,111.24
2015-04-17,111.24,111.68,110.02,110.47,1281349,110.47
2015-04-18,110.47,110.86,109.77,110.16,1434020,110.16
2015-04-19,110.16,110.41,109.84,110.08,825336,110.08
2015-04-20,110.08,110.84,109.57,110.33,874973,110.33
2015-04-21,110.33,110.71,109.53,109.92,823425,109.92
2015-04-22,109.92,111.2,109.03,110.32,1704490,110.32
2015-04-23,110.32,110.69,109.35,109.72,1513185,109.72
2015-04-24,109.72,110.22,109.29,109.79,1360115,109.79
2015-04-25,109.79,110.07,109.65,109.94,1093804,109.94
2015-04-26,109.94,110.12,109.48,109.66,1179306,109.66
2015-04-27,109.66,109.86,109.54,109.75,621251,109.75
2015-04-28,109.75,111.94,109.02,111.2,750311,111.2
2015-04-29,111.2,112.25,110.24,111.3,669150,111.3
2015-04-30,111.3,112.99,110.28,111.96,1312256,111.96
2015-05-01,111.96,112.56,110.87,111.47,845401,111.47
2015-05-02,111.47,111.58,111.16,111.26,1542862,111.26
2015-05-03,111.26,113.05,110.31,112.09,1441430,112.09
2015-05-04,112.09,114.8,110.96,113.66,809063,113.66
2015-05-05,113.66,114.29,112.92,113.55,644896,113.55
2015-05-06,113.55,113.77,113.06,113.28,1331177,113.28
2015-05-07,113.28,114.22,112.65,113.59,1302650,113.59
2015-05-08,113.59,114.48,111.21,112.09,712194,112.09
2015-05-09,112.09,114.41,111.25,113.56,1677130,113.56
2015-05-10,113.56,114.47,112.25,113.15,1195645,113.15
2015-05-11,113.15,114.06,111.02,111.91,806090,111.91
2015-05-12,111.91,112.96,111.48,112.52,1246736,112.52
2015-05-13,112.52,113.04,111.76,112.28,841908,112.28
2015-05-14,112.28,112.53,112.12,112.37,1098872,112.37
2015-05-15,112.37,112.7,111.49,111.81,705117,111.81
2015-05-16,111.81,113.3,111.16,112.64,1656392,112.64
2015-05-17,112.64,113.21,111.58,112.15,1587875,112.15
2015-05-18,112.15,112.36,111.55,111.77,954343,111.77
2015-05-19,111.77,113.21,111.2,112.64,854379,112.64
2015-05-20,112.64,112.96,112.3,112.63,1092494,112.63
2015-05-21,112.63,113.79,109.83,110.98,873602,110.98
2015-05-22,110.98,114.25,109.74,112.99,785471,112.99
2015-05-23,112.99,113.15,112.79,112.95,764102,112.95
2015-05-24,112.95,115.07,111.38,113.49,1511349,113.49
2015-05-25,113.49,114.67,111.18,112.34,665522,112.34
2015-05-26,112.34,113.23,111.99,112.88,788676,112.88
2015-05-27,112.88,115.59,111.5,114.2,1316937,114.2
