Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,95.0,95.24,94.76,95.0,934077,95.0
2015-01-02,95.0,98.01,92.74,95.73,1606292,95.73
2015-01-03,95.73,97.23,95.17,96.67,1603804,96.67
2015-01-04,96.67,100.25,90.43,93.91,756888,93.91
2015-01-05,93.91,96.48,92.62,95.17,1690875,95.17
2015-01-06,95.17,96.33,93.31,94.47,875605,94.47
2015-01-07,94.47,94.8,93.81,94.15,1379365,94.15
2015-01-08,94.15,94.44,93.57,93.85,1354918,93.85
2015-01-09,93.85,94.22,93.38,93.74,1122778,93.74
2015-01-10,93.74,94.67,91.39,92.3,1526150,92.3
2015-01-11,92.3,92.45,92.15,92.3,859373,92.3
2015-01-12,92.3,95.86,89.54,93.08,599125,93.08
2015-01-13,93.08,95.0,92.17,94.07,1255178,94.07
2015-01-14,94.07,95.55,93.41,94.89,1037356,94.89
2015-01-15,94.89,95.26,94.39,94.77,927776,94.77
2015-01-16,94.77,95.03,94.6,94.86,1423518,94.86
2015-01-17,94.86,96.03,94.44,95.61,593586,95.61
2015-01-18,95.61,97.01,95.13,96.53,1319933,96.53
2015-01-19,96.53,99.89,95.16,98.5,1354654,98.5
2015-01-20,98.5,99.08,97.52,98.1,1713559,98.1
2015-01-21,98.1,98.67,96.79,97.36,888146,97.36
2015-01-22,97.36,100.4,96.14,99.16,964982,99.16
2015-01-23,99.16,103.69,96.23,100.71,736757,100.71
2015-01-24,100.71,101.57,98.72,99.58,1315210,99.58
2015-01-25,99.58,100.87,99.07,100.36,1348130,100.36
2015-01-26,100.36,101.55,97.68,98.85,785936,98.85
2015-01-27,98.85,103.46,97.3,101.86,1414654,101.86
2015-01-28,101.86,103.08,100.38,101.6,1096115,101.6
2015-01-29,101.6,102.54,101.29,102.22,1104176,102.22
2015-01-30,102.22,102.45,101.82,102.05,890862,102.05
2015-01-31,102.05,104.77,100.46,103.16,1117931,103.16
2015-02-01,103.16,104.02,101.68,102.54,1862622,102.54
2015-02-02,102.54,104.54,101.53,103.51,727687,103.51
2015-02-03,103.51,103.85,102.96,103.3,1015101,103.3
2015-02-04,103.3,103.93,103.01,103.64,539499,103.64
2015-02-05,103.64,106.2,102.58,105.12,935164,105.12
2015-02-06,105.12,108.98,103.51,107.34,777451,107.34
2015-02-07,107.34,108.76,106.66,108.09,1466943,108.09
2015-02-08,108.09,110.28,104.29,106.45,1065362,106.45
2015-02-09,106.45,108.19,102.08,103.78,885342,103.78
2015-02-10,103.78,105.32,101.82,103.36,1826865,103.36
2015-02-11,103.36,103.67,102.68,102.99,1383889,102.99
2015-02-12,102.99,103.26,102.83,103.1,920395,103.1
2015-02-13,103.1,103.91,102.53,103.34,1955763,103.34
2015-02-14,103.34,106.32,101.56,104.51,1067080,104.51
2015-02-15,104.51,106.14,101.33,102.94,939587,102.94
2015-02-16,102.94,105.49,101.98,104.51,1351383,104.51
2015-02-17,104.51,105.95,101.86,103.29,1188551,103.29
2015-02-18,103.29,103.81,101.94,102.46,909951,102.46
2015-02-19,102.46,104.13,101.89,103.55,954434,103.55
2015-02-20,103.55,103.76,103.42,103.63,1195136,103.63
2015-02-21,103.63,104.12,102.65,103.14,1057089,103.14
2015-02-22,103.14,104.13,102.78,103.77,1138100,103.77
2015-02-23,103.77,105.63,100.31,102.14,580910,102.14
2015-02-24,102.14,102.19,102.09,102.14,1536924,102.14
2015-02-25,102.14,102.94,101.74,102.53,694138,102.53
2015-02-26,102.53,105.14,101.35,103.94,1974373,103.94
