Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,300.0,301.97,298.03,300.0,1232495,300.0
2015-01-02,300.0,304.27,288.18,292.34,1658751,292.34
2015-01-03,292.34,293.22,291.06,291.94,1239432,291.94
2015-01-04,291.94,293.85,288.42,290.32,1041659,290.32
2015-01-05,290.32,296.03,288.14,293.82,1515499,293.82
2015-01-06,293.82,296.91,287.33,290.38,1128491,290.38
2015-01-07,290.38,294.0,288.52,292.13,1244265,292.13
2015-01-08,292.13,299.33,289.33,296.48,2921341,296.48
2015-01-09,296.48,301.27,293.31,298.08,1290868,298.08
2015-01-10,298.08,303.43,289.56,294.85,1241348,294.85
2015-01-11,294.85,299.56,291.13,295.83,1360905,295.83
2015-01-12,295.83,299.9,293.91,297.97,978788,297.97
2015-01-13,297.97,304.13,295.6,301.73,1199769,301.73
2015-01-14,301.73,309.8,298.0,306.02,1452458,306.02
2015-01-15,306.02,307.57,305.29,306.84,873411,306.84
2015-01-16,306.84,312.63,304.82,310.59,1080492,310.59
2015-01-17,310.59,316.79,307.75,313.92,973518,313.92
2015-01-18,313.92,320.82,311.25,318.1,741849,318.1
2015-01-19,318.1,321.08,312.56,315.52,1879506,315.52
2015-01-20,315.52,320.86,313.65,318.97,1366276,318.97
2015-01-21,318.97,320.99,315.09,317.1,1282497,317.1
2015-01-22,317.1,318.91,311.94,313.73,2194801,313.73
2015-01-23,313.73,316.28,311.77,314.31,1850457,314.31
2015-01-24,314.31,317.54,308.96,312.17,2009107,312.17
2015-01-25,312.17,315.42,310.88,314.12,1775296,314.12
2015-01-26,314.12,320.53,300.64,306.91,1250267,306.91
2015-01-27,306.91,310.58,300.15,303.79,1260854,303.79
2015-01-28,303.79,305.84,298.38,300.4,1227008,300.4
2015-01-29,300.4,302.04,299.43,301.06,1062289,301.06
2015-01-30,301.06,302.18,298.48,299.6,1354855,299.6
2015-01-31,299.6,304.5,295.8,300.69,1358960,300.69
2015-02-01,300.69,302.03,297.74,299.07,1132952,299.07
2015-02-02,299.07,300.57,296.89,298.38,1753516,298.38
2015-02-03,298.38,300.23,297.51,299.35,1183304,299.35
2015-02-04,299.35,302.41,293.41,296.44,1434833,296.44
2015-02-05,296.44,303.61,293.5,300.63,1089892,300.63
2015-02-06,300.63,301.99,297.63,298.98,1180770,298.98
2015-02-07,298.98,300.74,297.28,299.04,1428843,299.04
2015-02-08,299.04,300.57,297.06,298.59,1911480,298.59
2015-02-09,298.59,301.17,293.96,296.52,962933,296.52
2015-02-10,296.52,297.93,294.85,296.26,757017,296.26
2015-02-11,296.26,305.04,291.2,299.91,690611,299.91
2015-02-12,299.91,306.79,297.38,304.21,985292,304.21
2015-02-13,304.21,306.07,303.23,305.09,1191566,305.09
2015-02-14,305.09,306.94,300.49,302.32,1333007,302.32
2015-02-15,302.32,305.54,295.54,298.72,1182092,298.72
2015-02-16,298.72,302.32,297.4,301.0,1370455,301.0
2015-02-17,301.0,301.85,299.44,300.29,1136335,300.29
2015-02-18,300.29,302.4,298.67,300.77,812045,300.77
2015-02-19,300.77,301.86,298.34,299.42,1123866,299.42
2015-02-20,299.42,302.05,294.07,296.67,1108148,296.67
2015-02-21,296.67,297.72,295.22,296.27,882238,296.27
2015-02-22,296.27,305.7,292.08,301.43,1080219,301.43
2015-02-23,301.43,302.89,298.94,300.39,868969,300.39
2015-02-24,300.39,303.13,292.31,295.0,968400,295.0
2015-02-25,295.0,296.95,291.29,293.23,950910,293.23
2015-02-26,293.23,295.42,289.31,291.49,819040,291.49
2015-02-27,291.49,306.92,250.66,264.66,2810520,264.66
2015-02-28,264.66,265.93,262.05,263.31,832129,263.31
2015-03-01,263.31,264.43,261.05,262.17,1779272,262.17
2015-03-02,262.17,262.5,261.93,262.26,615284,262.26
2015-03-03,262.26,268.68,260.03,266.42,747608,266.42
2015-03-04,266.42,268.78,265.38,267.74,940708,267.74
2015-03-05,267.74,270.45,262.62,265.31,1620037,265.31
2015-03-06,265.31,269.02,262.84,266.54,627097,266.54
2015-03-07,266.54,271.62,264.78,269.84,1509359,269.84
2015-03-08,269.84,270.25,269.37,269.78,1139580,269.78
2015-03-09,269.78,271.46,265.35,267.02,930994,267.02
2015-03-10,267.02,314.27,252.11,297.65,2750774,297.65
2015-03-11,297.65,298.92,296.92,298.18,624418,298.18
2015-03-12,298.18,302.07,296.78,300.66,1129521,300.66
2015-03-13,300.66,307.33,297.43,304.06,2246598,304.06
2015-03-14,304.06,306.72,296.78,299.41,1046866,299.41
2015-03-15,299.41,302.68,291.79,295.02,1546313,295.02
2015-03-16,295.02,301.0,289.65,295.63,1075704,295.63
2015-03-17,295.63,296.59,293.42,294.38,1874785,294.38
2015-03-18,294.38,299.9,292.19,297.68,1047150,297.68
2015-03-19,297.68,299.61,292.85,294.75,994982,294.75
2015-03-20,294.75,297.36,290.85,293.45,988346,293.45
2015-03-21,293.45,303.59,289.61,299.67,943001,299.67
2015-03-22,299.67,308.71,294.4,303.38,1181126,303.38
2015-03-23,303.38,305.16,299.57,301.34,1053426,301.34
2015-03-24,301.34,302.83,299.94,301.43,1089032,301.43
2015-03-25,301.43,328.53,292.66,319.24,1316843,319.24
2015-03-26,319.24,327.35,315.98,324.04,790331,324.04
2015-03-27,324.04,326.77,316.14,318.83,821507,318.83
2015-03-28,318.83,322.57,310.4,314.09,605407,314.09
2015-03-29,314.09,323.63,308.09,317.56,1529645,317.56
2015-03-30,317.56,319.44,316.92,318.79,927616,318.79
2015-03-31,318.79,321.81,316.3,319.32,1947984,319.32
2015-04-01,319.32,325.62,316.07,322.34,973148,322.34
2015-04-02,322.34,329.48,319.03,326.13,817107,326.13
2015-04-03,326.13,328.0,321.81,323.66,1364483,323.66
2015-04-04,323.66,328.05,321.2,325.57,1194373,325.57
2015-04-05,325.57,327.13,322.75,324.3,1149375,324.3
2015-04-06,324.3,331.51,321.52,328.69,1226795,328.69
2015-04-07,328.69,338.23,324.0,333.48,1020908,333.48
2015-04-08,333.48,334.51,333.08,334.12,1503571,334.12
2015-04-09,334.12,338.05,330.94,334.87,1173632,334.87
2015-04-10,334.87,347.4,329.77,342.19,1102773,342.19
2015-04-11,342.19,349.46,331.85,339.05,893502,339.05
2015-04-12,339.05,340.32,335.52,336.77,808188,336.77
2015-04-13,336.77,348.56,329.21,340.91,729359,340.91
2015-04-14,340.91,343.51,334.77,337.35,1380943,337.35
2015-04-15,337.35,342.95,329.24,334.81,1494378,334.81
2015-04-16,334.81,340.63,332.77,338.57,944749,338.57
2015-04-17,338.57,346.38,334.92,342.69,779548,342.69
2015-04-18,342.69,349.59,338.64,345.51,940484,345.51
2015-04-19,345.51,347.42,341.8,343.7,710262,343.7
2015-04-20,343.7,351.98,340.9,349.14,693635,349.14
2015-04-21,349.14,350.47,346.88,348.2,1305851,348.2
2015-04-22,348.2,351.41,343.11,346.29,1247545,346.29
2015-04-23,346.29,348.68,343.78,346.17,972032,346.17
2015-04-24,346.17,349.51,344.58,347.92,1502205,347.92
2015-04-25,347.92,348.94,347.48,348.5,759715,348.5
2015-04-26,348.5,350.86,346.93,349.28,819249,349.28
2015-04-27,349.28,354.64,347.17,352.51,553801,352.51
2015-04-28,352.51,355.37,349.57,352.43,1203405,352.43
2015-04-29,352.43,356.04,350.76,354.36,869288,354.36
2015-04-30,354.36,360.6,352.14,358.35,1106214,358.35
2015-05-01,358.35,364.42,348.78,354.78,975988,354.78
2015-05-02,354.78,357.31,350.19,352.7,567267,352.7
2015-05-03,352.7,359.43,348.31,355.01,939505,355.01
2015-05-04,355.01,356.41,353.85,355.24,855976,355.24
2015-05-05,355.24,356.98,352.8,354.54,1820481,354.54
2015-05-06,354.54,354.76,353.9,354.12,791598,354.12
2015-05-07,354.12,360.78,351.73,358.36,1297875,358.36
2015-05-08,358.36,361.77,350.82,354.19,1357980,354.19
2015-05-09,354.19,356.14,350.38,352.33,867720,352.33
2015-05-10,352.33,357.5,345.33,350.48,816525,350.48
2015-05-11,350.48,350.83,349.44,349.79,951223,349.79
2015-05-12,349.79,352.16,343.78,346.13,1095994,346.13
2015-05-13,346.13,351.01,344.18,349.05,950851,349.05
2015-05-14,349.05,351.5,343.8,346.23,1405815,346.23
2015-05-15,346.23,349.07,344.1,346.94,503646,346.94
2015-05-16,346.94,350.7,345.13,348.88,1634384,348.88
2015-05-17,348.88,354.5,336.72,342.24,797065,342.24
2015-05-18,342.24,353.83,338.27,349.77,1266116,349.77
2015-05-19,349.77,352.59,348.24,351.06,1239905,351.06
2015-05-20,351.06,354.65,345.57,349.14,878251,349.14
2015-05-21,349.14,349.86,348.75,349.47,1622985,349.47
2015-05-22,349.47,351.77,348.63,350.93,927669,350.93
2015-05-23,350.93,353.77,344.74,347.55,1715281,347.55
2015-05-24,347.55,359.52,341.05,352.91,1250225,352.91
2015-05-25,352.91,357.67,340.54,345.19,1071697,345.19
2015-05-26,345.19,347.98,341.66,344.43,1163807,344.43
2015-05-27,344.43,353.82,340.54,349.87,1128542,349.87
2015-05-28,349.87,355.35,347.2,352.66,734400,352.66
2015-05-29,352.66,356.31,350.65,354.29,1063251,354.29
2015-05-30,354.29,365.26,348.61,359.5,1048890,359.5
2015-05-31,359.5,361.62,355.76,357.87,1658706,357.87
2015-06-01,357.87,363.03,355.52,360.66,1219008,360.66
2015-06-02,360.66,366.41,357.57,363.3,587736,363.3
2015-06-03,363.3,365.54,360.17,362.41,734049,362.41
2015-06-04,362.41,365.86,354.47,357.87,883211,357.87
2015-06-05,357.87,360.35,356.17,358.64,777071,358.64
2015-06-06,358.64,364.06,356.42,361.82,1827262,361.82
2015-06-07,361.82,364.62,355.96,358.74,835656,358.74
2015-06-08,358.74,359.07,358.47,358.8,902579,358.8
2015-06-09,358.8,360.26,357.31,358.76,1261431,358.76
2015-06-10,358.76,363.75,354.88,359.86,913067,359.86
2015-06-11,359.86,368.68,355.97,364.74,478907,364.74
2015-06-12,364.74,374.8,361.07,371.07,1625812,371.07
2015-06-13,371.07,381.55,367.29,377.69,696212,377.69
2015-06-14,377.69,379.17,376.86,378.33,727357,378.33
2015-06-15,378.33,382.0,370.12,373.75,1556683,373.75
2015-06-16,373.75,377.87,362.44,366.49,2244820,366.49
2015-06-17,366.49,371.0,364.82,369.32,1301001,369.32
2015-06-18,369.32,371.92,364.12,366.7,964608,366.7
2015-06-19,366.7,367.93,363.89,365.12,1141489,365.12
2015-06-20,365.12,369.27,356.87,360.98,797582,360.98
2015-06-21,360.98,363.99,352.87,355.83,1334213,355.83
2015-06-22,355.83,370.05,349.14,363.22,956287,363.22
2015-06-23,363.22,364.85,361.2,362.83,942899,362.83
2015-06-24,362.83,363.6,361.86,362.64,852293,362.64
2015-06-25,362.64,363.52,360.95,361.83,1128135,361.83
2015-06-26,361.83,362.61,361.14,361.91,681996,361.91
2015-06-27,361.91,364.86,354.18,357.08,1242810,357.08
2015-06-28,357.08,360.85,349.58,353.31,964167,353.31
2015-06-29,353.31,354.56,350.85,352.1,724578,352.1
2015-06-30,352.1,353.43,351.45,352.79,1033013,352.79
2015-07-01,352.79,357.01,341.53,345.67,1665744,345.67
2015-07-02,345.67,358.16,340.31,352.69,1086085,352.69
2015-07-03,352.69,353.95,349.21,350.46,1307228,350.46
2015-07-04,350.46,355.36,338.1,342.89,2133007,342.89
2015-07-05,342.89,345.33,341.72,344.16,1312277,344.16
2015-07-06,344.16,352.4,339.68,347.88,1842341,347.88
2015-07-07,347.88,351.47,346.32,349.9,1117600,349.9
2015-07-08,349.9,351.29,349.34,350.72,1006988,350.72
2015-07-09,350.72,351.97,347.29,348.53,1499012,348.53
2015-07-10,348.53,349.85,347.91,349.23,1208531,349.23
2015-07-11,349.23,351.7,342.7,345.14,1246539,345.14
2015-07-12,345.14,347.11,344.21,346.18,975451,346.18
2015-07-13,346.18,352.64,342.18,348.62,818965,348.62
2015-07-14,348.62,353.88,333.58,338.69,1049495,338.69
2015-07-15,338.69,344.0,336.75,342.04,1346888,342.04
2015-07-16,342.04,344.37,335.16,337.46,828186,337.46
2015-07-17,337.46,346.66,331.44,340.59,1752903,340.59
2015-07-18,340.59,343.69,339.52,342.61,1010377,342.61
2015-07-19,342.61,345.08,341.16,343.61,935949,343.61
2015-07-20,343.61,347.44,335.64,339.42,819280,339.42
2015-07-21,339.42,341.14,337.81,339.52,690776,339.52
2015-07-22,339.52,373.77,328.21,361.72,1098269,361.72
2015-07-23,361.72,368.9,352.75,359.9,1454948,359.9
2015-07-24,359.9,365.23,350.47,355.74,1295917,355.74
2015-07-25,355.74,386.33,345.19,375.21,1576515,375.21
2015-07-26,375.21,383.82,370.64,379.2,1290047,379.2
2015-07-27,379.2,388.88,374.53,384.15,1277138,384.15
2015-07-28,384.15,386.8,382.48,385.13,510917,385.13
2015-07-29,385.13,387.22,379.27,381.34,1534160,381.34
2015-07-30,381.34,386.32,369.29,374.18,878905,374.18
2015-07-31,374.18,375.4,371.38,372.58,875159,372.58
2015-08-01,372.58,375.88,371.05,374.34,736290,374.34
2015-08-02,374.34,387.34,369.85,382.76,1436416,382.76
2015-08-03,382.76,386.95,381.21,385.39,807235,385.39
2015-08-04,385.39,396.18,381.19,391.91,1542293,391.91
2015-08-05,391.91,392.72,390.65,391.45,989070,391.45
2015-08-06,391.45,392.73,390.47,391.74,1086527,391.74
2015-08-07,391.74,398.21,385.05,391.52,920471,391.52
2015-08-08,391.52,393.74,386.27,388.47,906212,388.47
2015-08-09,388.47,391.21,381.99,384.7,1058976,384.7
2015-08-10,384.7,385.5,383.23,384.03,1168635,384.03
2015-08-11,384.03,384.97,382.25,383.19,836014,383.19
2015-08-12,383.19,384.87,379.33,381.0,903103,381.0
2015-08-13,381.0,381.82,378.95,379.77,1237679,379.77
2015-08-14,379.77,388.24,376.34,384.76,1160908,384.76
2015-08-15,384.76,386.8,380.34,382.36,899604,382.36
2015-08-16,382.36,387.96,379.6,385.19,889116,385.19
2015-08-17,385.19,390.8,383.21,388.81,1205466,388.81
2015-08-18,388.81,406.33,381.83,399.16,873761,399.16
2015-08-19,399.16,410.48,392.68,403.92,1322343,403.92
2015-08-20,403.92,411.07,401.28,408.4,866022,408.4
2015-08-21,408.4,416.74,405.48,413.77,955789,413.77
2015-08-22,413.77,421.44,410.84,418.47,1453274,418.47
2015-08-23,418.47,419.33,417.67,418.53,995825,418.53
2015-08-24,418.53,425.15,415.25,421.84,845907,421.84
2015-08-25,421.84,432.1,417.77,427.97,1296994,427.97
2015-08-26,427.97,430.27,422.34,424.62,1125177,424.62
2015-08-27,424.62,428.64,421.04,425.05,1725322,425.05
2015-08-28,425.05,438.91,418.65,432.41,1310658,432.41
2015-08-29,432.41,435.78,430.96,434.33,936518,434.33
2015-08-30,434.33,439.81,430.92,436.39,1012065,436.39
2015-08-31,436.39,437.95,435.8,437.35,1490308,437.35
