Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,85.0,85.56,84.44,85.0,912720,85.0
2015-01-02,85.0,85.16,84.92,85.08,961687,85.08
2015-01-03,85.08,86.34,84.45,85.7,1686512,85.7
2015-01-04,85.7,85.82,85.51,85.63,1050467,85.63
2015-01-05,85.63,87.08,85.12,86.57,1156782,86.57
2015-01-06,86.57,87.58,85.93,86.94,1139323,86.94
2015-01-07,86.94,87.12,86.4,86.58,874182,86.58
2015-01-08,86.58,86.97,85.64,86.03,1442581,86.03
2015-01-09,86.03,86.41,85.8,86.17,830563,86.17
2015-01-10,86.17,86.41,85.58,85.82,1231592,85.82
2015-01-11,85.82,86.46,84.02,84.66,1532257,84.66
2015-01-12,84.66,86.1,84.14,85.57,1048373,85.57
2015-01-13,85.57,86.19,85.22,85.84,1062310,85.84
2015-01-14,85.84,86.63,85.37,86.15,991929,86.15
2015-01-15,86.15,86.9,85.65,86.39,1127692,86.39
2015-01-16,86.39,87.1,86.13,86.84,1034959,86.84
2015-01-17,86.84,87.26,86.64,87.07,1078540,87.07
2015-01-18,87.07,87.6,86.89,87.42,818699,87.42
2015-01-19,87.42,88.14,87.09,87.82,1171122,87.82
2015-01-20,87.82,88.37,87.62,88.17,1175411,88.17
2015-01-21,88.17,88.49,87.23,87.55,1425094,87.55
2015-01-22,87.55,88.23,87.29,87.98,895617,87.98
2015-01-23,87.98,88.54,87.36,87.92,1023308,87.92
2015-01-24,87.92,88.75,86.47,87.3,1200554,87.3
2015-01-25,87.3,88.56,86.8,88.05,866737,88.05
2015-01-26,88.05,88.69,86.31,86.95,1073539,86.95
2015-01-27,86.95,87.53,86.62,87.2,1020266,87.2
2015-01-28,87.2,87.54,86.32,86.66,719466,86.66
2015-01-29,86.66,86.72,86.57,86.63,890910,86.63
2015-01-30,86.63,87.37,86.21,86.95,1032845,86.95
2015-01-31,86.95,88.2,86.28,87.53,705928,87.53
2015-02-01,87.53,87.58,87.49,87.54,895710,87.54
2015-02-02,87.54,87.97,87.18,87.61,924813,87.61
2015-02-03,87.61,88.08,86.91,87.38,1063874,87.38
2015-02-04,87.38,87.74,86.36,86.71,1347396,86.71
2015-02-05,86.71,87.84,86.24,87.36,1100674,87.36
2015-02-06,87.36,88.85,86.66,88.15,1378416,88.15
2015-02-07,88.15,89.46,87.65,88.96,725631,88.96
2015-02-08,88.96,89.05,88.73,88.82,809116,88.82
2015-02-09,88.82,89.21,87.72,88.11,1061022,88.11
2015-02-10,88.11,88.32,87.56,87.76,1601552,87.76
2015-02-11,87.76,87.96,87.19,87.4,722026,87.4
2015-02-12,87.4,88.2,86.95,87.75,632568,87.75
2015-02-13,87.75,87.89,87.38,87.52,1122558,87.52
2015-02-14,87.52,88.52,86.98,87.97,1249850,87.97
2015-02-15,87.97,88.56,87.62,88.21,699718,88.21
2015-02-16,88.21,89.13,87.84,88.76,1412834,88.76
2015-02-17,88.76,89.06,88.64,88.94,857081,88.94
2015-02-18,88.94,89.36,88.71,89.12,788367,89.12
2015-02-19,89.12,89.81,87.84,88.52,687139,88.52
2015-02-20,88.52,89.25,88.18,88.91,1099550,88.91
2015-02-21,88.91,89.43,88.69,89.21,807105,89.21
2015-02-22,89.21,90.55,88.67,90.0,975011,90.0
2015-02-23,90.0,90.68,88.82,89.5,1369880,89.5
2015-02-24,89.5,91.39,88.77,90.66,777446,90.66
2015-02-25,90.66,91.42,90.31,91.07,1875870,91.07
2015-02-26,91.07,92.23,90.6,91.76,1194527,91.76
2015-02-27,91.76,92.44,90.98,91.66,824524,91.66
2015-02-28,91.66,91.79,91.41,91.54,863778,91.54
2015-03-01,91.54,92.47,91.1,92.03,1232716,92.03
2015-03-02,92.03,92.33,91.29,91.58,1215362,91.58
2015-03-03,91.58,93.05,91.06,92.52,910115,92.52
2015-03-04,92.52,92.74,92.14,92.36,1505000,92.36
2015-03-05,92.36,92.73,92.19,92.56,1519349,92.56
2015-03-06,92.56,92.93,91.58,91.94,1075060,91.94
2015-03-07,91.94,92.4,91.78,92.23,420627,92.23
2015-03-08,92.23,92.85,91.96,92.58,1615196,92.58
2015-03-09,92.58,92.77,92.44,92.63,1369909,92.63
2015-03-10,92.63,92.72,92.47,92.56,869179,92.56
2015-03-11,92.56,93.07,91.44,91.95,879121,91.95
2015-03-12,91.95,92.47,90.5,91.02,1611761,91.02
2015-03-13,91.02,92.26,90.58,91.82,1424245,91.82
2015-03-14,91.82,92.21,90.79,91.18,1056003,91.18
2015-03-15,91.18,91.62,89.9,90.34,766433,90.34
2015-03-16,90.34,91.15,89.84,90.64,875230,90.64
2015-03-17,90.64,91.17,90.14,90.67,857240,90.67
2015-03-18,90.67,90.87,90.08,90.28,1482738,90.28
2015-03-19,90.28,90.95,89.69,90.35,892856,90.35
2015-03-20,90.35,91.36,89.86,90.87,934009,90.87
2015-03-21,90.87,91.36,90.67,91.17,1027348,91.17
2015-03-22,91.17,92.37,89.85,91.06,1331586,91.06
2015-03-23,91.06,91.93,88.83,89.69,1062617,89.69
2015-03-24,89.69,89.94,89.47,89.72,532018,89.72
2015-03-25,89.72,91.07,88.9,90.24,1216779,90.24
2015-03-26,90.24,90.46,89.83,90.05,820757,90.05
2015-03-27,90.05,90.52,89.84,90.31,1134897,90.31
2015-03-28,90.31,90.81,90.11,90.61,1169647,90.61
2015-03-29,90.61,93.11,89.64,92.12,1523983,92.12
2015-03-30,92.12,92.97,91.79,92.63,1390672,92.63
2015-03-31,92.63,93.05,92.49,92.91,1273983,92.91
2015-04-01,92.91,94.21,92.07,93.38,821525,93.38
2015-04-02,93.38,95.45,92.55,94.61,1163541,94.61
2015-04-03,94.61,95.19,94.09,94.67,850236,94.67
2015-04-04,94.67,95.32,94.23,94.89,1013076,94.89
2015-04-05,94.89,95.76,94.54,95.41,1011198,95.41
2015-04-06,95.41,97.06,94.63,96.27,1054730,96.27
2015-04-07,96.27,96.4,96.01,96.15,977008,96.15
2015-04-08,96.15,96.73,95.71,96.29,599025,96.29
2015-04-09,96.29,96.88,96.05,96.65,733061,96.65
2015-04-10,96.65,96.94,96.32,96.61,734480,96.61
2015-04-11,96.61,96.77,96.35,96.51,725600,96.51
2015-04-12,96.51,96.96,95.93,96.38,1154620,96.38
2015-04-13,96.38,96.83,95.58,96.03,921009,96.03
2015-04-14,96.03,96.53,94.77,95.27,1089489,95.27
2015-04-15,95.27,95.3,95.21,95.25,1156863,95.25
2015-04-16,95.25,95.65,94.39,94.79,764581,94.79
2015-04-17,94.79,95.64,94.45,95.3,473774,95.3
2015-04-18,95.3,96.35,94.64,95.68,1685390,95.68
2015-04-19,95.68,97.25,95.15,96.72,1050315,96.72
2015-04-20,96.72,98.71,95.33,97.31,877007,97.31
2015-04-21,97.31,99.52,96.31,98.51,1071989,98.51
2015-04-22,98.51,98.59,98.31,98.39,722012,98.39
2015-04-23,98.39,98.73,97.89,98.23,1342503,98.23
2015-04-24,98.23,99.31,97.86,98.94,1209035,98.94
2015-04-25,98.94,100.89,98.0,99.94,1070772,99.94
2015-04-26,99.94,100.36,99.38,99.8,673972,99.8
2015-04-27,99.8,100.25,99.53,99.98,1063141,99.98
2015-04-28,99.98,100.51,99.05,99.58,851695,99.58
2015-04-29,99.58,99.75,99.08,99.25,739299,99.25
2015-04-30,99.25,100.47,97.74,98.96,1057042,98.96
2015-05-01,98.96,99.49,97.72,98.25,1334477,98.25
2015-05-02,98.25,98.47,97.94,98.15,1284679,98.15
2015-05-03,98.15,98.41,97.61,97.86,874900,97.86
2015-05-04,97.86,99.84,97.07,99.04,649077,99.04
2015-05-05,99.04,101.1,97.77,99.82,939500,99.82
2015-05-06,99.82,99.95,99.75,99.88,1039699,99.88
2015-05-07,99.88,100.77,98.25,99.14,1663155,99.14
2015-05-08,99.14,99.81,97.6,98.27,1785114,98.27
2015-05-09,98.27,99.32,97.72,98.77,1076549,98.77
2015-05-10,98.77,99.17,98.5,98.89,1031732,98.89
2015-05-11,98.89,99.49,97.69,98.28,1270818,98.28
2015-05-12,98.28,99.04,96.88,97.64,1140688,97.64
2015-05-13,97.64,98.58,96.07,97.0,1502078,97.0
2015-05-14,97.0,98.41,96.4,97.81,709347,97.81
2015-05-15,97.81,99.35,97.09,98.62,1038406,98.62
2015-05-16,98.62,98.88,98.41,98.68,696813,98.68
2015-05-17,98.68,99.53,96.86,97.71,829570,97.71
2015-05-18,97.71,99.04,97.07,98.39,808042,98.39
2015-05-19,98.39,98.74,98.26,98.61,1116998,98.61
2015-05-20,98.61,99.76,98.2,99.35,1704932,99.35
2015-05-21,99.35,99.94,98.14,98.73,1129969,98.73
