Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,120.0,120.01,119.99,120.0,1241437,120.0
2015-01-02,120.0,121.2,119.34,120.54,922837,120.54
2015-01-03,120.54,121.0,120.36,120.83,1053004,120.83
2015-01-04,120.83,121.03,120.28,120.48,1147886,120.48
2015-01-05,120.48,120.83,119.61,119.95,1211682,119.95
2015-01-06,119.95,120.53,118.39,118.96,1258859,118.96
2015-01-07,118.96,121.47,118.12,120.62,973881,120.62
2015-01-08,120.62,122.65,119.62,121.64,1557300,121.64
2015-01-09,121.64,122.14,121.44,121.93,1158104,121.93
2015-01-10,121.93,122.84,119.38,120.28,695910,120.28
2015-01-11,120.28,120.56,119.92,120.2,722614,120.2
2015-01-12,120.2,121.48,119.6,120.87,933758,120.87
2015-01-13,120.87,123.24,119.54,121.9,1668003,121.9
2015-01-14,121.9,125.17,120.68,123.94,1302859,123.94
2015-01-15,123.94,126.55,122.6,125.19,1090728,125.19
2015-01-16,125.19,125.3,125.14,125.25,1389423,125.25
2015-01-17,125.25,127.09,122.33,124.16,1134485,124.16
2015-01-18,124.16,125.14,123.8,124.77,922988,124.77
2015-01-19,124.77,128.56,123.21,126.97,1443022,126.97
2015-01-20,126.97,128.31,125.0,126.33,966805,126.33
2015-01-21,126.33,128.01,123.64,125.32,1267560,125.32
2015-01-22,125.32,126.73,124.55,125.96,832881,125.96
2015-01-23,125.96,128.66,124.69,127.37,1274450,127.37
2015-01-24,127.37,128.08,127.04,127.75,1216912,127.75
2015-01-25,127.75,130.57,126.26,129.07,862119,129.07
2015-01-26,129.07,132.77,123.82,127.48,979825,127.48
2015-01-27,127.48,129.79,126.7,129.0,1930598,129.0
2015-01-28,129.0,130.47,127.55,129.01,1038203,129.01
2015-01-29,129.01,130.48,128.49,129.95,1321830,129.95
2015-01-30,129.95,131.11,129.19,130.35,1066040,130.35
2015-01-31,130.35,130.89,128.88,129.41,763869,129.41
2015-02-01,129.41,130.31,129.1,130.0,858104,130.0
