Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,450.0,450.02,449.98,450.0,1116463,450.0
2015-01-02,450.0,476.08,439.67,465.39,809978,465.39
2015-01-03,465.39,467.19,464.12,465.92,466785,465.92
2015-01-04,465.92,478.1,438.05,449.81,1197191,449.81
2015-01-05,449.81,456.48,446.85,453.49,815764,453.49
2015-01-06,453.49,456.03,449.7,452.23,852520,452.23
2015-01-07,452.23,473.01,441.74,462.29,1123976,462.29
2015-01-08,462.29,496.87,444.71,478.66,2439476,478.66
2015-01-09,478.66,488.59,470.34,480.24,1543566,480.24
2015-01-10,480.24,481.56,476.96,478.27,1131808,478.27
2015-01-11,478.27,487.19,469.68,478.6,957559,478.6
2015-01-12,478.6,514.58,459.83,495.17,1743113,495.17
2015-01-13,495.17,501.24,492.76,498.82,1412053,498.82
2015-01-14,498.82,569.39,471.28,539.6,1361469,539.6
2015-01-15,539.6,551.68,535.02,547.03,1145747,547.03
2015-01-16,547.03,557.77,536.36,547.1,1016583,547.1
2015-01-17,547.1,560.96,541.28,555.06,1096523,555.06
2015-01-18,555.06,579.09,539.55,563.36,1755513,563.36
2015-01-19,563.36,571.66,560.16,568.43,1052880,568.43
2015-01-20,568.43,593.41,551.19,575.94,1340476,575.94
2015-01-21,575.94,578.06,569.85,571.95,1228634,571.95
2015-01-22,571.95,585.46,550.49,563.81,1588405,563.81
2015-01-23,563.81,643.27,538.49,615.62,2018995,615.62
2015-01-24,615.62,634.7,581.05,599.63,1308794,599.63
2015-01-25,599.63,618.9,592.67,611.8,1605511,611.8
2015-01-26,611.8,632.02,567.72,587.13,1422241,587.13
2015-01-27,587.13,592.32,580.66,585.84,1765097,585.84
2015-01-28,585.84,594.35,581.85,590.34,856015,590.34
2015-01-29,590.34,596.35,582.11,588.1,787791,588.1
2015-01-30,588.1,597.04,565.56,574.29,1522279,574.29
2015-01-31,574.29,581.95,556.17,563.69,1370001,563.69
2015-02-01,563.69,567.33,561.74,565.37,1147553,565.37
2015-02-02,565.37,581.88,559.16,575.56,1328748,575.56
2015-02-03,575.56,598.04,562.09,584.36,1542479,584.36
2015-02-04,584.36,598.93,577.57,592.05,1291116,592.05
2015-02-05,592.05,608.36,585.11,601.31,1050427,601.31
2015-02-06,601.31,603.19,598.52,600.4,1172869,600.4
2015-02-07,600.4,613.74,569.95,582.9,1155568,582.9
2015-02-08,582.9,588.78,577.44,583.31,1122620,583.31
2015-02-09,583.31,591.73,558.96,567.14,1306895,567.14
2015-02-10,567.14,597.82,554.75,585.04,999436,585.04
2015-02-11,585.04,622.32,564.06,600.78,1544908,600.78
2015-02-12,600.78,829.14,532.58,744.61,2456596,744.61
2015-02-13,744.61,769.52,728.98,753.7,1070511,753.7
2015-02-14,753.7,771.05,707.18,723.84,2329845,723.84
2015-02-15,723.84,735.56,698.59,710.09,1556322,710.09
2015-02-16,710.09,748.78,696.81,735.03,1235114,735.03
2015-02-17,735.03,744.41,708.64,717.79,1020892,717.79
2015-02-18,717.79,723.71,711.92,717.84,1228193,717.84
2015-02-19,717.84,727.64,696.03,705.67,889216,705.67
2015-02-20,705.67,715.39,680.26,689.75,1645410,689.75
2015-02-21,689.75,699.15,666.73,675.93,1183594,675.93
2015-02-22,675.93,692.98,668.79,685.73,997493,685.73
2015-02-23,685.73,725.43,671.56,710.74,1864495,710.74
2015-02-24,710.74,713.2,706.17,708.62,1286037,708.62
2015-02-25,708.62,718.67,700.35,710.38,1144818,710.38
2015-02-26,710.38,721.1,688.75,699.3,828836,699.3
2015-02-27,699.3,712.58,667.18,680.09,1001072,680.09
2015-02-28,680.09,690.77,649.67,660.04,2358591,660.04
2015-03-01,660.04,729.89,631.94,700.09,1116965,700.09
2015-03-02,700.09,707.16,683.63,690.61,1195868,690.61
2015-03-03,690.61,721.13,678.53,708.74,809115,708.74
2015-03-04,708.74,712.74,706.0,709.99,1167923,709.99
2015-03-05,709.99,715.3,697.4,702.66,911576,702.66
2015-03-06,702.66,726.3,692.42,715.87,1420166,715.87
2015-03-07,715.87,723.0,711.52,718.64,1312492,718.64
2015-03-08,718.64,733.03,706.06,720.42,1028364,720.42
2015-03-09,720.42,736.77,677.51,693.25,1362579,693.25
2015-03-10,693.25,721.68,683.81,711.99,1062770,711.99
2015-03-11,711.99,787.89,518.34,580.19,2664301,580.19
