Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,85.0,85.03,84.97,85.0,973249,85.0
2015-01-02,85.0,87.76,83.93,86.68,911606,86.68
2015-01-03,86.68,86.85,86.28,86.46,887644,86.46
2015-01-04,86.46,87.19,84.38,85.09,1749132,85.09
2015-01-05,85.09,87.38,83.47,85.75,1076308,85.75
2015-01-06,85.75,86.39,84.21,84.85,830591,84.85
2015-01-07,84.85,85.33,83.87,84.35,1068236,84.35
2015-01-08,84.35,85.12,84.01,84.78,1331934,84.78
2015-01-09,84.78,85.07,84.35,84.65,867090,84.65
2015-01-10,84.65,85.61,83.14,84.1,1535370,84.1
2015-01-11,84.1,84.2,84.02,84.13,1094876,84.13
2015-01-12,84.13,84.75,83.01,83.63,1279900,83.63
2015-01-13,83.63,84.4,83.02,83.79,780067,83.79
2015-01-14,83.79,84.41,83.59,84.2,1158774,84.2
2015-01-15,84.2,85.77,83.29,84.85,1700745,84.85
2015-01-16,84.85,85.21,84.69,85.06,1041197,85.06
2015-01-17,85.06,85.94,84.63,85.51,2105884,85.51
2015-01-18,85.51,87.24,84.9,86.62,965526,86.62
2015-01-19,86.62,87.29,85.42,86.09,1611592,86.09
2015-01-20,86.09,87.55,85.26,86.72,1696848,86.72
2015-01-21,86.72,86.87,86.55,86.7,777374,86.7
2015-01-22,86.7,88.06,86.14,87.49,803615,87.49
2015-01-23,87.49,88.03,87.23,87.77,1146534,87.77
2015-01-24,87.77,88.46,85.88,86.56,2570925,86.56
2015-01-25,86.56,88.58,85.78,87.79,1194324,87.79
2015-01-26,87.79,88.54,86.06,86.79,471482,86.79
2015-01-27,86.79,87.64,84.78,85.62,1044891,85.62
2015-01-28,85.62,86.3,85.31,85.99,918298,85.99
2015-01-29,85.99,87.27,85.45,86.73,948240,86.73
2015-01-30,86.73,88.72,81.09,83.0,2337318,83.0
2015-01-31,83.0,83.39,82.58,82.98,1235493,82.98
2015-02-01,82.98,84.06,82.21,83.29,956893,83.29
2015-02-02,83.29,84.12,82.54,83.36,969212,83.36
2015-02-03,83.36,83.94,82.77,83.34,726369,83.34
