Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,165.0,165.5,164.5,165.0,779639,165.0
2015-01-02,165.0,165.53,164.41,164.94,1299630,164.94
2015-01-03,164.94,165.34,164.29,164.68,826194,164.68
2015-01-04,164.68,166.43,163.85,165.6,742497,165.6
2015-01-05,165.6,166.59,163.55,164.54,942064,164.54
2015-01-06,164.54,165.4,162.3,163.15,912289,163.15
2015-01-07,163.15,165.03,162.17,164.04,991963,164.04
2015-01-08,164.04,165.93,163.36,165.25,1083237,165.25
2015-01-09,165.25,167.9,163.77,166.41,687198,166.41
2015-01-10,166.41,167.08,164.98,165.64,914990,165.64
2015-01-11,165.64,166.81,164.95,166.12,1746847,166.12
2015-01-12,166.12,167.85,165.47,167.19,1557307,167.19
2015-01-13,167.19,168.2,166.52,167.53,1679531,167.53
2015-01-14,167.53,167.7,167.25,167.42,808575,167.42
2015-01-15,167.42,168.79,166.09,167.46,1105444,167.46
2015-01-16,167.46,168.13,167.12,167.79,888514,167.79
2015-01-17,167.79,168.93,164.72,165.85,1070817,165.85
2015-01-18,165.85,167.28,163.0,164.41,938154,164.41
2015-01-19,164.41,167.42,162.65,165.64,1937647,165.64
2015-01-20,165.64,166.25,164.92,165.53,679820,165.53
2015-01-21,165.53,166.02,165.36,165.85,1512365,165.85
2015-01-22,165.85,166.02,165.36,165.53,1420953,165.53
2015-01-23,165.53,168.39,164.18,167.04,1535694,167.04
2015-01-24,167.04,168.5,166.04,167.5,1055721,167.5
2015-01-25,167.5,169.38,166.75,168.62,692079,168.62
2015-01-26,168.62,169.96,165.45,166.78,998460,166.78
2015-01-27,166.78,169.38,165.83,168.42,1222468,168.42
2015-01-28,168.42,169.91,167.63,169.12,1742291,169.12
2015-01-29,169.12,170.0,168.64,169.52,933743,169.52
2015-01-30,169.52,170.54,168.64,169.67,1505286,169.67
2015-01-31,169.67,170.83,168.45,169.61,858604,169.61
2015-02-01,169.61,170.06,168.36,168.81,785121,168.81
2015-02-02,168.81,169.45,167.73,168.37,1585452,168.37
2015-02-03,168.37,168.84,167.34,167.81,787944,167.81
2015-02-04,167.81,171.04,166.47,169.67,920797,169.67
2015-02-05,169.67,171.74,168.63,170.7,1171403,170.7
2015-02-06,170.7,171.54,170.31,171.16,1094123,171.16
2015-02-07,171.16,171.86,170.67,171.37,1252719,171.37
2015-02-08,171.37,171.84,170.72,171.18,887181,171.18
2015-02-09,171.18,171.82,170.03,170.67,937098,170.67
2015-02-10,170.67,172.39,170.01,171.73,815494,171.73
2015-02-11,171.73,172.78,171.31,172.37,918599,172.37
2015-02-12,172.37,175.71,171.07,174.4,1040336,174.4
2015-02-13,174.4,176.5,173.22,175.32,1096926,175.32
2015-02-14,175.32,178.0,173.79,176.46,1291065,176.46
2015-02-15,176.46,178.37,172.96,174.85,2380816,174.85
2015-02-16,174.85,177.87,173.64,176.65,1432211,176.65
2015-02-17,176.65,176.91,176.51,176.77,580948,176.77
2015-02-18,176.77,178.32,176.14,177.68,1231042,177.68
2015-02-19,177.68,178.69,177.23,178.24,1153085,178.24
2015-02-20,178.24,179.54,176.11,177.4,899066,177.4
2015-02-21,177.4,179.2,174.53,176.32,740448,176.32
2015-02-22,176.32,179.58,175.13,178.38,903999,178.38
2015-02-23,178.38,178.86,177.35,177.83,805587,177.83
2015-02-24,177.83,178.97,175.66,176.79,723165,176.79
2015-02-25,176.79,177.79,174.42,175.42,1799690,175.42
2015-02-26,175.42,176.99,171.62,173.18,720406,173.18
2015-02-27,173.18,173.88,172.24,172.94,1043285,172.94
2015-02-28,172.94,173.2,172.43,172.69,1313984,172.69
2015-03-01,172.69,176.65,171.28,175.22,1410335,175.22
2015-03-02,175.22,176.69,171.21,172.66,588688,172.66
2015-03-03,172.66,177.38,171.03,175.72,1670238,175.72
2015-03-04,175.72,176.59,175.28,176.14,819581,176.14
2015-03-05,176.14,177.13,174.29,175.28,846139,175.28
2015-03-06,175.28,176.8,172.92,174.43,740251,174.43
2015-03-07,174.43,174.56,174.06,174.18,1247986,174.18
2015-03-08,174.18,174.77,172.72,173.31,813473,173.31
2015-03-09,173.31,174.09,171.44,172.22,816488,172.22
2015-03-10,172.22,173.38,171.75,172.91,922046,172.91
2015-03-11,172.91,174.5,169.34,170.92,1034628,170.92
2015-03-12,170.92,171.39,169.87,170.35,675996,170.35
2015-03-13,170.35,171.08,169.94,170.67,1745574,170.67
2015-03-14,170.67,171.4,168.62,169.34,961207,169.34
2015-03-15,169.34,170.61,167.52,168.79,1494189,168.79
2015-03-16,168.79,169.56,168.13,168.9,1266101,168.9
2015-03-17,168.9,170.67,168.3,170.06,1063772,170.06
2015-03-18,170.06,170.49,168.81,169.23,1335396,169.23
2015-03-19,169.23,169.53,169.03,169.33,1257612,169.33
2015-03-20,169.33,169.87,168.38,168.92,611234,168.92
2015-03-21,168.92,171.77,167.8,170.65,2013744,170.65
2015-03-22,170.65,171.07,169.52,169.94,1387977,169.94
2015-03-23,169.94,171.2,166.4,167.64,978826,167.64
2015-03-24,167.64,172.03,166.08,170.44,1428504,170.44
2015-03-25,170.44,173.07,169.19,171.81,1044647,171.81
2015-03-26,171.81,172.26,170.74,171.18,806149,171.18
2015-03-27,171.18,172.83,168.89,170.53,734616,170.53
2015-03-28,170.53,172.45,166.99,168.89,1079281,168.89
2015-03-29,168.89,169.52,167.92,168.56,1218140,168.56
2015-03-30,168.56,169.54,167.89,168.88,2491896,168.88
2015-03-31,168.88,171.45,167.42,169.98,1052312,169.98
2015-04-01,169.98,171.01,169.3,170.33,1048802,170.33
2015-04-02,170.33,172.4,169.42,171.49,1009160,171.49
2015-04-03,171.49,172.74,169.07,170.31,593989,170.31
2015-04-04,170.31,171.24,169.71,170.64,814423,170.64
2015-04-05,170.64,171.37,169.58,170.32,770379,170.32
2015-04-06,170.32,172.69,169.42,171.78,1318901,171.78
2015-04-07,171.78,174.92,170.53,173.66,1045721,173.66
2015-04-08,173.66,174.17,172.34,172.85,1197060,172.85
2015-04-09,172.85,174.89,172.03,174.07,1110458,174.07
2015-04-10,174.07,174.83,173.59,174.36,1083219,174.36
2015-04-11,174.36,177.57,172.14,175.34,1428056,175.34
2015-04-12,175.34,176.14,173.74,174.54,780774,174.54
2015-04-13,174.54,178.0,173.21,176.65,999900,176.65
2015-04-14,176.65,177.54,174.94,175.83,1263648,175.83
2015-04-15,175.83,176.15,175.48,175.81,801108,175.81
2015-04-16,175.81,178.72,174.41,177.32,770633,177.32
2015-04-17,177.32,177.58,176.82,177.08,1836139,177.08
2015-04-18,177.08,177.59,175.84,176.34,1453711,176.34
2015-04-19,176.34,176.67,175.5,175.83,1036063,175.83
2015-04-20,175.83,176.29,175.62,176.08,1747185,176.08
2015-04-21,176.08,176.67,175.65,176.25,694709,176.25
2015-04-22,176.25,178.21,173.03,174.98,1153620,174.98
2015-04-23,174.98,175.61,174.66,175.28,466192,175.28
2015-04-24,175.28,176.5,174.62,175.83,1346733,175.83
2015-04-25,175.83,178.14,174.42,176.72,700688,176.72
2015-04-26,176.72,177.85,174.93,176.06,1013156,176.06
2015-04-27,176.06,176.24,175.63,175.81,1022281,175.81
2015-04-28,175.81,176.18,175.25,175.62,935264,175.62
2015-04-29,175.62,176.4,175.29,176.07,865929,176.07
2015-04-30,176.07,180.36,174.04,178.3,1233059,178.3
2015-05-01,178.3,180.41,173.86,175.94,793398,175.94
2015-05-02,175.94,178.23,175.06,177.33,869933,177.33
2015-05-03,177.33,179.17,176.18,178.01,2022472,178.01
2015-05-04,178.01,179.91,177.16,179.06,989266,179.06
2015-05-05,179.06,179.34,178.49,178.77,866885,178.77
2015-05-06,178.77,179.91,178.35,179.49,958551,179.49
2015-05-07,179.49,180.74,178.87,180.12,1307873,180.12
2015-05-08,180.12,180.95,178.36,179.19,777463,179.19
2015-05-09,179.19,180.92,178.6,180.33,1419953,180.33
2015-05-10,180.33,181.05,180.08,180.8,950951,180.8
2015-05-11,180.8,181.83,178.09,179.11,1042310,179.11
2015-05-12,179.11,180.76,176.04,177.68,1421563,177.68
2015-05-13,177.68,178.26,177.31,177.9,1039435,177.9
2015-05-14,177.9,178.72,175.95,176.77,1086990,176.77
2015-05-15,176.77,178.1,176.3,177.63,937790,177.63
2015-05-16,177.63,179.2,177.01,178.58,1453983,178.58
2015-05-17,178.58,180.9,175.01,177.31,1517387,177.31
2015-05-18,177.31,179.86,175.73,178.27,957682,178.27
2015-05-19,178.27,180.79,177.26,179.78,666190,179.78
2015-05-20,179.78,181.3,178.72,180.23,723299,180.23
2015-05-21,180.23,181.4,177.46,178.62,984299,178.62
2015-05-22,178.62,181.74,177.2,180.31,671355,180.31
2015-05-23,180.31,182.11,177.68,179.47,760981,179.47
2015-05-24,179.47,179.58,179.35,179.46,1077785,179.46
2015-05-25,179.46,183.69,177.05,181.26,604184,181.26
2015-05-26,181.26,181.92,180.48,181.14,1414636,181.14
