Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,45.0,45.18,44.82,45.0,944818,45.0
2015-01-02,45.0,45.07,44.91,44.97,1399836,44.97
2015-01-03,44.97,45.16,44.86,45.05,1062532,45.05
2015-01-04,45.05,45.46,44.8,45.2,1004641,45.2
2015-01-05,45.2,45.26,45.16,45.22,1185349,45.22
2015-01-06,45.22,45.75,44.52,45.05,1274169,45.05
2015-01-07,45.05,45.34,44.64,44.93,1321909,44.93
2015-01-08,44.93,45.97,44.48,45.53,1744868,45.53
2015-01-09,45.53,46.42,45.03,45.92,696117,45.92
2015-01-10,45.92,46.44,45.14,45.66,1269375,45.66
2015-01-11,45.66,46.09,45.19,45.63,1275188,45.63
2015-01-12,45.63,46.0,45.0,45.37,542321,45.37
2015-01-13,45.37,46.13,45.08,45.83,1269495,45.83
2015-01-14,45.83,45.98,45.75,45.9,778654,45.9
2015-01-15,45.9,46.44,45.64,46.18,1150027,46.18
2015-01-16,46.18,46.6,45.76,46.19,1042034,46.19
2015-01-17,46.19,46.56,45.97,46.34,1170493,46.34
2015-01-18,46.34,46.62,45.63,45.91,1018520,45.91
2015-01-19,45.91,46.84,45.51,46.45,1632779,46.45
2015-01-20,46.45,46.68,46.19,46.42,1248413,46.42
2015-01-21,46.42,46.77,45.59,45.93,1974180,45.93
2015-01-22,45.93,46.66,45.6,46.33,1210143,46.33
2015-01-23,46.33,47.59,45.84,47.09,1237501,47.09
2015-01-24,47.09,47.26,46.73,46.91,816831,46.91
2015-01-25,46.91,47.47,46.62,47.18,1100824,47.18
2015-01-26,47.18,47.8,45.78,46.38,1476476,46.38
2015-01-27,46.38,46.73,46.1,46.44,2208057,46.44
2015-01-28,46.44,47.14,44.88,45.56,757735,45.56
2015-01-29,45.56,47.02,45.06,46.51,698293,46.51
2015-01-30,46.51,46.74,46.04,46.27,1182732,46.27
2015-01-31,46.27,46.56,45.61,45.89,1089781,45.89
2015-02-01,45.89,46.07,45.37,45.54,1629831,45.54
2015-02-02,45.54,45.71,45.1,45.26,1046668,45.26
2015-02-03,45.26,45.71,45.0,45.45,2003656,45.45
2015-02-04,45.45,45.52,45.28,45.35,1072433,45.35
2015-02-05,45.35,45.96,44.93,45.53,917566,45.53
2015-02-06,45.53,46.71,45.06,46.24,1750145,46.24
2015-02-07,46.24,47.19,45.61,46.56,1340072,46.56
2015-02-08,46.56,47.8,45.83,47.06,1161885,47.06
2015-02-09,47.06,47.7,45.41,46.03,1286741,46.03
2015-02-10,46.03,47.34,42.74,43.99,1608209,43.99
2015-02-11,43.99,44.64,43.65,44.3,1225727,44.3
2015-02-12,44.3,44.98,43.94,44.62,1028197,44.62
2015-02-13,44.62,45.29,44.39,45.06,1389283,45.06
2015-02-14,45.06,45.82,44.8,45.56,1262897,45.56
2015-02-15,45.56,46.11,45.34,45.89,1070327,45.89
2015-02-16,45.89,46.89,45.43,46.42,754347,46.42
2015-02-17,46.42,46.49,46.26,46.32,1366778,46.32
2015-02-18,46.32,46.94,44.92,45.53,1768485,45.53
2015-02-19,45.53,45.62,45.46,45.55,1535232,45.55
2015-02-20,45.55,46.08,45.05,45.59,774600,45.59
2015-02-21,45.59,45.81,44.96,45.18,1210920,45.18
2015-02-22,45.18,45.81,44.89,45.52,911911,45.52
2015-02-23,45.52,45.55,45.47,45.5,1087255,45.5
2015-02-24,45.5,46.12,43.92,44.52,944059,44.52
2015-02-25,44.52,44.96,44.14,44.58,1298713,44.58
2015-02-26,44.58,44.65,44.5,44.58,667374,44.58
2015-02-27,44.58,44.89,44.23,44.54,1013467,44.54
2015-02-28,44.54,44.71,44.41,44.58,609927,44.58
2015-03-01,44.58,45.17,44.31,44.9,874021,44.9
2015-03-02,44.9,45.18,44.24,44.52,850238,44.52
2015-03-03,44.52,45.0,44.24,44.71,718610,44.71
2015-03-04,44.71,45.46,44.39,45.14,1357931,45.14
2015-03-05,45.14,45.67,44.95,45.48,1481333,45.48
2015-03-06,45.48,45.77,44.88,45.17,648293,45.17
2015-03-07,45.17,45.42,44.51,44.76,1583402,44.76
2015-03-08,44.76,45.08,44.14,44.46,1421132,44.46
2015-03-09,44.46,44.84,43.71,44.08,1318756,44.08
2015-03-10,44.08,44.6,43.73,44.25,1037487,44.25
2015-03-11,44.25,44.96,43.8,44.51,1146879,44.51
2015-03-12,44.51,45.01,43.73,44.24,982067,44.24
2015-03-13,44.24,44.4,43.9,44.06,665956,44.06
2015-03-14,44.06,45.19,43.61,44.74,1184013,44.74
2015-03-15,44.74,45.04,44.38,44.68,1052716,44.68
2015-03-16,44.68,45.07,44.47,44.85,992723,44.85
2015-03-17,44.85,45.05,44.73,44.93,830398,44.93
2015-03-18,44.93,45.26,44.76,45.08,701184,45.08
2015-03-19,45.08,45.75,44.85,45.52,1075995,45.52
2015-03-20,45.52,45.94,44.98,45.41,987355,45.41
2015-03-21,45.41,45.56,44.98,45.13,967511,45.13
2015-03-22,45.13,45.88,44.87,45.61,1031767,45.61
2015-03-23,45.61,46.01,44.59,44.99,725992,44.99
2015-03-24,44.99,46.17,44.58,45.76,648404,45.76
2015-03-25,45.76,47.32,44.77,46.32,956394,46.32
2015-03-26,46.32,47.13,45.8,46.61,696417,46.61
2015-03-27,46.61,46.74,46.27,46.4,856616,46.4
2015-03-28,46.4,46.74,46.0,46.35,742749,46.35
2015-03-29,46.35,46.47,46.3,46.43,2315108,46.43
2015-03-30,46.43,47.08,46.15,46.8,1437507,46.8
2015-03-31,46.8,47.93,46.38,47.5,984221,47.5
2015-04-01,47.5,48.03,47.17,47.69,1367419,47.69
2015-04-02,47.69,48.15,47.51,47.97,1022970,47.97
2015-04-03,47.97,48.34,47.84,48.21,864921,48.21
2015-04-04,48.21,48.53,47.96,48.28,1258502,48.28
2015-04-05,48.28,48.59,47.8,48.1,1235334,48.1
2015-04-06,48.1,49.47,47.41,48.77,1334083,48.77
2015-04-07,48.77,49.17,48.61,49.01,1473967,49.01
2015-04-08,49.01,49.32,48.88,49.19,1034463,49.19
2015-04-09,49.19,49.42,48.81,49.04,1189412,49.04
2015-04-10,49.04,49.32,48.93,49.21,1340828,49.21
2015-04-11,49.21,49.33,48.96,49.08,1070209,49.08
2015-04-12,49.08,49.53,48.43,48.88,1210091,48.88
2015-04-13,48.88,49.14,48.76,49.02,1506111,49.02
2015-04-14,49.02,50.0,48.54,49.53,764732,49.53
2015-04-15,49.53,49.89,48.61,48.97,1220572,48.97
2015-04-16,48.97,49.75,48.68,49.45,1350809,49.45
2015-04-17,49.45,49.63,48.95,49.12,865464,49.12
2015-04-18,49.12,49.58,48.35,48.81,727927,48.81
2015-04-19,48.81,48.86,48.79,48.83,1062076,48.83
2015-04-20,48.83,49.61,48.44,49.22,827351,49.22
2015-04-21,49.22,49.83,48.92,49.53,927308,49.53
2015-04-22,49.53,49.83,48.65,48.94,765993,48.94
2015-04-23,48.94,49.33,48.02,48.4,1166251,48.4
2015-04-24,48.4,48.56,48.31,48.47,795292,48.47
2015-04-25,48.47,48.64,48.39,48.57,1016849,48.57
2015-04-26,48.57,49.2,48.19,48.82,1297548,48.82
2015-04-27,48.82,49.46,48.34,48.99,703949,48.99
2015-04-28,48.99,49.35,48.83,49.2,1289329,49.2
2015-04-29,49.2,50.58,48.38,49.75,2184152,49.75
2015-04-30,49.75,50.51,49.5,50.26,1342960,50.26
2015-05-01,50.26,50.82,49.81,50.37,1028823,50.37
2015-05-02,50.37,51.1,50.02,50.75,963111,50.75
2015-05-03,50.75,51.65,50.34,51.23,562406,51.23
2015-05-04,51.23,53.09,50.47,52.31,1038236,52.31
2015-05-05,52.31,52.5,51.78,51.96,1235145,51.96
2015-05-06,51.96,51.98,51.94,51.96,688811,51.96
2015-05-07,51.96,52.17,51.5,51.71,1324812,51.71
2015-05-08,51.71,52.11,50.83,51.22,733934,51.22
2015-05-09,51.22,51.69,50.64,51.11,1255853,51.11
2015-05-10,51.11,51.32,50.53,50.73,1372333,50.73
2015-05-11,50.73,51.05,50.1,50.41,1327986,50.41
2015-05-12,50.41,50.98,49.26,49.81,1055007,49.81
2015-05-13,49.81,50.18,49.48,49.85,1398781,49.85
2015-05-14,49.85,49.93,49.74,49.82,858469,49.82
2015-05-15,49.82,50.02,49.73,49.93,1087302,49.93
2015-05-16,49.93,50.75,49.65,50.46,1376386,50.46
2015-05-17,50.46,50.72,50.38,50.63,1378073,50.63
2015-05-18,50.63,51.43,50.16,50.95,986467,50.95
2015-05-19,50.95,51.28,50.12,50.45,1871057,50.45
2015-05-20,50.45,50.67,50.17,50.4,724949,50.4
2015-05-21,50.4,50.75,49.49,49.84,744547,49.84
2015-05-22,49.84,51.27,49.2,50.61,1019498,50.61
2015-05-23,50.61,50.94,50.4,50.73,768923,50.73
2015-05-24,50.73,51.18,50.54,51.0,1309927,51.0
2015-05-25,51.0,51.26,50.8,51.06,617957,51.06
2015-05-26,51.06,51.12,50.91,50.97,603142,50.97
2015-05-27,50.97,52.58,50.43,52.03,915370,52.03
2015-05-28,52.03,52.93,51.48,52.37,992349,52.37
2015-05-29,52.37,52.66,52.13,52.42,1542104,52.42
2015-05-30,52.42,53.07,52.08,52.73,1154182,52.73
2015-05-31,52.73,53.3,52.0,52.57,1266374,52.57
2015-06-01,52.57,53.69,52.15,53.27,3228839,53.27
2015-06-02,53.27,53.55,53.04,53.33,1316468,53.33
2015-06-03,53.33,53.69,52.88,53.24,518597,53.24
2015-06-04,53.24,53.59,52.4,52.75,717078,52.75
2015-06-05,52.75,53.03,52.6,52.88,553383,52.88
2015-06-06,52.88,53.93,52.45,53.49,1035268,53.49
2015-06-07,53.49,53.8,52.61,52.91,1129988,52.91
2015-06-08,52.91,54.48,52.3,53.86,1200267,53.86
2015-06-09,53.86,54.29,53.13,53.56,773609,53.56
2015-06-10,53.56,54.71,53.11,54.25,1211515,54.25
2015-06-11,54.25,55.03,53.97,54.75,1277333,54.75
2015-06-12,54.75,54.96,54.65,54.87,1525626,54.87
2015-06-13,54.87,55.06,54.45,54.64,1269321,54.64
2015-06-14,54.64,56.05,52.71,54.1,812026,54.1
2015-06-15,54.1,54.37,53.56,53.82,518301,53.82
2015-06-16,53.82,54.68,53.46,54.32,849914,54.32
2015-06-17,54.32,54.36,54.26,54.31,961046,54.31
2015-06-18,54.31,54.81,53.08,53.57,917823,53.57
2015-06-19,53.57,54.61,53.0,54.03,877063,54.03
2015-06-20,54.03,54.33,53.59,53.88,784045,53.88
2015-06-21,53.88,54.26,53.16,53.54,1353692,53.54
2015-06-22,53.54,53.73,53.3,53.5,679847,53.5
2015-06-23,53.5,53.64,53.11,53.25,687869,53.25
2015-06-24,53.25,53.4,52.99,53.14,1119782,53.14
2015-06-25,53.14,54.74,52.21,53.8,1176670,53.8
2015-06-26,53.8,54.65,53.49,54.33,1186921,54.33
2015-06-27,54.33,54.41,54.12,54.2,887649,54.2
2015-06-28,54.2,54.7,52.91,53.4,1245341,53.4
2015-06-29,53.4,53.82,52.65,53.07,844867,53.07
2015-06-30,53.07,53.11,52.97,53.0,1029283,53.0
2015-07-01,53.0,53.38,52.01,52.39,1754538,52.39
2015-07-02,52.39,52.62,52.15,52.37,1023702,52.37
2015-07-03,52.37,52.53,52.06,52.22,1042140,52.22
2015-07-04,52.22,52.59,52.07,52.44,1040701,52.44
2015-07-05,52.44,53.13,52.18,52.87,1400904,52.87
2015-07-06,52.87,53.11,52.74,52.98,1013314,52.98
2015-07-07,52.98,53.17,52.77,52.97,819319,52.97
2015-07-08,52.97,54.02,52.59,53.64,966613,53.64
2015-07-09,53.64,54.31,52.14,52.8,1678719,52.8
2015-07-10,52.8,53.98,52.39,53.57,1125373,53.57
2015-07-11,53.57,54.43,53.22,54.07,1094953,54.07
2015-07-12,54.07,54.57,53.02,53.51,966981,53.51
2015-07-13,53.51,54.3,53.07,53.85,1012910,53.85
2015-07-14,53.85,54.75,52.09,52.97,1666954,52.97
2015-07-15,52.97,53.19,52.55,52.76,918413,52.76
2015-07-16,52.76,53.26,51.59,52.08,1568307,52.08
2015-07-17,52.08,52.13,52.06,52.11,1152468,52.11
2015-07-18,52.11,52.43,51.95,52.27,1308739,52.27
2015-07-19,52.27,52.39,52.07,52.18,1156032,52.18
2015-07-20,52.18,52.49,51.49,51.79,1030132,51.79
2015-07-21,51.79,52.52,51.46,52.19,1082846,52.19
2015-07-22,52.19,52.83,51.95,52.59,1597474,52.59
2015-07-23,52.59,52.78,52.45,52.63,878607,52.63
2015-07-24,52.63,52.83,52.5,52.7,1196067,52.7
2015-07-25,52.7,52.86,52.62,52.78,1377398,52.78
2015-07-26,52.78,53.23,51.91,52.36,1346440,52.36
2015-07-27,52.36,53.7,51.85,53.17,602055,53.17
2015-07-28,53.17,53.5,52.67,53.0,936561,53.0
2015-07-29,53.0,53.15,52.58,52.73,1296109,52.73
2015-07-30,52.73,53.24,51.92,52.42,795769,52.42
2015-07-31,52.42,52.86,51.24,51.67,1600354,51.67
2015-08-01,51.67,51.85,51.24,51.42,1025188,51.42
2015-08-02,51.42,53.4,50.72,52.68,1353707,52.68
2015-08-03,52.68,52.82,52.57,52.71,1152818,52.71
2015-08-04,52.71,53.88,52.3,53.46,1159745,53.46
2015-08-05,53.46,53.79,52.89,53.22,884931,53.22
2015-08-06,53.22,53.45,52.79,53.02,955631,53.02
2015-08-07,53.02,53.32,52.31,52.61,1483245,52.61
2015-08-08,52.61,52.91,52.46,52.76,1392202,52.76
2015-08-09,52.76,53.22,52.12,52.57,734491,52.57
2015-08-10,52.57,52.7,52.37,52.49,802686,52.49
2015-08-11,52.49,53.16,51.93,52.6,1337578,52.6
2015-08-12,52.6,53.0,52.44,52.84,1510896,52.84
2015-08-13,52.84,54.28,52.23,53.65,1450436,53.65
2015-08-14,53.65,55.67,52.56,54.56,1665348,54.56
2015-08-15,54.56,54.62,54.53,54.59,1115989,54.59
2015-08-16,54.59,54.83,54.05,54.28,1613548,54.28
2015-08-17,54.28,54.94,54.06,54.72,894287,54.72
2015-08-18,54.72,56.85,53.87,55.98,1107879,55.98
2015-08-19,55.98,56.4,54.82,55.24,710690,55.24
2015-08-20,55.24,56.48,54.71,55.95,1657316,55.95
2015-08-21,55.95,56.34,55.41,55.8,1162943,55.8
2015-08-22,55.8,57.01,54.31,55.52,1115823,55.52
2015-08-23,55.52,57.17,54.96,56.59,1316454,56.59
2015-08-24,56.59,57.07,56.41,56.88,868765,56.88
2015-08-25,56.88,58.29,56.34,57.75,822221,57.75
2015-08-26,57.75,58.49,57.41,58.15,816455,58.15
2015-08-27,58.15,58.49,57.27,57.61,744605,57.61
2015-08-28,57.61,58.33,57.21,57.93,1264936,57.93
2015-08-29,57.93,58.34,57.64,58.05,683268,58.05
2015-08-30,58.05,59.28,57.34,58.55,1003008,58.55
2015-08-31,58.55,59.21,58.31,58.97,1716007,58.97
2015-09-01,58.97,59.55,57.94,58.52,1208049,58.52
2015-09-02,58.52,59.1,58.21,58.79,1190371,58.79
2015-09-03,58.79,59.74,56.67,57.6,939823,57.6
2015-09-04,57.6,58.39,56.36,57.15,1481268,57.15
2015-09-05,57.15,57.54,56.34,56.73,1281036,56.73
2015-09-06,56.73,57.14,56.57,56.97,1453825,56.97
2015-09-07,56.97,57.41,55.88,56.32,665678,56.32
2015-09-08,56.32,56.65,55.91,56.23,760205,56.23
2015-09-09,56.23,56.58,55.53,55.87,1282172,55.87
