Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,520.0,521.15,518.85,520.0,765594,520.0
2015-01-02,520.0,521.76,517.3,519.06,1444124,519.06
2015-01-03,519.06,520.22,515.61,516.76,977107,516.76
2015-01-04,516.76,519.8,515.33,518.36,1054650,518.36
2015-01-05,518.36,523.34,516.7,521.67,899932,521.67
2015-01-06,521.67,525.54,519.4,523.27,608287,523.27
2015-01-07,523.27,523.71,522.84,523.28,1210420,523.28
2015-01-08,523.28,532.15,519.13,527.96,813701,527.96
2015-01-09,527.96,534.07,525.89,531.98,1555817,531.98
2015-01-10,531.98,541.65,514.5,524.02,1262461,524.02
2015-01-11,524.02,528.6,517.48,522.05,1267303,522.05
2015-01-12,522.05,526.28,519.54,523.77,873530,523.77
2015-01-13,523.77,533.43,519.71,529.33,1383011,529.33
2015-01-14,529.33,545.98,517.48,534.03,716573,534.03
2015-01-15,534.03,537.47,532.49,535.93,1291991,535.93
2015-01-16,535.93,540.44,534.11,538.62,885884,538.62
2015-01-17,538.62,540.81,536.19,538.38,686674,538.38
2015-01-18,538.38,543.54,535.52,540.67,623105,540.67
2015-01-19,540.67,554.5,535.18,548.93,1256420,548.93
2015-01-20,548.93,553.93,535.37,540.3,1025458,540.3
2015-01-21,540.3,542.8,537.94,540.45,897626,540.45
2015-01-22,540.45,550.59,535.38,545.48,714460,545.48
2015-01-23,545.48,557.17,539.65,551.28,1116663,551.28
2015-01-24,551.28,555.91,544.14,548.75,670028,548.75
2015-01-25,548.75,551.94,544.57,547.75,2204479,547.75
2015-01-26,547.75,555.64,527.47,535.18,1204519,535.18
2015-01-27,535.18,537.09,534.36,536.27,1123860,536.27
2015-01-28,536.27,541.26,522.06,526.97,1067823,526.97
2015-01-29,526.97,536.05,523.28,532.32,2971167,532.32
2015-01-30,532.32,533.25,530.85,531.77,1001507,531.77
2015-01-31,531.77,534.62,525.75,528.58,1008747,528.58
2015-02-01,528.58,531.65,519.52,522.55,653726,522.55
2015-02-02,522.55,528.69,515.79,521.93,713752,521.93
2015-02-03,521.93,525.82,515.77,519.65,1267396,519.65
2015-02-04,519.65,520.88,519.23,520.46,1012159,520.46
2015-02-05,520.46,531.84,516.61,527.93,723298,527.93
2015-02-06,527.93,534.88,525.43,532.35,2815889,532.35
2015-02-07,532.35,535.57,527.37,530.58,1446675,530.58
2015-02-08,530.58,532.48,525.1,526.99,1371481,526.99
2015-02-09,526.99,531.23,518.25,522.45,835271,522.45
2015-02-10,522.45,527.55,519.07,524.15,1070769,524.15
2015-02-11,524.15,529.51,521.31,526.65,840417,526.65
2015-02-12,526.65,529.45,524.89,527.69,2297330,527.69
2015-02-13,527.69,535.87,522.81,530.97,1499669,530.97
2015-02-14,530.97,549.56,519.86,538.3,802202,538.3
2015-02-15,538.3,539.82,537.66,539.18,896552,539.18
2015-02-16,539.18,547.2,536.34,544.33,629953,544.33
2015-02-17,544.33,553.97,529.3,538.84,826487,538.84
2015-02-18,538.84,551.18,515.03,527.1,1637132,527.1
2015-02-19,527.1,533.19,524.09,530.17,1367403,530.17
2015-02-20,530.17,532.08,529.28,531.19,876359,531.19
2015-02-21,531.19,536.09,519.93,524.77,821389,524.77
2015-02-22,524.77,531.92,521.76,528.88,1241595,528.88
2015-02-23,528.88,531.93,527.46,530.51,1084835,530.51
2015-02-24,530.51,532.72,527.5,529.71,609674,529.71
2015-02-25,529.71,530.73,528.4,529.42,778236,529.42
2015-02-26,529.42,532.16,521.92,524.63,847528,524.63
2015-02-27,524.63,528.32,520.01,523.69,925918,523.69
2015-02-28,523.69,528.81,521.07,526.17,1578341,526.17
2015-03-01,526.17,528.34,521.35,523.51,1661749,523.51
2015-03-02,523.51,528.31,514.03,518.78,1161936,518.78
2015-03-03,518.78,521.14,517.3,519.66,647057,519.66
2015-03-04,519.66,525.11,516.8,522.23,1193265,522.23
2015-03-05,522.23,526.75,515.79,520.29,1380363,520.29
2015-03-06,520.29,528.96,508.53,517.16,927347,517.16
2015-03-07,517.16,525.33,505.51,513.62,1326471,513.62
2015-03-08,513.62,514.21,513.22,513.81,1493260,513.81
2015-03-09,513.81,517.95,504.55,508.65,1253167,508.65
2015-03-10,508.65,524.94,500.91,517.07,937337,517.07
2015-03-11,517.07,518.31,515.65,516.89,996144,516.89
2015-03-12,516.89,519.9,509.75,512.73,885934,512.73
2015-03-13,512.73,513.03,512.36,512.66,774803,512.66
2015-03-14,512.66,521.77,509.53,518.6,1484099,518.6
2015-03-15,518.6,521.17,512.09,514.64,1349822,514.64
2015-03-16,514.64,515.21,514.1,514.67,434532,514.67
2015-03-17,514.67,525.05,508.8,519.13,1087555,519.13
2015-03-18,519.13,531.53,509.7,522.04,1085730,522.04
2015-03-19,522.04,529.17,519.26,526.37,1352061,526.37
2015-03-20,526.37,527.7,523.37,524.69,1214461,524.69
2015-03-21,524.69,528.59,522.21,526.11,1149215,526.11
2015-03-22,526.11,537.42,520.9,532.15,744142,532.15
2015-03-23,532.15,538.34,527.94,534.12,1225388,534.12
2015-03-24,534.12,555.39,526.86,547.94,1075760,547.94
2015-03-25,547.94,558.52,544.08,554.61,1019809,554.61
2015-03-26,554.61,557.01,552.8,555.19,797577,555.19
2015-03-27,555.19,556.61,552.51,553.92,1377114,553.92
2015-03-28,553.92,554.63,552.95,553.67,904917,553.67
2015-03-29,553.67,558.52,549.48,554.33,909113,554.33
2015-03-30,554.33,557.66,548.08,551.39,598954,551.39
2015-03-31,551.39,565.31,546.31,560.16,1086601,560.16
2015-04-01,560.16,568.8,554.7,563.32,908392,563.32
2015-04-02,563.32,573.52,558.14,568.3,922888,568.3
2015-04-03,568.3,580.24,563.37,575.26,1423401,575.26
2015-04-04,575.26,578.43,569.39,572.54,1149492,572.54
2015-04-05,572.54,585.45,566.2,579.03,1666052,579.03
2015-04-06,579.03,600.43,570.6,591.81,995691,591.81
2015-04-07,591.81,594.95,590.39,593.53,923056,593.53
2015-04-08,593.53,600.8,588.57,595.83,1004476,595.83
2015-04-09,595.83,600.12,594.23,598.52,1131695,598.52
2015-04-10,598.52,607.96,594.22,603.63,1968546,603.63
2015-04-11,603.63,607.61,596.74,600.7,790841,600.7
2015-04-12,600.7,604.97,591.17,595.39,1001930,595.39
2015-04-13,595.39,603.66,592.61,600.86,726846,600.86
2015-04-14,600.86,613.86,594.28,607.21,1478306,607.21
2015-04-15,607.21,611.65,594.23,598.61,1524118,598.61
2015-04-16,598.61,612.69,590.82,604.82,1009676,604.82
2015-04-17,604.82,605.27,603.89,604.34,1648708,604.34
2015-04-18,604.34,608.57,594.26,598.45,1542808,598.45
2015-04-19,598.45,599.16,597.23,597.93,715560,597.93
2015-04-20,597.93,601.18,596.83,600.08,644379,600.08
2015-04-21,600.08,603.82,597.05,600.79,1673529,600.79
2015-04-22,600.79,603.29,594.01,596.49,1116787,596.49
2015-04-23,596.49,603.46,579.12,585.96,701000,585.96
2015-04-24,585.96,601.24,578.13,593.31,1558756,593.31
2015-04-25,593.31,593.85,591.86,592.4,741384,592.4
2015-04-26,592.4,606.84,585.79,600.14,1499040,600.14
2015-04-27,600.14,602.08,599.14,601.08,1478843,601.08
2015-04-28,601.08,611.47,593.52,603.88,1164185,603.88
2015-04-29,603.88,608.74,602.18,607.03,1188182,607.03
2015-04-30,607.03,613.06,604.42,610.44,1001873,610.44
2015-05-01,610.44,614.27,606.03,609.86,668990,609.86
2015-05-02,609.86,620.6,606.29,616.99,1215623,616.99
2015-05-03,616.99,622.49,613.72,619.21,1603380,619.21
2015-05-04,619.21,628.42,614.8,623.97,864679,623.97
2015-05-05,623.97,626.62,619.01,621.65,1292553,621.65
2015-05-06,621.65,632.99,607.57,618.86,1773641,618.86
2015-05-07,618.86,621.19,613.48,615.79,1485707,615.79
2015-05-08,615.79,618.01,613.05,615.26,920201,615.26
2015-05-09,615.26,617.4,614.09,616.22,668622,616.22
2015-05-10,616.22,621.17,604.77,609.66,905941,609.66
2015-05-11,609.66,612.71,602.43,605.46,585018,605.46
2015-05-12,605.46,624.1,560.49,578.3,1413849,578.3
2015-05-13,578.3,584.38,570.82,576.88,863353,576.88
2015-05-14,576.88,579.06,575.0,577.17,1000482,577.17
2015-05-15,577.17,585.07,572.42,580.28,781252,580.28
2015-05-16,580.28,586.96,577.47,584.13,925670,584.13
2015-05-17,584.13,597.04,579.31,592.15,1114172,592.15
2015-05-18,592.15,604.21,587.59,599.59,951628,599.59
2015-05-19,599.59,606.0,597.26,603.66,919145,603.66
2015-05-20,603.66,605.67,602.67,604.68,1793299,604.68
2015-05-21,604.68,610.05,592.39,597.71,786066,597.71
2015-05-22,597.71,606.18,594.4,602.84,1287029,602.84
2015-05-23,602.84,607.32,599.95,604.43,1004221,604.43
2015-05-24,604.43,613.09,601.53,610.18,826189,610.18
2015-05-25,610.18,610.52,610.03,610.38,895274,610.38
2015-05-26,610.38,616.33,608.31,614.25,1109564,614.25
2015-05-27,614.25,616.86,613.31,615.92,1450027,615.92
2015-05-28,615.92,623.84,612.53,620.42,969118,620.42
2015-05-29,620.42,635.04,615.5,630.05,692263,630.05
2015-05-30,630.05,643.52,624.45,637.86,1828669,637.86
2015-05-31,637.86,642.41,632.16,636.7,603488,636.7
2015-06-01,636.7,646.68,632.23,642.17,745789,642.17
2015-06-02,642.17,657.16,637.11,652.02,1576626,652.02
2015-06-03,652.02,655.92,649.74,653.63,1081777,653.63
2015-06-04,653.63,659.55,639.65,645.49,1156001,645.49
2015-06-05,645.49,648.14,639.32,641.95,1123024,641.95
2015-06-06,641.95,646.55,640.23,644.83,1286022,644.83
2015-06-07,644.83,652.7,624.89,632.61,1286979,632.61
2015-06-08,632.61,633.54,630.95,631.88,1354159,631.88
2015-06-09,631.88,640.94,614.58,623.52,975144,623.52
2015-06-10,623.52,640.91,616.84,634.13,1554689,634.13
2015-06-11,634.13,653.14,627.8,646.68,979290,646.68
2015-06-12,646.68,660.04,641.79,655.08,1344105,655.08
2015-06-13,655.08,669.42,650.18,664.45,1049570,664.45
2015-06-14,664.45,667.74,663.22,666.5,1032003,666.5
2015-06-15,666.5,670.26,657.39,661.12,1678845,661.12
2015-06-16,661.12,670.64,656.18,665.67,928078,665.67
2015-06-17,665.67,667.81,664.76,666.9,1239204,666.9
2015-06-18,666.9,686.25,634.79,653.76,1462145,653.76
2015-06-19,653.76,655.59,650.62,652.44,1439782,652.44
2015-06-20,652.44,658.06,639.07,644.61,1325824,644.61
2015-06-21,644.61,650.67,642.45,648.5,791443,648.5
2015-06-22,648.5,656.38,645.65,653.51,1254950,653.51
2015-06-23,653.51,657.85,641.58,645.87,2177414,645.87
2015-06-24,645.87,650.64,639.5,644.26,678272,644.26
2015-06-25,644.26,651.4,641.41,648.53,810279,648.53
2015-06-26,648.53,652.62,645.01,649.1,1326370,649.1
2015-06-27,649.1,654.09,637.59,642.53,796017,642.53
2015-06-28,642.53,643.58,640.21,641.26,1000013,641.26
2015-06-29,641.26,647.94,622.36,628.92,2165202,628.92
2015-06-30,628.92,631.35,623.38,625.81,653721,625.81
2015-07-01,625.81,633.1,612.99,620.22,1355541,620.22
2015-07-02,620.22,624.48,618.15,622.4,1122185,622.4
2015-07-03,622.4,623.4,621.44,622.44,604252,622.44
2015-07-04,622.44,635.97,617.25,630.72,974460,630.72
2015-07-05,630.72,632.37,626.77,628.41,1470798,628.41
2015-07-06,628.41,632.1,626.51,630.2,672144,630.2
2015-07-07,630.2,631.77,627.53,629.1,940441,629.1
2015-07-08,629.1,640.71,623.99,635.55,2431046,635.55
2015-07-09,635.55,639.31,628.02,631.75,951917,631.75
2015-07-10,631.75,643.18,627.37,638.76,1117193,638.76
2015-07-11,638.76,647.89,634.35,643.45,1018119,643.45
2015-07-12,643.45,647.65,638.12,642.3,825234,642.3
2015-07-13,642.3,658.59,636.6,652.79,2197961,652.79
2015-07-14,652.79,662.92,625.9,635.77,981103,635.77
2015-07-15,635.77,638.3,633.47,636.0,1273810,636.0
2015-07-16,636.0,639.98,624.26,628.2,716851,628.2
2015-07-17,628.2,632.35,626.29,630.44,1065561,630.44
2015-07-18,630.44,638.1,626.39,634.03,1109328,634.03
2015-07-19,634.03,638.6,625.35,629.89,815649,629.89
2015-07-20,629.89,631.75,626.27,628.13,1236559,628.13
2015-07-21,628.13,634.87,624.05,630.77,1363166,630.77
2015-07-22,630.77,633.49,627.6,630.31,1297461,630.31
2015-07-23,630.31,630.73,629.4,629.82,1155923,629.82
2015-07-24,629.82,632.95,622.7,625.81,1140565,625.81
2015-07-25,625.81,635.47,621.31,630.94,1069307,630.94
2015-07-26,630.94,640.72,625.45,635.2,1342620,635.2
2015-07-27,635.2,648.17,630.64,643.55,668231,643.55
2015-07-28,643.55,647.06,637.19,640.68,581894,640.68
2015-07-29,640.68,646.31,629.31,634.89,994086,634.89
2015-07-30,634.89,636.47,633.9,635.48,1442357,635.48
2015-07-31,635.48,640.61,621.12,626.18,1247227,626.18
2015-08-01,626.18,642.83,619.11,635.66,1397462,635.66
2015-08-02,635.66,657.01,628.63,649.82,1669274,649.82
2015-08-03,649.82,654.82,647.6,652.59,1137935,652.59
2015-08-04,652.59,672.55,645.91,665.73,1625410,665.73
2015-08-05,665.73,667.49,660.79,662.54,1360533,662.54
2015-08-06,662.54,668.03,656.6,662.08,1395997,662.08
2015-08-07,662.08,663.89,659.55,661.36,1027462,661.36
2015-08-08,661.36,664.6,658.03,661.27,900696,661.27
2015-08-09,661.27,666.95,658.83,664.5,624001,664.5
2015-08-10,664.5,673.14,649.9,658.46,835472,658.46
2015-08-11,658.46,659.04,657.29,657.87,861596,657.87
2015-08-12,657.87,659.65,652.91,654.68,625613,654.68
2015-08-13,654.68,667.37,648.9,661.52,780925,661.52
2015-08-14,661.52,669.51,657.67,665.63,866587,665.63
2015-08-15,665.63,673.71,662.02,670.07,1475641,670.07
2015-08-16,670.07,677.25,664.56,671.72,1370142,671.72
2015-08-17,671.72,682.2,666.89,677.33,1307568,677.33
2015-08-18,677.33,693.13,671.8,687.52,1555828,687.52
2015-08-19,687.52,689.13,683.15,684.76,1504088,684.76
2015-08-20,684.76,701.7,678.74,695.59,1036760,695.59
2015-08-21,695.59,700.76,692.9,698.07,1116049,698.07
2015-08-22,698.07,702.72,685.6,690.19,722083,690.19
2015-08-23,690.19,711.84,629.27,649.65,2127731,649.65
2015-08-24,649.65,655.69,646.02,652.06,1222030,652.06
2015-08-25,652.06,670.73,645.75,664.31,1836827,664.31
2015-08-26,664.31,668.13,657.87,661.67,702404,661.67
2015-08-27,661.67,664.45,660.0,662.78,868822,662.78
2015-08-28,662.78,666.09,661.22,664.54,841851,664.54
2015-08-29,664.54,670.49,662.24,668.17,1059539,668.17
2015-08-30,668.17,681.22,663.26,676.26,1198720,676.26
2015-08-31,676.26,680.76,674.41,678.9,1259656,678.9
2015-09-01,678.9,682.73,674.65,678.48,984435,678.48
2015-09-02,678.48,684.26,675.99,681.75,1597056,681.75
2015-09-03,681.75,690.59,660.13,668.8,1637939,668.8
2015-09-04,668.8,670.0,668.2,669.4,870655,669.4
2015-09-05,669.4,673.9,656.27,660.71,1467767,660.71
2015-09-06,660.71,661.81,660.1,661.19,747193,661.19
2015-09-07,661.19,665.22,649.22,653.21,1344288,653.21
2015-09-08,653.21,654.42,650.05,651.25,1360486,651.25
2015-09-09,651.25,652.61,649.17,650.53,714547,650.53
2015-09-10,650.53,654.58,648.69,652.74,1453323,652.74
2015-09-11,652.74,658.23,649.33,654.8,729590,654.8
2015-09-12,654.8,661.48,651.42,658.09,697891,658.09
2015-09-13,658.09,660.76,657.07,659.74,1038600,659.74
2015-09-14,659.74,664.14,646.71,651.05,702933,651.05
2015-09-15,651.05,656.93,638.89,644.72,766099,644.72
2015-09-16,644.72,653.97,638.54,647.77,1116016,647.77
2015-09-17,647.77,664.55,637.89,654.57,1106275,654.57
2015-09-18,654.57,673.36,648.33,667.0,1710451,667.0
2015-09-19,667.0,672.19,652.61,657.73,1572252,657.73
2015-09-20,657.73,676.43,651.02,669.6,1176796,669.6
2015-09-21,669.6,678.42,665.9,674.69,1021733,674.69
2015-09-22,674.69,684.12,668.88,678.28,1714550,678.28
2015-09-23,678.28,684.12,664.5,670.27,1023995,670.27
2015-09-24,670.27,671.38,668.42,669.53,939833,669.53
2015-09-25,669.53,684.78,662.76,677.93,966572,677.93
2015-09-26,677.93,679.03,675.61,676.71,759192,676.71
2015-09-27,676.71,679.82,674.38,677.49,1389045,677.49
