Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,800.0,808.0,792.0,800.0,1086608,800.0
2015-01-02,800.0,829.75,787.96,817.45,1266365,817.45
2015-01-03,817.45,851.53,768.02,801.44,889923,801.44
2015-01-04,801.44,817.36,773.84,789.52,752865,789.52
2015-01-05,789.52,821.48,773.31,804.95,1034618,804.95
2015-01-06,804.95,824.85,760.3,779.58,1267270,779.58
2015-01-07,779.58,813.82,764.2,798.08,1110899,798.08
2015-01-08,798.08,817.28,774.18,793.27,1296782,793.27
2015-01-09,793.27,812.2,783.11,801.94,953802,801.94
2015-01-10,801.94,803.67,800.32,802.05,673184,802.05
2015-01-11,802.05,820.8,792.99,811.63,1728938,811.63
2015-01-12,811.63,826.2,800.43,814.95,999284,814.95
2015-01-13,814.95,838.29,803.14,826.32,2001746,826.32
2015-01-14,826.32,843.36,819.93,836.89,1295330,836.89
2015-01-15,836.89,859.33,825.21,847.51,1039871,847.51
2015-01-16,847.51,848.3,845.52,846.3,1200556,846.3
2015-01-17,846.3,849.97,835.42,839.06,780973,839.06
2015-01-18,839.06,856.96,830.75,848.55,1535024,848.55
2015-01-19,848.55,881.81,825.03,858.03,1238924,858.03
2015-01-20,858.03,927.17,832.43,900.31,2644037,900.31
2015-01-21,900.31,916.53,865.08,880.94,1523519,880.94
2015-01-22,880.94,895.39,840.38,854.39,943754,854.39
2015-01-23,854.39,883.33,837.0,865.72,1402609,865.72
2015-01-24,865.72,883.82,833.05,850.85,1374377,850.85
2015-01-25,850.85,857.29,847.03,853.45,971755,853.45
2015-01-26,853.45,890.33,753.33,787.35,1460367,787.35
2015-01-27,787.35,811.73,749.56,773.52,1220733,773.52
2015-01-28,773.52,796.78,751.6,774.82,638404,774.82
2015-01-29,774.82,801.59,763.47,790.02,1260588,790.02
2015-01-30,790.02,796.06,777.62,783.61,1168951,783.61
2015-01-31,783.61,792.24,773.03,781.64,751707,781.64
2015-02-01,781.64,822.9,762.88,803.62,915175,803.62
2015-02-02,803.62,818.19,795.16,809.67,1165816,809.67
2015-02-03,809.67,820.5,791.46,802.19,863938,802.19
2015-02-04,802.19,810.15,782.71,790.55,1154761,790.55
2015-02-05,790.55,841.11,763.73,813.51,1378601,813.51
2015-02-06,813.51,830.92,783.42,800.55,2192206,800.55
2015-02-07,800.55,818.69,762.66,780.34,687263,780.34
2015-02-08,780.34,797.77,748.02,765.11,1020011,765.11
2015-02-09,765.11,778.52,740.61,753.82,808761,753.82
2015-02-10,753.82,790.58,739.37,775.72,2151356,775.72
2015-02-11,775.72,793.89,769.39,787.46,1287662,787.46
2015-02-12,787.46,841.99,756.09,809.73,1025328,809.73
2015-02-13,809.73,833.26,789.26,812.71,1440122,812.71
2015-02-14,812.71,828.44,771.41,786.64,1321040,786.64
2015-02-15,786.64,791.51,782.25,787.12,1083944,787.12
2015-02-16,787.12,859.86,759.88,831.11,1250281,831.11
2015-02-17,831.11,839.18,814.42,822.41,889579,822.41
2015-02-18,822.41,838.15,800.48,816.09,804268,816.09
2015-02-19,816.09,828.21,790.54,802.45,1299914,802.45
2015-02-20,802.45,821.81,770.03,789.07,1148166,789.07
2015-02-21,789.07,798.15,763.88,772.78,1071792,772.78
2015-02-22,772.78,816.83,755.58,799.05,1348204,799.05
2015-02-23,799.05,825.7,777.02,803.55,899176,803.55
2015-02-24,803.55,810.21,789.56,796.16,1443241,796.16
2015-02-25,796.16,804.09,792.48,800.39,890439,800.39
2015-02-26,800.39,807.9,784.48,791.91,1142470,791.91
2015-02-27,791.91,805.18,767.91,781.01,1251822,781.01
2015-02-28,781.01,802.57,729.15,749.86,1504619,749.86
2015-03-01,749.86,766.98,720.24,737.07,1005225,737.07
2015-03-02,737.07,752.26,708.52,723.43,1215916,723.43
2015-03-03,723.43,749.89,714.11,740.35,910231,740.35
2015-03-04,740.35,767.39,725.86,752.66,1165430,752.66
2015-03-05,752.66,767.42,711.61,725.85,1565673,725.85
2015-03-06,725.85,730.15,718.99,723.27,2407074,723.27
2015-03-07,723.27,744.73,713.65,734.95,827016,734.95
2015-03-08,734.95,740.12,732.25,737.4,1104723,737.4
2015-03-09,737.4,761.86,692.32,716.07,1293124,716.07
2015-03-10,716.07,751.8,698.41,733.7,1109857,733.7
2015-03-11,733.7,746.71,728.26,741.21,1501340,741.21
2015-03-12,741.21,766.45,731.92,756.96,1099434,756.96
2015-03-13,756.96,780.64,741.56,765.08,793342,765.08
2015-03-14,765.08,774.21,754.3,763.41,951935,763.41
2015-03-15,763.41,787.26,719.32,742.52,1438405,742.52
2015-03-16,742.52,752.78,724.97,735.13,1926047,735.13
2015-03-17,735.13,745.37,728.1,738.3,1046048,738.3
2015-03-18,738.3,791.35,713.71,765.84,1238514,765.84
2015-03-19,765.84,784.23,728.54,746.47,853429,746.47
2015-03-20,746.47,755.05,737.87,746.46,877253,746.46
2015-03-21,746.46,791.51,730.58,775.02,830236,775.02
2015-03-22,775.02,787.59,766.21,778.74,1045529,778.74
2015-03-23,778.74,796.4,737.12,754.22,1508061,754.22
2015-03-24,754.22,790.84,738.29,774.48,721106,774.48
2015-03-25,774.48,866.55,740.68,830.32,2589780,830.32
2015-03-26,830.32,841.73,825.54,836.91,872483,836.91
2015-03-27,836.91,857.16,791.33,810.96,1585728,810.96
2015-03-28,810.96,832.41,752.45,772.9,1528552,772.9
2015-03-29,772.9,858.32,734.44,817.63,1749743,817.63
2015-03-30,817.63,839.15,801.13,822.55,1351457,822.55
2015-03-31,822.55,849.38,777.94,804.17,1999529,804.17
2015-04-01,804.17,821.38,795.1,812.22,983843,812.22
2015-04-02,812.22,830.67,802.78,821.13,1220819,821.13
2015-04-03,821.13,834.72,789.67,802.95,826731,802.95
2015-04-04,802.95,854.94,785.29,836.53,1225098,836.53
2015-04-05,836.53,856.77,807.75,827.78,1226959,827.78
2015-04-06,827.78,875.57,811.85,859.04,1380002,859.04
2015-04-07,859.04,886.41,842.01,869.18,1315906,869.18
2015-04-08,869.18,902.72,843.72,877.02,1011050,877.02
2015-04-09,877.02,881.98,866.68,871.6,804522,871.6
2015-04-10,871.6,950.33,834.85,911.88,1511664,911.88
2015-04-11,911.88,922.58,881.8,892.27,1049631,892.27
2015-04-12,892.27,902.15,867.33,877.04,934498,877.04
2015-04-13,877.04,890.98,869.6,883.48,966885,883.48
2015-04-14,883.48,896.16,871.86,884.52,815845,884.52
2015-04-15,884.52,888.95,879.01,883.43,881020,883.43
2015-04-16,883.43,910.31,871.53,898.2,1468071,898.2
2015-04-17,898.2,932.03,884.51,918.04,1379135,918.04
2015-04-18,918.04,1055.28,874.46,1007.46,1953156,1007.46
2015-04-19,1007.46,1072.7,954.93,1019.54,947798,1019.54
2015-04-20,1019.54,1067.11,996.94,1043.97,1065694,1043.97
2015-04-21,1043.97,1060.65,1022.0,1038.6,1662480,1038.6
2015-04-22,1038.6,1047.24,1022.74,1031.33,897471,1031.33
2015-04-23,1031.33,1047.61,1005.38,1021.52,1307025,1021.52
2015-04-24,1021.52,1042.17,1012.01,1032.56,1478532,1032.56
2015-04-25,1032.56,1043.29,1002.13,1012.66,735069,1012.66
2015-04-26,1012.66,1038.59,994.04,1019.84,827807,1019.84
2015-04-27,1019.84,1084.39,988.15,1051.71,1310198,1051.71
2015-04-28,1051.71,1067.7,1012.54,1028.17,680943,1028.17
2015-04-29,1028.17,1067.45,994.46,1033.57,1423022,1033.57
2015-04-30,1033.57,1055.59,1021.66,1043.57,1195684,1043.57
2015-05-01,1043.57,1054.64,1015.45,1026.34,1359694,1026.34
2015-05-02,1026.34,1062.89,930.96,965.34,887818,965.34
2015-05-03,965.34,1004.36,943.17,981.81,1113277,981.81
2015-05-04,981.81,1012.28,940.18,970.3,1033115,970.3
2015-05-05,970.3,985.87,941.34,956.69,1511079,956.69
2015-05-06,956.69,998.59,931.84,973.3,846245,973.3
2015-05-07,973.3,1294.39,862.77,1162.38,4248574,1162.38
2015-05-08,1162.38,1190.07,1092.97,1119.64,1951975,1119.64
2015-05-09,1119.64,1179.37,1080.74,1139.78,1106142,1139.78
2015-05-10,1139.78,1166.13,1078.27,1103.78,1752876,1103.78
2015-05-11,1103.78,1129.18,1060.93,1085.92,798774,1085.92
2015-05-12,1085.92,1107.05,1030.1,1050.55,1516437,1050.55
2015-05-13,1050.55,1057.23,1035.88,1042.52,1806818,1042.52
2015-05-14,1042.52,1054.48,1018.31,1030.13,961303,1030.13
2015-05-15,1030.13,1076.79,996.95,1043.19,1233346,1043.19
2015-05-16,1043.19,1046.93,1041.67,1045.4,1251975,1045.4
2015-05-17,1045.4,1055.45,1022.3,1032.21,999223,1032.21
2015-05-18,1032.21,1069.36,962.17,998.09,1503488,998.09
2015-05-19,998.09,1033.48,980.28,1015.36,902217,1015.36
2015-05-20,1015.36,1029.03,991.67,1005.2,1251925,1005.2
2015-05-21,1005.2,1042.03,981.97,1018.49,965719,1018.49
2015-05-22,1018.49,1073.4,996.33,1050.55,1284596,1050.55
2015-05-23,1050.55,1107.13,1023.67,1079.51,681117,1079.51
2015-05-24,1079.51,1115.59,1057.12,1092.93,915034,1092.93
2015-05-25,1092.93,1117.11,1027.16,1050.41,895273,1050.41
2015-05-26,1050.41,1081.96,1015.62,1047.07,1052425,1047.07
2015-05-27,1047.07,1186.97,983.76,1119.29,1914501,1119.29
2015-05-28,1119.29,1187.06,1090.0,1156.79,1850163,1156.79
2015-05-29,1156.79,1187.27,1095.73,1125.39,1261236,1125.39
2015-05-30,1125.39,1192.61,1100.03,1166.33,1262246,1166.33
2015-05-31,1166.33,1184.33,1127.97,1145.65,886422,1145.65
2015-06-01,1145.65,1149.72,1143.75,1147.81,841840,1147.81
2015-06-02,1147.81,1161.53,1141.82,1155.5,1045113,1155.5
2015-06-03,1155.5,1185.32,1119.52,1149.18,1905846,1149.18
2015-06-04,1149.18,1167.23,1100.59,1118.15,792956,1118.15
2015-06-05,1118.15,1152.68,1106.1,1140.39,993707,1140.39
2015-06-06,1140.39,1155.06,1098.33,1112.65,1131109,1112.65
2015-06-07,1112.65,1155.73,1026.83,1068.2,1404979,1068.2
2015-06-08,1068.2,1087.28,1014.69,1033.15,1400849,1033.15
2015-06-09,1033.15,1087.0,1014.06,1067.28,1203387,1067.28
2015-06-10,1067.28,1073.22,1055.85,1061.76,626059,1061.76
2015-06-11,1061.76,1070.07,1057.11,1065.41,893977,1065.41
2015-06-12,1065.41,1088.99,1055.8,1079.25,619153,1079.25
2015-06-13,1079.25,1111.81,1060.84,1093.17,1375838,1093.17
2015-06-14,1093.17,1121.68,1080.65,1108.98,1493661,1108.98
2015-06-15,1108.98,1122.49,1076.58,1089.85,1078169,1089.85
2015-06-16,1089.85,1131.82,1002.41,1042.56,1756706,1042.56
2015-06-17,1042.56,1096.58,1022.73,1076.11,1732556,1076.11
2015-06-18,1076.11,1094.8,1034.58,1052.87,1202268,1052.87
2015-06-19,1052.87,1069.93,1033.59,1050.61,712955,1050.61
2015-06-20,1050.61,1065.74,1024.06,1039.03,708471,1039.03
2015-06-21,1039.03,1096.22,954.54,1010.13,668249,1010.13
2015-06-22,1010.13,1030.27,1000.61,1020.64,826527,1020.64
2015-06-23,1020.64,1047.25,992.96,1019.54,624138,1019.54
2015-06-24,1019.54,1023.74,1008.16,1012.33,1404823,1012.33
2015-06-25,1012.33,1019.11,1004.9,1011.67,1107200,1011.67
2015-06-26,1011.67,1016.44,1005.33,1010.1,860444,1010.1
2015-06-27,1010.1,1024.57,980.46,994.71,1088781,994.71
2015-06-28,994.71,1015.47,962.36,982.87,897890,982.87
2015-06-29,982.87,1002.2,961.32,980.61,1499265,980.61
2015-06-30,980.61,987.5,962.82,969.63,1117854,969.63
2015-07-01,969.63,999.35,908.76,937.49,1342919,937.49
2015-07-02,937.49,978.91,908.07,949.13,794287,949.13
2015-07-03,949.13,982.89,894.16,927.15,1250477,927.15
2015-07-04,927.15,939.75,900.87,913.28,2273921,913.28
2015-07-05,913.28,947.77,900.98,935.17,1195996,935.17
2015-07-06,935.17,943.45,925.57,933.84,1253924,933.84
2015-07-07,933.84,956.66,913.13,935.9,532113,935.9
2015-07-08,935.9,976.9,899.95,940.77,985732,940.77
2015-07-09,940.77,943.42,936.45,939.09,738789,939.09
2015-07-10,939.09,972.83,920.24,953.69,981896,953.69
2015-07-11,953.69,974.41,908.03,928.2,963493,928.2
2015-07-12,928.2,991.79,905.32,967.93,1157501,967.93
2015-07-13,967.93,997.3,954.71,983.86,1137429,983.86
2015-07-14,983.86,1014.09,907.99,936.76,1325545,936.76
2015-07-15,936.76,962.03,926.69,951.8,1714960,951.8
2015-07-16,951.8,986.36,896.24,930.0,940513,930.0
2015-07-17,930.0,962.81,909.94,942.48,1042303,942.48
2015-07-18,942.48,965.62,934.14,957.15,1599017,957.15
2015-07-19,957.15,975.03,942.46,960.29,1014002,960.29
2015-07-20,960.29,970.3,950.6,960.61,1460324,960.61
2015-07-21,960.61,966.99,958.2,964.57,1109952,964.57
2015-07-22,964.57,1000.36,918.08,953.46,1118763,953.46
2015-07-23,953.46,957.28,946.12,949.93,968949,949.93
2015-07-24,949.93,977.55,903.55,930.61,1128855,930.61
2015-07-25,930.61,965.73,902.56,937.48,1198306,937.48
2015-07-26,937.48,984.06,915.65,961.67,1367769,961.67
2015-07-27,961.67,1052.15,908.93,997.45,1691788,997.45
2015-07-28,997.45,1052.6,977.55,1032.01,1462109,1032.01
2015-07-29,1032.01,1048.73,996.97,1013.38,1007094,1013.38
2015-07-30,1013.38,1056.37,918.86,959.56,1998836,959.56
2015-07-31,959.56,972.44,932.93,945.62,1138138,945.62
2015-08-01,945.62,974.31,926.11,954.62,924139,954.62
2015-08-02,954.62,1008.93,931.7,985.28,1734610,985.28
2015-08-03,985.28,1029.41,968.67,1012.35,2200414,1012.35
2015-08-04,1012.35,1054.85,989.52,1031.59,1410302,1031.59
2015-08-05,1031.59,1047.69,1001.92,1017.81,1101445,1017.81
2015-08-06,1017.81,1044.06,950.77,975.94,1561891,975.94
2015-08-07,975.94,1007.76,960.92,992.49,1193439,992.49
2015-08-08,992.49,1339.73,889.6,1213.89,6300574,1213.89
2015-08-09,1213.89,1222.48,1193.43,1201.93,1325720,1201.93
2015-08-10,1201.93,1225.65,1173.25,1196.87,1125594,1196.87
2015-08-11,1196.87,1220.07,1147.01,1169.68,956850,1169.68
2015-08-12,1169.68,1191.22,1128.14,1149.3,1125620,1149.3
2015-08-13,1149.3,1187.19,1087.93,1125.01,1288293,1125.01
2015-08-14,1125.01,1139.86,1103.66,1118.43,737472,1118.43
2015-08-15,1118.43,1424.56,1026.19,1316.03,4140341,1316.03
2015-08-16,1316.03,1356.4,1256.06,1295.82,788399,1295.82
2015-08-17,1295.82,1330.74,1281.88,1316.58,1196364,1316.58
2015-08-18,1316.58,1354.09,1300.19,1337.44,1071467,1337.44
2015-08-19,1337.44,1369.94,1307.6,1340.04,1138741,1340.04
2015-08-20,1340.04,1358.56,1327.55,1346.01,1093933,1346.01
2015-08-21,1346.01,1370.54,1332.95,1357.37,973126,1357.37
2015-08-22,1357.37,1458.49,1310.35,1409.66,1283299,1409.66
2015-08-23,1409.66,1426.24,1370.08,1386.39,1078993,1386.39
2015-08-24,1386.39,1450.76,1352.93,1416.57,896243,1416.57
2015-08-25,1416.57,1733.53,1315.0,1617.55,1578272,1617.55
2015-08-26,1617.55,1643.46,1559.53,1584.92,928393,1584.92
2015-08-27,1584.92,1604.79,1549.77,1569.44,1102375,1569.44
2015-08-28,1569.44,1578.38,1545.36,1554.2,855748,1554.2
2015-08-29,1554.2,1733.3,1493.52,1668.16,671188,1668.16
2015-08-30,1668.16,1718.2,1651.07,1700.78,1093005,1700.78
2015-08-31,1700.78,1706.22,1695.2,1700.64,878442,1700.64
2015-09-01,1700.64,2185.23,1542.09,1998.88,1341334,1998.88
2015-09-02,1998.88,2018.31,1991.91,2011.3,1762668,2011.3
2015-09-03,2011.3,2042.07,1934.4,1964.46,1338198,1964.46
2015-09-04,1964.46,2004.78,1945.98,1986.1,1236496,1986.1
2015-09-05,1986.1,1995.03,1961.46,1970.32,1090272,1970.32
2015-09-06,1970.32,1988.0,1941.09,1958.67,1635077,1958.67
2015-09-07,1958.67,2014.78,1798.39,1851.43,1192210,1851.43
2015-09-08,1851.43,1864.57,1826.18,1839.23,1066903,1839.23
2015-09-09,1839.23,1850.74,1807.74,1819.12,1081816,1819.12
2015-09-10,1819.12,1924.06,1765.64,1869.1,1431508,1869.1
2015-09-11,1869.1,2108.74,1792.45,2025.67,2145075,2025.67
2015-09-12,2025.67,2113.63,1993.25,2080.33,1333023,2080.33
2015-09-13,2080.33,2132.12,2007.58,2058.84,1542573,2058.84
2015-09-14,2058.84,2103.27,1931.03,1973.63,2249118,1973.63
2015-09-15,1973.63,2016.11,1938.73,1981.08,1123098,1981.08
2015-09-16,1981.08,2018.81,1967.62,2005.19,933677,2005.19
2015-09-17,2005.19,2037.59,1941.26,1973.13,1103496,1973.13
2015-09-18,1973.13,2009.68,1879.09,1914.56,1233266,1914.56
2015-09-19,1914.56,1954.15,1821.92,1860.4,1445944,1860.4
2015-09-20,1860.4,1925.7,1678.3,1739.36,1964974,1739.36
2015-09-21,1739.36,1852.02,1686.26,1797.16,1261827,1797.16
2015-09-22,1797.16,1849.83,1778.42,1830.74,959711,1830.74
2015-09-23,1830.74,1842.08,1823.34,1834.65,1491516,1834.65
2015-09-24,1834.65,1912.94,1787.22,1864.73,1386855,1864.73
2015-09-25,1864.73,1866.45,1861.16,1862.88,963341,1862.88
2015-09-26,1862.88,1870.14,1855.83,1863.09,832505,1863.09
2015-09-27,1863.09,1895.13,1771.55,1802.55,1501771,1802.55
2015-09-28,1802.55,2650.93,1557.79,2334.0,3328743,2334.0
2015-09-29,2334.0,2865.33,2162.92,2669.65,2390634,2669.65
2015-09-30,2669.65,2934.89,2566.53,2825.74,1198553,2825.74
2015-10-01,2825.74,3060.33,2273.47,2479.29,2509497,2479.29
2015-10-02,2479.29,3787.05,2119.87,3307.55,2465978,3307.55
2015-10-03,3307.55,3445.91,2964.5,3093.92,1430543,3093.92
2015-10-04,3093.92,3220.23,3044.45,3169.55,2102862,3169.55
2015-10-05,3169.55,3386.27,2602.42,2793.42,2363273,2793.42
2015-10-06,2793.42,3291.54,2619.98,3099.12,1860111,3099.12
2015-10-07,3099.12,3253.62,2693.94,2835.29,2108138,2835.29
2015-10-08,2835.29,2929.23,2611.22,2700.69,960706,2700.69
2015-10-09,2700.69,3018.23,2595.27,2904.84,2906571,2904.84
2015-10-10,2904.84,3098.17,2374.25,2543.53,1202904,2543.53
2015-10-11,2543.53,3387.3,2257.96,3045.38,1833447,3045.38
2015-10-12,3045.38,3161.09,2726.62,2834.31,1539776,2834.31
2015-10-13,2834.31,2946.99,2516.26,2620.44,1930234,2620.44
2015-10-14,2620.44,2735.08,2426.12,2537.12,1663100,2537.12
2015-10-15,2537.12,2641.5,2243.78,2340.06,2206886,2340.06
2015-10-16,2340.06,2803.97,2194.65,2639.93,2574105,2639.93
2015-10-17,2639.93,2721.63,2481.04,2560.27,1009350,2560.27
2015-10-18,2560.27,2655.17,2525.34,2619.43,1159076,2619.43
2015-10-19,2619.43,3401.29,2356.83,3091.38,2745646,3091.38
2015-10-20,3091.38,3283.78,2702.9,2882.29,1616874,2882.29
2015-10-21,2882.29,3129.5,2770.18,3012.34,1153719,3012.34
2015-10-22,3012.34,3144.76,2913.36,3044.72,1292725,3044.72
2015-10-23,3044.72,3155.09,3005.66,3115.12,461293,3115.12
2015-10-24,3115.12,3338.41,2514.67,2708.83,2253086,2708.83
2015-10-25,2708.83,2818.04,2458.39,2561.67,2384309,2561.67
2015-10-26,2561.67,2679.62,2512.52,2629.18,1190302,2629.18
2015-10-27,2629.18,2730.08,2408.26,2504.37,1228023,2504.37
2015-10-28,2504.37,2559.4,2366.52,2419.69,1773933,2419.69
2015-10-29,2419.69,2581.4,2058.11,2205.51,2780695,2205.51
2015-10-30,2205.51,2475.02,2108.67,2370.92,1283142,2370.92
2015-10-31,2370.92,2569.28,2306.35,2501.16,1549211,2501.16
2015-11-01,2501.16,2948.4,2362.64,2793.68,1861035,2793.68
2015-11-02,2793.68,2803.45,2788.53,2798.29,1389203,2798.29
2015-11-03,2798.29,3280.5,2633.72,3098.29,1363918,3098.29
2015-11-04,3098.29,3162.56,2965.34,3028.16,1071568,3028.16
2015-11-05,3028.16,3449.57,2886.18,3295.08,2523210,3295.08
2015-11-06,3295.08,3384.01,3160.73,3248.39,1038081,3248.39
2015-11-07,3248.39,3401.63,2877.28,3019.72,1924318,3019.72
2015-11-08,3019.72,3061.85,2898.57,2939.58,1019993,2939.58
2015-11-09,2939.58,3108.53,2477.22,2628.28,1643565,2628.28
2015-11-10,2628.28,2850.35,2149.17,2347.52,1555851,2347.52
2015-11-11,2347.52,2468.38,2302.81,2422.25,1567847,2422.25
2015-11-12,2422.25,2627.72,1884.07,2058.7,2664829,2058.7
2015-11-13,2058.7,2147.45,1810.43,1891.98,1608279,1891.98
2015-11-14,1891.98,2343.43,1742.11,2171.43,2674070,2171.43
2015-11-15,2171.43,2239.87,2148.26,2216.23,1018493,2216.23
2015-11-16,2216.23,2398.91,1740.09,1896.41,2211996,1896.41
2015-11-17,1896.41,1916.34,1846.03,1865.64,895560,1865.64
2015-11-18,1865.64,1970.22,1623.26,1719.65,1575230,1719.65
2015-11-19,1719.65,1802.06,1585.22,1665.01,1745609,1665.01
2015-11-20,1665.01,1727.11,1541.3,1601.01,1316247,1601.01
2015-11-21,1601.01,2067.15,1451.8,1890.92,3204473,1890.92
2015-11-22,1890.92,2476.83,1705.53,2255.69,3524942,2255.69
2015-11-23,2255.69,2397.29,2206.17,2345.8,1100686,2345.8
2015-11-24,2345.8,2564.42,1794.2,1978.6,2801710,1978.6
2015-11-25,1978.6,2299.95,1866.05,2176.16,1971142,2176.16
2015-11-26,2176.16,2422.31,1543.97,1740.89,4952344,1740.89
2015-11-27,1740.89,2168.34,1606.45,2012.9,2423007,2012.9
2015-11-28,2012.9,2076.95,1972.84,2036.43,1199304,2036.43
2015-11-29,2036.43,2109.95,1831.54,1900.14,2938128,1900.14
2015-11-30,1900.14,2048.33,1562.13,1694.27,1591947,1694.27
2015-12-01,1694.27,1901.32,1623.79,1825.39,1476881,1825.39
2015-12-02,1825.39,1877.22,1790.19,1841.71,1835403,1841.71
2015-12-03,1841.71,1859.86,1788.56,1806.36,1708538,1806.36
2015-12-04,1806.36,1843.41,1788.21,1825.07,1023919,1825.07
2015-12-05,1825.07,2114.77,1733.59,2013.82,1056012,2013.82
2015-12-06,2013.82,2338.39,1231.67,1468.31,5701625,1468.31
2015-12-07,1468.31,1498.02,1429.66,1459.19,705138,1459.19
2015-12-08,1459.19,1527.57,1268.75,1331.13,1771064,1331.13
2015-12-09,1331.13,1461.71,1268.74,1396.26,1214424,1396.26
2015-12-10,1396.26,1498.19,1362.74,1463.07,1633348,1463.07
2015-12-11,1463.07,1478.34,1437.17,1452.33,1529694,1452.33
2015-12-12,1452.33,1599.1,1085.55,1207.59,1769645,1207.59
2015-12-13,1207.59,1274.94,1182.82,1249.32,1818456,1249.32
2015-12-14,1249.32,1370.67,1198.88,1317.48,1486307,1317.48
2015-12-15,1317.48,1635.57,1212.5,1514.85,2726095,1514.85
2015-12-16,1514.85,1580.78,1357.55,1419.32,2007360,1419.32
2015-12-17,1419.32,1572.22,1365.73,1515.02,1063863,1515.02
2015-12-18,1515.02,1589.65,1467.73,1541.53,993518,1541.53
2015-12-19,1541.53,1585.5,1437.14,1479.34,1374695,1479.34
2015-12-20,1479.34,1556.43,1437.22,1513.33,1243636,1513.33
2015-12-21,1513.33,1539.32,1442.78,1467.98,974078,1467.98
2015-12-22,1467.98,1840.64,1355.14,1709.25,2920996,1709.25
2015-12-23,1709.25,1713.55,1705.05,1709.36,828433,1709.36
2015-12-24,1709.36,1768.58,1548.34,1603.91,1531932,1603.91
2015-12-25,1603.91,1642.32,1515.41,1552.6,2247043,1552.6
2015-12-26,1552.6,1652.79,1296.37,1385.8,2005773,1385.8
2015-12-27,1385.8,1489.78,1338.68,1440.79,1077981,1440.79
2015-12-28,1440.79,1501.38,1295.89,1352.79,1788607,1352.79
2015-12-29,1352.79,1408.82,1331.35,1386.85,1029578,1386.85
2015-12-30,1386.85,1452.37,1361.43,1426.23,1077427,1426.23
2015-12-31,1426.23,1464.85,1374.61,1412.87,1033564,1412.87
2016-01-01,1412.87,1878.66,1258.89,1694.04,2839370,1694.04
2016-01-02,1694.04,1788.12,1662.93,1755.88,2386305,1755.88
2016-01-03,1755.88,1770.36,1745.95,1760.4,583267,1760.4
2016-01-04,1760.4,1771.9,1755.62,1767.1,1032195,1767.1
2016-01-05,1767.1,1826.81,1669.47,1727.86,1108154,1727.86
2016-01-06,1727.86,1842.82,1690.06,1803.37,1169372,1803.37
2016-01-07,1803.37,1827.11,1773.08,1796.73,1179432,1796.73
2016-01-08,1796.73,1929.22,1747.63,1877.9,2164205,1877.9
2016-01-09,1877.9,1951.07,1851.82,1924.34,1151791,1924.34
2016-01-10,1924.34,2168.46,1840.38,2077.8,1894824,2077.8
2016-01-11,2077.8,2147.74,2052.11,2121.5,1033183,2121.5
2016-01-12,2121.5,2145.71,2082.77,2106.82,1405585,2106.82
2016-01-13,2106.82,2149.29,2007.41,2048.71,1218903,2048.71
2016-01-14,2048.71,2088.76,1987.98,2027.62,948450,2027.62
2016-01-15,2027.62,2102.32,2001.6,2075.69,1111504,2075.69
2016-01-16,2075.69,2184.39,2039.97,2147.43,790354,2147.43
2016-01-17,2147.43,2168.45,2133.7,2154.68,1194445,2154.68
2016-01-18,2154.68,2183.29,2105.91,2134.25,670955,2134.25
2016-01-19,2134.25,2152.14,2117.25,2135.14,1862997,2135.14
2016-01-20,2135.14,2525.08,2012.37,2387.79,2505865,2387.79
2016-01-21,2387.79,2505.95,2161.91,2274.47,1489753,2274.47
2016-01-22,2274.47,2400.9,2212.24,2336.97,797734,2336.97
2016-01-23,2336.97,2626.53,2243.41,2525.43,2731687,2525.43
2016-01-24,2525.43,2714.04,2084.17,2252.39,1947299,2252.39
2016-01-25,2252.39,2293.01,2166.19,2205.98,1804401,2205.98
2016-01-26,2205.98,2341.39,1856.6,1978.02,2292956,1978.02
2016-01-27,1978.02,2025.58,1957.59,2004.88,975157,2004.88
2016-01-28,2004.88,2351.74,1890.68,2225.0,2326462,2225.0
2016-01-29,2225.0,2523.64,2118.64,2408.5,1829174,2408.5
2016-01-30,2408.5,3145.37,2186.14,2879.52,3746750,2879.52
2016-01-31,2879.52,3372.96,2699.21,3174.2,4214656,3174.2
2016-02-01,3174.2,3366.03,3111.78,3301.12,1269176,3301.12
2016-02-02,3301.12,4122.14,3028.7,3807.9,2277221,3807.9
2016-02-03,3807.9,4022.31,3254.83,3449.03,1628510,3449.03
2016-02-04,3449.03,3711.29,2780.02,3008.81,2823804,3008.81
2016-02-05,3008.81,3077.14,2928.59,2996.64,1014034,2996.64
2016-02-06,2996.64,3021.78,2928.85,2953.63,1313802,2953.63
2016-02-07,2953.63,3260.73,2155.06,2405.14,3409416,2405.14
