Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,480.0,480.54,479.46,480.0,1523930,480.0
2015-01-02,480.0,490.65,472.0,482.61,815789,482.61
2015-01-03,482.61,488.84,480.38,486.59,1376896,486.59
2015-01-04,486.59,497.19,479.93,490.47,986411,490.47
2015-01-05,490.47,493.77,488.28,491.57,834153,491.57
2015-01-06,491.57,493.23,487.14,488.78,1817933,488.78
2015-01-07,488.78,498.95,484.18,494.29,1563457,494.29
2015-01-08,494.29,498.79,491.25,495.74,1899936,495.74
2015-01-09,495.74,498.73,494.73,497.72,1625436,497.72
2015-01-10,497.72,502.64,491.14,496.05,1706202,496.05
2015-01-11,496.05,505.73,490.66,500.3,1232074,500.3
2015-01-12,500.3,509.21,497.23,506.11,994967,506.11
2015-01-13,506.11,524.96,498.49,517.18,1167524,517.18
2015-01-14,517.18,520.13,515.34,518.29,550702,518.29
2015-01-15,518.29,521.95,515.9,519.55,899520,519.55
2015-01-16,519.55,522.33,518.45,521.23,1656368,521.23
2015-01-17,521.23,521.9,519.29,519.97,737732,519.97
2015-01-18,519.97,527.3,516.53,523.84,1325000,523.84
2015-01-19,523.84,526.04,522.7,524.89,1026461,524.89
2015-01-20,524.89,526.83,520.2,522.14,840658,522.14
2015-01-21,522.14,526.71,513.66,518.19,1268767,518.19
2015-01-22,518.19,532.08,509.88,523.67,2011471,523.67
2015-01-23,523.67,537.22,518.06,531.53,1346489,531.53
2015-01-24,531.53,534.28,525.32,528.05,1454129,528.05
2015-01-25,528.05,528.43,527.38,527.77,1502150,527.77
2015-01-26,527.77,531.13,519.22,522.55,1231830,522.55
2015-01-27,522.55,533.89,516.48,527.76,1562151,527.76
2015-01-28,527.76,534.11,516.8,523.09,633263,523.09
2015-01-29,523.09,525.61,522.22,524.74,997560,524.74
2015-01-30,524.74,533.41,517.27,525.93,990993,525.93
2015-01-31,525.93,530.17,524.34,528.57,1168329,528.57
2015-02-01,528.57,538.47,500.1,509.65,975956,509.65
2015-02-02,509.65,512.04,508.21,510.59,1051058,510.59
2015-02-03,510.59,513.52,502.18,505.07,1589455,505.07
2015-02-04,505.07,512.93,501.9,509.73,652077,509.73
2015-02-05,509.73,521.95,505.35,517.51,739110,517.51
2015-02-06,517.51,518.31,517.01,517.82,690671,517.82
2015-02-07,517.82,521.02,512.38,515.56,818744,515.56
2015-02-08,515.56,517.87,511.15,513.45,1493596,513.45
2015-02-09,513.45,518.91,503.26,508.67,926855,508.67
2015-02-10,508.67,511.08,503.21,505.62,999736,505.62
