Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,45.0,45.18,44.82,45.0,938117,45.0
2015-01-02,45.0,46.08,44.53,45.61,1528462,45.61
2015-01-03,45.61,46.19,45.27,45.85,1013822,45.85
2015-01-04,45.85,46.77,43.8,44.71,1331384,44.71
2015-01-05,44.71,45.88,44.08,45.25,1547677,45.25
2015-01-06,45.25,45.99,44.66,45.4,1020628,45.4
2015-01-07,45.4,45.57,44.96,45.13,871935,45.13
2015-01-08,45.13,45.59,44.08,44.53,1050365,44.53
2015-01-09,44.53,44.67,44.28,44.42,644606,44.42
2015-01-10,44.42,44.75,43.45,43.77,1641367,43.77
2015-01-11,43.77,43.94,43.33,43.5,853807,43.5
2015-01-12,43.5,43.94,43.32,43.75,775257,43.75
2015-01-13,43.75,44.3,43.57,44.11,997993,44.11
2015-01-14,44.11,45.86,43.4,45.12,954314,45.12
2015-01-15,45.12,45.45,44.49,44.81,1006251,44.81
2015-01-16,44.81,46.41,44.14,45.73,1822449,45.73
2015-01-17,45.73,46.6,45.27,46.13,1030030,46.13
2015-01-18,46.13,46.87,45.65,46.38,1199665,46.38
2015-01-19,46.38,48.18,45.61,47.39,1172339,47.39
2015-01-20,47.39,47.52,47.34,47.48,1018513,47.48
2015-01-21,47.48,48.02,46.6,47.14,1922355,47.14
2015-01-22,47.14,48.94,46.41,48.2,1081014,48.2
2015-01-23,48.2,49.1,47.77,48.67,729882,48.67
2015-01-24,48.67,49.1,47.54,47.97,618414,47.97
2015-01-25,47.97,48.06,47.74,47.83,763692,47.83
2015-01-26,47.83,48.33,46.39,46.89,1251914,46.89
2015-01-27,46.89,49.06,45.8,47.95,853884,47.95
2015-01-28,47.95,48.63,47.69,48.37,844191,48.37
2015-01-29,48.37,49.56,47.96,49.14,875041,49.14
2015-01-30,49.14,49.53,48.16,48.54,1003379,48.54
2015-01-31,48.54,49.49,47.68,48.63,1218397,48.63
2015-02-01,48.63,48.91,48.52,48.8,1572134,48.8
2015-02-02,48.8,50.63,47.66,49.47,685410,49.47
2015-02-03,49.47,49.8,49.21,49.54,951350,49.54
2015-02-04,49.54,50.23,49.31,49.99,1188635,49.99
2015-02-05,49.99,50.96,49.51,50.48,1105965,50.48
2015-02-06,50.48,52.07,49.88,51.46,1297788,51.46
2015-02-07,51.46,52.25,51.18,51.97,1557239,51.97
2015-02-08,51.97,52.44,50.6,51.06,1040376,51.06
2015-02-09,51.06,51.35,50.24,50.53,1169331,50.53
2015-02-10,50.53,50.67,50.19,50.32,992877,50.32
2015-02-11,50.32,50.39,50.18,50.24,877901,50.24
2015-02-12,50.24,50.46,50.14,50.36,1042344,50.36
2015-02-13,50.36,50.79,50.19,50.62,802459,50.62
2015-02-14,50.62,50.75,50.5,50.63,963744,50.63
2015-02-15,50.63,51.0,49.64,50.01,1616533,50.01
2015-02-16,50.01,52.08,49.32,51.36,2132961,51.36
2015-02-17,51.36,51.64,50.6,50.87,594779,50.87
2015-02-18,50.87,51.41,49.8,50.33,1116891,50.33
2015-02-19,50.33,50.83,50.15,50.65,1155818,50.65
2015-02-20,50.65,50.83,50.44,50.61,822705,50.61
2015-02-21,50.61,51.09,49.77,50.24,1212676,50.24
2015-02-22,50.24,50.72,50.05,50.53,583409,50.53
2015-02-23,50.53,51.58,49.79,50.83,1009854,50.83
2015-02-24,50.83,51.03,50.3,50.49,416585,50.49
2015-02-25,50.49,50.89,50.31,50.7,883850,50.7
2015-02-26,50.7,51.76,50.31,51.36,847648,51.36
2015-02-27,51.36,51.68,50.65,50.97,950043,50.97
2015-02-28,50.97,51.48,50.42,50.94,832994,50.94
2015-03-01,50.94,51.44,49.52,50.02,1701892,50.02
2015-03-02,50.02,53.02,48.92,51.88,682476,51.88
2015-03-03,51.88,52.62,51.56,52.29,1652089,52.29
2015-03-04,52.29,53.04,51.92,52.67,1639135,52.67
2015-03-05,52.67,53.44,50.93,51.68,1537262,51.68
2015-03-06,51.68,51.97,51.41,51.7,739381,51.7
2015-03-07,51.7,51.93,51.17,51.41,1283971,51.41
2015-03-08,51.41,51.65,50.95,51.19,1058019,51.19
2015-03-09,51.19,51.66,49.88,50.33,1091838,50.33
2015-03-10,50.33,50.55,49.81,50.03,664302,50.03
2015-03-11,50.03,50.95,48.91,49.83,1102955,49.83
2015-03-12,49.83,50.85,49.37,50.39,1710230,50.39
2015-03-13,50.39,51.34,50.04,50.99,735237,50.99
2015-03-14,50.99,51.23,50.27,50.51,574096,50.51
2015-03-15,50.51,51.42,50.19,51.09,2219592,51.09
2015-03-16,51.09,51.5,50.77,51.18,528860,51.18
2015-03-17,51.18,52.05,50.67,51.54,921632,51.54
2015-03-18,51.54,52.55,51.21,52.21,1334789,52.21
2015-03-19,52.21,52.58,51.21,51.58,747517,51.58
2015-03-20,51.58,52.56,51.12,52.1,960867,52.1
2015-03-21,52.1,52.63,51.84,52.37,813344,52.37
2015-03-22,52.37,54.21,51.42,53.25,1227591,53.25
2015-03-23,53.25,53.96,51.91,52.61,946589,52.61
2015-03-24,52.61,55.93,51.33,54.6,985621,54.6
2015-03-25,54.6,59.04,53.13,57.5,1140819,57.5
2015-03-26,57.5,59.46,56.55,58.5,1105088,58.5
2015-03-27,58.5,58.8,57.69,57.99,693609,57.99
2015-03-28,57.99,58.16,57.53,57.69,502919,57.69
2015-03-29,57.69,59.38,57.11,58.78,1532082,58.78
2015-03-30,58.78,58.9,58.45,58.57,1420490,58.57
2015-03-31,58.57,59.23,57.27,57.93,1034249,57.93
2015-04-01,57.93,58.18,57.82,58.07,1106048,58.07
2015-04-02,58.07,58.16,57.98,58.07,840646,58.07
2015-04-03,58.07,58.4,57.6,57.93,1057517,57.93
2015-04-04,57.93,58.96,57.53,58.55,1495702,58.55
2015-04-05,58.55,58.76,58.24,58.44,1148965,58.44
2015-04-06,58.44,61.01,56.69,59.23,1250486,59.23
2015-04-07,59.23,59.56,58.93,59.26,1133511,59.26
2015-04-08,59.26,59.74,58.94,59.42,490721,59.42
2015-04-09,59.42,60.44,59.06,60.07,1148028,60.07
2015-04-10,60.07,61.59,59.53,61.04,1083641,61.04
2015-04-11,61.04,61.42,60.77,61.15,628841,61.15
2015-04-12,61.15,61.76,60.81,61.42,1323438,61.42
2015-04-13,61.42,61.63,60.95,61.15,635345,61.15
2015-04-14,61.15,61.84,60.08,60.76,2029628,60.76
2015-04-15,60.76,64.69,59.37,63.24,2577972,63.24
2015-04-16,63.24,63.57,63.0,63.33,1375593,63.33
2015-04-17,63.33,64.37,60.49,61.5,1093396,61.5
2015-04-18,61.5,62.98,60.3,61.78,942612,61.78
2015-04-19,61.78,62.41,61.43,62.05,1127229,62.05
