Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,145.0,145.07,144.93,145.0,1551117,145.0
2015-01-02,145.0,145.32,144.87,145.19,830842,145.19
2015-01-03,145.19,148.01,144.08,146.89,1612346,146.89
2015-01-04,146.89,147.46,145.62,146.19,769840,146.19
2015-01-05,146.19,147.61,145.67,147.08,1555612,147.08
2015-01-06,147.08,148.04,145.69,146.65,593911,146.65
2015-01-07,146.65,148.36,145.96,147.67,630593,147.67
2015-01-08,147.67,147.89,147.45,147.68,1256065,147.68
2015-01-09,147.68,148.41,146.91,147.64,855462,147.64
2015-01-10,147.64,148.31,146.0,146.66,726011,146.66
2015-01-11,146.66,148.02,143.03,144.36,1123960,144.36
2015-01-12,144.36,145.99,143.74,145.36,1378851,145.36
2015-01-13,145.36,145.63,144.88,145.15,1848898,145.15
2015-01-14,145.15,146.31,144.73,145.89,1080231,145.89
2015-01-15,145.89,148.14,144.93,147.17,1073463,147.17
2015-01-16,147.17,148.37,145.74,146.94,1327777,146.94
2015-01-17,146.94,147.54,145.61,146.2,1703586,146.2
2015-01-18,146.2,146.67,145.44,145.91,1342097,145.91
2015-01-19,145.91,150.58,144.33,148.97,1159513,148.97
2015-01-20,148.97,150.14,148.36,149.53,1273592,149.53
2015-01-21,149.53,150.34,148.02,148.82,1571183,148.82
2015-01-22,148.82,149.0,148.73,148.9,850000,148.9
2015-01-23,148.9,151.6,147.67,150.36,1865497,150.36
2015-01-24,150.36,153.52,148.36,151.51,972736,151.51
2015-01-25,151.51,153.92,150.5,152.91,1626214,152.91
2015-01-26,152.91,153.92,150.26,151.26,1609290,151.26
2015-01-27,151.26,154.72,149.87,153.31,783378,153.31
2015-01-28,153.31,154.74,150.88,152.31,1541417,152.31
2015-01-29,152.31,154.83,151.28,153.8,979521,153.8
2015-01-30,153.8,155.83,151.91,153.94,740575,153.94
2015-01-31,153.94,154.6,152.06,152.72,580192,152.72
2015-02-01,152.72,153.52,151.02,151.82,901286,151.82
2015-02-02,151.82,152.88,151.23,152.3,1111620,152.3
2015-02-03,152.3,153.53,150.33,151.56,788065,151.56
2015-02-04,151.56,154.17,150.61,153.22,841527,153.22
2015-02-05,153.22,154.52,152.39,153.69,1363165,153.69
2015-02-06,153.69,155.09,150.73,152.13,1075735,152.13
2015-02-07,152.13,153.37,151.7,152.95,1362616,152.95
2015-02-08,152.95,153.24,152.31,152.6,1050538,152.6
2015-02-09,152.6,153.35,150.63,151.37,1706707,151.37
2015-02-10,151.37,153.21,150.55,152.38,1613635,152.38
2015-02-11,152.38,153.83,151.63,153.07,921146,153.07
2015-02-12,153.07,157.19,151.01,155.11,943637,155.11
2015-02-13,155.11,155.19,155.06,155.14,1219313,155.14
2015-02-14,155.14,159.26,153.06,157.15,1176206,157.15
2015-02-15,157.15,159.07,154.3,156.21,1004120,156.21
2015-02-16,156.21,158.95,155.3,158.02,1176646,158.02
2015-02-17,158.02,161.11,156.87,159.94,893752,159.94
2015-02-18,159.94,161.45,157.11,158.6,993102,158.6
2015-02-19,158.6,160.31,156.86,158.56,1149075,158.56
2015-02-20,158.56,159.27,157.77,158.48,843284,158.48
2015-02-21,158.48,158.83,158.33,158.68,602447,158.68
2015-02-22,158.68,160.03,157.8,159.15,760671,159.15
2015-02-23,159.15,159.57,158.47,158.89,1253417,158.89
2015-02-24,158.89,160.62,155.92,157.63,731717,157.63
2015-02-25,157.63,158.41,155.44,156.21,980824,156.21
2015-02-26,156.21,157.23,153.96,154.97,1485560,154.97
2015-02-27,154.97,155.19,154.77,155.0,909317,155.0
2015-02-28,155.0,156.13,153.17,154.29,1172015,154.29
2015-03-01,154.29,156.7,153.12,155.52,1339239,155.52
2015-03-02,155.52,156.34,153.82,154.64,906929,154.64
2015-03-03,154.64,157.5,153.7,156.54,1072678,156.54
2015-03-04,156.54,159.54,155.53,158.52,1437426,158.52
2015-03-05,158.52,159.26,156.99,157.73,580512,157.73
2015-03-06,157.73,157.93,157.21,157.42,884057,157.42
2015-03-07,157.42,158.56,154.24,155.37,1395517,155.37
2015-03-08,155.37,155.51,155.07,155.21,958498,155.21
2015-03-09,155.21,156.37,152.4,153.55,809373,153.55
2015-03-10,153.55,154.25,152.13,152.83,948463,152.83
2015-03-11,152.83,153.21,151.85,152.23,1160384,152.23
2015-03-12,152.23,152.92,151.98,152.67,879673,152.67
2015-03-13,152.67,153.4,152.19,152.93,1335713,152.93
2015-03-14,152.93,153.82,151.36,152.25,1061494,152.25
2015-03-15,152.25,152.78,151.03,151.55,612932,151.55
2015-03-16,151.55,153.23,150.38,152.06,1138401,152.06
2015-03-17,152.06,152.35,151.9,152.19,988224,152.19
2015-03-18,152.19,154.23,151.47,153.51,1475503,153.51
2015-03-19,153.51,154.22,152.32,153.03,1129261,153.03
2015-03-20,153.03,154.83,151.47,153.27,1066351,153.27
2015-03-21,153.27,157.0,151.86,155.57,1211075,155.57
2015-03-22,155.57,155.76,155.25,155.44,1233006,155.44
2015-03-23,155.44,157.1,151.34,152.98,1082587,152.98
2015-03-24,152.98,154.13,152.59,153.73,1026282,153.73
2015-03-25,153.73,155.26,153.06,154.6,1821459,154.6
2015-03-26,154.6,155.63,153.87,154.9,1095575,154.9
2015-03-27,154.9,156.38,154.16,155.63,1850545,155.63
2015-03-28,155.63,156.57,153.09,154.02,936911,154.02
2015-03-29,154.02,157.23,151.6,154.79,1346941,154.79
2015-03-30,154.79,155.8,152.75,153.76,1233748,153.76
2015-03-31,153.76,156.07,152.57,154.88,1243608,154.88
2015-04-01,154.88,155.92,154.38,155.42,865674,155.42
2015-04-02,155.42,156.24,154.14,154.96,897988,154.96
2015-04-03,154.96,156.37,153.78,155.19,1633594,155.19
2015-04-04,155.19,156.13,153.84,154.78,756709,154.78
2015-04-05,154.78,155.43,153.43,154.08,830133,154.08
2015-04-06,154.08,155.87,153.36,155.14,1028946,155.14
2015-04-07,155.14,155.41,155.0,155.27,1176479,155.27
2015-04-08,155.27,155.32,155.21,155.26,1845965,155.26
2015-04-09,155.26,156.42,154.83,155.99,1088348,155.99
2015-04-10,155.99,156.63,154.36,155.0,780807,155.0
2015-04-11,155.0,155.57,154.53,155.1,770707,155.1
2015-04-12,155.1,157.25,154.28,156.42,964944,156.42
2015-04-13,156.42,156.77,156.16,156.51,1708128,156.51
2015-04-14,156.51,160.46,154.88,158.82,998862,158.82
2015-04-15,158.82,159.83,157.15,158.16,1409069,158.16
2015-04-16,158.16,158.48,158.0,158.32,1776641,158.32
2015-04-17,158.32,159.76,157.39,158.83,1000643,158.83
2015-04-18,158.83,160.03,157.05,158.25,1585415,158.25
2015-04-19,158.25,161.73,156.66,160.13,963479,160.13
2015-04-20,160.13,162.32,158.52,160.71,800143,160.71
2015-04-21,160.71,162.7,158.76,160.75,976103,160.75
2015-04-22,160.75,161.77,159.41,160.42,1175563,160.42
2015-04-23,160.42,162.22,159.3,161.1,1079707,161.1
2015-04-24,161.1,163.78,160.19,162.85,1464642,162.85
2015-04-25,162.85,164.15,161.36,162.65,1986641,162.65
2015-04-26,162.65,162.95,162.27,162.57,1380923,162.57
2015-04-27,162.57,164.99,161.75,164.16,2610102,164.16
2015-04-28,164.16,164.86,162.73,163.43,1504547,163.43
2015-04-29,163.43,165.91,162.14,164.62,1396851,164.62
2015-04-30,164.62,169.63,161.44,166.43,1120415,166.43
2015-05-01,166.43,166.91,166.23,166.72,1028121,166.72
2015-05-02,166.72,171.13,165.02,169.4,849364,169.4
2015-05-03,169.4,171.31,168.17,170.08,615099,170.08
