Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,85.0,85.44,84.56,85.0,954709,85.0
2015-01-02,85.0,86.57,84.44,86.0,867989,86.0
2015-01-03,86.0,86.22,85.68,85.9,1203848,85.9
2015-01-04,85.9,86.66,83.96,84.71,1011523,84.71
2015-01-05,84.71,85.95,84.27,85.51,867179,85.51
2015-01-06,85.51,85.74,84.93,85.16,1652439,85.16
2015-01-07,85.16,86.71,82.15,83.67,1763134,83.67
2015-01-08,83.67,88.3,82.01,86.58,1987896,86.58
2015-01-09,86.58,87.54,84.44,85.39,1029586,85.39
2015-01-10,85.39,100.93,80.35,95.32,2168769,95.32
2015-01-11,95.32,96.35,92.89,93.91,1000193,93.91
2015-01-12,93.91,96.55,92.27,94.9,900750,94.9
2015-01-13,94.9,95.91,92.62,93.61,1060812,93.61
2015-01-14,93.61,95.63,92.92,94.92,1373349,94.92
2015-01-15,94.92,95.97,92.72,93.75,1157810,93.75
2015-01-16,93.75,94.0,93.06,93.3,1024493,93.3
2015-01-17,93.3,95.84,92.12,94.65,1057183,94.65
2015-01-18,94.65,95.17,93.53,94.05,1340088,94.05
2015-01-19,94.05,98.75,92.45,97.1,1128142,97.1
2015-01-20,97.1,98.2,95.13,96.21,1772943,96.21
2015-01-21,96.21,96.71,95.7,96.2,990500,96.2
2015-01-22,96.2,97.39,95.53,96.72,781962,96.72
2015-01-23,96.72,99.63,95.72,98.61,783128,98.61
2015-01-24,98.61,99.8,97.86,99.05,1195623,99.05
2015-01-25,99.05,100.49,98.36,99.8,822453,99.8
2015-01-26,99.8,101.33,95.83,97.32,895419,97.32
2015-01-27,97.32,98.47,96.85,98.0,1273197,98.0
2015-01-28,98.0,98.96,95.72,96.67,1076702,96.67
2015-01-29,96.67,96.9,96.41,96.64,744978,96.64
2015-01-30,96.64,97.32,95.57,96.24,950412,96.24
2015-01-31,96.24,97.77,95.65,97.18,1067677,97.18
2015-02-01,97.18,99.08,93.23,95.09,975713,95.09
2015-02-02,95.09,96.06,93.01,93.97,1270172,93.97
2015-02-03,93.97,94.34,93.03,93.39,1354347,93.39
2015-02-04,93.39,94.78,92.59,93.97,849130,93.97
2015-02-05,93.97,97.09,92.76,95.86,1394378,95.86
2015-02-06,95.86,97.24,95.11,96.48,1819816,96.48
2015-02-07,96.48,98.67,95.65,97.83,1384617,97.83
2015-02-08,97.83,101.11,96.51,99.76,1038296,99.76
2015-02-09,99.76,101.52,96.44,98.17,659075,98.17
2015-02-10,98.17,100.59,97.18,99.59,1383393,99.59
2015-02-11,99.59,100.65,98.46,99.52,895501,99.52
2015-02-12,99.52,101.8,98.72,100.99,742795,100.99
2015-02-13,100.99,108.96,80.51,87.42,2185813,87.42
2015-02-14,87.42,87.86,86.2,86.63,802382,86.63
2015-02-15,86.63,87.13,85.14,85.64,1201782,85.64
2015-02-16,85.64,87.35,85.03,86.74,1495446,86.74
2015-02-17,86.74,88.39,86.01,87.65,1117077,87.65
2015-02-18,87.65,88.68,85.77,86.79,787076,86.79
2015-02-19,86.79,87.06,86.25,86.52,1334068,86.52
2015-02-20,86.52,101.05,82.0,96.03,1823557,96.03
2015-02-21,96.03,96.65,95.72,96.34,1137830,96.34
2015-02-22,96.34,97.51,95.27,96.44,734416,96.44
2015-02-23,96.44,97.01,95.08,95.64,1128099,95.64
2015-02-24,95.64,96.34,93.78,94.47,951907,94.47
2015-02-25,94.47,95.26,92.45,93.24,1320516,93.24
2015-02-26,93.24,95.65,92.08,94.48,1008026,94.48
2015-02-27,94.48,96.81,90.61,92.9,1327551,92.9
2015-02-28,92.9,93.71,91.67,92.48,1052013,92.48
2015-03-01,92.48,93.21,92.16,92.88,965044,92.88
2015-03-02,92.88,94.29,91.16,92.57,799710,92.57
2015-03-03,92.57,93.6,92.22,93.25,492580,93.25
2015-03-04,93.25,94.82,92.3,93.87,1149335,93.87
2015-03-05,93.87,94.41,92.98,93.51,977229,93.51
2015-03-06,93.51,95.37,92.7,94.54,683366,94.54
2015-03-07,94.54,95.25,94.11,94.82,728014,94.82
2015-03-08,94.82,96.65,92.0,93.82,1203626,93.82
2015-03-09,93.82,94.76,91.35,92.27,2281737,92.27
