Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,48.0,48.09,47.91,48.0,839133,48.0
2015-01-02,48.0,48.51,47.8,48.31,1745829,48.31
2015-01-03,48.31,48.53,47.98,48.19,1486637,48.19
2015-01-04,48.19,48.49,47.67,47.96,781994,47.96
2015-01-05,47.96,48.52,47.76,48.31,1257789,48.31
2015-01-06,48.31,48.83,47.46,47.98,1095005,47.98
2015-01-07,47.98,48.47,47.77,48.26,876179,48.26
2015-01-08,48.26,49.52,47.79,49.04,1187215,49.04
2015-01-09,49.04,49.24,48.76,48.97,946042,48.97
2015-01-10,48.97,49.48,47.77,48.28,1490771,48.28
2015-01-11,48.28,48.53,48.06,48.3,781504,48.3
2015-01-12,48.3,49.42,47.72,48.83,1053615,48.83
2015-01-13,48.83,50.06,48.35,49.57,1323423,49.57
2015-01-14,49.57,49.68,49.41,49.52,1805350,49.52
2015-01-15,49.52,51.04,48.96,50.47,1137086,50.47
2015-01-16,50.47,51.24,49.99,50.76,662437,50.76
2015-01-17,50.76,51.0,50.1,50.34,672579,50.34
2015-01-18,50.34,50.59,49.89,50.15,1061934,50.15
2015-01-19,50.15,51.08,49.75,50.69,795609,50.69
2015-01-20,50.69,51.18,50.39,50.89,970384,50.89
2015-01-21,50.89,51.35,49.59,50.05,983682,50.05
2015-01-22,50.05,50.96,49.73,50.64,1412045,50.64
2015-01-23,50.64,51.93,50.12,51.41,1132538,51.41
2015-01-24,51.41,51.57,51.01,51.18,1405450,51.18
2015-01-25,51.18,52.2,50.79,51.81,1221938,51.81
2015-01-26,51.81,52.44,50.93,51.56,1574127,51.56
2015-01-27,51.56,52.96,51.04,52.43,1280090,52.43
2015-01-28,52.43,52.98,51.15,51.7,1827924,51.7
2015-01-29,51.7,52.03,51.07,51.4,605088,51.4
2015-01-30,51.4,52.24,50.12,50.96,1735669,50.96
2015-01-31,50.96,52.06,50.41,51.5,887137,51.5
2015-02-01,51.5,51.81,50.61,50.91,1050320,50.91
2015-02-02,50.91,50.97,50.8,50.85,760870,50.85
2015-02-03,50.85,52.62,49.81,51.56,1041470,51.56
2015-02-04,51.56,53.13,50.54,52.1,1353819,52.1
2015-02-05,52.1,53.6,51.5,52.99,1044615,52.99
2015-02-06,52.99,53.48,52.71,53.2,1222528,53.2
