Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,75.0,75.05,74.95,75.0,827989,75.0
2015-01-02,75.0,75.18,74.56,74.73,1378242,74.73
2015-01-03,74.73,75.88,74.31,75.45,1032539,75.45
2015-01-04,75.45,76.2,74.26,75.0,940399,75.0
2015-01-05,75.0,75.12,74.7,74.82,854506,74.82
2015-01-06,74.82,75.22,74.51,74.91,1400058,74.91
2015-01-07,74.91,75.47,74.7,75.26,967660,75.26
2015-01-08,75.26,75.77,75.08,75.59,945153,75.59
2015-01-09,75.59,76.3,75.09,75.8,819101,75.8
2015-01-10,75.8,76.69,74.2,75.09,2016651,75.09
2015-01-11,75.09,75.51,74.91,75.33,1206043,75.33
2015-01-12,75.33,77.64,74.47,76.77,896397,76.77
2015-01-13,76.77,78.23,76.24,77.69,516207,77.69
2015-01-14,77.69,79.09,77.02,78.41,1242003,78.41
2015-01-15,78.41,79.63,77.7,78.92,1026333,78.92
2015-01-16,78.92,79.38,78.43,78.89,839662,78.89
2015-01-17,78.89,79.64,78.09,78.84,1008594,78.84
2015-01-18,78.84,79.23,78.02,78.41,791609,78.41
2015-01-19,78.41,78.94,78.22,78.75,1321962,78.75
2015-01-20,78.75,79.11,78.15,78.51,1123713,78.51
2015-01-21,78.51,79.25,77.09,77.82,891638,77.82
2015-01-22,77.82,78.24,77.58,78.0,823860,78.0
2015-01-23,78.0,78.8,75.87,76.66,975827,76.66
2015-01-24,76.66,76.93,76.46,76.74,1448891,76.74
2015-01-25,76.74,77.64,76.44,77.34,1177233,77.34
2015-01-26,77.34,77.89,76.01,76.56,1479224,76.56
2015-01-27,76.56,79.05,75.54,78.01,1730868,78.01
2015-01-28,78.01,78.51,77.1,77.6,1225125,77.6
2015-01-29,77.6,77.96,76.83,77.19,564341,77.19
2015-01-30,77.19,77.39,77.01,77.21,1296490,77.21
2015-01-31,77.21,77.45,77.08,77.32,856987,77.32
2015-02-01,77.32,77.68,76.46,76.8,790851,76.8
2015-02-02,76.8,76.99,76.49,76.67,1877336,76.67
2015-02-03,76.67,78.52,75.99,77.84,1287274,77.84
2015-02-04,77.84,78.33,77.67,78.15,751900,78.15
2015-02-05,78.15,79.51,77.54,78.9,1168967,78.9
2015-02-06,78.9,79.92,78.54,79.56,643845,79.56
2015-02-07,79.56,79.97,79.14,79.55,940040,79.55
2015-02-08,79.55,80.27,79.12,79.84,980807,79.84
2015-02-09,79.84,80.14,79.24,79.55,796374,79.55
2015-02-10,79.55,80.16,78.17,78.77,1772690,78.77
2015-02-11,78.77,78.97,78.26,78.46,1060676,78.46
2015-02-12,78.46,79.62,78.06,79.22,1098308,79.22
2015-02-13,79.22,79.32,78.94,79.04,716145,79.04
2015-02-14,79.04,80.31,78.61,79.87,857492,79.87
2015-02-15,79.87,79.99,79.59,79.71,1397021,79.71
2015-02-16,79.71,81.19,79.06,80.54,1136600,80.54
2015-02-17,80.54,81.65,78.51,79.6,1693913,79.6
2015-02-18,79.6,80.2,78.51,79.09,1311606,79.09
2015-02-19,79.09,79.42,78.81,79.13,996798,79.13
2015-02-20,79.13,80.1,77.39,78.35,1291575,78.35
2015-02-21,78.35,79.38,77.92,78.95,966586,78.95
2015-02-22,78.95,80.37,78.01,79.43,2060737,79.43
2015-02-23,79.43,79.87,78.51,78.95,841095,78.95
2015-02-24,78.95,79.3,78.55,78.9,859260,78.9
2015-02-25,78.9,79.12,78.8,79.02,1735459,79.02
2015-02-26,79.02,79.16,78.79,78.94,703329,78.94
2015-02-27,78.94,79.65,77.65,78.35,921126,78.35
2015-02-28,78.35,79.81,76.74,78.19,1387550,78.19
2015-03-01,78.19,80.21,77.43,79.43,828070,79.43
2015-03-02,79.43,79.69,79.31,79.57,1091445,79.57
2015-03-03,79.57,80.52,79.11,80.05,723648,80.05
2015-03-04,80.05,80.87,78.39,79.21,801879,79.21
2015-03-05,79.21,79.45,78.55,78.79,808145,78.79
2015-03-06,78.79,79.13,78.17,78.51,1387766,78.51
2015-03-07,78.51,79.13,77.19,77.8,1057782,77.8
2015-03-08,77.8,78.1,77.36,77.66,767819,77.66
2015-03-09,77.66,77.87,77.05,77.26,990517,77.26
2015-03-10,77.26,78.81,76.7,78.24,1207926,78.24
2015-03-11,78.24,79.27,76.64,77.67,1400367,77.67
2015-03-12,77.67,79.02,76.5,77.85,1420155,77.85
2015-03-13,77.85,78.58,77.36,78.09,1283596,78.09
2015-03-14,78.09,78.46,77.49,77.86,676764,77.86
2015-03-15,77.86,78.09,77.78,78.01,603906,78.01
2015-03-16,78.01,78.8,77.72,78.52,774324,78.52
2015-03-17,78.52,79.88,77.92,79.28,1211858,79.28
2015-03-18,79.28,80.79,78.65,80.16,1536874,80.16
2015-03-19,80.16,80.78,78.65,79.27,717499,79.27
2015-03-20,79.27,80.99,78.68,80.4,858949,80.4
2015-03-21,80.4,82.2,79.78,81.57,912985,81.57
2015-03-22,81.57,82.72,81.14,82.29,605441,82.29
2015-03-23,82.29,83.07,80.66,81.44,1316285,81.44
2015-03-24,81.44,82.67,80.92,82.15,971502,82.15
2015-03-25,82.15,83.97,81.51,83.32,703449,83.32
2015-03-26,83.32,84.41,82.95,84.04,1128868,84.04
2015-03-27,84.04,84.13,83.95,84.04,1452863,84.04
2015-03-28,84.04,84.8,82.18,82.93,872790,82.93
2015-03-29,82.93,83.35,81.75,82.17,900060,82.17
2015-03-30,82.17,82.47,81.56,81.86,780454,81.86
2015-03-31,81.86,82.2,81.74,82.08,1003579,82.08
2015-04-01,82.08,82.66,80.75,81.32,1664804,81.32
2015-04-02,81.32,81.87,81.01,81.56,932951,81.56
2015-04-03,81.56,81.88,81.04,81.35,1498087,81.35
2015-04-04,81.35,81.97,80.12,80.73,1824698,80.73
2015-04-05,80.73,81.12,79.87,80.26,939432,80.26
2015-04-06,80.26,80.95,78.9,79.58,1481493,79.58
2015-04-07,79.58,79.95,78.91,79.27,2381452,79.27
2015-04-08,79.27,79.39,78.98,79.1,461052,79.1
2015-04-09,79.1,80.31,78.65,79.85,914453,79.85
2015-04-10,79.85,80.7,79.53,80.37,1479139,80.37
2015-04-11,80.37,81.48,77.74,78.82,906729,78.82
2015-04-12,78.82,79.61,78.4,79.18,984294,79.18
2015-04-13,79.18,80.88,78.47,80.16,1705802,80.16
2015-04-14,80.16,80.4,80.06,80.3,739493,80.3
2015-04-15,80.3,81.24,78.08,79.01,936612,79.01
2015-04-16,79.01,80.74,78.24,79.97,893984,79.97
2015-04-17,79.97,81.33,79.16,80.52,1084215,80.52
2015-04-18,80.52,80.74,79.92,80.14,962546,80.14
2015-04-19,80.14,81.29,79.66,80.8,1451413,80.8
2015-04-20,80.8,82.27,80.21,81.67,1226146,81.67
2015-04-21,81.67,82.69,81.32,82.34,1070574,82.34
2015-04-22,82.34,83.1,81.69,82.46,1139542,82.46
2015-04-23,82.46,82.84,81.41,81.8,1494838,81.8
2015-04-24,81.8,82.02,81.18,81.4,1311047,81.4
2015-04-25,81.4,82.95,80.89,82.43,1605902,82.43
2015-04-26,82.43,83.28,82.11,82.96,1392101,82.96
2015-04-27,82.96,84.19,82.37,83.61,797503,83.61
2015-04-28,83.61,84.2,83.36,83.96,1508778,83.96
2015-04-29,83.96,86.08,82.92,85.03,1138872,85.03
2015-04-30,85.03,85.47,83.89,84.33,1485362,84.33
2015-05-01,84.33,84.84,83.28,83.78,775236,83.78
2015-05-02,83.78,85.13,83.2,84.55,1942442,84.55
2015-05-03,84.55,84.66,84.4,84.51,1107566,84.51
2015-05-04,84.51,85.35,84.18,85.02,835976,85.02
2015-05-05,85.02,85.3,84.54,84.81,759188,84.81
2015-05-06,84.81,85.01,84.31,84.51,1165060,84.51
2015-05-07,84.51,84.92,83.78,84.19,1129582,84.19
2015-05-08,84.19,84.39,83.69,83.89,1293150,83.89
2015-05-09,83.89,84.72,83.52,84.35,901754,84.35
2015-05-10,84.35,84.82,83.24,83.7,858302,83.7
2015-05-11,83.7,84.72,81.3,82.3,721393,82.3
2015-05-12,82.3,83.54,79.67,80.9,1464773,80.9
2015-05-13,80.9,81.31,79.85,80.26,1014674,80.26
2015-05-14,80.26,81.81,79.63,81.17,1164718,81.17
2015-05-15,81.17,81.65,80.08,80.55,845327,80.55
2015-05-16,80.55,80.72,80.36,80.53,859990,80.53
2015-05-17,80.53,81.47,78.58,79.5,698252,79.5
2015-05-18,79.5,79.68,79.31,79.48,872357,79.48
2015-05-19,79.48,80.58,78.89,79.99,1295594,79.99
2015-05-20,79.99,80.32,79.21,79.54,1195433,79.54
2015-05-21,79.54,80.04,78.53,79.03,831017,79.03
2015-05-22,79.03,81.28,78.16,80.38,1550529,80.38
2015-05-23,80.38,81.05,80.12,80.79,672815,80.79
2015-05-24,80.79,81.76,79.34,80.31,1387405,80.31
2015-05-25,80.31,81.12,78.1,78.9,1382365,78.9
2015-05-26,78.9,79.6,78.51,79.2,590267,79.2
2015-05-27,79.2,79.82,77.94,78.55,1765535,78.55
2015-05-28,78.55,79.5,78.22,79.17,1020287,79.17
2015-05-29,79.17,79.53,78.91,79.27,1866204,79.27
2015-05-30,79.27,80.36,78.58,79.67,1725496,79.67
2015-05-31,79.67,79.76,79.63,79.73,1550142,79.73
2015-06-01,79.73,80.14,79.02,79.42,884274,79.42
2015-06-02,79.42,80.14,78.92,79.64,732255,79.64
2015-06-03,79.64,80.04,78.8,79.19,854097,79.19
2015-06-04,79.19,79.61,78.06,78.48,1305717,78.48
2015-06-05,78.48,80.52,77.57,79.6,1057611,79.6
2015-06-06,79.6,80.23,79.35,79.98,921200,79.98
2015-06-07,79.98,81.24,78.18,79.43,981837,79.43
2015-06-08,79.43,79.96,78.41,78.93,1191090,78.93
2015-06-09,78.93,79.41,78.75,79.23,568422,79.23
2015-06-10,79.23,80.73,78.48,79.98,923421,79.98
2015-06-11,79.98,80.47,78.56,79.05,1108807,79.05
2015-06-12,79.05,79.59,78.34,78.88,1023000,78.88
2015-06-13,78.88,81.47,77.87,80.44,1573646,80.44
2015-06-14,80.44,82.34,79.45,81.34,912559,81.34
2015-06-15,81.34,81.86,81.08,81.6,1089990,81.6
2015-06-16,81.6,81.62,81.58,81.6,1624456,81.6
2015-06-17,81.6,82.04,80.83,81.26,892928,81.26
2015-06-18,81.26,81.61,80.24,80.58,842079,80.58
2015-06-19,80.58,81.12,79.06,79.59,1270439,79.59
2015-06-20,79.59,80.66,77.29,78.34,1350636,78.34
2015-06-21,78.34,89.53,74.56,85.41,1194134,85.41
2015-06-22,85.41,87.69,84.64,86.91,1345284,86.91
2015-06-23,86.91,87.36,86.72,87.17,683823,87.17
2015-06-24,87.17,88.02,85.79,86.64,1368644,86.64
2015-06-25,86.64,86.92,86.11,86.39,650472,86.39
2015-06-26,86.39,86.88,85.49,85.99,644606,85.99
2015-06-27,85.99,86.36,85.41,85.78,1197792,85.78
2015-06-28,85.78,86.44,85.19,85.86,922910,85.86
2015-06-29,85.86,86.95,82.85,83.92,1185431,83.92
2015-06-30,83.92,85.47,83.4,84.94,843145,84.94
2015-07-01,84.94,85.36,83.83,84.25,1861470,84.25
2015-07-02,84.25,84.74,83.68,84.18,1031348,84.18
2015-07-03,84.18,85.07,82.22,83.11,1148627,83.11
2015-07-04,83.11,84.51,82.39,83.79,669595,83.79
2015-07-05,83.79,84.98,82.66,83.85,785392,83.85
2015-07-06,83.85,84.26,83.12,83.54,922413,83.54
2015-07-07,83.54,83.98,82.52,82.96,1179180,82.96
2015-07-08,82.96,84.9,82.15,84.08,1676935,84.08
2015-07-09,84.08,84.53,83.9,84.34,875046,84.34
2015-07-10,84.34,85.54,83.82,85.01,1556072,85.01
2015-07-11,85.01,85.58,83.83,84.4,1484274,84.4
2015-07-12,84.4,87.38,83.0,85.95,1550464,85.95
2015-07-13,85.95,86.94,85.62,86.6,713018,86.6
2015-07-14,86.6,87.18,84.95,85.52,1264646,85.52
2015-07-15,85.52,87.1,84.72,86.3,907040,86.3
2015-07-16,86.3,86.78,84.88,85.36,1984023,85.36
2015-07-17,85.36,86.05,84.79,85.48,958062,85.48
2015-07-18,85.48,85.93,84.71,85.16,778325,85.16
2015-07-19,85.16,86.37,83.03,84.22,695370,84.22
2015-07-20,84.22,84.82,84.01,84.61,1845451,84.61
