Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,50.0,50.26,49.74,50.0,867140,50.0
2015-01-02,50.0,50.34,49.64,49.98,1397673,49.98
2015-01-03,49.98,50.88,49.59,50.49,941812,50.49
2015-01-04,50.49,50.94,49.69,50.14,742923,50.14
2015-01-05,50.14,50.6,49.9,50.37,1291242,50.37
2015-01-06,50.37,51.78,46.93,48.29,1403793,48.29
2015-01-07,48.29,48.55,48.19,48.45,1000966,48.45
2015-01-08,48.45,48.58,48.35,48.47,1037851,48.47
2015-01-09,48.47,48.64,48.41,48.58,1239962,48.58
2015-01-10,48.58,48.83,47.98,48.24,1154271,48.24
2015-01-11,48.24,48.85,47.55,48.16,1142093,48.16
2015-01-12,48.16,49.43,47.71,48.98,1095221,48.98
2015-01-13,48.98,49.86,48.49,49.36,854306,49.36
2015-01-14,49.36,49.72,49.22,49.58,1393516,49.58
2015-01-15,49.58,49.74,49.5,49.66,1252736,49.66
2015-01-16,49.66,49.89,49.25,49.48,837883,49.48
2015-01-17,49.48,49.78,49.11,49.41,1222067,49.41
2015-01-18,49.41,49.49,49.23,49.31,1115950,49.31
2015-01-19,49.31,49.82,49.11,49.62,1303207,49.62
2015-01-20,49.62,50.01,48.79,49.18,1595974,49.18
2015-01-21,49.18,50.66,48.4,49.87,823203,49.87
2015-01-22,49.87,50.76,49.36,50.25,917338,50.25
2015-01-23,50.25,50.31,50.22,50.28,740071,50.28
2015-01-24,50.28,50.39,50.23,50.34,719912,50.34
2015-01-25,50.34,50.71,49.99,50.37,790032,50.37
2015-01-26,50.37,50.38,50.36,50.37,1563242,50.37
2015-01-27,50.37,51.26,50.07,50.95,795873,50.95
2015-01-28,50.95,51.27,50.47,50.79,957153,50.79
2015-01-29,50.79,51.13,50.61,50.95,887812,50.95
2015-01-30,50.95,51.23,50.4,50.67,1148957,50.67
2015-01-31,50.67,51.0,50.55,50.88,1128964,50.88
2015-02-01,50.88,51.12,50.36,50.59,836134,50.59
2015-02-02,50.59,51.28,50.25,50.94,629742,50.94
2015-02-03,50.94,51.05,50.63,50.74,873288,50.74
2015-02-04,50.74,51.6,50.46,51.31,1870048,51.31
2015-02-05,51.31,52.18,51.02,51.88,1100412,51.88
2015-02-06,51.88,52.48,51.67,52.26,2313858,52.26
2015-02-07,52.26,52.38,52.07,52.19,1476064,52.19
2015-02-08,52.19,52.57,51.96,52.35,1437863,52.35
2015-02-09,52.35,52.47,52.04,52.16,721254,52.16
2015-02-10,52.16,52.36,51.58,51.78,1397654,51.78
2015-02-11,51.78,51.97,51.54,51.73,1159654,51.73
2015-02-12,51.73,52.42,51.48,52.17,1183580,52.17
2015-02-13,52.17,53.06,51.6,52.49,993385,52.49
2015-02-14,52.49,53.14,52.08,52.73,839857,52.73
2015-02-15,52.73,53.03,52.1,52.39,775526,52.39
2015-02-16,52.39,52.88,52.09,52.58,1238647,52.58
2015-02-17,52.58,52.8,52.35,52.58,1320392,52.58
2015-02-18,52.58,53.2,51.47,52.09,1259457,52.09
2015-02-19,52.09,52.56,51.73,52.2,1554155,52.2
2015-02-20,52.2,52.46,51.64,51.9,828799,51.9
2015-02-21,51.9,52.7,51.53,52.33,1131084,52.33
2015-02-22,52.33,53.12,51.9,52.69,895471,52.69
2015-02-23,52.69,52.83,52.49,52.64,1785815,52.64
2015-02-24,52.64,52.97,51.97,52.31,1518880,52.31
2015-02-25,52.31,53.35,51.85,52.89,1384592,52.89
2015-02-26,52.89,53.14,52.8,53.05,1304566,53.05
2015-02-27,53.05,53.46,52.5,52.91,989101,52.91
2015-02-28,52.91,53.32,51.73,52.13,1210939,52.13
2015-03-01,52.13,52.81,51.89,52.57,1386209,52.57
2015-03-02,52.57,52.91,51.83,52.16,1263177,52.16
2015-03-03,52.16,52.68,51.93,52.45,1345186,52.45
2015-03-04,52.45,53.68,51.85,53.08,1345574,53.08
2015-03-05,53.08,53.38,52.96,53.27,568162,53.27
2015-03-06,53.27,53.52,52.95,53.21,1012365,53.21
2015-03-07,53.21,53.99,52.72,53.5,853744,53.5
2015-03-08,53.5,54.55,52.91,53.95,987366,53.95
2015-03-09,53.95,54.77,52.29,53.11,1771228,53.11
2015-03-10,53.11,53.81,52.75,53.46,681262,53.46
2015-03-11,53.46,53.9,53.19,53.63,748775,53.63
2015-03-12,53.63,53.97,53.46,53.79,1178627,53.79
2015-03-13,53.79,54.01,53.19,53.41,1079795,53.41
2015-03-14,53.41,53.54,53.32,53.44,818906,53.44
2015-03-15,53.44,54.07,53.1,53.73,847777,53.73
2015-03-16,53.73,54.4,53.15,53.82,547265,53.82
2015-03-17,53.82,53.83,53.78,53.79,1149767,53.79
2015-03-18,53.79,54.33,53.51,54.05,1308911,54.05
2015-03-19,54.05,54.21,53.7,53.86,597392,53.86
2015-03-20,53.86,54.94,53.31,54.38,1293906,54.38
2015-03-21,54.38,55.66,53.93,55.2,1261870,55.2
2015-03-22,55.2,56.08,54.7,55.57,746626,55.57
2015-03-23,55.57,55.95,55.42,55.8,1674696,55.8
2015-03-24,55.8,56.22,55.46,55.89,852418,55.89
2015-03-25,55.89,56.66,55.51,56.28,886472,56.28
2015-03-26,56.28,57.33,55.86,56.9,1279825,56.9
2015-03-27,56.9,57.29,56.51,56.9,728329,56.9
2015-03-28,56.9,57.31,55.87,56.27,1396954,56.27
2015-03-29,56.27,56.42,55.82,55.97,1022269,55.97
2015-03-30,55.97,56.31,55.05,55.39,949306,55.39
2015-03-31,55.39,55.94,54.33,54.87,1148412,54.87
2015-04-01,54.87,56.08,54.38,55.58,2109762,55.58
2015-04-02,55.58,56.56,55.19,56.16,1073070,56.16
2015-04-03,56.16,56.27,55.99,56.1,1033105,56.1
2015-04-04,56.1,56.5,55.16,55.56,1450499,55.56
2015-04-05,55.56,55.81,54.92,55.17,843979,55.17
2015-04-06,55.17,57.22,54.36,56.4,2186916,56.4
2015-04-07,56.4,56.51,56.1,56.21,930574,56.21
2015-04-08,56.21,56.58,55.82,56.19,1764804,56.19
2015-04-09,56.19,56.86,55.95,56.61,1140300,56.61
2015-04-10,56.61,57.03,55.46,55.87,1322962,55.87
2015-04-11,55.87,56.23,55.63,55.98,988990,55.98
2015-04-12,55.98,57.14,55.41,56.56,865940,56.56
2015-04-13,56.56,57.02,56.13,56.58,920775,56.58
2015-04-14,56.58,58.0,55.26,56.67,1082587,56.67
2015-04-15,56.67,56.75,56.59,56.67,1199515,56.67
2015-04-16,56.67,57.4,56.37,57.1,1402838,57.1
2015-04-17,57.1,57.89,56.78,57.56,1185983,57.56
2015-04-18,57.56,58.14,56.69,57.27,1732717,57.27
2015-04-19,57.27,58.06,56.77,57.56,1608186,57.56
2015-04-20,57.56,58.33,57.28,58.05,1333889,58.05
2015-04-21,58.05,58.75,57.31,58.02,846034,58.02
2015-04-22,58.02,58.21,57.85,58.05,836263,58.05
2015-04-23,58.05,58.61,56.62,57.18,1309322,57.18
2015-04-24,57.18,57.2,57.15,57.17,966138,57.17
2015-04-25,57.17,58.33,56.77,57.92,644554,57.92
2015-04-26,57.92,58.01,57.69,57.78,717156,57.78
2015-04-27,57.78,58.9,57.41,58.52,706080,58.52
2015-04-28,58.52,58.92,58.13,58.53,953869,58.53
2015-04-29,58.53,59.44,58.12,59.02,1510779,59.02
2015-04-30,59.02,59.26,58.93,59.16,787527,59.16
2015-05-01,59.16,59.42,58.45,58.7,1040831,58.7
2015-05-02,58.7,58.82,58.6,58.73,950146,58.73
2015-05-03,58.73,59.23,58.31,58.82,1169202,58.82
2015-05-04,58.82,59.53,58.58,59.28,1276365,59.28
2015-05-05,59.28,59.93,59.05,59.69,957183,59.69
2015-05-06,59.69,60.34,59.42,60.07,2015327,60.07
2015-05-07,60.07,61.48,59.56,60.97,1305673,60.97
2015-05-08,60.97,61.09,60.68,60.8,533705,60.8
2015-05-09,60.8,62.48,60.1,61.76,1130209,61.76
2015-05-10,61.76,61.86,61.52,61.61,706310,61.61
2015-05-11,61.61,62.42,59.85,60.64,1272809,60.64
2015-05-12,60.64,61.02,59.63,60.0,1157410,60.0
2015-05-13,60.0,60.21,59.57,59.78,931186,59.78
2015-05-14,59.78,60.12,59.55,59.89,1239657,59.89
2015-05-15,59.89,60.05,59.45,59.62,730811,59.62
2015-05-16,59.62,60.38,59.25,60.01,1479099,60.01
2015-05-17,60.01,60.54,59.11,59.63,1111804,59.63
2015-05-18,59.63,60.46,59.19,60.02,902944,60.02
2015-05-19,60.02,60.49,59.78,60.25,1326772,60.25
