Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,52.0,52.13,51.87,52.0,1714999,52.0
2015-01-02,52.0,52.5,51.69,52.18,1213777,52.18
2015-01-03,52.18,53.43,51.76,53.0,1875342,53.0
2015-01-04,53.0,53.2,52.68,52.88,678625,52.88
2015-01-05,52.88,52.9,52.84,52.86,985470,52.86
2015-01-06,52.86,53.06,52.51,52.71,585409,52.71
2015-01-07,52.71,53.35,51.73,52.36,1336227,52.36
2015-01-08,52.36,53.55,51.71,52.89,902322,52.89
2015-01-09,52.89,57.67,51.31,56.0,1666789,56.0
2015-01-10,56.0,56.72,54.49,55.21,1443304,55.21
2015-01-11,55.21,55.42,54.81,55.02,464775,55.02
2015-01-12,55.02,56.87,54.33,56.17,1364105,56.17
2015-01-13,56.17,56.32,56.0,56.15,812044,56.15
2015-01-14,56.15,58.45,55.28,57.56,1273082,57.56
2015-01-15,57.56,58.44,57.21,58.09,1034974,58.09
2015-01-16,58.09,58.54,57.51,57.96,849138,57.96
2015-01-17,57.96,58.57,57.12,57.72,942958,57.72
2015-01-18,57.72,57.96,57.22,57.46,1096386,57.46
2015-01-19,57.46,58.21,57.11,57.87,1154603,57.87
2015-01-20,57.87,58.6,56.42,57.15,1212248,57.15
2015-01-21,57.15,58.0,55.5,56.34,1093619,56.34
2015-01-22,56.34,57.46,55.79,56.9,1224104,56.9
2015-01-23,56.9,58.38,55.94,57.41,897652,57.41
2015-01-24,57.41,57.79,56.82,57.2,1143067,57.2
2015-01-25,57.2,57.77,56.81,57.38,1031704,57.38
2015-01-26,57.38,58.05,56.28,56.94,1097420,56.94
2015-01-27,56.94,59.0,56.21,58.26,1024950,58.26
2015-01-28,58.26,58.54,57.61,57.89,1358148,57.89
2015-01-29,57.89,58.13,57.67,57.91,578793,57.91
2015-01-30,57.91,58.22,57.23,57.54,734827,57.54
2015-01-31,57.54,57.89,56.92,57.28,620308,57.28
2015-02-01,57.28,57.36,57.22,57.3,1014793,57.3
2015-02-02,57.3,57.96,57.01,57.66,1292563,57.66
2015-02-03,57.66,58.08,57.01,57.43,495534,57.43
2015-02-04,57.43,58.14,56.85,57.55,1035402,57.55
2015-02-05,57.55,58.2,57.03,57.68,968281,57.68
2015-02-06,57.68,57.97,57.32,57.62,477308,57.62
2015-02-07,57.62,57.77,57.52,57.67,1313823,57.67
2015-02-08,57.67,57.95,57.39,57.68,1154454,57.68
2015-02-09,57.68,57.83,57.44,57.59,1199549,57.59
2015-02-10,57.59,57.83,57.06,57.29,1455191,57.29
2015-02-11,57.29,57.93,56.63,57.27,1374657,57.27
2015-02-12,57.27,58.89,56.63,58.24,2126317,58.24
2015-02-13,58.24,59.06,57.89,58.71,2007527,58.71
2015-02-14,58.71,59.01,58.61,58.91,1132790,58.91
2015-02-15,58.91,59.85,56.42,57.35,880324,57.35
2015-02-16,57.35,57.65,57.23,57.54,1091365,57.54
2015-02-17,57.54,57.67,57.17,57.31,636974,57.31
2015-02-18,57.31,57.84,56.26,56.78,955350,56.78
2015-02-19,56.78,56.97,56.69,56.87,895416,56.87
2015-02-20,56.87,57.3,56.46,56.89,953664,56.89
2015-02-21,56.89,57.78,56.54,57.43,1555141,57.43
2015-02-22,57.43,58.47,56.95,57.99,1046432,57.99
2015-02-23,57.99,58.43,57.84,58.28,807654,58.28
2015-02-24,58.28,58.37,58.17,58.25,1001136,58.25
2015-02-25,58.25,58.53,58.16,58.43,1049122,58.43
2015-02-26,58.43,58.91,58.21,58.7,751610,58.7
2015-02-27,58.7,59.38,57.01,57.69,711777,57.69
2015-02-28,57.69,58.55,55.78,56.62,898214,56.62
2015-03-01,56.62,58.91,55.87,58.13,1574633,58.13
2015-03-02,58.13,58.38,57.55,57.8,919038,57.8
2015-03-03,57.8,59.29,57.08,58.57,999038,58.57
2015-03-04,58.57,59.7,57.89,59.02,1883407,59.02
2015-03-05,59.02,60.01,58.5,59.49,1365929,59.49
2015-03-06,59.49,60.7,59.06,60.27,1296749,60.27
2015-03-07,60.27,60.38,60.15,60.27,867359,60.27
2015-03-08,60.27,60.31,60.23,60.27,1549504,60.27
2015-03-09,60.27,60.87,58.69,59.27,832058,59.27
2015-03-10,59.27,60.43,58.45,59.6,788781,59.6
2015-03-11,59.6,60.12,58.8,59.31,1522038,59.31
2015-03-12,59.31,60.32,58.95,59.96,1127713,59.96
2015-03-13,59.96,60.19,59.51,59.73,1160271,59.73
2015-03-14,59.73,59.85,59.61,59.72,882815,59.72
2015-03-15,59.72,59.79,59.67,59.74,907754,59.74
2015-03-16,59.74,60.38,59.34,59.98,1231241,59.98
2015-03-17,59.98,60.28,59.82,60.12,923166,60.12
2015-03-18,60.12,60.19,60.02,60.09,1485967,60.09
2015-03-19,60.09,60.24,59.78,59.92,946913,59.92
2015-03-20,59.92,60.72,59.27,60.06,832493,60.06
2015-03-21,60.06,61.88,59.31,61.12,619831,61.12
2015-03-22,61.12,63.61,60.26,62.73,1925703,62.73
2015-03-23,62.73,63.48,62.2,62.94,662931,62.94
2015-03-24,62.94,63.16,62.76,62.98,1075488,62.98
2015-03-25,62.98,64.02,62.52,63.56,1340720,63.56
2015-03-26,63.56,65.38,62.89,64.7,1330128,64.7
2015-03-27,64.7,65.49,64.18,64.97,1239627,64.97
2015-03-28,64.97,66.35,61.65,62.99,1463035,62.99
2015-03-29,62.99,63.42,62.49,62.92,884294,62.92
2015-03-30,62.92,63.7,61.56,62.33,772166,62.33
2015-03-31,62.33,62.95,60.91,61.53,780441,61.53
2015-04-01,61.53,61.67,61.17,61.31,1181014,61.31
2015-04-02,61.31,61.78,61.15,61.62,1014511,61.62
2015-04-03,61.62,61.8,61.31,61.49,744571,61.49
2015-04-04,61.49,61.96,60.38,60.84,1416130,60.84
2015-04-05,60.84,61.25,60.01,60.42,1250744,60.42
2015-04-06,60.42,63.47,59.37,62.4,1540369,62.4
2015-04-07,62.4,63.06,61.12,61.77,1428906,61.77
2015-04-08,61.77,62.08,61.42,61.73,1343566,61.73
2015-04-09,61.73,63.07,61.23,62.56,1225923,62.56
2015-04-10,62.56,63.17,60.91,61.51,1011602,61.51
2015-04-11,61.51,61.97,60.17,60.63,968968,60.63
2015-04-12,60.63,61.63,60.12,61.11,1408262,61.11
2015-04-13,61.11,61.21,61.05,61.15,2299008,61.15
2015-04-14,61.15,63.46,59.83,62.13,940749,62.13
2015-04-15,62.13,62.53,61.07,61.47,1093200,61.47
2015-04-16,61.47,62.6,61.04,62.16,653366,62.16
2015-04-17,62.16,62.87,61.9,62.61,1149010,62.61
2015-04-18,62.61,63.07,61.52,61.97,1093235,61.97
2015-04-19,61.97,62.54,61.75,62.32,1252226,62.32
2015-04-20,62.32,63.88,61.63,63.18,811312,63.18
2015-04-21,63.18,64.8,62.2,63.82,1349271,63.82
2015-04-22,63.82,64.62,63.24,64.04,1458883,64.04
2015-04-23,64.04,64.95,61.89,62.78,1074603,62.78
2015-04-24,62.78,63.34,61.64,62.2,1198186,62.2
2015-04-25,62.2,64.28,61.42,63.49,1268840,63.49
2015-04-26,63.49,63.55,63.39,63.44,1292784,63.44
2015-04-27,63.44,64.09,63.04,63.69,1342054,63.69
2015-04-28,63.69,64.18,63.38,63.88,624003,63.88
2015-04-29,63.88,65.61,63.22,64.93,1264852,64.93
2015-04-30,64.93,65.19,64.5,64.76,915320,64.76
2015-05-01,64.76,65.43,63.12,63.78,1587806,63.78
