Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,85.0,85.52,84.48,85.0,1753169,85.0
2015-01-02,85.0,88.73,82.44,86.14,700801,86.14
2015-01-03,86.14,86.91,85.79,86.56,837666,86.56
2015-01-04,86.56,88.06,82.98,84.44,1363528,84.44
2015-01-05,84.44,86.76,83.52,85.83,1353279,85.83
2015-01-06,85.83,88.05,84.38,86.6,925220,86.6
2015-01-07,86.6,87.81,84.79,86.0,1258809,86.0
2015-01-08,86.0,87.85,85.12,86.96,1444406,86.96
2015-01-09,86.96,87.62,85.53,86.18,723199,86.18
2015-01-10,86.18,86.98,84.3,85.09,1118276,85.09
2015-01-11,85.09,86.13,82.23,83.25,984226,83.25
2015-01-12,83.25,84.12,82.85,83.72,1184024,83.72
2015-01-13,83.72,84.19,83.02,83.49,745484,83.49
2015-01-14,83.49,84.49,83.1,84.1,1767861,84.1
2015-01-15,84.1,84.89,82.23,83.01,1547743,83.01
2015-01-16,83.01,85.28,81.97,84.23,1241374,84.23
2015-01-17,84.23,84.79,83.12,83.68,1000765,83.68
2015-01-18,83.68,85.36,82.73,84.4,1011356,84.4
2015-01-19,84.4,88.41,82.81,86.78,2124192,86.78
2015-01-20,86.78,88.6,85.46,87.28,773634,87.28
2015-01-21,87.28,87.91,85.8,86.43,1154816,86.43
2015-01-22,86.43,86.98,86.2,86.76,671498,86.76
2015-01-23,86.76,86.98,86.67,86.9,1199725,86.9
2015-01-24,86.9,87.87,84.74,85.7,1720959,85.7
2015-01-25,85.7,86.22,85.43,85.95,1682365,85.95
2015-01-26,85.95,87.07,82.98,84.08,1183534,84.08
2015-01-27,84.08,86.96,82.98,85.84,1296332,85.84
2015-01-28,85.84,86.03,85.34,85.53,1518688,85.53
2015-01-29,85.53,85.73,85.04,85.24,1224212,85.24
2015-01-30,85.24,85.92,83.76,84.44,1182867,84.44
2015-01-31,84.44,86.47,83.34,85.36,1784291,85.36
2015-02-01,85.36,85.65,85.11,85.41,585635,85.41
2015-02-02,85.41,86.2,83.08,83.86,1229127,83.86
2015-02-03,83.86,84.53,82.36,83.02,2610627,83.02
2015-02-04,83.02,84.26,82.47,83.7,1156615,83.7
2015-02-05,83.7,85.01,82.16,83.47,1552120,83.47
2015-02-06,83.47,85.23,82.45,84.2,1550918,84.2
2015-02-07,84.2,87.25,82.45,85.48,931607,85.48
2015-02-08,85.48,86.41,85.09,86.03,1422325,86.03
2015-02-09,86.03,87.52,83.02,84.48,874864,84.48
2015-02-10,84.48,85.7,84.04,85.26,842440,85.26
2015-02-11,85.26,85.35,85.19,85.29,1036591,85.29
2015-02-12,85.29,89.36,82.87,86.9,1379304,86.9
2015-02-13,86.9,90.82,85.11,88.98,1063974,88.98
2015-02-14,88.98,89.08,88.83,88.93,888997,88.93
2015-02-15,88.93,89.73,87.02,87.8,1493443,87.8
2015-02-16,87.8,88.84,86.37,87.4,1287738,87.4
2015-02-17,87.4,87.95,86.5,87.05,1139120,87.05
2015-02-18,87.05,88.4,83.72,85.04,1271142,85.04
2015-02-19,85.04,86.28,81.87,83.08,1100392,83.08
2015-02-20,83.08,83.88,81.18,81.97,1230048,81.97
2015-02-21,81.97,82.84,81.6,82.47,1205837,82.47
2015-02-22,82.47,84.45,81.57,83.54,2041064,83.54
2015-02-23,83.54,83.99,83.35,83.79,1611714,83.79
2015-02-24,83.79,84.44,82.79,83.43,863842,83.43
2015-02-25,83.43,84.44,82.86,83.87,1107086,83.87
2015-02-26,83.87,87.78,82.51,86.37,2342658,86.37
2015-02-27,86.37,87.89,82.85,84.33,1999018,84.33
2015-02-28,84.33,84.73,83.79,84.18,1169027,84.18
2015-03-01,84.18,85.76,83.61,85.18,790698,85.18
2015-03-02,85.18,85.77,84.12,84.71,1024128,84.71
2015-03-03,84.71,86.53,83.95,85.76,833495,85.76
2015-03-04,85.76,88.56,84.65,87.42,1161406,87.42
2015-03-05,87.42,88.03,87.18,87.79,1100033,87.79
2015-03-06,87.79,88.5,86.59,87.3,1020694,87.3
2015-03-07,87.3,87.72,86.79,87.21,1185487,87.21
2015-03-08,87.21,88.28,85.39,86.44,757200,86.44
2015-03-09,86.44,87.97,83.32,84.81,1274788,84.81
2015-03-10,84.81,86.37,83.04,84.59,734575,84.59
2015-03-11,84.59,84.8,84.2,84.41,1055874,84.41
2015-03-12,84.41,88.31,83.01,86.87,787031,86.87
2015-03-13,86.87,88.79,86.08,87.99,1224162,87.99
2015-03-14,87.99,88.73,85.81,86.54,1325345,86.54
2015-03-15,86.54,87.9,85.29,86.65,1058928,86.65
