Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,95.0,95.34,94.66,95.0,510929,95.0
2015-01-02,95.0,97.1,93.42,95.52,517118,95.52
2015-01-03,95.52,98.17,93.7,96.34,1720860,96.34
2015-01-04,96.34,97.57,93.86,95.08,1281524,95.08
2015-01-05,95.08,96.41,94.31,95.64,803438,95.64
2015-01-06,95.64,96.08,95.13,95.58,1570961,95.58
2015-01-07,95.58,96.0,94.37,94.79,1224521,94.79
2015-01-08,94.79,94.9,94.48,94.6,730617,94.6
2015-01-09,94.6,95.1,93.21,93.7,1334993,93.7
2015-01-10,93.7,95.15,93.05,94.49,1159465,94.49
2015-01-11,94.49,96.07,92.88,94.46,961184,94.46
2015-01-12,94.46,94.9,93.58,94.01,1240108,94.01
2015-01-13,94.01,94.76,92.53,93.28,1319483,93.28
2015-01-14,93.28,95.7,92.42,94.83,832071,94.83
2015-01-15,94.83,95.71,94.51,95.39,1379038,95.39
2015-01-16,95.39,96.59,94.89,96.08,933155,96.08
2015-01-17,96.08,96.33,95.61,95.86,871782,95.86
2015-01-18,95.86,97.35,93.81,95.29,1232721,95.29
2015-01-19,95.29,97.94,94.23,96.87,1596251,96.87
2015-01-20,96.87,97.65,96.54,97.31,1037675,97.31
2015-01-21,97.31,97.83,96.02,96.53,1004789,96.53
2015-01-22,96.53,99.08,95.29,97.83,1120370,97.83
2015-01-23,97.83,98.34,97.43,97.94,855890,97.94
2015-01-24,97.94,98.57,96.95,97.58,746595,97.58
2015-01-25,97.58,100.12,96.64,99.16,1892547,99.16
2015-01-26,99.16,99.7,97.69,98.22,904073,98.22
2015-01-27,98.22,98.89,96.71,97.37,754404,97.37
2015-01-28,97.37,98.17,95.92,96.71,1159363,96.71
2015-01-29,96.71,97.15,95.71,96.15,789899,96.15
2015-01-30,96.15,97.13,95.65,96.61,788605,96.61
2015-01-31,96.61,98.73,95.65,97.76,1101192,97.76
2015-02-01,97.76,98.78,96.44,97.46,1810807,97.46
2015-02-02,97.46,98.87,94.12,95.51,960453,95.51
2015-02-03,95.51,95.92,94.52,94.93,1621006,94.93
2015-02-04,94.93,96.2,94.26,95.52,752303,95.52
2015-02-05,95.52,97.65,94.47,96.58,1409166,96.58
2015-02-06,96.58,98.54,95.81,97.75,1420376,97.75
2015-02-07,97.75,98.26,97.24,97.75,875265,97.75
2015-02-08,97.75,98.83,97.34,98.42,1028891,98.42
2015-02-09,98.42,99.45,97.57,98.6,1404121,98.6
2015-02-10,98.6,99.42,96.2,97.0,1264100,97.0
2015-02-11,97.0,97.2,96.48,96.68,1319297,96.68
2015-02-12,96.68,98.11,94.77,96.2,1212977,96.2
