Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,155.0,155.11,154.89,155.0,936476,155.0
2015-01-02,155.0,160.53,153.14,158.63,1348193,158.63
2015-01-03,158.63,160.03,158.15,159.55,1063112,159.55
2015-01-04,159.55,161.6,154.51,156.52,805983,156.52
2015-01-05,156.52,162.52,152.51,158.47,1317328,158.47
2015-01-06,158.47,160.66,152.64,154.78,1595065,154.78
2015-01-07,154.78,157.94,153.64,156.78,805253,156.78
2015-01-08,156.78,158.09,155.97,157.27,1912565,157.27
2015-01-09,157.27,157.97,155.47,156.16,1899723,156.16
2015-01-10,156.16,157.96,152.94,154.73,1305574,154.73
2015-01-11,154.73,155.27,154.17,154.71,2318759,154.71
2015-01-12,154.71,158.86,152.68,156.8,1303634,156.8
2015-01-13,156.8,159.4,155.65,158.24,644425,158.24
2015-01-14,158.24,162.29,156.55,160.57,1010830,160.57
2015-01-15,160.57,161.45,160.11,160.99,1395660,160.99
2015-01-16,160.99,163.93,159.68,162.6,1404634,162.6
2015-01-17,162.6,167.15,160.81,165.33,751216,165.33
2015-01-18,165.33,167.73,164.3,166.69,1113436,166.69
2015-01-19,166.69,167.43,166.07,166.8,1543409,166.8
2015-01-20,166.8,167.59,164.8,165.58,1539394,165.58
2015-01-21,165.58,165.86,165.32,165.6,1515201,165.6
2015-01-22,165.6,168.71,162.64,165.75,1097713,165.75
2015-01-23,165.75,166.99,164.96,166.2,1204294,166.2
2015-01-24,166.2,168.03,160.83,162.62,2002930,162.62
2015-01-25,162.62,165.81,161.46,164.63,917802,164.63
2015-01-26,164.63,168.82,158.25,162.38,1622223,162.38
2015-01-27,162.38,164.12,158.33,160.05,1956755,160.05
2015-01-28,160.05,160.97,159.66,160.58,769765,160.58
2015-01-29,160.58,160.74,160.28,160.44,902403,160.44
2015-01-30,160.44,163.35,154.06,156.91,1586954,156.91
2015-01-31,156.91,159.83,154.79,157.7,1090011,157.7
2015-02-01,157.7,158.59,156.06,156.94,1549337,156.94
2015-02-02,156.94,157.55,155.44,156.04,1590149,156.04
2015-02-03,156.04,158.28,154.06,156.29,1082602,156.29
2015-02-04,156.29,158.27,155.37,157.35,2007029,157.35
2015-02-05,157.35,161.48,154.9,159.01,1428060,159.01
2015-02-06,159.01,163.89,156.44,161.28,1174120,161.28
2015-02-07,161.28,163.63,155.0,157.29,1666118,157.29
2015-02-08,157.29,158.21,155.58,156.49,1164274,156.49
2015-02-09,156.49,157.55,154.14,155.19,647628,155.19
2015-02-10,155.19,159.7,153.61,158.08,1525428,158.08
2015-02-11,158.08,160.37,156.76,159.03,567677,159.03
2015-02-12,159.03,159.91,158.56,159.44,653566,159.44
2015-02-13,159.44,162.77,157.9,161.2,832700,161.2
2015-02-14,161.2,161.62,160.49,160.91,836702,160.91
2015-02-15,160.91,162.69,157.59,159.36,616821,159.36
2015-02-16,159.36,162.05,158.2,160.88,687812,160.88
2015-02-17,160.88,163.83,159.35,162.29,1011418,162.29
2015-02-18,162.29,163.24,160.32,161.27,1061214,161.27
2015-02-19,161.27,162.33,159.94,161.01,1049005,161.01
2015-02-20,161.01,161.7,159.16,159.84,1090189,159.84
2015-02-21,159.84,160.4,158.2,158.75,898188,158.75
2015-02-22,158.75,162.9,157.19,161.31,1291665,161.31
2015-02-23,161.31,163.45,155.98,158.07,2171857,158.07
2015-02-24,158.07,159.74,157.38,159.04,1204462,159.04
2015-02-25,159.04,161.17,157.82,159.95,797093,159.95
2015-02-26,159.95,160.69,159.66,160.41,915453,160.41
2015-02-27,160.41,162.94,156.13,158.63,831216,158.63
2015-02-28,158.63,160.64,154.72,156.71,819301,156.71
2015-03-01,156.71,158.42,154.68,156.39,887535,156.39
2015-03-02,156.39,158.09,152.4,154.08,1764152,154.08
2015-03-03,154.08,159.67,152.01,157.56,1519939,157.56
2015-03-04,157.56,160.43,156.29,159.15,1775066,159.15
2015-03-05,159.15,161.04,154.66,156.52,902557,156.52
2015-03-06,156.52,158.27,155.81,157.55,1958322,157.55
2015-03-07,157.55,167.69,130.63,139.61,1549310,139.61
2015-03-08,139.61,140.4,138.24,139.02,1208546,139.02
2015-03-09,139.02,139.96,137.07,138.01,1654148,138.01
2015-03-10,138.01,143.51,135.29,140.74,1143357,140.74
2015-03-11,140.74,141.59,140.21,141.06,975102,141.06
2015-03-12,141.06,143.71,139.9,142.55,624695,142.55
2015-03-13,142.55,148.09,139.72,145.21,676909,145.21
2015-03-14,145.21,146.8,142.38,143.95,895799,143.95
2015-03-15,143.95,144.86,142.67,143.58,722816,143.58
2015-03-16,143.58,144.59,142.02,143.03,789401,143.03
2015-03-17,143.03,146.53,141.16,144.64,1096756,144.64
2015-03-18,144.64,147.84,143.35,146.53,769734,146.53
2015-03-19,146.53,147.86,143.21,144.53,1422688,144.53
2015-03-20,144.53,146.13,142.55,144.15,616008,144.15
2015-03-21,144.15,152.53,141.35,149.63,1219143,149.63
2015-03-22,149.63,153.32,148.33,151.99,1101927,151.99
2015-03-23,151.99,153.68,148.01,149.68,936837,149.68
2015-03-24,149.68,155.04,147.83,153.14,924643,153.14
2015-03-25,153.14,158.23,151.04,156.09,962398,156.09
2015-03-26,156.09,162.99,152.96,159.78,1063729,159.78
2015-03-27,159.78,161.19,156.45,157.83,960447,157.83
2015-03-28,157.83,158.67,155.36,156.19,1014842,156.19
2015-03-29,156.19,159.08,154.57,157.44,1839991,157.44
2015-03-30,157.44,158.49,154.98,156.02,925871,156.02
2015-03-31,156.02,157.31,154.12,155.41,1307752,155.41
2015-04-01,155.41,157.52,154.54,156.64,1458060,156.64
2015-04-02,156.64,160.55,155.3,159.19,639120,159.19
2015-04-03,159.19,159.45,158.62,158.88,958258,158.88
2015-04-04,158.88,161.99,157.18,160.27,1357854,160.27
2015-04-05,160.27,161.29,159.88,160.9,1205212,160.9
2015-04-06,160.9,167.33,158.11,164.48,1995938,164.48
2015-04-07,164.48,165.38,162.14,163.02,694054,163.02
2015-04-08,163.02,167.01,161.54,165.51,1077336,165.51
2015-04-09,165.51,169.28,162.74,166.5,864054,166.5
2015-04-10,166.5,173.44,163.93,170.81,1217334,170.81
2015-04-11,170.81,172.6,169.31,171.1,962004,171.1
2015-04-12,171.1,173.33,167.89,170.1,2074517,170.1
2015-04-13,170.1,171.85,169.22,170.96,1014780,170.96
2015-04-14,170.96,174.3,164.28,167.56,1035177,167.56
2015-04-15,167.56,168.19,165.81,166.44,997905,166.44
2015-04-16,166.44,167.37,165.25,166.18,2084179,166.18
2015-04-17,166.18,167.12,165.78,166.72,721396,166.72
2015-04-18,166.72,166.89,166.32,166.49,883078,166.49
2015-04-19,166.49,168.53,165.8,167.83,939679,167.83
2015-04-20,167.83,175.22,164.55,171.86,1366485,171.86
2015-04-21,171.86,172.75,171.29,172.18,1044066,172.18
2015-04-22,172.18,173.1,171.68,172.6,1404915,172.6
2015-04-23,172.6,173.15,171.17,171.72,789023,171.72
2015-04-24,171.72,172.53,170.42,171.23,973451,171.23
2015-04-25,171.23,172.82,169.93,171.51,668694,171.51
2015-04-26,171.51,176.39,169.78,174.63,942351,174.63
2015-04-27,174.63,178.74,173.24,177.33,833168,177.33
2015-04-28,177.33,191.39,172.02,185.82,1748214,185.82
2015-04-29,185.82,192.22,183.07,189.42,1571447,189.42
2015-04-30,189.42,190.24,189.08,189.9,1316899,189.9
2015-05-01,189.9,193.12,188.27,191.47,1190658,191.47
2015-05-02,191.47,192.08,190.58,191.18,575914,191.18
2015-05-03,191.18,193.04,189.3,191.16,594935,191.16
2015-05-04,191.16,196.13,188.52,193.46,976781,193.46
2015-05-05,193.46,195.76,188.58,190.84,770630,190.84
2015-05-06,190.84,191.19,190.56,190.91,2086833,190.91
2015-05-07,190.91,193.99,189.81,192.88,808840,192.88
2015-05-08,192.88,193.91,190.26,191.28,781923,191.28
