Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,75.0,75.03,74.97,75.0,983491,75.0
2015-01-02,75.0,75.37,74.57,74.94,677631,74.94
2015-01-03,74.94,75.21,74.5,74.77,926200,74.77
2015-01-04,74.77,75.27,73.64,74.14,1291037,74.14
2015-01-05,74.14,74.22,74.05,74.13,1554129,74.13
2015-01-06,74.13,74.94,73.04,73.84,1307014,73.84
2015-01-07,73.84,74.1,73.28,73.54,1006049,73.54
2015-01-08,73.54,74.76,73.08,74.29,856703,74.29
2015-01-09,74.29,74.54,73.76,74.0,983377,74.0
2015-01-10,74.0,74.36,72.93,73.29,762143,73.29
2015-01-11,73.29,74.01,71.76,72.48,928404,72.48
2015-01-12,72.48,73.66,72.07,73.25,887386,73.25
2015-01-13,73.25,73.52,72.67,72.94,1126054,72.94
2015-01-14,72.94,74.01,72.12,73.18,1348850,73.18
2015-01-15,73.18,73.46,73.07,73.36,873134,73.36
2015-01-16,73.36,73.62,73.22,73.48,2246988,73.48
2015-01-17,73.48,73.76,72.86,73.14,1537674,73.14
2015-01-18,73.14,73.31,72.72,72.89,1295804,72.89
2015-01-19,72.89,73.98,72.51,73.6,2438778,73.6
2015-01-20,73.6,73.82,73.32,73.53,1390308,73.53
2015-01-21,73.53,74.27,73.21,73.94,893032,73.94
2015-01-22,73.94,74.51,72.59,73.15,860383,73.15
2015-01-23,73.15,73.53,73.01,73.38,776892,73.38
2015-01-24,73.38,73.78,73.21,73.61,672745,73.61
2015-01-25,73.61,75.19,72.93,74.5,1747752,74.5
2015-01-26,74.5,75.16,72.89,73.54,656777,73.54
2015-01-27,73.54,75.44,72.88,74.76,950683,74.76
2015-01-28,74.76,76.03,73.85,75.11,1155258,75.11
2015-01-29,75.11,75.7,74.88,75.47,628062,75.47
2015-01-30,75.47,76.53,74.97,76.03,748721,76.03
2015-01-31,76.03,76.08,75.96,76.02,1086353,76.02
2015-02-01,76.02,76.6,75.64,76.22,666852,76.22
2015-02-02,76.22,76.42,75.81,76.01,1281520,76.01
2015-02-03,76.01,76.36,75.31,75.66,600741,75.66
2015-02-04,75.66,77.5,74.96,76.78,622533,76.78
2015-02-05,76.78,78.43,75.92,77.55,1085112,77.55
2015-02-06,77.55,77.65,77.27,77.37,887388,77.37
2015-02-07,77.37,77.73,77.23,77.59,1244992,77.59
2015-02-08,77.59,77.96,76.82,77.18,1061878,77.18
2015-02-09,77.18,77.81,76.35,76.98,1025501,76.98
2015-02-10,76.98,78.57,76.41,78.0,957546,78.0
2015-02-11,78.0,79.5,77.38,78.88,910248,78.88
2015-02-12,78.88,80.99,78.03,80.12,1411046,80.12
2015-02-13,80.12,80.42,79.9,80.19,1187132,80.19
2015-02-14,80.19,81.57,79.55,80.92,1007650,80.92
2015-02-15,80.92,81.51,79.64,80.22,1645574,80.22
2015-02-16,80.22,82.02,79.26,81.06,1115662,81.06
2015-02-17,81.06,82.6,80.49,82.03,1464726,82.03
2015-02-18,82.03,82.49,80.81,81.26,1403593,81.26
2015-02-19,81.26,81.59,81.15,81.47,635171,81.47
2015-02-20,81.47,82.02,80.81,81.36,829592,81.36
2015-02-21,81.36,81.95,80.35,80.94,1729332,80.94
2015-02-22,80.94,81.66,80.68,81.4,936464,81.4
2015-02-23,81.4,81.88,80.3,80.77,928179,80.77
2015-02-24,80.77,81.09,79.83,80.15,894382,80.15
2015-02-25,80.15,80.73,79.37,79.95,1077711,79.95
2015-02-26,79.95,80.52,78.48,79.04,910802,79.04
2015-02-27,79.04,79.48,77.79,78.22,978368,78.22
2015-02-28,78.22,78.3,78.12,78.2,657635,78.2
2015-03-01,78.2,79.68,77.52,78.99,1065983,78.99
2015-03-02,78.99,80.0,76.95,77.96,899143,77.96
2015-03-03,77.96,79.32,77.23,78.59,1381650,78.59
2015-03-04,78.59,79.26,78.34,79.01,1408774,79.01
2015-03-05,79.01,79.59,77.89,78.46,1289377,78.46
2015-03-06,78.46,78.85,78.0,78.39,1267116,78.39
2015-03-07,78.39,78.82,77.49,77.92,1068092,77.92
2015-03-08,77.92,77.99,77.76,77.83,1212193,77.83
2015-03-09,77.83,78.0,77.33,77.51,658969,77.51
2015-03-10,77.51,77.73,76.93,77.15,745771,77.15
2015-03-11,77.15,77.46,76.23,76.53,868866,76.53
2015-03-12,76.53,77.01,76.35,76.83,1010201,76.83
2015-03-13,76.83,77.61,76.52,77.3,1163445,77.3
2015-03-14,77.3,77.4,77.03,77.13,1145464,77.13
2015-03-15,77.13,77.84,75.57,76.27,616719,76.27
2015-03-16,76.27,77.12,75.67,76.51,762706,76.51
2015-03-17,76.51,76.67,76.3,76.45,1172617,76.45
2015-03-18,76.45,77.59,75.64,76.78,1658143,76.78
2015-03-19,76.78,77.19,75.55,75.96,949425,75.96
2015-03-20,75.96,76.15,75.69,75.88,1423787,75.88
2015-03-21,75.88,76.65,75.43,76.19,827858,76.19
2015-03-22,76.19,76.71,75.03,75.54,851119,75.54
2015-03-23,75.54,76.16,73.89,74.5,607059,74.5
2015-03-24,74.5,75.54,73.92,74.95,760899,74.95
2015-03-25,74.95,75.6,74.71,75.36,1077002,75.36
2015-03-26,75.36,76.63,74.74,76.01,813082,76.01
2015-03-27,76.01,76.67,75.72,76.38,1667531,76.38
2015-03-28,76.38,76.93,75.35,75.9,1424416,75.9
2015-03-29,75.9,76.92,75.22,76.24,1238261,76.24
2015-03-30,76.24,76.59,75.83,76.18,825224,76.18
2015-03-31,76.18,77.15,75.86,76.82,1236961,76.82
2015-04-01,76.82,77.86,76.18,77.21,1890328,77.21
2015-04-02,77.21,77.58,77.0,77.37,968129,77.37
2015-04-03,77.37,77.68,76.85,77.16,936496,77.16
2015-04-04,77.16,77.29,76.88,77.0,812826,77.0
2015-04-05,77.0,77.51,76.05,76.56,1279984,76.56
2015-04-06,76.56,76.9,75.94,76.28,2027945,76.28
2015-04-07,76.28,77.05,75.98,76.74,1212519,76.74
2015-04-08,76.74,77.45,75.39,76.08,1279988,76.08
2015-04-09,76.08,76.77,75.64,76.32,933014,76.32
2015-04-10,76.32,77.21,76.01,76.89,1629413,76.89
2015-04-11,76.89,77.77,76.57,77.45,759831,77.45
2015-04-12,77.45,77.77,76.73,77.06,1641003,77.06
2015-04-13,77.06,77.97,76.7,77.61,971128,77.61
2015-04-14,77.61,78.78,76.96,78.12,787018,78.12
2015-04-15,78.12,78.82,76.15,76.83,615829,76.83
2015-04-16,76.83,77.86,76.16,77.19,709898,77.19
2015-04-17,77.19,77.53,77.04,77.38,1680977,77.38
2015-04-18,77.38,77.83,76.24,76.68,892852,76.68
2015-04-19,76.68,77.12,76.46,76.91,1138000,76.91
2015-04-20,76.91,77.4,76.12,76.61,1248617,76.61
2015-04-21,76.61,76.77,76.14,76.3,545714,76.3
2015-04-22,76.3,77.86,75.46,77.01,1288341,77.01
2015-04-23,77.01,77.21,76.62,76.82,1309789,76.82
2015-04-24,76.82,78.3,76.06,77.53,1789513,77.53
2015-04-25,77.53,77.83,77.04,77.34,1328911,77.34
2015-04-26,77.34,77.56,77.03,77.25,1303902,77.25
2015-04-27,77.25,78.51,76.62,77.87,1050662,77.87
2015-04-28,77.87,78.22,77.68,78.03,943999,78.03
2015-04-29,78.03,78.08,77.91,77.96,680509,77.96
2015-04-30,77.96,80.24,76.81,79.07,1326741,79.07
2015-05-01,79.07,80.6,77.02,78.53,1310795,78.53
2015-05-02,78.53,80.64,77.02,79.11,1714348,79.11
2015-05-03,79.11,80.28,78.56,79.72,1147221,79.72
2015-05-04,79.72,80.77,79.28,80.32,1168132,80.32
2015-05-05,80.32,81.07,80.03,80.78,748823,80.78
2015-05-06,80.78,81.22,80.31,80.76,983565,80.76
2015-05-07,80.76,81.46,80.49,81.18,1546531,81.18
2015-05-08,81.18,81.88,79.72,80.41,1471460,80.41
2015-05-09,80.41,80.52,80.07,80.19,1100099,80.19
2015-05-10,80.19,80.49,79.9,80.21,854853,80.21
2015-05-11,80.21,81.35,79.55,80.69,1199212,80.69
2015-05-12,80.69,82.31,77.74,79.34,1986544,79.34
2015-05-13,79.34,79.67,78.59,78.92,1233986,78.92
2015-05-14,78.92,79.17,78.27,78.52,669190,78.52
2015-05-15,78.52,78.67,78.48,78.62,1317478,78.62
2015-05-16,78.62,79.49,78.07,78.94,1110627,78.94
2015-05-17,78.94,79.31,77.85,78.22,499995,78.22
2015-05-18,78.22,79.56,77.7,79.03,897235,79.03
2015-05-19,79.03,80.03,78.64,79.64,1253493,79.64
2015-05-20,79.64,80.45,79.18,79.99,923647,79.99
2015-05-21,79.99,80.78,78.37,79.15,1621671,79.15
2015-05-22,79.15,79.62,78.96,79.43,715402,79.43
2015-05-23,79.43,80.22,79.07,79.86,645928,79.86
2015-05-24,79.86,80.33,79.7,80.17,1005744,80.17
2015-05-25,80.17,81.08,79.83,80.74,1129680,80.74
2015-05-26,80.74,81.04,80.56,80.86,1157322,80.86
