,returns,regime,regime_code,confidence
2015-01-01,-0.0008113369657741553,Recovery,6,0.8728627716321765
2015-01-02,-0.004828375865527158,Recovery,6,0.902291146660921
2015-01-03,0.023116082112203475,Recovery,6,0.7283671996726486
2015-01-04,-0.014769912444749282,Recovery,6,0.9989952801660532
2015-01-05,0.014055101161869818,Recovery,6,0.9028366328420326
2015-01-06,0.0033063477066591143,Recovery,6,0.8587832366869411
2015-01-07,0.02694061466987008,Recovery,6,0.8473489141237166
2015-01-08,0.0004106118728913711,Recovery,6,0.6502132246965595
2015-01-09,0.015049773741615154,Recovery,6,0.6622493857586256
2015-01-10,-0.0038561420958409002,Recovery,6,0.5517692272252003
2015-01-11,-0.01212805464747626,Recovery,6,0.568882080909261
2015-01-12,0.005864874591376362,Recovery,6,0.46104672110621436
2015-01-13,0.011194097336260419,Recovery,6,0.36211266959872923
2015-01-14,0.008711147048605945,Recovery,6,0.26409415154532867
2015-01-15,-0.000862372049928213,Sideways Market,4,0.5028960946592567
2015-01-16,-0.028479152530230402,Sideways Market,4,0.4539944280171827
2015-01-17,-0.010711110937728452,Sideways Market,4,0.4390022763994471
2015-01-18,0.021275354750484556,Sideways Market,4,0.5394628954875853
2015-01-19,-0.01144561376113659,Sideways Market,4,0.6706307644874594
2015-01-20,0.027455157894205922,Sideways Market,4,0.6834986862576546
2015-01-21,-0.0026295543708623253,Sideways Market,4,0.7596495950144321
2015-01-22,0.01863613153113253,Sideways Market,4,0.9092962908543895
2015-01-23,-0.0038833555751379067,Sideways Market,4,0.9748704817820723
2015-01-24,-0.00888663581036796,Sideways Market,4,0.9714396467782414
2015-01-25,-0.00020522162333440146,Sideways Market,4,0.868542759874141
2015-01-26,0.0012665980397477041,Sideways Market,4,0.7844692240292885
2015-01-27,0.013666255748482506,Sideways Market,4,0.9146770576117776
2015-01-28,-0.007187408217314582,Sideways Market,4,0.8668772901278285
2015-01-29,0.002704050909372379,Sideways Market,4,0.8645090858954341
2015-01-30,0.00045860965649330396,Sideways Market,4,0.8407598333024842
2015-01-31,0.012262323765013535,Sideways Market,4,0.8395674147913035
2015-02-01,-0.02027862249986055,Sideways Market,4,0.7636750815711999
2015-02-02,0.0002891561346802258,Sideways Market,4,0.8752927149201949
2015-02-03,0.009566038978824805,Sideways Market,4,0.8994752251950994
2015-02-04,0.002226344760179691,Sideways Market,4,0.9086949239891641
2015-02-05,-0.0328292779382993,Sideways Market,4,1.0
2015-02-06,0.00868792575634851,Sideways Market,4,0.9919814256810319
2015-02-07,0.0070554008734876085,Sideways Market,4,1.0
2015-02-08,0.004913154128500651,Sideways Market,4,0.9658169790538437
2015-02-09,0.008428917694050367,Sideways Market,4,1.0
2015-02-10,0.0023899333615003088,Sideways Market,4,0.9775484548570538
2015-02-11,0.0018065747773427488,Sideways Market,4,0.9974857415671253
2015-02-12,-0.005295215475171724,Sideways Market,4,1.0
2015-02-13,0.0022992423490072584,Sideways Market,4,0.9979169115926664
2015-02-14,-0.019722171486001885,Sideways Market,4,1.0
2015-02-15,0.014684518412151558,Sideways Market,4,0.903772577961696
2015-02-16,0.007022523068361221,Sideways Market,4,0.9930306126858373
2015-02-17,-0.01271696537874344,Sideways Market,4,0.9959789050818587
2015-02-18,0.0038532151062736684,Sideways Market,4,0.9006759566511618
2015-02-19,-0.004110733020209601,Sideways Market,4,1.0
2015-02-20,0.00880962541637062,Sideways Market,4,0.9544323299265086
2015-02-21,0.026768960082016673,Sideways Market,4,1.0
2015-02-22,-0.00597134085017557,Sideways Market,4,1.0
2015-02-23,-0.03212463745106106,Sideways Market,4,0.9712859061449862
2015-02-24,0.010879192432572873,Sideways Market,4,1.0
2015-02-25,0.004954017875256534,Sideways Market,4,1.0
2015-02-26,-0.0036872447346117092,Sideways Market,4,1.0
2015-02-27,-0.0033225980764185134,Sideways Market,4,1.0
2015-02-28,-0.002797013051719764,Sideways Market,4,0.9911936698281458
2015-03-01,0.005080063706478133,Sideways Market,4,1.0
2015-03-02,0.006524165795216255,Sideways Market,4,0.9816261398899173
2015-03-03,-0.0048646137019734935,Sideways Market,4,1.0
2015-03-04,-0.021816161114631662,Sideways Market,4,1.0
2015-03-05,0.0030832311862140135,Sideways Market,4,1.0
2015-03-06,-0.00758873234137554,Sideways Market,4,0.8733064399897598
2015-03-07,0.009221061279146915,Sideways Market,4,1.0
2015-03-08,-0.015207424472821526,Sideways Market,4,0.9382533517186863
2015-03-09,0.0223022534185877,Sideways Market,4,1.0
2015-03-10,-0.017340680101696856,Sideways Market,4,1.0
2015-03-11,-0.0011041042644104673,Sideways Market,4,1.0
2015-03-12,-0.00024957186312863494,Sideways Market,4,1.0
2015-03-13,-0.013375440220404811,Sideways Market,4,0.9813488275244914
2015-03-14,-0.018109132098295868,Sideways Market,4,0.9237699644389846
2015-03-15,0.006127393041248595,Sideways Market,4,0.9614276420705921
2015-03-16,0.0012733547565229187,Sideways Market,4,0.9835131774955352
2015-03-17,-0.00015437533280074638,Sideways Market,4,0.9992969689899648
2015-03-18,0.031094753089771457,Sideways Market,4,1.0
2015-03-19,0.02924209409182063,Sideways Market,4,1.0
2015-03-20,-0.010840826291219876,Sideways Market,4,1.0
2015-03-21,-0.004319726484779719,Sideways Market,4,0.9499356336195
2015-03-22,-0.008159492891175657,Sideways Market,4,1.0
2015-03-23,0.013865453856369737,Sideways Market,4,1.0
2015-03-24,0.026425449464294676,Sideways Market,4,0.9941718922400381
2015-03-25,0.017150334343486996,Sideways Market,4,0.9519516980839462
2015-03-26,0.0062291624376142486,Sideways Market,4,0.9692260414797246
2015-03-27,0.0019099013474433324,Sideways Market,4,0.9668221898116294
2015-03-28,-0.010509382460761671,Sideways Market,4,1.0
2015-03-29,-0.003016946371304366,Sideways Market,4,1.0
2015-03-30,0.001340524580760465,Sideways Market,4,1.0
2015-03-31,0.012539093942271765,Sideways Market,4,1.0
2015-04-01,0.023887071275987708,Sideways Market,4,0.9885601990741039
2015-04-02,-0.02868121787071258,Sideways Market,4,1.0
2015-04-03,-0.009667265285401789,Sideways Market,4,1.0
2015-04-04,0.017164734912222614,Sideways Market,4,0.9951985151701167
2015-04-05,-0.026088460654668157,Sideways Market,4,1.0
2015-04-06,-0.000893390106693135,Sideways Market,4,0.946705832941879
2015-04-07,0.0389622288981933,Sideways Market,4,1.0
2015-04-08,0.012979471808684223,Sideways Market,4,0.9944600023889945
2015-04-09,-0.00815708868839083,Sideways Market,4,0.9642691870548753
2015-04-10,-0.020764893151392037,Sideways Market,4,1.0
