,transition_date,from_regime,to_regime
0,2015-01-14,Recovery,Recovery
1,2015-05-05,Sideways Market,Sideways Market
2,2015-09-30,Bull Market,Bull Market
3,2016-06-08,Sideways Market,Sideways Market
4,2016-09-04,Bull Market,Bull Market
5,2016-11-05,Sideways Market,Sideways Market
6,2016-12-04,Low Volatility,Low Volatility
7,2017-09-10,Bull Market,Bull Market
8,2017-11-07,Crisis,Crisis
9,2018-01-24,Bear Market,Bear Market
10,2018-02-24,Recovery,Recovery
11,2018-04-10,Sideways Market,Sideways Market
12,2018-05-24,Bull Market,Bull Market
13,2018-10-03,Sideways Market,Sideways Market
14,2019-01-18,Bear Market,Bear Market
15,2019-03-16,Crisis,Crisis
16,2019-06-03,Bear Market,Bear Market
17,2019-07-19,Crisis,Crisis
18,2019-08-16,Bear Market,Bear Market
19,2019-11-10,High Volatility,High Volatility
20,2020-02-28,Bear Market,Bear Market
21,2020-03-13,Recovery,Recovery
22,2020-11-18,Bull Market,Bull Market
23,2020-12-09,Sideways Market,Sideways Market
24,2021-03-06,Bull Market,Bull Market
25,2021-04-22,Bear Market,Bear Market
26,2021-06-17,Recovery,Recovery
27,2021-10-15,Bull Market,Bull Market
28,2021-11-09,Sideways Market,Sideways Market
29,2022-03-08,Bull Market,Bull Market
30,2022-07-30,Sideways Market,Sideways Market
31,2022-09-01,Bull Market,Bull Market
32,2023-03-25,Sideways Market,Sideways Market
33,2023-04-30,Bear Market,Bear Market
34,2023-06-13,High Volatility,High Volatility
35,2023-08-13,Bear Market,Bear Market
36,2023-10-19,Recovery,Recovery
